rel..oa_id,rel..proportion_of_oa_within_co_m_boundary,rel..total_persons,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
E00086672,1.0000000000072999,345,197,3,3,0,4,1,5,109,23
E00086673,1.0000000000002101,291,181,0,2,0,2,0,0,97,9
E00086674,1.0000000000074301,252,171,0,2,0,0,0,2,59,18
E00086676,0.82885222927934599,304,179,0,0,0,1,0,0,95,29
E00086677,1.0000000000042499,263,177,1,0,0,3,0,0,68,14
E00086678,0.99999999999731004,293,116,0,0,0,5,0,3,160,9
E00086679,0.99999999999821998,273,157,1,1,0,0,0,2,92,20
E00086680,0.99999999999797196,380,182,0,3,0,8,6,1,149,31
E00086681,0.25822077179313302,277,153,0,0,0,0,7,4,94,19
E00086682,1.00000000000245,337,145,3,0,0,6,3,0,160,20
E00086683,0.810340801823632,329,206,1,0,0,0,0,1,88,33
E00086684,0.999999999998054,363,207,0,0,0,3,0,2,124,27
E00086712,0.21957680834006901,303,104,2,0,1,25,0,2,137,32
E00086716,1.00000000000256,267,161,1,3,0,8,0,1,74,19
E00086717,0.99999999996343603,308,146,1,4,1,7,19,2,105,23
E00086718,1.000000000002,305,179,0,0,0,3,2,1,97,23
E00086719,0.99999999998451705,499,283,3,4,1,14,2,4,153,35
E00086720,1.0000000000042499,221,130,0,0,0,10,7,0,64,10
E00086722,0.99999999999465605,227,104,4,0,0,2,7,0,82,28
E00086723,1.0000000000068301,301,159,1,2,0,0,9,1,105,24
E00086724,0.83016483962183796,254,167,0,0,0,0,7,0,67,13
E00086725,1.00000000000775,247,102,1,4,0,4,26,4,89,17
E00086726,0.93354588097855895,262,141,1,0,0,2,5,1,86,26
E00086727,1.0000000000009299,192,83,0,3,0,1,6,3,77,19
E00086728,1.0000000000004201,309,133,2,4,0,19,14,0,106,31
E00086730,0.87741189821342702,319,201,1,4,0,0,13,0,71,29
E00086731,0.39680777085285002,308,184,3,0,0,18,2,1,81,19
E00086732,0.99999999997269895,332,173,1,5,0,13,25,3,96,16
E00086734,0.68841128316015199,335,184,0,0,0,3,0,4,111,33
E00086735,0.28941732860580799,256,164,0,1,0,3,0,0,68,20
E00086737,0.50310879262129504,272,153,2,0,0,6,2,1,92,16
E00086738,0.80407012412234202,317,193,1,1,0,7,0,2,96,17
E00086739,0.99710135025368696,327,163,0,0,1,1,9,0,121,32
E00086740,0.938412015317731,295,172,3,1,0,0,0,0,100,19
E00086741,0.99999999995465905,325,162,1,0,0,9,0,2,140,11
E00086742,0.99999999999885103,281,136,3,0,0,1,0,0,111,30
E00086743,0.53406778210000605,361,230,2,0,1,1,0,1,101,25
E00086744,1.0000000000003799,302,172,0,3,0,7,0,1,100,19
E00086745,0.99999999999533196,402,177,1,0,0,9,17,4,164,30
E00086746,0.99999999999094202,295,160,0,0,0,14,0,0,110,11
E00086747,1.00000000000719,272,144,1,2,1,1,0,6,99,18
E00086748,1.0000000000067899,358,225,6,0,1,2,0,3,95,26
E00086749,1.00000000002334,303,168,7,2,1,6,0,4,97,18
E00086750,0.999999999988604,299,182,0,0,0,1,0,2,84,30
E00086751,1.00000000003138,355,168,2,5,0,4,0,3,141,32
E00086752,0.99999999996777,335,186,1,0,0,5,6,3,112,22
E00086753,0.999999999997362,268,171,1,1,0,2,3,7,65,18
E00086754,0.99999999999105504,248,143,3,0,0,1,9,2,75,15
E00086755,1.0000000000004099,238,140,2,0,0,1,0,1,67,27
E00086756,0.99999999999989697,290,163,1,0,0,0,0,2,106,18
E00086757,1.00000000000276,208,100,8,4,0,2,0,0,74,20
E00086758,1.0000000000002001,304,175,2,3,0,0,0,0,97,27
E00086759,0.99999999999862699,274,165,1,0,0,0,3,0,88,17
E00086760,1.00000000000449,257,126,5,0,0,0,0,3,110,13
E00086761,0.99999999999853595,271,151,0,0,0,5,3,0,95,17
E00086861,1.00000000000085,314,184,3,0,0,0,0,1,102,24
E00086863,0.99999999999842903,286,166,2,0,0,4,0,3,94,17
E00086865,0.77558291209395003,320,133,1,0,0,1,3,0,167,15
E00086871,0.71501506701397899,336,195,0,7,0,16,0,0,92,26
E00086894,0.98461329151503196,325,140,5,0,0,5,3,5,132,35
E00086895,0.97184690940389995,301,108,0,3,0,1,2,4,161,22
E00086896,0.99915860493164499,250,146,4,0,0,5,2,0,70,23
