ethn..oa_id,ethn..proportion_of_oa_within_co_m_boundary,ethn..total_persons,ethn..white,ethn..white_gypsy_or_irish_traveller,ethn..mixed_multiple_ethnic_group,ethn..asian_asian_british_indian,ethn..asian_asian_british_pakistani,ethn..asian_asian_british_bangladeshi,ethn..asian_asian_british_chinese,ethn..asian_asian_british_other_asian,ethn..black_african_caribbean_black_british,ethn..other_ethnic_group_any_other_ethnic_group,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
S00093995,0.29731415368782999,52,51,0,1,0,0,0,0,0,0,0,51,0,0,1,0
S00094098,0.99999999998163303,59,59,0,0,0,0,0,0,0,0,0,59,0,0,0,0
S00094099,0.99999999999400202,128,127,0,0,0,0,0,0,0,0,1,127,0,0,0,1
S00094585,0.649562629097579,136,135,1,0,0,0,0,0,0,0,0,136,0,0,0,0
S00094587,0.93703516748954796,116,116,0,0,0,0,0,0,0,0,0,116,0,0,0,0
S00094719,0.81199836248212198,150,147,2,1,0,0,0,0,0,0,0,149,0,0,1,0
S00094720,0.27360490401587101,58,58,0,0,0,0,0,0,0,0,0,58,0,0,0,0
S00094721,0.99999999997117095,62,62,0,0,0,0,0,0,0,0,0,62,0,0,0,0
S00094722,0.99999999843522902,136,136,0,0,0,0,0,0,0,0,0,136,0,0,0,0
S00117833,1.00000000000694,60,60,0,0,0,0,0,0,0,0,0,60,0,0,0,0
S00117834,0.99999999999933398,133,132,0,0,0,0,0,0,1,0,0,132,0,1,0,0
S00117835,0.99999999999935196,148,145,0,0,0,0,0,0,2,1,0,145,1,2,0,0
S00117838,0.14563954241906699,178,171,1,1,5,0,0,0,0,0,0,172,0,5,1,0
S00117839,6.5679826378332501E-2,94,93,0,0,0,0,0,1,0,0,0,93,0,1,0,0
S00118120,0.99999999997532296,153,152,0,0,0,0,0,0,0,1,0,152,1,0,0,0
S00118121,0.99999999998458799,106,97,1,0,0,7,0,0,0,0,1,98,0,7,0,1
S00118122,0.99999999999514,108,107,0,0,0,0,0,0,0,0,1,107,0,0,0,1
S00118123,1.00000000050788,59,59,0,0,0,0,0,0,0,0,0,59,0,0,0,0
S00118124,1.00000000005889,98,98,0,0,0,0,0,0,0,0,0,98,0,0,0,0
S00118125,0.99999999999859601,109,109,0,0,0,0,0,0,0,0,0,109,0,0,0,0
S00118126,1.0000000000139899,78,78,0,0,0,0,0,0,0,0,0,78,0,0,0,0
S00118127,0.99999999999719602,66,66,0,0,0,0,0,0,0,0,0,66,0,0,0,0
S00119154,0.99561510403509201,128,126,0,0,1,0,0,0,0,1,0,126,1,1,0,0
S00119155,0.99999999999878197,113,113,0,0,0,0,0,0,0,0,0,113,0,0,0,0
S00119156,0.70069230681459005,226,219,0,1,0,3,0,0,2,0,1,219,0,5,1,1
S00119157,0.999999999999304,128,124,0,0,0,0,0,4,0,0,0,124,0,4,0,0
S00119197,1.00000000000641,108,107,0,0,0,0,0,0,0,1,0,107,1,0,0,0
S00119198,0.99999999995922695,86,85,0,0,0,0,0,1,0,0,0,85,0,1,0,0
S00119199,0.999999999911941,118,118,0,0,0,0,0,0,0,0,0,118,0,0,0,0
S00119200,1.0000000000036999,68,68,0,0,0,0,0,0,0,0,0,68,0,0,0,0
S00119305,0.928591444108122,140,133,0,0,0,1,5,0,0,0,1,133,0,6,0,1
S00119306,0.99999999999856803,73,73,0,0,0,0,0,0,0,0,0,73,0,0,0,0
S00119396,0.99999999999943801,74,74,0,0,0,0,0,0,0,0,0,74,0,0,0,0
S00119397,0.99999999998369304,112,112,0,0,0,0,0,0,0,0,0,112,0,0,0,0
S00119398,0.99999999997861,124,124,0,0,0,0,0,0,0,0,0,124,0,0,0,0
S00119399,1.00000000011001,95,95,0,0,0,0,0,0,0,0,0,95,0,0,0,0
S00126307,5.2821579556108E-2,117,115,0,1,0,0,0,0,0,1,0,115,1,0,1,0
