health..oa_id,health..proportion_of_oa_within_co_m_boundary,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
S00093995,0.29731415368782999,52,24,19,5,3,1
S00094098,0.99999999998163303,59,35,16,5,2,1
S00094099,0.99999999999400202,128,70,46,11,1,0
S00094585,0.649562629097579,136,73,47,13,1,2
S00094587,0.93703516748954796,116,59,44,9,2,2
S00094719,0.81199836248212198,150,84,49,11,5,1
S00094720,0.27360490401587101,58,35,12,8,1,2
S00094721,0.99999999997117095,62,25,20,14,2,1
S00094722,0.99999999843522902,136,78,35,20,1,2
S00117833,1.00000000000694,60,38,13,7,2,0
S00117834,0.99999999999933398,133,78,42,6,6,1
S00117835,0.99999999999935196,148,73,41,25,7,2
S00117838,0.14563954241906699,178,106,57,10,3,2
S00117839,6.5679826378332501E-2,94,50,37,3,2,2
S00118120,0.99999999997532296,153,88,46,14,4,1
S00118121,0.99999999998458799,106,43,43,16,4,0
S00118122,0.99999999999514,108,55,41,7,5,0
S00118123,1.00000000050788,59,34,15,7,1,2
S00118124,1.00000000005889,98,47,36,15,0,0
S00118125,0.99999999999859601,109,45,35,19,5,5
S00118126,1.0000000000139899,78,24,21,26,4,3
S00118127,0.99999999999719602,66,32,15,18,0,1
S00119154,0.99561510403509201,128,70,34,21,3,0
S00119155,0.99999999999878197,113,58,40,12,2,1
S00119156,0.70069230681459005,226,134,60,22,7,3
S00119157,0.999999999999304,128,52,55,15,6,0
S00119197,1.00000000000641,108,40,27,32,7,2
S00119198,0.99999999995922695,86,46,21,14,4,1
S00119199,0.999999999911941,118,57,25,24,8,4
S00119200,1.0000000000036999,68,23,24,14,6,1
S00119305,0.928591444108122,140,60,53,23,4,0
S00119306,0.99999999999856803,73,39,23,8,3,0
S00119396,0.99999999999943801,74,40,22,10,2,0
S00119397,0.99999999998369304,112,43,41,19,7,2
S00119398,0.99999999997861,124,60,40,17,5,2
S00119399,1.00000000011001,95,48,29,13,4,1
S00126307,5.2821579556108E-2,117,64,38,12,2,1
