house..oa_id,house..proportion_of_oa_within_co_m_boundary,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
S00093995,0.29731415368782999,27,4,6,12,3,0,0,2
S00094098,0.99999999998163303,26,6,1,12,6,0,1,0
S00094099,0.99999999999400202,51,8,3,23,8,3,3,3
S00094585,0.649562629097579,57,6,5,26,12,3,0,5
S00094587,0.93703516748954796,53,12,3,21,10,2,0,5
S00094719,0.81199836248212198,66,8,9,25,17,2,1,4
S00094720,0.27360490401587101,27,1,6,9,5,1,0,5
S00094721,0.99999999997117095,32,13,2,8,2,4,0,3
S00094722,0.99999999843522902,55,8,4,28,11,0,1,3
S00117833,1.00000000000694,26,4,6,11,5,0,0,0
S00117834,0.99999999999933398,56,8,10,23,12,2,1,0
S00117835,0.99999999999935196,66,7,10,32,11,1,1,4
S00117838,0.14563954241906699,76,8,14,36,14,1,1,2
S00117839,6.5679826378332501E-2,35,3,6,12,9,1,2,2
S00118120,0.99999999997532296,67,6,13,21,17,6,1,3
S00118121,0.99999999998458799,61,9,28,8,3,5,2,6
S00118122,0.99999999999514,55,8,13,21,9,3,0,1
S00118123,1.00000000050788,24,4,2,9,5,1,0,3
S00118124,1.00000000005889,47,11,5,16,7,3,0,5
S00118125,0.99999999999859601,48,9,2,17,8,8,0,4
S00118126,1.0000000000139899,44,15,7,15,5,0,0,2
S00118127,0.99999999999719602,37,5,11,8,4,6,0,3
S00119154,0.99561510403509201,56,6,8,28,11,0,0,3
S00119155,0.99999999999878197,45,7,5,20,11,0,1,1
S00119156,0.70069230681459005,76,6,7,30,18,1,4,10
S00119157,0.999999999999304,54,7,6,30,5,0,2,4
S00119197,1.00000000000641,45,14,8,11,6,0,1,5
S00119198,0.99999999995922695,44,6,17,11,5,3,1,1
S00119199,0.999999999911941,56,14,9,13,7,8,1,4
S00119200,1.0000000000036999,39,7,11,12,3,2,0,4
S00119305,0.928591444108122,71,10,11,37,6,2,1,4
S00119306,0.99999999999856803,33,1,6,17,5,0,0,4
S00119396,0.99999999999943801,34,4,9,8,7,4,0,2
S00119397,0.99999999998369304,50,10,9,15,11,0,3,2
S00119398,0.99999999997861,52,6,6,22,9,1,3,5
S00119399,1.00000000011001,50,15,12,9,6,0,0,8
S00126307,5.2821579556108E-2,52,8,9,25,6,0,1,3
