pop..dz_id,pop..proportion_of_dz_within_co_m_boundary,pop..total_persons,pop..male_persons,pop..female_persons,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
S01007303,0.49373490823648197,1012,482,530,53,76,62,91,98,268,215,149
S01007304,0.84094602840927901,651,305,346,20,35,41,70,47,195,145,98
S01007305,0.60372574584386796,694,339,355,17,46,40,58,60,200,214,59
S01007308,0.119420883589151,756,369,387,24,43,39,93,88,243,152,74
S01010521,6.5504137284038297E-2,795,384,411,36,52,61,116,120,238,115,57
S01010524,0.27981846595448601,518,250,268,21,29,29,44,49,143,150,53
S01010525,0.76522381161781505,644,325,319,20,30,53,67,58,195,146,75
S01010526,0.99999999999650702,770,381,389,39,60,40,70,78,216,161,106
S01010527,1.00000000000302,761,343,418,36,51,44,57,89,230,173,81
S01012017,2.41678374208068E-2,497,255,242,15,34,18,41,37,162,114,76
