rel..oa_id,rel..proportion_of_oa_within_co_m_boundary,rel..total_persons,rel..christian_church_of_scotland,rel..christian_roman_catholic,rel..christian_other_christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
S00093995,0.29731415368782999,52,19,6,5,0,0,0,0,0,0,22,0
S00094098,0.99999999998163303,59,27,3,7,0,0,0,0,0,0,20,2
S00094099,0.99999999999400202,128,72,8,5,1,0,0,0,0,1,34,7
S00094585,0.649562629097579,136,52,8,13,0,0,1,0,0,1,53,8
S00094587,0.93703516748954796,116,47,2,17,0,0,0,0,0,1,32,17
S00094719,0.81199836248212198,150,66,4,20,0,0,1,0,0,0,54,5
S00094720,0.27360490401587101,58,25,0,9,0,0,0,0,0,0,20,4
S00094721,0.99999999997117095,62,26,3,6,0,0,0,0,0,0,22,5
S00094722,0.99999999843522902,136,64,11,16,0,0,0,0,0,2,37,6
S00117833,1.00000000000694,60,17,13,9,1,0,0,0,0,0,19,1
S00117834,0.99999999999933398,133,41,4,15,0,0,0,0,0,0,59,14
S00117835,0.99999999999935196,148,42,15,20,0,0,0,0,0,0,54,17
S00117838,0.14563954241906699,178,63,14,9,0,0,0,3,5,0,60,24
S00117839,6.5679826378332501E-2,94,35,18,6,0,0,0,2,0,0,33,0
S00118120,0.99999999997532296,153,55,28,8,1,0,0,0,0,1,50,10
S00118121,0.99999999998458799,106,26,13,4,1,0,0,7,0,0,51,4
S00118122,0.99999999999514,108,35,14,6,0,0,0,0,0,0,49,4
S00118123,1.00000000050788,59,28,6,9,0,0,0,0,0,1,11,4
S00118124,1.00000000005889,98,44,8,8,0,0,0,0,0,1,28,9
S00118125,0.99999999999859601,109,30,6,9,1,0,0,0,0,0,52,11
S00118126,1.0000000000139899,78,25,10,9,0,0,0,0,0,0,26,8
S00118127,0.99999999999719602,66,19,10,4,1,0,0,0,0,2,20,10
S00119154,0.99561510403509201,128,38,7,19,0,1,0,5,0,0,52,6
S00119155,0.99999999999878197,113,41,22,15,0,0,0,0,0,0,28,7
S00119156,0.70069230681459005,226,69,10,46,1,0,0,0,0,0,73,27
S00119157,0.999999999999304,128,36,17,14,0,0,0,0,0,0,45,16
S00119197,1.00000000000641,108,31,13,17,0,0,0,0,0,0,20,27
S00119198,0.99999999995922695,86,22,6,4,0,0,0,0,0,1,50,3
S00119199,0.999999999911941,118,27,24,11,0,0,0,0,0,0,52,4
S00119200,1.0000000000036999,68,21,7,18,0,0,0,0,0,0,19,3
S00119305,0.928591444108122,140,52,19,18,0,0,0,7,0,0,36,8
S00119306,0.99999999999856803,73,37,8,6,0,0,0,0,0,0,17,5
S00119396,0.99999999999943801,74,33,6,9,0,0,0,0,0,0,20,6
S00119397,0.99999999998369304,112,39,21,19,0,0,0,0,0,1,29,3
S00119398,0.99999999997861,124,34,10,8,1,0,0,0,0,0,55,16
S00119399,1.00000000011001,95,30,17,8,0,0,0,0,0,1,36,3
S00126307,5.2821579556108E-2,117,40,9,5,0,0,0,2,0,1,50,10
