ethn..oa_id,ethn..proportion_of_oa_within_co_m_boundary,ethn..total_persons,ethn..white_english_welsh_scottish_northern_irish_british,ethn..white_irish,ethn..white_gypsy_or_irish_traveller,ethn..white_other_white,ethn..mixed_multiple_ethnic_group_white_and_black_caribbean,ethn..mixed_multiple_ethnic_group_white_and_black_african,ethn..mixed_multiple_ethnic_group_white_and_asian,ethn..mixed_multiple_ethnic_group_other_mixed,ethn..asian_asian_british_indian,ethn..asian_asian_british_pakistani,ethn..asian_asian_british_bangladeshi,ethn..asian_asian_british_chinese,ethn..asian_asian_british_other_asian,ethn..black_african_caribbean_black_british_african,ethn..black_african_caribbean_black_british_caribbean,ethn..black_african_caribbean_black_british_other_black,ethn..other_ethnic_group_arab,ethn..other_ethnic_group_any_other_ethnic_group,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
W00001892,0.99999999999874301,327,281,1,0,20,0,0,2,7,4,0,0,7,4,1,0,0,0,0,302,1,15,9,0
W00001893,0.53238392132964196,372,361,1,0,5,1,1,0,0,3,0,0,0,0,0,0,0,0,0,367,0,3,2,0
W00001894,1.00000000000133,287,249,1,0,16,3,2,2,0,5,0,6,1,1,0,1,0,0,0,266,1,13,7,0
W00001895,0.99804584326437196,471,408,1,1,35,3,5,0,4,4,5,0,0,0,5,0,0,0,0,445,5,9,12,0
W00001896,0.99998643591637604,310,292,2,0,6,1,0,0,0,6,0,0,0,0,3,0,0,0,0,300,3,6,1,0
W00001897,0.99999999998090705,278,261,1,0,3,4,0,2,0,6,0,0,0,0,1,0,0,0,0,265,1,6,6,0
W00001898,0.99999999996759303,348,309,1,0,13,1,2,3,0,4,7,3,4,0,1,0,0,0,0,323,1,18,6,0
W00001954,1.69251490799598E-2,304,260,4,0,23,0,0,0,2,0,0,7,1,1,5,0,0,0,1,287,5,9,2,1
W00002035,0.19914397405662099,274,236,0,0,22,1,0,0,0,0,0,2,2,1,10,0,0,0,0,258,10,5,1,0
W00002041,1.22968875405056E-2,407,387,2,0,11,0,0,0,1,0,0,0,0,2,3,0,0,0,1,400,3,2,1,1
W00002094,2.6126414737091101E-2,262,224,3,0,21,0,0,0,1,0,0,1,4,0,8,0,0,0,0,248,8,5,1,0
W00002095,1.6694500475530599E-2,335,299,1,0,22,2,2,3,3,0,0,0,0,2,0,0,0,1,0,322,0,2,10,1
W00002099,1.3131820539848901E-2,268,259,1,0,4,2,0,1,0,0,0,0,0,1,0,0,0,0,0,264,0,1,3,0
W00002197,0.999434145249112,343,310,0,0,24,2,0,4,0,2,1,0,0,0,0,0,0,0,0,334,0,3,6,0
W00002198,1.0000000000229801,317,278,1,1,4,0,2,0,2,0,3,0,0,2,23,0,0,0,1,284,23,5,4,1
W00002199,1.00000000000033,281,268,0,0,2,1,0,1,0,0,4,0,1,4,0,0,0,0,0,270,0,9,2,0
W00002200,0.99990104984972294,262,228,3,0,20,1,0,1,0,0,0,2,0,3,4,0,0,0,0,251,4,5,2,0
W00002201,1.00000000000164,374,332,1,0,14,3,6,0,1,0,0,0,1,7,9,0,0,0,0,347,9,8,10,0
W00002202,0.97986919363185898,341,307,0,0,15,0,2,1,1,1,0,0,4,2,5,0,0,0,3,322,5,7,4,3
W00002203,0.99999999999754696,437,405,0,0,25,2,3,0,0,0,0,1,0,0,1,0,0,0,0,430,1,1,5,0
W00002204,1.00000000000079,330,309,0,0,16,2,1,0,0,0,1,0,0,0,1,0,0,0,0,325,1,1,3,0
W00002214,1.0413384438086599E-2,200,184,2,0,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,196,0,4,0,0
W00002236,1.00000000000109,376,340,0,0,23,2,0,0,2,6,0,0,0,0,3,0,0,0,0,363,3,6,4,0
W00002237,1.00000000000136,335,251,0,0,72,0,0,3,2,1,0,3,0,0,2,0,0,1,0,323,2,4,5,1
W00002238,0.88023053029331699,427,265,5,0,118,0,7,3,2,3,0,0,9,11,4,0,0,0,0,388,4,23,12,0
W00002239,1,199,184,1,0,11,1,0,2,0,0,0,0,0,0,0,0,0,0,0,196,0,0,3,0
W00002240,0.42893829618416801,357,222,2,0,96,3,0,2,2,12,2,1,6,6,2,0,0,0,1,320,2,27,7,1
W00002241,0.89743663742507196,352,224,2,0,106,1,2,0,6,3,0,0,2,4,1,0,0,0,1,332,1,9,9,1
W00002242,0.96436147415532103,283,221,0,0,53,1,0,0,1,0,0,0,0,0,6,0,0,0,1,274,6,0,2,1
W00002243,1.00000000000025,342,207,2,0,107,1,0,4,1,8,0,2,2,1,6,0,1,0,0,316,7,13,6,0
W00002253,0.92161073203446497,383,359,1,0,19,0,0,0,0,0,0,0,0,3,1,0,0,0,0,379,1,3,0,0
W00002254,0.67119251010442704,290,242,1,0,31,2,0,0,0,6,2,2,2,2,0,0,0,0,0,274,0,14,2,0
W00002255,0.99999999999903499,436,360,3,0,41,3,1,3,0,1,0,0,3,6,11,0,0,0,4,404,11,10,7,4
W00002256,1.0000000000004201,352,291,0,0,45,0,0,1,1,3,0,0,0,1,5,0,2,0,3,336,7,4,2,3
W00002257,0.99674374498193696,344,277,2,0,44,0,0,0,0,4,3,0,3,5,4,0,0,1,1,323,4,15,0,2
W00002258,0.98804427582283205,279,244,2,0,15,0,1,1,3,4,0,0,1,1,7,0,0,0,0,261,7,6,5,0
W00002259,0.99999999999918598,314,298,2,0,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,312,0,1,1,0
W00002260,0.99999999999672995,327,283,0,0,39,0,0,0,0,3,0,0,1,0,0,0,0,0,1,322,0,4,0,1
W00002261,1.0000000000000799,351,330,1,0,15,0,0,0,0,1,0,0,3,0,1,0,0,0,0,346,1,4,0,0
W00002262,0.99999999999842504,296,280,1,0,12,0,0,0,0,0,0,0,2,1,0,0,0,0,0,293,0,3,0,0
W00002263,0.99999999999975397,408,360,0,3,28,1,1,0,0,1,0,0,3,0,7,4,0,0,0,391,11,4,2,0
W00002264,0.99999999999962197,313,288,0,0,19,0,0,0,0,0,0,0,1,4,1,0,0,0,0,307,1,5,0,0
W00002265,0.960459697348653,329,284,0,0,22,5,0,1,1,0,2,0,1,1,12,0,0,0,0,306,12,4,7,0
W00002266,0.99999999999850098,325,294,1,0,9,0,2,0,0,0,0,0,1,10,8,0,0,0,0,304,8,11,2,0
W00002267,0.99999999999910905,301,269,0,0,22,0,0,1,1,0,0,3,0,1,0,0,0,2,2,291,0,4,2,4
W00010025,0.99999999999905398,200,168,0,0,21,0,1,0,0,4,1,0,0,1,4,0,0,0,0,189,4,6,1,0
W00010031,1.000000000007,278,257,0,0,17,0,0,0,0,0,0,0,0,0,4,0,0,0,0,274,4,0,0,0
W00010032,0.83618679172305699,293,255,0,0,20,0,0,2,0,2,7,0,0,7,0,0,0,0,0,275,0,16,2,0
