health..oa_id,health..proportion_of_oa_within_co_m_boundary,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
W00001892,0.99999999999874301,327,128,127,50,17,5
W00001893,0.53238392132964196,372,118,103,119,25,7
W00001894,1.00000000000133,287,120,80,63,17,7
W00001895,0.99804584326437196,471,220,126,89,30,6
W00001896,0.99998643591637604,310,131,95,55,29,0
W00001897,0.99999999998090705,278,92,105,56,19,6
W00001898,0.99999999996759303,348,157,116,48,23,4
W00001954,1.69251490799598E-2,304,116,109,47,25,7
W00002035,0.19914397405662099,274,117,92,44,15,6
W00002041,1.22968875405056E-2,407,224,124,36,14,9
W00002094,2.6126414737091101E-2,262,115,85,44,13,5
W00002095,1.6694500475530599E-2,335,144,117,46,21,7
W00002099,1.3131820539848901E-2,268,131,84,42,9,2
W00002197,0.999434145249112,343,163,105,44,22,9
W00002198,1.0000000000229801,317,147,91,59,17,3
W00002199,1.00000000000033,281,122,82,52,16,9
W00002200,0.99990104984972294,262,119,90,36,16,1
W00002201,1.00000000000164,374,168,124,57,20,5
W00002202,0.97986919363185898,341,148,106,52,27,8
W00002203,0.99999999999754696,437,218,121,61,30,7
W00002204,1.00000000000079,330,142,108,57,18,5
W00002214,1.0413384438086599E-2,200,67,63,43,23,4
W00002236,1.00000000000109,376,150,117,68,29,12
W00002237,1.00000000000136,335,156,115,44,18,2
W00002238,0.88023053029331699,427,215,152,41,13,6
W00002239,1,199,42,61,58,27,11
W00002240,0.42893829618416801,357,159,126,46,22,4
W00002241,0.89743663742507196,352,168,124,42,14,4
W00002242,0.96436147415532103,283,103,101,51,25,3
W00002243,1.00000000000025,342,166,124,33,12,7
W00002253,0.92161073203446497,383,191,137,44,9,2
W00002254,0.67119251010442704,290,159,102,21,8,0
W00002255,0.99999999999903499,436,233,132,49,15,7
W00002256,1.0000000000004201,352,127,133,49,34,9
W00002257,0.99674374498193696,344,160,125,45,10,4
W00002258,0.98804427582283205,279,98,99,51,25,6
W00002259,0.99999999999918598,314,147,121,38,7,1
W00002260,0.99999999999672995,327,160,103,46,16,2
W00002261,1.0000000000000799,351,165,105,53,18,10
W00002262,0.99999999999842504,296,92,115,53,29,7
W00002263,0.99999999999975397,408,195,119,59,30,5
W00002264,0.99999999999962197,313,123,95,57,28,10
W00002265,0.960459697348653,329,125,109,61,29,5
W00002266,0.99999999999850098,325,141,109,52,18,5
W00002267,0.99999999999910905,301,124,83,60,29,5
W00010025,0.99999999999905398,200,126,60,13,0,1
W00010031,1.000000000007,278,136,96,33,13,0
W00010032,0.83618679172305699,293,181,84,16,8,4
