house..oa_id,house..proportion_of_oa_within_co_m_boundary,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
W00001892,0.99999999999874301,131,10,38,27,29,19,6,2
W00001893,0.53238392132964196,143,29,20,51,23,9,10,1
W00001894,1.00000000000133,125,14,26,29,19,20,11,6
W00001895,0.99804584326437196,172,19,37,33,44,23,9,7
W00001896,0.99998643591637604,128,17,19,32,29,14,13,4
W00001897,0.99999999998090705,121,9,29,33,22,17,11,0
W00001898,0.99999999996759303,140,13,14,53,29,16,8,7
W00001954,1.69251490799598E-2,128,21,25,35,14,9,23,1
W00002035,0.19914397405662099,137,10,49,26,15,22,13,2
W00002041,1.22968875405056E-2,157,14,22,55,45,3,13,5
W00002094,2.6126414737091101E-2,114,24,19,30,20,7,8,6
W00002095,1.6694500475530599E-2,121,9,14,39,24,14,14,7
W00002099,1.3131820539848901E-2,108,11,6,60,22,2,5,2
W00002197,0.999434145249112,137,15,18,36,33,16,18,1
W00002198,1.0000000000229801,128,16,17,24,25,35,9,2
W00002199,1.00000000000033,116,6,25,17,29,30,8,1
W00002200,0.99990104984972294,108,6,18,23,21,26,13,1
W00002201,1.00000000000164,157,5,55,17,28,34,11,7
W00002202,0.97986919363185898,142,14,30,28,24,28,13,5
W00002203,0.99999999999754696,142,10,16,19,36,47,8,6
W00002204,1.00000000000079,138,10,40,20,24,33,7,4
W00002214,1.0413384438086599E-2,108,29,24,25,18,3,9,0
W00002236,1.00000000000109,173,27,33,45,23,23,18,4
W00002237,1.00000000000136,138,14,19,46,18,9,27,5
W00002238,0.88023053029331699,199,13,44,60,20,26,35,1
W00002239,1,127,35,48,20,7,9,8,0
W00002240,0.42893829618416801,191,32,57,44,19,7,27,5
W00002241,0.89743663742507196,153,16,35,36,17,10,31,8
W00002242,0.96436147415532103,122,14,41,27,8,12,16,4
W00002243,1.00000000000025,157,19,34,34,26,11,21,12
W00002253,0.92161073203446497,145,8,28,34,47,18,6,4
W00002254,0.67119251010442704,135,1,38,48,30,6,10,2
W00002255,0.99999999999903499,173,11,41,39,47,19,12,4
W00002256,1.0000000000004201,143,20,38,24,25,15,16,5
W00002257,0.99674374498193696,147,18,27,49,23,7,17,6
W00002258,0.98804427582283205,140,24,38,33,17,12,14,2
W00002259,0.99999999999918598,134,16,21,53,30,3,10,1
W00002260,0.99999999999672995,135,12,20,53,25,10,11,4
W00002261,1.0000000000000799,128,17,10,22,29,20,22,8
W00002262,0.99999999999842504,122,19,26,20,22,17,17,1
W00002263,0.99999999999975397,136,7,16,20,28,41,15,9
W00002264,0.99999999999962197,128,21,20,31,19,17,16,4
W00002265,0.960459697348653,132,11,21,38,22,21,16,3
W00002266,0.99999999999850098,130,7,28,11,28,41,13,2
W00002267,0.99999999999910905,134,15,42,17,22,18,15,5
W00010025,0.99999999999905398,79,2,14,20,29,12,2,0
W00010031,1.000000000007,109,4,19,25,24,26,8,3
W00010032,0.83618679172305699,102,2,14,22,46,6,10,2
