pop..lsoa_id,pop..proportion_of_lsoa_within_co_m_boundary,pop..total_persons,pop..male_persons,pop..female_persons,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
W01000352,0.72707523840671295,999,477,522,49,91,61,125,95,263,178,137
W01000353,0.99973281957979898,1340,649,691,86,166,138,170,198,354,159,69
W01000382,0.11813803791683,1306,655,651,86,143,88,221,192,347,173,56
W01000413,0.99999999999987699,1308,600,708,152,223,142,213,164,270,108,36
W01000414,0.95981077742097198,1256,631,625,95,170,113,195,198,273,153,59
W01000423,0.89871467488222501,2312,1115,1197,202,267,200,356,382,586,235,84
W01000424,0.99912172118901699,1300,670,630,62,118,76,140,193,340,270,101
W01000425,0.99814169137787501,2194,1135,1059,155,268,198,348,327,530,272,96
W01001929,0.95953454716596598,1278,705,573,82,98,66,225,217,370,162,58
W01001931,0.71980983244008001,1574,847,727,109,119,91,308,302,368,199,78
