rel..oa_id,rel..proportion_of_oa_within_co_m_boundary,rel..total_persons,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
W00001892,0.99999999999874301,327,206,5,0,0,5,0,0,89,22
W00001893,0.53238392132964196,372,248,2,0,0,0,0,1,83,38
W00001894,1.00000000000133,287,162,1,0,0,0,0,0,97,27
W00001895,0.99804584326437196,471,246,0,0,0,7,0,0,183,35
W00001896,0.99998643591637604,310,151,0,6,0,3,0,0,111,39
W00001897,0.99999999998090705,278,118,1,4,0,3,0,0,129,23
W00001898,0.99999999996759303,348,211,0,4,0,10,0,0,98,25
W00001954,1.69251490799598E-2,304,197,0,0,0,9,0,1,79,18
W00002035,0.19914397405662099,274,135,2,0,0,0,0,0,100,37
W00002041,1.22968875405056E-2,407,253,1,0,0,0,0,2,119,32
W00002094,2.6126414737091101E-2,262,168,0,0,0,4,0,0,64,26
W00002095,1.6694500475530599E-2,335,182,3,0,0,6,0,1,110,33
W00002099,1.3131820539848901E-2,268,203,0,0,0,0,0,2,56,7
W00002197,0.999434145249112,343,186,0,0,1,0,0,1,123,32
W00002198,1.0000000000229801,317,145,3,5,0,3,0,1,145,15
W00002199,1.00000000000033,281,107,0,0,0,9,0,1,137,27
W00002200,0.99990104984972294,262,115,2,0,0,4,0,0,111,30
W00002201,1.00000000000164,374,181,1,0,0,0,0,0,183,9
W00002202,0.97986919363185898,341,168,0,0,0,2,0,0,138,33
W00002203,0.99999999999754696,437,180,0,1,0,0,0,1,227,28
W00002204,1.00000000000079,330,133,0,0,1,0,0,1,162,33
W00002214,1.0413384438086599E-2,200,127,1,1,0,0,0,0,43,28
W00002236,1.00000000000109,376,201,0,3,0,0,2,1,127,42
W00002237,1.00000000000136,335,208,0,0,0,7,0,0,99,21
W00002238,0.88023053029331699,427,269,7,10,0,0,0,2,117,22
W00002239,1,199,113,0,0,0,2,0,0,60,24
W00002240,0.42893829618416801,357,192,2,12,0,12,0,1,116,22
W00002241,0.89743663742507196,352,235,0,5,0,0,0,0,83,29
W00002242,0.96436147415532103,283,167,0,0,1,0,0,0,93,22
W00002243,1.00000000000025,342,224,2,1,0,4,2,1,83,25
W00002253,0.92161073203446497,383,222,0,0,1,0,0,1,139,20
W00002254,0.67119251010442704,290,183,0,4,0,3,3,0,79,18
W00002255,0.99999999999903499,436,208,2,1,0,6,0,2,164,53
W00002256,1.0000000000004201,352,188,2,2,0,6,0,1,116,37
W00002257,0.99674374498193696,344,224,0,0,0,10,0,1,91,18
W00002258,0.98804427582283205,279,181,0,4,0,1,0,0,79,14
W00002259,0.99999999999918598,314,230,0,0,0,2,0,1,61,20
W00002260,0.99999999999672995,327,203,0,2,0,0,0,1,85,36
W00002261,1.0000000000000799,351,187,0,0,0,0,0,0,138,26
W00002262,0.99999999999842504,296,132,1,0,0,3,0,2,130,28
W00002263,0.99999999999975397,408,162,1,0,0,1,0,0,193,51
W00002264,0.99999999999962197,313,162,0,0,0,0,0,0,130,21
W00002265,0.960459697348653,329,194,2,0,0,3,0,0,104,26
W00002266,0.99999999999850098,325,116,4,0,0,6,0,1,172,26
W00002267,0.99999999999910905,301,151,1,0,0,5,0,0,127,17
W00010025,0.99999999999905398,200,117,0,4,0,0,0,1,65,13
W00010031,1.000000000007,278,99,0,0,0,0,0,2,144,33
W00010032,0.83618679172305699,293,140,1,2,1,9,1,0,107,32
