ethn..sa_id,ethn..total_persons,ethn..ethnic_group_e_s_w_white_unit_persons,ethn..ethnic_group_e_s_w_white_gypsy_or_irish_traveller_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_indian_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_pakistani_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_bangladeshi_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_chinese_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_other_asian_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_any_other_ethnic_group_unit_persons,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
S00094124,62,61,0,0,0,0,0,1,0,0,0,61,0,1,0,0
S00094125,50,50,0,0,0,0,0,0,0,0,0,50,0,0,0,0
S00094126,56,56,0,0,0,0,0,0,0,0,0,56,0,0,0,0
S00094127,56,56,0,0,0,0,0,0,0,0,0,56,0,0,0,0
S00094128,101,100,0,0,0,0,0,0,0,1,0,100,1,0,0,0
S00094129,128,127,0,0,0,0,0,0,1,0,0,127,0,1,0,0
S00094130,120,119,0,0,0,0,0,0,0,1,0,119,1,0,0,0
S00094131,80,80,0,0,0,0,0,0,0,0,0,80,0,0,0,0
S00094132,101,96,4,0,0,0,0,0,1,0,0,100,0,1,0,0
S00094133,94,91,0,2,0,0,0,0,0,0,1,91,0,0,2,1
S00094119,133,133,0,0,0,0,0,0,0,0,0,133,0,0,0,0
S00094120,78,78,0,0,0,0,0,0,0,0,0,78,0,0,0,0
S00094121,100,97,0,1,1,0,0,0,1,0,0,97,0,2,1,0
S00094122,136,135,0,0,0,0,0,1,0,0,0,135,0,1,0,0
S00094595,119,119,0,0,0,0,0,0,0,0,0,119,0,0,0,0
S00094725,87,87,0,0,0,0,0,0,0,0,0,87,0,0,0,0
S00094726,113,113,0,0,0,0,0,0,0,0,0,113,0,0,0,0
S00094727,106,106,0,0,0,0,0,0,0,0,0,106,0,0,0,0
S00094556,153,149,2,0,2,0,0,0,0,0,0,151,0,2,0,0
