health..sa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
S00094124,62,30,22,7,2,1
S00094125,50,32,10,8,0,0
S00094126,56,31,19,5,0,1
S00094127,56,28,13,14,1,0
S00094128,101,54,32,10,3,2
S00094129,128,67,43,16,2,0
S00094130,120,55,37,21,5,2
S00094131,80,44,24,8,4,0
S00094132,101,47,32,17,5,0
S00094133,94,63,22,7,2,0
S00094119,133,86,33,8,5,1
S00094120,78,45,21,9,3,0
S00094121,100,49,46,5,0,0
S00094122,136,82,38,10,4,2
S00094595,119,65,40,10,4,0
S00094725,87,39,26,16,4,2
S00094726,113,46,38,20,8,1
S00094727,106,54,35,12,4,1
S00094556,153,88,44,17,4,0
S00094557,50,19,13,10,6,2
S00094558,116,54,38,20,4,0
S00094559,121,67,36,12,5,1
S00094560,111,60,31,16,4,0
S00094561,159,84,54,18,2,1
S00094562,64,37,21,4,2,0
S00094563,71,51,9,7,4,0
S00094564,109,70,32,7,0,0
S00094118,88,49,25,9,4,1
S00094123,177,107,57,10,3,0
S00094592,95,42,40,9,3,1
S00094593,92,49,25,11,7,0
S00094800,103,52,35,11,3,2
S00094801,61,38,15,7,1,0
S00094115,82,31,29,20,2,0
S00094116,96,51,35,8,1,1
S00094117,113,57,39,16,1,0
S00094594,129,56,50,20,2,1
S00094724,134,64,57,11,2,0
S00094508,148,96,45,6,1,0
S00094509,128,79,37,10,2,0
S00094510,115,68,33,12,2,0
S00094511,55,31,14,5,5,0
S00094512,127,66,48,9,3,1
S00094514,143,94,37,12,0,0
S00094661,82,45,26,8,2,1
S00094079,129,88,27,9,5,0
S00094791,127,92,26,6,2,1
S00094792,212,152,45,11,1,3
S00094794,206,142,43,16,4,1
S00094795,112,58,31,19,1,3
S00094517,90,32,34,17,4,3
S00094519,99,51,28,15,4,1
S00094520,157,70,54,22,11,0
S00094526,78,29,20,20,9,0
S00094790,100,47,32,13,6,2
S00094793,166,81,40,28,13,4
S00094530,113,62,36,9,4,2
S00094531,103,54,32,12,4,1
S00094666,64,43,14,7,0,0
S00094786,173,87,56,21,6,3
S00094787,128,72,41,12,2,1
S00094788,190,120,47,19,3,1
S00094527,80,59,16,4,1,0
S00094528,172,98,59,14,1,0
S00094529,111,58,32,15,5,1
S00094665,124,67,43,12,0,2
S00094680,65,32,21,8,4,0
S00094681,161,99,48,12,1,1
S00094789,73,47,22,3,1,0
S00094524,129,72,31,22,4,0
S00094525,87,36,37,8,4,2
S00094663,108,69,25,9,5,0
S00094667,139,75,44,16,3,1
S00094780,112,51,36,16,6,3
S00094781,79,46,21,10,2,0
S00094784,182,93,60,21,6,2
S00094785,80,40,20,9,8,3
S00094518,65,20,19,17,7,2
S00094522,104,28,39,29,4,4
S00094523,94,47,29,14,4,0
S00094782,105,55,32,11,5,2
S00094783,152,75,44,26,5,2
S00094513,113,50,35,19,9,0
S00094515,88,49,27,11,1,0
S00094516,128,55,47,17,6,3
S00094521,73,42,24,3,4,0
S00094778,96,36,41,15,3,1
S00094779,65,29,25,8,2,1
S00094532,121,73,29,14,4,1
S00094533,108,65,22,18,3,0
S00094535,140,92,33,11,3,1
S00094540,124,66,39,18,1,0
S00094541,105,59,35,9,2,0
S00094542,92,53,34,4,0,1
S00094668,67,44,17,6,0,0
S00094669,154,92,50,12,0,0
S00094534,126,69,36,18,2,1
S00094536,134,78,33,14,8,1
S00094538,144,83,40,20,1,0
S00094682,128,64,42,14,7,1
S00094537,156,84,53,15,3,1
S00094539,107,50,30,24,2,1
S00094543,83,51,18,11,3,0
S00094545,108,57,42,7,2,0
S00094546,83,45,27,9,1,1
S00094547,125,71,36,12,3,3
S00094796,114,60,44,7,3,0
S00094797,78,37,25,13,3,0
S00094544,137,92,31,12,2,0
S00094548,72,23,21,21,6,1
S00094549,135,68,46,17,3,1
S00094550,52,23,10,13,3,3
S00094551,106,44,37,22,2,1
S00094090,167,95,49,16,6,1
S00094091,129,74,43,9,2,1
S00094092,164,104,41,15,4,0
S00094581,171,86,57,24,3,1
S00094584,108,60,30,13,5,0
S00094552,175,85,52,26,8,4
S00094553,129,81,26,16,5,1
S00094554,139,79,34,17,8,1
S00094555,112,58,33,12,7,2
S00094670,70,29,20,15,4,2
S00094586,122,60,43,15,4,0
S00094715,157,55,32,33,20,17
S00094716,158,83,45,22,5,3
S00094717,170,104,51,9,5,1
S00094718,110,73,27,9,1,0
S00094719,150,84,49,11,5,1
S00094720,58,35,12,8,1,2
S00094098,59,35,16,5,2,1
S00094099,128,70,46,11,1,0
S00094582,87,38,29,17,3,0
S00094583,105,56,29,17,2,1
S00094587,116,59,44,9,2,2
S00094721,62,25,20,14,2,1
S00094722,136,78,35,20,1,2
S00094093,108,66,31,9,2,0
S00094094,99,62,22,13,1,1
S00094095,142,86,44,10,1,1
S00094096,131,67,37,21,4,2
S00094097,120,62,41,15,2,0
S00094585,136,73,47,13,1,2
S00094085,136,81,39,12,4,0
S00094086,125,77,41,6,1,0
S00094087,89,48,30,10,1,0
S00094088,120,51,35,26,7,1
S00094713,143,92,36,12,2,1
S00094714,143,79,42,15,5,2
S00094078,167,93,54,15,4,1
S00094080,84,44,29,9,2,0
S00094083,104,62,31,8,2,1
S00094084,76,33,31,9,3,0
S00094089,109,65,34,6,4,0
S00094711,138,83,38,14,3,0
S00094712,108,55,40,10,3,0
S00093995,52,24,19,5,3,1
S00094069,79,49,20,9,1,0
S00094070,164,68,67,19,7,3
S00094071,121,66,32,16,5,2
S00094572,192,117,54,13,5,3
S00094709,72,45,13,7,5,2
S00094710,126,71,29,14,11,1
S00094077,117,74,30,9,3,1
S00094081,103,50,30,18,3,2
S00094082,147,74,52,18,2,1
S00094577,108,62,30,12,3,1
S00094578,113,80,19,10,2,2
S00094579,57,28,20,9,0,0
S00094072,79,44,22,7,6,0
S00094073,109,44,46,11,8,0
S00094074,72,46,15,7,3,1
S00094075,88,53,26,9,0,0
S00094076,109,58,30,13,6,2
S00094573,70,30,25,10,5,0
S00094574,128,61,38,25,2,2
S00094575,94,56,25,9,3,1
S00094576,59,37,21,1,0,0
S00094062,87,43,28,10,4,2
S00094063,114,72,30,7,5,0
S00094064,83,38,23,18,3,1
S00094065,116,71,31,11,3,0
S00094066,91,39,32,13,5,2
S00094067,86,44,26,11,5,0
S00094068,86,53,16,14,2,1
S00094571,106,58,30,14,2,2
S00094059,130,65,44,15,5,1
S00094060,162,71,63,21,5,2
S00094061,218,116,71,23,7,1
S00094700,104,65,25,11,3,0
S00094707,85,29,33,13,5,5
S00094708,71,36,20,12,2,1
S00094053,204,107,71,21,3,2
S00094054,74,40,25,8,1,0
S00094055,96,59,28,6,2,1
S00094056,134,71,42,19,1,1
S00094057,62,29,16,16,0,1
S00094701,81,48,23,7,3,0
S00094702,127,78,32,10,5,2
S00094703,114,78,21,14,0,1
S00094704,80,52,18,10,0,0
S00094058,121,75,35,7,4,0
S00094568,114,67,32,13,2,0
S00094570,137,64,56,14,3,0
S00094705,69,37,26,6,0,0
S00094706,194,108,65,18,3,0
S00094486,147,83,39,19,5,1
S00094487,142,75,46,12,4,5
S00094488,129,66,34,28,1,0
S00094489,132,71,34,22,5,0
S00094490,85,43,28,11,2,1
S00094491,63,31,19,11,1,1
S00094498,106,64,25,13,2,2
S00094499,136,90,34,10,1,1
S00094492,116,53,33,18,8,4
S00094493,79,40,22,12,3,2
S00094494,107,44,31,20,9,3
S00094496,146,69,47,27,3,0
S00094658,99,46,33,12,8,0
S00094659,70,25,28,11,6,0
S00094774,130,61,47,10,11,1
S00094775,114,55,43,13,2,1
S00094495,138,88,40,10,0,0
S00094497,106,39,32,16,19,0
S00094699,84,55,18,10,0,1
S00094773,107,64,35,6,2,0
S00094776,170,84,49,33,4,0
S00094777,70,41,22,7,0,0
S00094482,202,112,65,16,9,0
S00094483,124,70,31,19,3,1
S00094484,145,71,42,25,6,1
S00094656,53,34,16,2,0,1
S00094657,83,41,24,14,3,1
S00094478,143,70,36,26,6,5
S00094479,160,97,47,14,2,0
S00094480,81,50,25,5,0,1
S00094481,112,47,35,20,7,3
S00094485,95,49,29,13,4,0
S00094771,65,33,20,10,1,1
S00094772,86,45,33,6,2,0
