house..sa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
S00094124,28,4,6,12,3,0,1,2
S00094125,23,6,3,7,6,1,0,0
S00094126,32,11,6,5,3,6,0,1
S00094127,29,7,6,10,4,0,1,1
S00094128,50,7,14,18,8,2,0,1
S00094129,55,10,6,22,13,0,1,3
S00094130,61,14,12,20,5,5,0,5
S00094131,38,8,6,11,7,1,2,3
S00094132,47,5,11,16,6,5,0,4
S00094133,40,0,11,18,4,3,1,3
S00094119,51,7,6,14,16,4,1,3
S00094120,32,5,4,12,6,1,1,3
S00094121,41,6,3,17,8,0,1,6
S00094122,48,6,4,22,15,0,0,1
S00094595,53,6,8,23,9,2,2,3
S00094725,38,6,7,15,5,0,3,2
S00094726,55,11,10,20,8,1,1,4
S00094727,40,5,2,22,5,1,1,4
S00094556,74,13,14,20,8,7,3,9
S00094557,35,17,9,4,4,0,0,1
S00094558,61,6,20,18,6,5,2,4
S00094559,55,9,9,21,8,1,3,4
S00094560,65,12,22,22,3,2,0,4
S00094561,60,6,4,21,20,4,1,4
S00094562,29,6,2,13,6,2,0,0
S00094563,35,3,12,3,6,8,0,3
S00094564,46,1,9,18,10,5,0,3
S00094118,47,6,15,16,5,5,0,0
S00094123,69,9,23,19,13,0,1,4
S00094592,44,7,9,20,5,0,0,3
S00094593,47,11,8,20,7,1,0,0
S00094800,48,5,13,19,7,1,0,3
S00094801,26,8,3,8,6,1,0,0
S00094115,41,9,0,28,2,2,0,0
S00094116,43,4,4,26,6,1,0,2
S00094117,38,7,3,14,11,0,1,2
S00094594,71,13,21,30,4,0,1,2
S00094724,59,10,5,28,12,0,2,2
S00094508,56,0,6,25,18,0,1,6
S00094509,48,5,2,20,13,2,1,5
S00094510,52,10,7,22,7,2,2,2
S00094511,29,3,10,8,5,0,0,3
S00094512,54,6,11,26,9,1,0,1
S00094514,52,1,5,26,10,1,3,6
S00094661,32,2,4,14,9,2,1,0
