pop..dz_code,pop..total_persons,pop..males,pop..females,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
S01007284,747,358,389,29,67,29,60,61,208,209,84
S01007285,790,371,419,25,57,44,48,72,240,201,103
S01007286,1001,492,509,57,94,61,102,137,244,204,102
S01007287,601,266,335,17,40,43,38,54,195,150,64
S01007288,608,279,329,32,29,20,55,68,172,160,72
S01007289,785,391,394,41,47,38,105,59,235,186,74
S01007290,1066,515,551,84,142,92,166,157,303,93,29
S01007291,627,288,339,20,38,41,86,56,160,140,86
S01007292,708,352,356,20,49,40,93,71,196,162,77
S01007293,673,313,360,47,77,70,117,80,175,79,28
S01007294,819,406,413,52,72,48,138,69,216,153,71
S01007295,449,203,246,21,19,18,75,68,94,77,77
S01007296,533,277,256,19,16,19,102,107,123,99,48
S01007297,840,445,395,32,43,65,131,102,239,156,72
S01007298,500,252,248,31,41,18,76,56,131,99,48
S01007299,753,349,404,27,37,57,106,104,217,139,66
S01007300,475,241,234,27,32,20,82,79,131,74,30
S01007301,1011,517,494,53,85,50,140,109,263,209,102
S01007302,557,271,286,18,44,30,77,57,168,110,53
S01007303,1012,482,530,53,76,62,91,98,268,215,149
S01007304,651,305,346,20,35,41,70,47,195,145,98
S01007305,694,339,355,17,46,40,58,60,200,214,59
S01007306,743,338,405,36,63,44,83,65,234,128,90
S01007307,938,431,507,31,55,65,129,47,314,216,81
S01007308,756,369,387,24,43,39,93,88,243,152,74
S01007309,696,344,352,19,39,37,64,54,207,218,58
S01007310,809,408,401,22,37,36,62,77,232,233,110
S01007311,759,395,364,35,66,45,79,100,208,159,67
S01007312,770,368,402,14,42,53,85,60,221,199,96
S01007313,956,480,476,30,54,64,79,69,311,236,113
S01007314,610,303,307,28,38,36,62,62,180,146,58
S01007315,850,416,434,48,63,52,85,103,257,143,99
S01007316,728,346,382,31,48,47,60,63,209,168,102
S01007317,789,419,370,58,61,59,124,89,228,128,42
S01007318,552,274,278,30,40,54,61,43,158,101,65
S01007319,668,323,345,20,40,54,56,55,185,144,114
S01007320,731,382,349,21,43,38,68,41,248,155,117
S01007321,586,294,292,24,39,26,39,54,144,163,97
S01007322,692,339,353,29,54,41,85,68,190,145,80
S01007323,427,214,213,20,35,15,41,36,117,114,49
S01007324,365,174,191,13,26,18,26,50,95,106,31
S01007325,779,380,399,31,44,52,77,66,206,208,95
S01007326,837,404,433,33,62,52,81,81,250,186,92
S01007327,626,292,334,35,37,27,81,64,163,143,76
S01007328,773,374,399,38,36,52,111,98,196,155,87
S01007329,712,364,348,27,45,57,46,52,240,175,70
S01007330,718,353,365,10,35,22,55,41,202,224,129
S01007331,930,480,450,37,77,41,125,71,275,205,99
S01007332,491,249,242,16,19,25,57,40,146,135,53
S01007333,726,365,361,32,48,45,77,64,177,187,96
S01007334,602,272,330,31,57,40,73,63,114,127,97
S01007335,706,356,350,36,69,40,103,77,180,128,73
S01007336,500,256,244,18,30,25,64,77,136,77,73
S01007337,593,279,314,11,26,32,75,66,156,124,103
S01007338,776,379,397,40,96,70,86,82,210,113,79
S01007339,621,281,340,11,48,52,49,42,162,143,114
S01007340,474,246,228,14,34,36,35,33,140,125,57
S01007341,611,301,310,15,27,27,48,38,150,196,110
S01007342,746,358,388,7,30,28,49,30,223,252,127
S01007343,593,311,282,8,20,34,46,27,183,185,90
S01007344,444,230,214,15,28,18,45,31,113,134,60
S01007345,494,248,246,43,47,33,69,46,130,84,42
S01007346,559,282,277,16,19,23,80,54,120,153,94
S01007347,576,284,292,42,31,25,49,56,140,157,76
S01007348,523,252,271,27,41,43,56,56,121,116,63
S01007349,439,207,232,26,40,52,57,48,88,86,42
S01007350,527,272,255,21,31,15,53,58,129,141,79
S01007351,645,331,314,18,29,20,60,53,161,202,102
S01007352,556,267,289,27,38,27,39,66,141,153,65
S01007353,653,311,342,21,37,29,46,53,153,219,95
S01007354,736,338,398,10,54,33,35,54,200,216,134
S01007355,839,447,392,28,38,34,79,57,224,260,119
S01007356,635,315,320,5,31,30,36,29,176,226,102
S01007357,701,322,379,20,29,37,50,45,191,206,123
S01007359,756,349,407,29,60,55,93,62,218,147,92
S01007360,617,304,313,11,31,20,41,39,162,198,115
S01007361,1010,521,489,27,48,39,130,83,241,269,173
S01007362,707,323,384,26,40,42,74,65,174,161,125
S01007363,684,315,369,11,36,48,51,37,166,199,136
S01007364,775,359,416,53,73,70,110,83,192,135,59
S01007365,446,213,233,12,45,27,53,39,124,86,60
