rel..sa_id,rel..total_persons,rel..christian_church_of_scotland,rel..christian_roman_catholic,rel..christian_other_christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
S00094124,62,27,2,11,0,0,0,0,0,0,15,7
S00094125,50,11,5,7,0,0,0,0,0,1,21,5
S00094126,56,41,0,0,0,0,0,0,0,0,10,5
S00094127,56,38,0,6,0,1,0,0,0,0,7,4
S00094128,101,41,5,12,0,0,0,0,0,0,41,2
S00094129,128,59,9,6,0,0,0,0,0,0,44,10
S00094130,120,73,4,11,0,0,0,0,0,2,24,6
S00094131,80,50,1,6,1,0,0,0,0,1,14,7
S00094132,101,44,6,12,0,0,0,0,0,2,25,12
S00094133,94,25,1,10,0,0,0,1,0,4,37,16
S00094119,133,62,8,9,0,0,0,0,0,0,43,11
S00094120,78,19,2,10,2,0,0,0,0,0,26,19
S00094121,100,24,3,6,1,0,0,0,1,0,51,14
S00094122,136,36,3,17,0,0,0,0,0,0,71,9
S00094595,119,44,3,15,0,0,0,0,0,0,50,7
S00094725,87,36,1,11,0,0,0,0,0,0,31,8
S00094726,113,56,4,6,0,0,0,0,0,1,39,7
S00094727,106,25,5,17,0,0,0,0,0,1,56,2
S00094556,153,49,7,11,0,0,0,0,0,3,74,9
S00094557,50,26,4,2,0,0,0,0,0,0,12,6
S00094558,116,33,9,14,0,0,0,0,0,0,44,16
S00094559,121,56,6,10,0,0,0,0,0,0,43,6
S00094560,111,42,11,7,0,0,0,0,0,0,42,9
S00094561,159,45,7,25,0,0,0,0,0,1,75,6
S00094562,64,23,0,4,1,0,0,0,0,1,28,7
S00094563,71,26,1,10,1,0,1,0,0,0,29,3
S00094564,109,44,5,11,0,0,0,0,0,0,43,6
S00094118,88,44,4,6,0,0,0,0,0,0,28,6
S00094123,177,55,13,27,2,0,0,0,0,1,58,21
S00094592,95,35,8,7,0,0,0,0,0,0,31,14
S00094593,92,32,3,7,0,0,0,0,0,1,34,15
S00094800,103,45,8,9,0,0,0,0,0,0,38,3
S00094801,61,26,1,14,0,0,0,0,0,0,14,6
S00094115,82,28,5,11,0,0,3,0,0,1,20,14
S00094116,96,14,3,10,2,0,1,0,0,0,58,8
S00094117,113,32,9,14,0,0,0,0,0,1,46,11
S00094594,129,24,6,27,0,0,0,0,0,0,56,16
S00094724,134,60,3,15,0,0,0,0,0,0,40,16
S00094508,148,66,25,7,1,0,0,0,0,0,42,7
S00094509,128,55,21,13,1,0,0,0,0,0,26,12
S00094510,115,51,21,10,0,0,0,0,0,0,26,7
S00094511,55,17,3,9,0,0,0,0,0,1,22,3
S00094512,127,66,9,12,1,0,0,0,0,1,26,12
S00094514,143,62,23,7,0,0,0,0,0,1,40,10
S00094661,82,29,14,12,0,0,0,0,0,0,14,13
S00094079,129,21,24,0,0,0,0,2,0,1,75,6
S00094791,127,30,33,7,0,0,0,0,0,0,53,4
S00094792,212,96,36,16,0,0,0,4,0,0,47,13
S00094794,206,58,29,8,0,0,0,0,0,0,86,25
S00094795,112,38,17,5,0,0,0,0,0,0,46,6
S00094517,90,43,13,4,1,0,0,0,0,1,22,6
S00094519,99,49,17,5,0,0,0,0,0,0,20,8
S00094520,157,67,42,11,0,0,0,0,0,0,31,6
S00094526,78,38,15,0,0,0,0,0,0,3,8,14
S00094790,100,48,25,1,0,0,0,0,0,0,20,6
S00094793,166,75,27,10,2,0,0,1,0,0,43,8
S00094530,113,68,12,4,1,0,0,0,0,0,23,5
S00094531,103,28,22,4,0,0,0,0,0,0,45,4
S00094666,64,32,4,8,0,0,0,0,0,4,13,3
S00094786,173,86,23,17,0,0,0,4,0,0,34,9
S00094787,128,56,18,16,0,0,0,0,0,0,30,8
S00094788,190,93,25,13,0,0,0,0,0,0,50,9
S00094527,80,29,13,2,0,0,0,0,0,0,30,6
S00094528,172,51,42,7,2,0,0,0,0,1,60,9
S00094529,111,47,26,15,0,0,0,0,0,0,18,5
S00094665,124,48,25,3,0,0,1,0,0,0,39,8
S00094680,65,18,22,2,1,0,0,0,0,0,19,3
S00094681,161,49,28,6,0,0,0,0,0,0,54,24
S00094789,73,29,11,8,0,0,0,0,0,0,25,0
S00094524,129,76,14,7,0,1,0,0,0,0,28,3
S00094525,87,34,19,5,0,0,0,0,0,0,23,6
S00094663,108,53,14,8,0,0,0,0,0,0,32,1
S00094667,139,51,26,14,1,0,0,0,0,0,41,6
S00094780,112,62,20,0,1,0,0,0,0,1,24,4
S00094781,79,28,13,7,0,0,0,0,0,1,21,9
S00094784,182,94,20,7,0,0,0,0,0,0,50,11
S00094785,80,36,13,3,0,0,0,1,0,0,25,2
S00094518,65,34,11,4,0,0,0,0,0,0,15,1
S00094522,104,48,29,7,0,0,0,0,0,0,17,3
S00094523,94,26,22,4,0,0,0,2,0,0,31,9
S00094782,105,36,16,0,0,0,0,0,0,0,33,20
S00094783,152,58,33,3,0,1,0,0,0,0,53,4
S00094513,113,42,13,16,0,0,0,0,0,0,36,6
S00094515,88,26,9,3,0,0,0,0,0,0,40,10
S00094516,128,37,16,8,1,0,0,0,0,0,55,11
S00094521,73,29,16,3,0,1,0,0,0,0,24,0
S00094778,96,44,19,10,0,0,0,0,0,0,20,3
S00094779,65,17,17,2,1,0,0,0,0,1,20,7
S00094532,121,37,19,8,0,3,0,4,0,1,48,1
S00094533,108,40,24,8,0,0,0,0,0,0,28,8
S00094535,140,66,15,7,0,0,0,0,0,0,40,12
S00094540,124,44,16,11,0,0,0,0,0,0,32,21
S00094541,105,30,24,4,0,3,0,0,1,0,37,6
S00094542,92,23,12,1,0,0,0,0,0,0,54,2
S00094668,67,28,9,3,1,0,0,0,0,1,16,9
S00094669,154,61,22,16,0,0,0,0,0,0,39,16
S00094534,126,47,15,11,0,0,0,0,0,0,42,11
S00094536,134,64,23,10,1,0,0,0,0,0,31,5
S00094538,144,63,22,6,0,0,0,0,0,0,44,9
S00094682,128,59,32,2,0,0,0,0,0,0,25,10
S00094537,156,56,20,13,0,0,0,5,0,0,52,10
S00094539,107,49,15,8,0,0,0,0,0,0,24,11
S00094543,83,28,15,5,0,0,0,0,0,2,21,12
S00094545,108,20,28,12,0,0,0,0,0,0,42,6
S00094546,83,29,14,9,0,0,0,0,0,0,24,7
S00094547,125,56,27,6,0,0,0,0,0,0,33,3
S00094796,114,43,17,5,0,0,0,0,0,1,41,7
S00094797,78,25,16,4,1,0,0,0,0,1,26,5
S00094544,137,32,29,8,0,0,0,0,0,0,59,9
S00094548,72,35,8,7,0,0,0,0,0,0,14,8
S00094549,135,59,19,4,0,0,0,0,0,1,36,16
S00094550,52,21,7,2,0,0,0,0,0,0,16,6
S00094551,106,35,21,5,0,0,0,0,0,1,37,7
S00094090,167,71,14,19,0,0,0,0,0,0,58,5
S00094091,129,46,25,14,0,0,0,0,0,0,36,8
S00094092,164,85,9,10,0,0,0,0,0,0,45,15
S00094581,171,91,20,21,1,0,0,0,0,1,28,9
S00094584,108,45,15,6,1,0,0,0,0,0,38,3
S00094552,175,89,19,9,0,0,0,0,0,0,39,19
S00094553,129,71,16,4,0,0,3,0,0,0,24,11
S00094554,139,63,28,4,0,0,0,0,0,2,34,8
S00094555,112,35,20,7,1,0,0,0,0,1,42,6
S00094670,70,19,10,6,0,0,0,0,0,0,31,4
S00094586,122,56,2,11,0,0,0,0,0,0,42,11
S00094715,157,70,3,13,2,0,0,0,0,0,28,41
S00094716,158,56,17,15,0,0,0,0,0,2,59,9
S00094717,170,79,13,21,0,0,0,0,0,1,54,2
S00094718,110,32,10,12,0,0,0,0,0,0,50,6
S00094719,150,66,4,20,0,0,1,0,0,0,54,5
S00094720,58,25,0,9,0,0,0,0,0,0,20,4
S00094098,59,27,3,7,0,0,0,0,0,0,20,2
S00094099,128,72,8,5,1,0,0,0,0,1,34,7
S00094582,87,39,6,8,0,0,0,0,0,0,30,4
