health..oa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00045077,362,188,141,28,4,1
E00045078,406,196,159,40,8,3
E00045079,197,71,62,42,18,4
E00045080,444,209,158,60,13,4
E00045081,271,92,92,53,27,7
E00045082,422,189,163,40,27,3
E00045083,327,150,123,39,12,3
E00045084,325,141,112,53,18,1
E00045085,282,101,110,50,16,5
E00045086,410,211,117,63,17,2
E00045087,281,119,92,55,12,3
E00045088,323,169,100,41,10,3
E00045090,313,139,106,48,13,7
E00045091,376,106,112,114,39,5
E00045092,413,162,153,70,19,9
E00045093,317,139,117,34,21,6
E00045094,383,177,138,46,18,4
E00045095,287,124,96,45,14,8
E00045096,209,40,81,47,32,9
E00045097,320,161,110,35,11,3
E00045098,250,101,99,33,10,7
E00045099,256,115,83,37,15,6
E00045100,332,133,112,54,25,8
E00045101,285,109,103,54,11,8
E00045102,319,128,104,63,17,7
E00045103,343,172,106,50,11,4
E00045104,374,178,107,61,24,4
E00045105,317,133,105,56,15,8
E00045106,313,134,109,45,16,9
E00045107,357,173,111,50,19,4
E00045108,276,114,93,45,16,8
E00045109,404,202,136,47,13,6
E00045110,289,110,98,55,17,9
E00045111,349,166,112,50,15,6
E00045112,335,154,105,56,17,3
E00045113,312,140,100,44,22,6
E00045114,311,142,84,54,21,10
E00045115,350,172,108,48,16,6
E00045116,395,160,143,62,21,9
E00045117,325,149,102,44,18,12
E00045118,393,176,157,45,11,4
E00045119,405,134,183,63,20,5
E00045120,354,150,110,57,25,12
E00045121,340,147,101,64,21,7
E00045122,289,100,119,40,23,7
E00045123,210,54,79,43,25,9
E00045124,337,137,121,47,28,4
E00045125,337,170,97,45,23,2
E00045126,388,154,148,69,13,4
E00045127,322,162,106,37,12,5
E00045128,435,210,134,67,15,9
E00045129,481,222,177,67,12,3
E00045130,321,150,112,47,10,2
E00045131,382,199,127,36,16,4
E00045132,252,108,96,28,14,6
E00045133,258,123,81,38,13,3
E00045134,336,151,120,47,10,8
E00045135,334,146,106,51,21,10
E00045136,382,149,142,67,15,9
E00045137,342,160,112,53,14,3
E00045138,285,124,110,31,13,7
E00045139,142,10,43,48,35,6
E00045140,287,118,93,52,20,4
E00045141,240,87,98,44,10,1
E00045142,346,145,119,59,18,5
E00045143,352,148,122,62,11,9
E00045144,351,155,121,61,9,5
E00045145,402,179,166,46,8,3
E00045146,355,160,140,42,10,3
E00045147,263,99,99,37,26,2
E00045148,312,145,102,41,21,3
E00045149,259,114,87,39,16,3
E00045150,343,183,104,44,9,3
E00045151,321,135,119,49,13,5
E00045152,297,141,103,38,11,4
E00045153,329,145,105,44,29,6
E00045154,323,148,120,44,11,0
E00045155,360,208,98,33,20,1
E00045156,288,131,109,35,10,3
E00045157,346,165,133,38,9,1
E00045158,360,168,114,65,11,2
E00045159,300,130,123,28,17,2
E00045160,415,169,186,41,16,3
E00045161,327,133,108,55,24,7
E00045162,376,169,146,37,16,8
E00045163,291,122,121,37,10,1
E00045164,248,63,70,59,38,18
E00045165,363,154,129,55,15,10
E00045166,364,175,122,44,19,4
E00045167,442,190,141,67,34,10
E00045168,442,212,144,59,19,8
E00045169,405,196,128,58,15,8
E00045170,389,201,118,46,22,2
E00045171,472,205,161,70,28,8
E00045172,448,200,144,68,25,11
E00045173,498,243,156,67,23,9
E00045174,406,163,132,75,24,12
E00045175,534,238,168,78,40,10
E00045176,435,167,179,62,19,8
E00045177,406,186,155,47,11,7
E00045178,394,181,132,63,12,6
E00045179,503,218,168,80,29,8
E00045180,327,174,100,34,14,5
E00045181,347,168,102,47,22,8
E00045182,350,136,115,67,26,6
E00045183,549,240,196,81,27,5
E00045184,268,101,79,67,16,5
E00045186,369,177,112,50,25,5
E00045187,307,125,117,44,17,4
E00045188,221,85,87,30,13,6
E00045189,285,114,99,39,27,6
E00045190,404,182,142,53,22,5
E00045191,323,130,108,49,26,10
E00045192,312,178,71,41,16,6
E00045193,416,188,152,49,23,4
E00045194,310,133,117,39,17,4
E00045195,351,154,128,45,19,5
E00045196,200,97,65,30,7,1
E00045197,406,196,150,45,15,0
E00045198,146,39,40,35,26,6
E00045199,460,196,162,70,27,5
E00045200,358,190,98,46,18,6
E00045201,362,155,144,40,18,5
E00045202,358,174,100,50,29,5
E00045203,296,159,92,38,4,3
E00045204,477,250,152,53,20,2
E00045205,339,144,127,46,19,3
E00045206,499,232,160,77,24,6
E00045207,234,83,86,40,21,4
E00045208,414,219,126,42,22,5
E00045210,493,248,148,65,17,15
E00045212,354,142,144,54,9,5
E00045213,326,129,130,43,16,8
E00045214,242,110,76,40,11,5
E00045215,398,178,147,57,13,3
E00045216,269,119,99,39,7,5
E00045217,348,147,145,33,19,4
E00045218,381,198,126,37,16,4
E00045219,458,217,143,63,24,11
E00045220,366,172,101,62,25,6
E00045221,359,168,143,37,9,2
E00045222,101,34,40,18,6,3
E00045223,287,118,106,40,19,4
E00045224,282,124,88,51,12,7
E00045225,311,134,95,48,25,9
E00045226,254,97,72,59,22,4
E00045227,402,166,141,55,27,13
E00045228,349,153,115,49,26,6
E00045231,360,160,124,48,22,6
E00045232,481,224,152,70,27,8
E00045233,387,150,139,60,28,10
E00045234,433,207,129,68,23,6
E00045235,354,154,117,57,24,2
E00045236,449,201,148,55,32,13
E00045237,316,147,80,57,25,7
E00045238,297,116,97,50,25,9
E00045239,387,185,117,49,29,7
E00045240,227,117,63,24,18,5
E00045241,430,174,163,64,24,5
E00045242,316,136,116,41,21,2
E00045243,257,104,112,29,11,1
E00045244,384,167,139,44,24,10
E00045245,251,88,90,45,23,5
E00045246,335,137,121,47,21,9
E00045247,228,97,102,22,6,1
E00045249,284,115,98,54,11,6
E00045250,241,73,81,59,25,3
E00045251,240,92,89,42,9,8
E00045252,267,106,97,46,13,5
E00045253,287,119,100,53,12,3
E00045254,247,127,62,37,19,2
E00045255,377,199,132,33,8,5
E00045256,337,126,129,55,23,4
E00045257,354,172,143,35,2,2
E00045258,328,138,117,45,21,7
E00045259,262,108,83,42,22,7
E00045260,277,143,92,32,6,4
E00045261,229,82,84,41,19,3
E00045262,310,106,94,69,30,11
E00045263,258,118,75,44,14,7
E00045264,305,126,91,60,19,9
E00045265,323,131,110,53,23,6
E00045266,246,92,92,43,12,7
E00045267,150,56,40,33,14,7
E00045269,316,137,131,36,8,4
E00045271,189,92,53,25,17,2
E00045272,101,42,25,24,7,3
E00045273,204,125,66,11,2,0
E00045274,374,197,129,28,14,6
E00045275,295,138,109,30,16,2
E00045276,295,128,96,41,17,13
E00045277,301,148,81,43,21,8
E00045278,319,157,118,32,10,2
E00045279,205,71,92,34,5,3
E00045280,237,99,76,42,17,3
E00045281,273,122,83,42,20,6
E00045282,243,86,99,34,18,6
E00045283,333,150,102,56,21,4
E00045284,348,172,103,48,18,7
E00045285,275,113,81,52,21,8
E00045286,326,140,103,52,24,7
E00045287,320,158,103,39,15,5
E00045288,323,149,98,52,20,4
E00045289,225,86,75,39,20,5
E00045290,264,103,82,57,15,7
E00045292,308,128,88,58,28,6
E00045293,430,195,124,66,32,13
E00045294,283,90,70,84,27,12
E00045295,297,130,106,40,19,2
E00045296,328,132,131,41,16,8
E00045297,310,139,122,38,10,1
E00045298,365,178,128,43,13,3
E00045299,330,151,116,51,10,2
E00045300,305,139,104,36,18,8
E00045301,278,116,116,39,6,1
E00045302,223,100,72,30,17,4
E00045303,418,218,135,48,14,3
E00045304,267,124,86,37,15,5
E00045305,322,148,103,52,17,2
E00045306,314,136,125,38,14,1
E00045307,229,74,83,39,26,7
E00045308,315,124,109,55,22,5
E00045309,242,98,76,45,18,5
E00045310,268,111,80,50,18,9
E00045311,278,122,90,40,20,6
E00045312,311,127,130,44,7,3
E00045313,295,131,102,47,14,1
E00045315,307,128,98,57,16,8
E00045317,455,216,151,72,13,3
E00045318,278,103,100,41,27,7
E00045320,330,157,106,48,14,5
E00045321,263,133,60,43,18,9
E00045322,288,123,72,59,26,8
E00045323,225,81,68,39,30,7
E00045324,378,166,123,64,18,7
E00045325,306,125,107,41,23,10
E00045326,316,145,118,38,11,4
E00045327,270,124,102,35,8,1
E00045328,388,171,149,48,16,4
E00045329,331,148,111,48,20,4
E00045330,334,150,102,54,21,7
E00045331,335,156,114,49,10,6
E00045332,293,125,95,47,20,6
E00045333,328,135,107,53,18,15
E00045334,405,179,125,74,21,6
E00045335,287,128,84,51,17,7
E00045336,326,149,123,35,18,1
E00045337,302,131,105,47,15,4
E00045338,281,111,109,39,17,5
E00045339,405,137,115,71,74,8
E00045340,253,90,99,38,22,4
E00045341,281,132,85,37,22,5
E00045342,552,290,180,54,23,5
E00045343,283,122,105,39,15,2
E00045344,248,117,71,39,14,7
E00045345,401,180,147,51,16,7
E00045346,332,173,94,42,18,5
E00045347,284,128,90,47,13,6
E00045348,333,130,123,53,23,4
E00045349,321,143,121,47,7,3
E00045350,316,146,103,43,19,5
E00045351,396,167,123,80,17,9
E00045352,357,169,111,53,16,8
E00045353,370,158,134,53,21,4
E00045354,308,130,109,48,17,4
E00045355,319,151,99,41,23,5
E00045356,284,114,98,42,20,10
E00045357,332,179,103,30,19,1
E00045358,249,103,101,30,10,5
E00045359,371,185,109,54,19,4
E00045360,345,172,118,43,9,3
E00045361,270,112,95,50,11,2
E00045362,363,165,94,67,30,7
E00045363,320,125,111,62,20,2
E00045364,306,135,104,49,15,3
E00045365,298,114,113,55,11,5
E00045366,302,117,123,43,13,6
E00045367,192,68,60,44,18,2
E00045368,262,125,91,36,7,3
E00045369,335,136,151,30,14,4
E00045370,339,148,122,49,17,3
E00045371,303,114,112,62,12,3
E00045372,334,148,119,55,11,1
E00045373,331,129,128,52,17,5
E00045374,422,191,153,57,17,4
E00045375,369,163,124,54,22,6
E00045376,337,149,129,45,8,6
E00045377,400,202,127,51,11,9
E00045378,259,105,81,44,26,3
E00045379,340,124,128,54,28,6
E00045380,268,119,86,45,12,6
E00045381,348,141,119,61,22,5
E00045382,283,144,88,36,14,1
E00045383,365,151,128,56,21,9
E00045384,356,152,122,57,20,5
E00045385,251,82,69,50,33,17
E00045386,320,119,120,68,8,5
E00045387,344,173,107,52,11,1
E00045388,395,165,121,75,27,7
E00045389,209,39,90,53,24,3
E00045390,277,133,95,36,9,4
E00045391,339,163,104,55,13,4
E00045392,305,109,96,58,27,15
E00045393,245,88,86,48,16,7
E00045394,361,156,114,54,27,10
E00045395,300,127,111,35,21,6
E00045396,317,137,94,55,23,8
E00045397,382,179,125,57,21,0
E00045398,257,82,81,66,25,3
E00045399,357,154,109,60,24,10
E00045400,292,123,102,43,13,11
E00045401,288,130,90,47,13,8
E00045402,355,141,123,52,29,10
E00045403,299,104,109,61,19,6
E00045404,121,18,21,44,26,12
E00045405,238,86,84,49,11,8
E00045406,314,135,102,52,20,5
E00045407,282,119,97,44,18,4
E00045408,261,104,80,51,16,10
E00045409,297,150,92,33,19,3
E00045410,308,126,98,54,19,11
E00045411,287,132,82,50,17,6
E00045412,337,139,120,52,21,5
