house..oa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00045077,117,0,20,37,47,6,4,3
E00045078,153,5,31,49,43,11,8,6
E00045079,113,37,28,27,6,5,7,3
E00045080,138,12,16,41,28,10,17,14
E00045081,100,35,17,15,13,5,10,5
E00045082,135,6,28,19,28,15,28,11
E00045083,148,16,26,55,27,14,9,1
E00045084,143,9,55,28,26,10,12,3
E00045085,137,13,64,27,11,7,12,3
E00045086,151,26,22,38,42,13,6,4
E00045087,136,13,49,29,19,5,16,5
E00045088,126,14,12,45,28,8,15,4
E00045090,155,20,66,24,17,5,19,4
E00045091,141,28,54,26,16,3,10,4
E00045092,166,14,44,52,25,9,15,7
E00045093,132,11,46,21,18,7,19,10
E00045094,165,13,43,34,28,17,23,7
E00045095,125,7,34,30,17,13,17,7
E00045096,117,44,25,20,11,5,10,2
E00045097,111,8,12,31,37,6,11,6
E00045098,112,11,32,28,25,6,7,3
E00045099,109,17,25,17,21,12,13,4
E00045100,128,10,33,19,24,15,21,6
E00045101,98,9,14,23,22,11,7,12
E00045102,119,18,13,35,22,8,15,8
E00045103,122,12,14,36,26,7,18,9
E00045104,116,7,18,19,37,13,10,12
E00045105,123,6,37,21,26,15,12,6
E00045106,111,10,19,22,24,18,10,8
E00045107,122,11,22,27,29,14,9,10
E00045108,128,17,36,19,18,22,15,1
E00045109,123,7,17,16,37,21,15,10
E00045110,117,35,8,38,16,3,7,10
E00045111,109,7,18,13,32,16,11,12
E00045112,111,11,14,26,34,8,8,10
E00045113,116,7,29,13,21,26,16,4
E00045114,118,12,26,22,24,15,12,7
E00045115,109,12,9,14,26,22,10,16
E00045116,137,19,18,28,33,18,15,6
E00045117,101,12,10,18,29,13,12,7
E00045118,125,11,12,31,29,10,24,8
E00045119,146,13,26,23,40,21,16,7
E00045120,142,24,36,15,29,13,18,7
E00045121,139,19,33,21,28,19,16,3
E00045122,114,17,22,22,27,8,14,4
E00045123,124,32,45,20,11,6,9,1
E00045124,142,20,29,20,30,26,14,3
E00045125,122,15,16,24,29,15,15,8
E00045126,151,20,25,30,43,12,16,5
E00045127,109,13,10,19,25,15,18,9
E00045128,136,12,17,25,37,16,16,13
E00045129,144,12,16,18,51,18,18,11
E00045130,124,14,17,34,23,21,12,3
E00045131,147,12,36,18,33,23,16,9
E00045132,96,13,24,11,26,8,9,5
E00045133,111,10,26,26,22,10,12,5
E00045134,129,15,29,15,26,28,9,7
E00045135,140,24,30,21,22,26,13,4
E00045136,141,12,32,29,32,18,12,6
E00045137,124,11,13,35,32,15,14,4
E00045138,124,15,38,21,22,12,10,6
E00045139,118,59,38,14,0,1,6,0
E00045140,120,17,15,30,21,13,20,4
E00045141,111,12,24,36,12,12,13,2
E00045142,132,12,15,33,25,20,20,7
E00045143,125,18,10,33,25,17,14,8
E00045144,154,7,38,55,27,15,5,7
E00045145,147,9,37,35,34,13,10,9
E00045146,142,15,16,51,35,11,14,0
E00045147,136,20,41,20,20,23,7,5
E00045148,156,19,61,30,16,10,14,6
E00045149,113,20,14,41,21,9,7,1
E00045150,125,12,20,41,41,3,7,1
E00045151,142,19,34,36,22,14,12,5
E00045152,114,8,18,30,25,15,12,6
E00045153,124,18,25,30,17,8,15,11
E00045154,133,8,37,29,30,14,11,4
E00045155,139,11,18,49,38,12,9,2
E00045156,108,14,12,32,32,5,7,6
E00045157,125,11,7,48,36,8,7,8
E00045158,141,8,43,37,29,12,7,5
E00045159,134,10,34,48,29,8,4,1
E00045160,133,9,17,20,29,16,28,14
E00045161,125,7,20,22,19,29,21,7
E00045162,137,13,26,26,41,12,16,3
E00045163,127,16,25,31,30,11,11,3
E00045164,164,48,57,26,9,14,10,0
E00045165,125,9,10,29,32,19,17,9
E00045166,102,8,23,7,18,8,26,12
E00045167,132,8,28,17,31,15,20,13
E00045168,118,6,14,12,45,12,13,16
E00045169,127,14,14,10,29,25,17,18
E00045170,111,13,14,14,36,15,10,9
E00045171,143,7,22,6,33,38,18,19
E00045172,115,1,16,9,46,14,12,17
E00045173,104,4,2,14,39,7,13,25
E00045174,143,17,30,19,26,20,22,9
E00045175,167,21,31,15,40,24,18,18
E00045176,106,1,15,9,36,8,24,13
E00045177,115,12,14,5,31,25,15,13
E00045178,98,5,8,15,34,13,9,14
E00045179,157,19,28,12,41,22,21,14
E00045180,84,3,12,6,37,6,5,15
E00045181,109,11,19,16,21,20,11,11
E00045182,133,39,12,12,24,19,19,8
E00045183,134,5,13,17,49,15,16,19
E00045184,109,31,16,10,20,13,11,8
E00045186,107,14,19,10,24,15,8,17
E00045187,96,9,19,12,28,11,9,8
E00045188,141,8,92,7,12,15,5,2
E00045189,108,8,36,7,14,17,20,6
E00045190,118,6,15,19,34,13,19,12
E00045191,104,11,19,9,21,14,13,17
E00045192,146,9,62,9,21,30,9,6
E00045193,120,5,18,7,30,31,15,14
E00045194,131,10,48,10,19,29,8,7
E00045195,126,6,39,6,28,22,16,9
E00045196,74,5,18,7,8,19,10,7
E00045197,110,3,21,11,39,15,11,10
E00045198,103,45,38,4,4,10,2,0
E00045199,194,9,73,8,23,50,22,9
E00045200,120,12,20,13,30,26,14,5
E00045201,149,6,51,10,23,34,16,9
E00045202,150,22,37,14,26,28,17,6
E00045203,118,9,30,5,24,34,10,6
E00045204,185,9,52,14,39,50,13,8
E00045205,147,5,55,8,19,37,13,10
E00045206,151,9,30,15,27,32,22,16
E00045207,139,9,81,7,14,17,9,2
E00045208,162,8,43,13,22,48,20,8
E00045210,206,17,70,8,42,39,15,15
E00045212,156,13,60,10,22,29,16,6
E00045213,123,15,17,38,25,11,13,4
E00045214,108,6,39,13,19,17,10,4
E00045215,144,10,23,25,36,23,17,10
E00045216,103,12,18,17,29,15,8,4
E00045217,104,4,21,11,27,15,14,12
E00045218,136,11,32,15,29,20,20,9
E00045219,136,10,19,19,47,12,15,14
E00045220,106,9,18,11,28,17,12,11
E00045221,108,7,15,9,39,20,9,9
E00045222,61,4,31,5,5,5,9,2
E00045223,85,8,13,10,24,9,10,11
E00045224,82,9,6,12,24,7,13,11
E00045225,87,8,12,10,30,3,9,15
E00045226,99,32,18,9,17,5,11,7
E00045227,92,6,6,18,24,6,13,19
E00045228,94,8,8,21,21,4,14,18
E00045231,75,3,1,4,26,6,14,21
E00045232,97,3,10,8,29,13,10,24
E00045233,150,20,43,6,26,24,17,14
E00045234,104,6,5,13,27,11,17,25
E00045235,77,2,5,15,31,9,5,10
E00045236,160,15,34,24,23,26,25,13
E00045237,73,6,15,10,13,6,5,18
E00045238,105,18,11,22,22,8,17,7
E00045239,110,10,17,19,27,10,16,11
E00045240,77,3,28,7,10,8,10,11
E00045241,99,4,19,5,25,5,12,29
E00045242,109,9,28,11,24,19,11,7
E00045243,121,5,47,7,25,26,5,6
E00045244,107,9,21,8,32,10,15,12
E00045245,98,13,24,12,18,14,12,5
E00045246,107,8,28,8,29,11,12,11
E00045247,55,3,4,5,22,14,1,6
E00045249,118,13,25,29,22,16,9,4
E00045250,131,44,25,26,21,5,6,4
E00045251,104,8,35,16,18,18,5,4
E00045252,140,27,43,28,14,13,10,5
E00045253,128,17,19,58,22,2,7,3
E00045254,111,13,34,19,14,19,9,3
E00045255,142,9,17,65,36,6,7,2
E00045256,134,17,26,28,21,28,13,1
E00045257,139,9,18,51,37,9,12,3
E00045258,142,20,25,39,24,17,12,5
E00045259,124,25,16,33,14,22,11,3
E00045260,129,6,43,37,26,6,9,2
E00045261,138,10,68,24,8,15,12,1
E00045262,146,28,26,41,13,25,10,3
E00045263,114,21,28,15,15,15,12,8
E00045264,127,17,27,33,15,10,13,12
E00045265,130,21,20,38,29,14,6,2
E00045266,110,16,26,24,14,19,9,2
E00045267,87,31,21,13,12,1,8,1
E00045269,120,7,13,47,20,11,21,1
E00045271,80,6,17,19,16,14,5,3
E00045272,59,9,20,15,5,5,5,0
E00045273,80,1,14,21,26,8,7,3
E00045274,136,2,25,23,32,34,12,8
E00045275,125,13,17,63,19,5,5,3
E00045276,136,24,35,20,20,21,7,9
E00045277,127,14,26,23,19,22,17,6
E00045278,133,16,17,52,33,3,8,4
E00045279,103,21,21,35,11,5,9,1
E00045280,109,10,33,20,12,19,10,5
E00045281,131,20,33,32,15,19,10,2
E00045282,131,17,49,31,14,10,7,3
E00045283,144,16,34,29,22,25,11,7
E00045284,142,24,33,16,28,22,12,7
E00045285,128,28,27,26,16,18,10,3
E00045286,134,23,25,30,18,20,14,4
E00045287,110,11,13,22,24,22,10,8
E00045288,127,12,43,26,23,7,9,7
E00045289,109,32,21,12,18,18,7,1
E00045290,112,8,22,29,13,22,12,6
E00045292,136,18,43,28,20,11,10,6
E00045293,208,42,55,33,34,30,9,5
E00045294,116,26,26,33,14,11,5,1
E00045295,126,17,31,23,16,28,7,4
E00045296,135,14,17,48,33,9,11,3
E00045297,129,9,21,59,24,4,10,2
E00045298,146,17,13,55,31,10,13,7
E00045299,138,15,25,33,33,16,15,1
E00045300,127,20,15,43,28,10,10,1
E00045301,121,16,12,52,15,11,13,2
E00045302,111,11,46,14,18,18,1,3
E00045303,154,19,16,44,38,24,7,6
E00045304,117,14,17,16,22,37,8,3
E00045305,124,13,13,44,29,12,10,3
E00045306,126,7,18,57,29,5,8,2
E00045307,125,18,52,25,13,10,4,3
E00045308,135,28,20,33,18,9,20,7
E00045309,117,9,41,39,17,4,6,1
E00045310,124,16,33,23,16,12,18,6
E00045311,128,25,18,33,22,17,10,3
E00045312,126,5,20,60,18,10,10,3
E00045313,123,20,10,56,21,2,6,8
E00045315,138,17,27,26,19,33,14,2
E00045317,120,18,29,38,15,4,11,5
E00045318,121,23,27,28,15,16,7,5
E00045320,137,14,34,31,24,15,13,6
E00045321,128,11,41,20,18,25,10,3
E00045322,133,24,38,18,18,25,6,4
E00045323,114,31,25,13,15,20,7,3
E00045324,157,13,35,35,31,24,12,7
E00045325,122,5,35,19,13,31,14,5
E00045326,120,19,16,38,25,5,9,8
E00045327,97,9,11,34,18,6,12,7
E00045328,150,17,19,46,36,8,21,3
E00045329,121,9,20,23,25,19,18,7
E00045330,128,25,14,29,19,11,20,10
E00045331,132,17,19,33,31,19,12,1
E00045332,129,14,36,33,18,16,10,2
E00045333,146,26,29,42,17,15,15,2
E00045334,217,43,62,42,25,20,19,6
E00045335,116,20,21,19,21,14,16,5
E00045336,135,9,35,32,31,15,10,3
E00045337,132,12,38,24,11,28,15,4
E00045338,118,11,21,29,15,20,17,5
E00045339,110,7,13,19,14,35,16,6
E00045340,117,17,39,17,15,15,11,3
E00045341,116,12,27,28,23,12,13,1
E00045342,241,15,60,82,35,18,21,10
E00045343,121,10,23,37,26,11,13,1
