house..oa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00031574,124,19,18,34,25,15,11,2
E00031575,124,20,8,69,18,1,6,2
E00031576,126,16,5,50,42,4,6,3
E00031577,136,18,11,64,29,5,6,3
E00031578,123,5,9,47,53,1,5,3
E00031579,108,2,5,40,48,7,4,2
E00031580,141,20,15,57,30,3,13,3
E00031581,120,12,4,62,32,3,7,0
E00031582,98,5,11,44,25,2,10,1
E00031583,103,16,8,45,21,6,5,2
E00031584,126,10,11,47,48,0,9,1
E00031601,131,14,11,53,33,9,11,0
E00031602,158,4,19,46,65,13,5,6
E00031603,175,31,19,75,29,7,12,2
E00031604,139,4,15,43,65,7,3,2
E00031605,132,29,20,36,17,21,8,1
E00031606,118,3,2,70,32,4,4,3
E00031607,114,37,15,30,13,12,5,2
E00031608,140,14,40,46,22,8,7,3
E00031609,116,15,20,41,15,14,10,1
E00031610,154,47,29,36,14,11,15,2
E00031611,130,10,15,59,28,7,10,1
E00031612,121,19,35,28,13,17,6,3
E00031613,117,13,44,22,20,7,10,1
E00031614,123,27,23,40,15,11,7,0
E00031615,107,17,13,36,22,9,10,0
E00031616,153,19,16,83,24,2,7,2
E00031617,113,23,15,51,15,3,4,2
E00031698,131,2,5,52,60,2,6,4
E00031701,138,7,23,21,41,28,14,4
E00031703,126,16,8,68,22,1,11,0
E00031705,168,17,41,54,33,11,11,1
E00031709,117,16,15,41,20,14,10,1
E00031710,137,19,15,46,27,12,11,7
E00031990,120,11,14,45,31,8,9,2
E00031991,125,8,8,39,53,9,7,1
E00031992,167,12,22,64,50,5,13,1
E00031993,127,20,17,57,24,3,6,0
E00031994,137,13,10,76,22,7,8,1
E00031995,135,21,12,61,27,4,6,4
E00031996,124,12,18,39,26,16,9,4
E00031997,133,15,18,58,27,4,9,2
E00031998,136,19,14,53,40,6,4,0
E00031999,118,13,6,66,25,3,5,0
E00032000,139,13,20,46,36,17,4,3
E00032001,108,17,9,25,37,15,5,0
E00032002,144,51,29,30,14,14,5,1
E00032003,139,17,23,32,37,14,13,3
E00032004,151,4,9,44,76,10,5,3
E00032005,113,12,20,47,21,9,3,1
E00032006,186,16,37,79,36,9,7,2
E00032007,123,9,21,53,25,4,11,0
E00032008,118,9,14,54,24,3,11,3
E00032009,104,6,18,46,17,5,7,5
E00032010,107,11,6,56,26,0,6,2
E00032011,118,11,17,44,32,4,8,2
E00032012,132,15,17,67,23,5,5,0
E00032013,140,21,17,49,32,6,13,2
E00032014,125,5,14,40,48,9,5,4
E00032015,119,2,6,70,29,5,5,2
E00032016,116,20,8,51,22,7,6,2
E00032017,95,12,15,32,23,3,8,2
E00032018,115,15,26,45,19,7,3,0
E00032019,106,22,13,35,22,3,6,5
E00032020,118,6,5,66,27,4,8,2
E00032021,121,10,12,58,31,5,4,1
E00032022,127,19,20,52,24,3,7,2
E00032023,118,29,8,69,9,2,1,0
E00032024,129,30,19,59,12,3,6,0
E00032025,123,8,16,44,31,12,11,1
E00032026,115,23,10,50,23,3,6,0
E00032027,124,18,23,31,21,6,20,5
E00032028,121,11,4,51,31,11,10,3
E00032029,141,27,34,26,18,16,16,4
E00032030,72,9,16,22,11,9,5,0
E00032031,120,14,8,55,30,3,10,0
E00032032,108,17,3,58,24,2,4,0
E00032033,92,4,13,50,17,3,5,0
E00032034,120,29,14,50,13,9,5,0
E00032035,116,15,13,49,24,7,5,3
E00032036,109,9,9,60,22,4,4,1
E00032037,123,10,18,57,24,6,2,6
E00032038,110,11,12,51,27,6,2,1
E00032315,202,33,51,72,35,5,5,1
E00063395,126,27,68,19,3,2,7,0
E00063397,161,8,23,31,60,13,14,12
E00063398,164,8,17,28,63,21,15,12
E00063399,106,6,21,19,37,8,12,3
E00063400,133,13,38,18,29,16,14,5
E00063401,163,11,20,29,60,10,15,18
E00063402,163,36,55,18,27,18,9,0
E00063403,139,13,25,34,45,2,11,9
E00063404,151,6,47,15,43,22,15,3
E00063405,121,9,17,21,44,9,9,12
E00063406,118,11,24,23,27,8,12,13
E00063407,137,21,28,26,32,9,9,12
E00063408,113,17,30,20,25,2,15,4
E00063409,100,5,21,21,34,3,9,7
E00063410,108,10,13,23,36,6,7,13
E00063411,97,3,9,20,42,4,9,10
E00063412,110,4,12,24,39,13,13,5
E00063413,117,34,31,23,12,3,9,5
E00063414,111,10,17,24,40,8,10,2
E00063415,178,74,56,41,0,0,7,0
E00063416,118,39,33,22,9,5,7,3
E00063417,123,11,19,22,35,13,11,12
E00063418,105,14,20,20,25,7,12,7
E00063419,133,7,19,22,57,10,7,11
E00063420,111,11,12,15,41,11,5,16
E00063421,135,9,24,26,38,8,15,15
E00063422,137,6,10,22,52,14,16,17
E00063423,114,6,11,23,41,4,9,20
E00063425,114,31,22,13,26,6,9,7
E00063426,152,13,14,34,53,11,17,10
E00063427,120,16,19,15,41,3,11,15
E00063428,135,3,14,23,48,7,16,24
E00063429,119,6,13,22,33,2,12,31
E00063430,126,14,45,12,28,8,15,4
E00063431,138,5,24,27,44,23,6,9
E00063432,147,0,12,38,62,4,16,15
E00063433,150,9,30,25,54,12,9,11
E00063434,136,6,16,29,44,10,11,20
E00063435,156,19,15,65,39,3,7,8
E00063436,156,20,20,59,36,3,12,6
E00063437,125,11,11,46,32,4,9,12
E00063438,124,12,13,48,28,7,6,10
E00063439,129,9,11,60,34,3,9,3
E00063440,129,31,20,56,13,3,5,1
E00063441,132,20,6,53,37,5,8,3
E00063443,130,21,20,40,31,2,10,6
E00063444,128,3,8,50,49,5,5,8
E00063445,125,5,18,65,22,5,5,5
E00063446,132,15,12,55,32,7,9,2
E00063447,124,7,13,48,32,5,10,9
E00063448,116,3,7,44,41,5,10,6
E00063449,126,14,10,53,35,2,7,5
E00063450,111,18,11,45,23,4,7,3
E00063451,126,23,27,38,18,1,6,13
E00063452,154,10,20,50,35,12,16,11
E00063453,127,3,20,25,46,6,12,15
E00063454,133,18,22,33,33,4,11,12
E00063455,119,6,14,22,48,7,13,9
E00063456,107,5,54,14,13,0,10,11
E00063457,120,16,23,18,25,10,17,11
E00063458,129,9,6,24,49,11,12,18
E00063459,102,9,7,24,31,2,12,17
E00063460,144,14,27,27,36,6,12,22
E00063461,135,13,15,32,48,2,9,16
E00063462,103,19,5,22,30,5,16,6
E00063463,120,14,14,33,30,6,17,6
E00063464,127,15,27,34,29,11,7,4
E00063465,126,11,11,23,51,13,8,9
E00063466,127,7,16,22,55,6,6,15
E00063467,119,5,41,17,35,8,10,3
E00063468,116,9,19,21,53,4,4,6
E00063469,136,21,23,35,16,17,18,6
E00063470,139,13,43,30,15,26,10,2
E00063471,130,7,35,30,24,13,16,5
E00063472,152,41,26,45,24,5,11,0
E00063473,126,38,25,38,11,4,8,2
E00063474,135,18,36,41,18,13,5,4
E00063475,180,18,32,55,44,10,7,14
E00063476,106,8,23,29,11,18,15,2
E00063477,141,40,15,33,17,15,11,10
