pop..lsoa_code,pop..total_persons,pop..males,pop..females,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
E01006229,1388,686,702,41,73,73,142,119,343,355,242
E01006230,1864,923,941,102,200,130,190,228,513,376,125
E01006232,2043,975,1068,94,132,170,260,246,655,320,166
E01006233,1442,726,716,52,101,85,137,137,443,295,192
E01006237,1840,899,941,83,144,114,292,209,572,306,120
E01006238,1547,732,815,96,128,77,182,212,421,260,171
E01006254,1571,765,806,93,185,158,216,235,400,208,76
E01006259,1301,649,652,73,82,92,136,156,384,236,142
E01006312,1350,672,678,47,77,83,157,116,338,317,215
E01006313,1374,672,702,104,131,102,188,264,331,173,81
E01006314,1736,856,880,66,120,80,155,175,505,375,260
E01006315,1262,619,643,77,87,70,131,138,367,254,138
E01006316,1885,910,975,133,163,107,215,268,531,306,162
E01006317,1577,733,844,75,112,88,213,170,426,292,201
E01006318,1381,702,679,47,89,94,144,65,376,361,205
E01006319,1410,705,705,74,156,126,212,153,492,131,66
E01006320,1296,640,656,47,75,99,125,114,371,315,150
E01006321,1637,786,851,79,133,116,175,162,504,333,135
E01012571,1815,907,908,155,256,220,326,254,438,119,47
E01012572,1510,759,751,101,132,155,277,208,392,185,60
E01012573,1681,831,850,128,192,182,317,280,374,173,35
E01012574,1408,718,690,65,150,140,220,171,330,236,96
E01012575,1248,611,637,76,146,110,196,142,307,203,68
E01012576,1923,1190,733,105,209,312,431,206,376,207,77
E01012577,2004,990,1014,162,244,218,395,296,453,171,65
E01012578,1900,941,959,141,223,186,366,304,456,180,44
E01012579,1685,825,860,127,198,194,285,287,383,147,64
E01012580,2058,1065,993,152,269,202,333,312,466,264,60
E01012581,1253,565,688,100,152,98,113,165,281,236,108
E01012582,1651,826,825,105,166,165,237,201,392,250,135
E01012583,1725,832,893,129,178,135,199,235,418,271,160
E01012584,1643,841,802,84,165,168,239,158,456,236,137
E01012585,1656,832,824,124,151,163,273,200,378,224,143
E01012586,1678,910,768,110,215,176,264,315,386,170,42
E01012587,2164,1057,1107,195,302,216,323,368,443,221,96
E01012588,2168,1042,1126,180,289,251,333,356,528,150,81
E01012589,1287,622,665,96,110,74,201,198,341,179,88
E01012590,1311,631,680,104,129,84,165,210,295,222,102
E01012591,1473,734,739,55,125,114,176,151,432,276,144
E01012592,1829,877,952,87,137,98,183,211,560,397,156
E01012593,1663,822,841,102,141,123,271,224,446,266,90
E01012594,1490,707,783,103,183,144,219,168,364,195,114
E01012595,2393,1184,1209,218,215,170,459,413,520,241,157
E01012596,1902,954,948,153,185,160,338,288,493,194,91
E01012597,1722,857,865,85,147,133,240,194,539,283,101
E01012598,2942,1500,1442,167,320,313,388,363,1021,267,103
E01012599,1319,649,670,64,110,117,185,183,359,204,97
E01012600,1402,676,726,90,132,118,166,195,364,245,92
E01012601,1486,717,769,118,218,154,223,201,328,186,58
E01012602,1544,757,787,106,121,116,228,213,492,216,52
E01012603,1632,802,830,110,232,139,221,245,397,214,74
E01012604,1590,760,830,90,163,170,254,183,448,172,110
E01012605,2321,1180,1141,199,310,279,375,369,514,189,86
E01012606,1612,771,841,141,217,177,222,242,401,152,60
E01012607,1489,736,753,99,108,116,195,177,359,244,191
E01012608,2374,1153,1221,246,306,235,388,358,554,189,98
E01012609,1457,704,753,64,75,97,163,130,400,320,208
E01012610,1221,614,607,61,105,72,142,112,358,262,109
E01012611,1009,491,518,37,47,46,138,98,290,242,111
E01012612,1353,684,669,47,78,66,144,106,326,315,271
E01012613,1587,782,805,71,142,91,219,246,396,273,149
E01012614,1557,764,793,68,116,112,212,182,445,296,126
E01012615,1379,718,661,55,97,70,185,139,367,301,165
E01012616,1697,873,824,99,123,96,223,221,493,332,110
E01012617,1234,599,635,63,123,94,184,173,338,203,56
E01012618,1482,719,763,70,140,81,187,158,416,257,173
E01012619,1426,714,712,81,185,144,217,176,335,193,95
E01012620,1393,675,718,63,93,71,134,109,345,381,197
E01012621,1358,660,698,77,130,122,224,163,369,205,68
E01012622,1610,846,764,166,186,117,245,236,413,174,73
E01012623,1459,734,725,100,151,133,232,187,394,181,81
E01012624,1378,706,672,97,128,101,172,213,324,227,116
E01012625,1709,867,842,139,128,122,292,273,433,243,79
E01012628,1163,587,576,33,55,82,138,63,396,303,93
