ethn..sa_id,ethn..total_persons,ethn..ethnic_group_e_s_w_white_unit_persons,ethn..ethnic_group_e_s_w_white_gypsy_or_irish_traveller_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_indian_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_pakistani_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_bangladeshi_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_chinese_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_other_asian_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_any_other_ethnic_group_unit_persons,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
S00088961,217,201,1,4,0,0,0,0,3,7,1,202,7,3,4,1
S00088963,89,89,0,0,0,0,0,0,0,0,0,89,0,0,0,0
S00089288,151,122,0,2,10,1,0,5,4,7,0,122,7,20,2,0
S00090362,138,120,0,5,6,0,0,1,3,2,1,120,2,10,5,1
S00090387,76,71,0,2,0,1,0,1,1,0,0,71,0,3,2,0
S00090399,215,199,0,1,3,0,1,3,4,3,1,199,3,11,1,1
S00090404,190,178,0,1,2,0,0,5,0,3,1,178,3,7,1,1
S00090669,95,89,0,4,0,0,0,2,0,0,0,89,0,2,4,0
S00091307,113,112,0,0,0,0,0,0,1,0,0,112,0,1,0,0
S00091308,119,114,0,1,0,0,0,0,4,0,0,114,0,4,1,0
S00091309,95,95,0,0,0,0,0,0,0,0,0,95,0,0,0,0
S00091310,132,122,0,0,0,0,0,0,0,9,1,122,9,0,0,1
S00091311,189,188,0,1,0,0,0,0,0,0,0,188,0,0,1,0
S00091312,178,173,0,0,0,5,0,0,0,0,0,173,0,5,0,0
S00091313,167,152,0,3,5,1,0,0,0,6,0,152,6,6,3,0
S00091314,83,81,0,0,0,2,0,0,0,0,0,81,0,2,0,0
S00091315,76,75,0,0,0,0,0,0,0,0,1,75,0,0,0,1
S00091316,69,68,0,0,0,0,0,0,0,0,1,68,0,0,0,1
S00091317,123,119,2,1,0,0,0,0,0,1,0,121,1,0,1,0
S00091318,96,92,0,0,0,0,0,0,1,2,1,92,2,1,0,1
S00091319,283,264,0,5,4,0,2,0,7,0,1,264,0,13,5,1
S00091320,133,124,0,4,3,0,0,1,0,0,1,124,0,4,4,1
S00091321,126,122,0,0,4,0,0,0,0,0,0,122,0,4,0,0
S00091322,165,160,0,0,0,0,0,1,0,4,0,160,4,1,0,0
S00091323,139,139,0,0,0,0,0,0,0,0,0,139,0,0,0,0
S00091324,163,157,0,3,3,0,0,0,0,0,0,157,0,3,3,0
S00091325,156,153,0,2,0,0,0,0,0,0,1,153,0,0,2,1
S00091326,128,128,0,0,0,0,0,0,0,0,0,128,0,0,0,0
S00091327,162,162,0,0,0,0,0,0,0,0,0,162,0,0,0,0
S00091328,107,107,0,0,0,0,0,0,0,0,0,107,0,0,0,0
S00091329,148,148,0,0,0,0,0,0,0,0,0,148,0,0,0,0
S00091330,130,128,1,1,0,0,0,0,0,0,0,129,0,0,1,0
S00091331,130,128,0,1,1,0,0,0,0,0,0,128,0,1,1,0
S00091332,87,87,0,0,0,0,0,0,0,0,0,87,0,0,0,0
S00091333,79,76,0,1,0,0,0,0,1,1,0,76,1,1,1,0
S00091334,108,107,0,0,0,0,0,0,0,1,0,107,1,0,0,0
S00091335,132,132,0,0,0,0,0,0,0,0,0,132,0,0,0,0
S00091336,133,130,0,0,0,0,0,0,2,0,1,130,0,2,0,1
S00091337,88,88,0,0,0,0,0,0,0,0,0,88,0,0,0,0
S00091338,60,60,0,0,0,0,0,0,0,0,0,60,0,0,0,0
S00091339,67,67,0,0,0,0,0,0,0,0,0,67,0,0,0,0
S00091340,89,89,0,0,0,0,0,0,0,0,0,89,0,0,0,0
S00091341,190,189,0,0,0,0,0,0,0,1,0,189,1,0,0,0
S00091342,116,116,0,0,0,0,0,0,0,0,0,116,0,0,0,0
S00091343,176,172,0,1,0,0,0,0,0,0,3,172,0,0,1,3
S00091344,85,85,0,0,0,0,0,0,0,0,0,85,0,0,0,0
S00091345,163,162,0,0,0,0,0,0,0,1,0,162,1,0,0,0
S00091346,106,106,0,0,0,0,0,0,0,0,0,106,0,0,0,0
S00091347,129,127,0,2,0,0,0,0,0,0,0,127,0,0,2,0
S00091348,136,136,0,0,0,0,0,0,0,0,0,136,0,0,0,0
S00091349,125,124,0,0,0,0,0,0,1,0,0,124,0,1,0,0
S00091350,135,131,0,1,0,0,0,0,1,2,0,131,2,1,1,0
S00091351,169,169,0,0,0,0,0,0,0,0,0,169,0,0,0,0
S00091352,105,104,0,1,0,0,0,0,0,0,0,104,0,0,1,0
S00091353,95,95,0,0,0,0,0,0,0,0,0,95,0,0,0,0
S00091354,104,100,0,2,0,0,0,0,1,1,0,100,1,1,2,0
S00091355,153,149,0,2,0,0,0,0,1,0,1,149,0,1,2,1
S00091356,141,141,0,0,0,0,0,0,0,0,0,141,0,0,0,0
S00091357,92,92,0,0,0,0,0,0,0,0,0,92,0,0,0,0
S00091358,155,147,0,4,4,0,0,0,0,0,0,147,0,4,4,0
S00091359,119,119,0,0,0,0,0,0,0,0,0,119,0,0,0,0
S00091360,76,76,0,0,0,0,0,0,0,0,0,76,0,0,0,0
S00091361,129,128,0,0,0,0,0,0,1,0,0,128,0,1,0,0
S00091362,120,118,0,0,0,0,0,1,1,0,0,118,0,2,0,0
S00091363,91,91,0,0,0,0,0,0,0,0,0,91,0,0,0,0
S00091364,104,104,0,0,0,0,0,0,0,0,0,104,0,0,0,0
S00091365,191,191,0,0,0,0,0,0,0,0,0,191,0,0,0,0
S00091366,166,164,0,0,1,0,0,0,0,1,0,164,1,1,0,0
S00091367,87,83,0,1,0,0,0,1,0,2,0,83,2,1,1,0
S00091368,162,161,0,0,0,0,0,0,0,1,0,161,1,0,0,0
S00091369,200,198,0,1,0,0,0,0,0,1,0,198,1,0,1,0
S00091370,165,159,0,2,0,0,0,0,4,0,0,159,0,4,2,0
S00091371,183,181,0,0,0,0,0,0,0,1,1,181,1,0,0,1
S00091372,115,107,0,0,0,7,0,0,0,0,1,107,0,7,0,1
S00091373,148,148,0,0,0,0,0,0,0,0,0,148,0,0,0,0
