house..sa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
S00088961,22,2,1,11,3,0,2,3
S00088963,33,2,3,11,13,0,0,4
S00089288,48,7,10,12,7,5,0,7
S00090362,24,2,4,10,2,0,2,4
S00090387,29,4,4,7,8,2,2,2
S00090399,63,9,6,23,19,1,1,4
S00090404,72,9,8,29,15,1,2,8
S00090669,36,2,4,14,14,1,0,1
S00091307,40,3,4,12,14,1,0,6
S00091308,44,2,3,20,14,3,0,2
S00091309,46,8,7,21,6,0,1,3
S00091310,51,3,3,21,22,1,1,0
S00091311,67,6,4,31,20,1,0,5
S00091312,61,1,10,8,25,13,3,1
S00091313,59,0,4,23,26,2,1,3
S00091314,32,0,10,6,10,4,2,0
S00091315,28,2,4,11,10,1,0,0
S00091316,27,3,2,15,6,0,0,1
S00091317,51,3,10,18,13,1,0,6
S00091318,37,2,5,17,12,0,1,0
S00091319,76,3,7,23,37,1,0,5
S00091320,48,1,6,21,18,1,1,0
S00091321,48,4,4,19,16,1,0,4
S00091322,54,3,3,22,20,0,2,4
S00091323,59,4,8,23,21,1,0,2
S00091324,62,7,3,30,19,0,1,2
S00091325,56,0,4,18,32,0,0,2
S00091326,48,1,3,28,11,1,1,3
S00091327,68,4,15,28,18,1,0,2
S00091328,44,7,1,18,12,3,0,3
S00091329,65,13,8,30,9,2,1,2
S00091330,54,7,5,24,13,2,0,3
S00091331,55,1,8,30,11,0,1,4
S00091332,32,4,2,9,10,1,1,5
S00091333,36,3,6,20,5,1,0,1
S00091334,46,4,6,24,7,2,0,3
S00091335,57,13,4,22,14,2,1,1
S00091336,64,10,9,28,11,2,0,4
S00091337,47,22,4,8,8,2,1,2
S00091338,22,2,2,7,7,0,1,3
S00091339,30,2,9,10,7,2,0,0
S00091340,36,1,6,19,8,1,0,1
S00091341,69,2,1,40,23,3,0,0
S00091342,46,3,2,25,9,1,0,6
S00091343,73,3,10,34,21,2,1,2
S00091344,34,2,3,18,8,1,1,1
S00091345,62,2,4,30,21,1,0,4
S00091346,44,8,4,16,14,1,0,1
S00091347,54,8,9,15,13,6,1,2
S00091348,49,4,2,20,20,2,0,1
S00091349,54,4,10,24,14,2,0,0
S00091350,54,1,10,20,21,1,0,1
S00091351,61,3,10,23,17,2,1,5
S00091352,40,2,5,18,9,0,1,5
S00091353,42,4,5,18,8,1,1,5
S00091354,31,1,2,16,9,1,1,1
S00091355,55,4,8,17,20,1,1,4
S00091356,52,3,2,26,18,1,0,2
S00091357,33,0,1,18,8,1,1,4
S00091358,58,5,4,26,17,2,2,2
S00091359,37,1,4,12,16,2,0,2
S00091360,28,1,3,9,11,2,0,2
S00091361,50,3,5,25,15,0,0,2
S00091362,50,3,5,32,9,1,0,0
S00091363,39,2,5,23,9,0,0,0
S00091364,41,3,9,14,10,0,3,2
S00091365,75,5,7,33,23,5,0,2
S00091366,61,1,7,29,17,2,1,4
S00091367,38,1,8,20,3,2,0,4
S00091368,65,2,10,26,20,3,0,4
S00091369,72,2,6,35,23,2,1,3
S00091370,48,0,3,12,29,1,2,1
S00091371,74,3,17,27,18,2,3,4
S00091372,38,2,3,9,23,0,1,0
S00091373,53,2,5,18,22,3,0,3
S00091374,41,2,5,18,13,1,0,2
S00091375,39,1,4,18,13,0,0,3
S00091377,46,2,12,18,11,1,0,2
S00091378,42,4,3,18,15,0,1,1
S00091379,56,3,3,17,29,1,1,2
S00091380,39,5,3,18,11,1,0,1
S00091381,57,3,8,24,19,1,1,1
S00091383,57,7,5,29,8,4,1,3
S00091384,40,5,3,17,13,0,1,1
