pop..dz_code,pop..total_persons,pop..males,pop..females,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
S01006521,802,410,392,25,88,88,68,94,271,130,38
S01006800,875,444,431,31,55,85,99,71,252,216,66
S01006801,1185,577,608,70,103,84,92,159,336,189,152
S01006802,754,372,382,50,63,46,75,96,205,156,63
S01006803,665,324,341,39,58,37,61,78,182,141,69
S01006804,773,402,371,52,74,66,70,122,200,128,61
S01006805,1094,515,579,78,97,82,130,158,338,153,58
S01006806,1043,532,511,58,76,69,99,116,322,216,87
S01006807,622,304,318,38,71,53,54,68,203,102,33
S01006808,732,350,382,38,65,73,75,76,225,141,39
S01006809,823,407,416,44,67,73,79,90,215,185,70
S01006810,838,422,416,37,71,65,85,75,268,179,58
S01006811,1061,512,549,47,121,100,85,102,384,148,74
S01006812,886,466,420,52,98,69,97,108,279,153,30
S01006813,845,438,407,46,90,60,109,101,284,122,33
S01006814,717,345,372,34,64,70,61,86,224,130,48
S01006815,588,289,299,31,43,38,64,75,170,117,50
S01006816,738,329,409,41,65,60,55,89,199,149,80
S01006817,781,388,393,33,81,75,77,110,250,119,36
S01006818,757,392,365,30,71,66,50,89,264,141,46
S01006819,980,486,494,45,81,103,100,110,343,158,40
S01006820,402,200,202,22,32,21,38,44,126,69,50
S01006821,1645,782,863,169,214,93,146,370,461,137,55
S01006822,1080,554,526,73,92,91,112,134,354,186,38
S01006823,686,330,356,15,23,53,90,52,189,156,108
S01006824,780,381,399,35,77,70,101,122,216,109,50
S01006825,738,348,390,35,64,51,66,103,175,166,78
S01006826,897,446,451,36,68,56,86,75,264,168,144
S01006827,814,363,451,26,53,65,101,93,244,149,83
S01006828,795,398,397,24,40,33,102,105,249,155,87
S01006829,429,219,210,34,58,43,46,55,146,40,7
S01006830,755,352,403,22,32,43,85,74,217,147,135
S01006831,511,269,242,21,23,29,53,50,143,137,55
S01006832,960,449,511,40,60,66,103,85,260,232,114
S01006833,483,243,240,19,31,36,35,45,148,86,83
S01006834,481,242,239,24,42,55,74,60,176,44,6
S01006835,758,373,385,27,36,28,101,114,178,151,123
S01006836,516,264,252,29,48,59,54,61,193,53,19
S01006837,540,282,258,27,36,44,63,57,155,101,57
S01006838,585,274,311,29,52,52,59,57,198,108,30
S01006839,947,483,464,43,72,47,107,114,260,213,91
S01006840,1086,535,551,52,109,114,119,91,355,163,83
S01006841,845,431,414,47,56,74,112,99,278,129,50
S01006842,720,363,357,17,51,52,79,67,226,152,76
S01006843,761,367,394,46,55,45,99,92,234,142,48
S01006844,590,310,280,21,32,18,70,81,166,150,52
S01006845,895,453,442,26,67,48,140,110,298,163,43
S01006846,506,248,258,21,32,29,73,72,136,101,42
S01006847,736,373,363,25,59,50,95,90,216,113,88
S01006848,1657,852,805,121,173,126,211,228,531,204,63
S01006849,2051,1061,990,214,365,174,188,458,542,86,24
S01006850,885,410,475,58,99,62,111,151,222,146,36
S01006851,746,370,376,23,65,48,120,65,236,134,55
S01006852,572,278,294,39,51,23,60,65,141,133,60
