rel..sa_id,rel..total_persons,rel..christian_church_of_scotland,rel..christian_roman_catholic,rel..christian_other_christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
S00088961,217,38,14,54,0,0,0,1,0,2,60,48
S00088963,89,27,4,7,0,0,0,0,0,0,42,9
S00089288,151,41,15,12,1,5,0,5,0,0,59,13
S00090362,138,5,17,22,0,0,1,0,1,0,40,52
S00090387,76,8,11,9,0,0,0,0,0,0,43,5
S00090399,215,65,22,27,2,2,0,1,0,1,71,24
S00090404,190,50,18,10,0,2,0,1,0,1,94,14
S00090669,95,23,7,16,0,0,6,0,0,0,33,10
S00091307,113,42,2,6,1,0,0,1,0,0,57,4
S00091308,119,29,7,15,4,0,0,0,0,0,57,7
S00091309,95,31,6,4,0,0,0,0,0,0,40,14
S00091310,132,32,12,10,0,0,0,0,0,0,72,6
S00091311,189,71,16,7,0,0,0,0,0,0,85,10
S00091312,178,38,10,5,0,0,0,5,0,0,114,6
S00091313,167,39,18,15,0,0,0,1,0,0,89,5
S00091314,83,10,8,0,0,0,4,2,0,0,56,3
S00091315,76,23,6,18,0,0,0,0,0,0,23,6
S00091316,69,22,8,3,0,0,0,0,0,0,30,6
S00091317,123,40,12,13,0,0,1,0,0,2,45,10
S00091318,96,33,0,8,0,0,0,0,0,0,50,5
S00091319,283,81,15,52,0,4,0,4,0,0,75,52
S00091320,133,27,12,16,0,3,0,0,0,0,62,13
S00091321,126,31,15,5,0,4,0,0,0,0,65,6
S00091322,165,51,13,18,0,0,0,0,0,0,63,20
S00091323,139,41,3,13,0,0,0,0,0,2,77,3
S00091324,163,74,10,5,0,3,0,0,0,0,54,17
S00091325,156,28,14,13,0,0,0,2,0,2,89,8
S00091326,128,50,8,9,0,0,0,0,0,0,44,17
S00091327,162,60,4,8,1,0,0,0,0,0,87,2
S00091328,107,40,3,6,0,0,0,0,0,0,54,4
S00091329,148,88,6,10,0,0,1,0,0,1,35,7
S00091330,130,44,19,5,0,0,0,0,0,0,47,15
S00091331,130,50,11,6,0,0,0,0,0,0,52,11
S00091332,87,29,0,4,0,0,0,0,0,1,46,7
S00091333,79,31,0,10,2,0,0,0,0,0,26,10
S00091334,108,48,2,12,0,0,0,0,0,0,43,3
S00091335,132,62,8,2,0,0,0,0,0,0,49,11
S00091336,133,59,4,14,0,0,0,0,0,0,47,9
S00091337,88,40,2,5,0,0,0,0,0,0,32,9
S00091338,60,18,7,4,0,0,0,0,0,0,23,8
S00091339,67,21,4,4,0,0,0,0,0,0,32,6
S00091340,89,34,1,11,0,0,0,0,0,0,43,0
S00091341,190,76,11,25,0,0,0,0,0,1,53,24
S00091342,116,44,9,7,0,0,0,0,0,1,46,9
S00091343,176,61,11,13,1,0,0,0,0,0,72,18
S00091344,85,35,0,4,0,0,0,0,0,0,33,13
S00091345,163,67,3,13,0,0,0,0,0,1,67,12
S00091346,106,46,3,11,0,0,0,0,0,1,40,5
S00091347,129,44,0,8,0,0,0,0,0,0,76,1
S00091348,136,43,3,13,0,0,0,0,0,1,70,6
S00091349,125,59,12,8,0,0,0,0,0,0,43,3
S00091350,135,47,5,5,0,0,0,0,0,0,57,21
S00091351,169,52,13,16,4,0,0,0,0,0,76,8
S00091352,105,54,0,2,0,0,0,0,0,0,42,7
S00091353,95,34,10,2,0,0,0,0,0,0,37,12
S00091354,104,44,2,6,1,0,0,0,0,0,40,11
S00091355,153,67,5,6,0,0,0,1,0,2,62,10
S00091356,141,47,3,14,0,0,0,0,0,0,63,14
S00091357,92,21,5,12,0,0,0,0,0,0,37,17
S00091358,155,72,10,11,0,0,0,0,4,0,47,11
S00091359,119,35,11,10,0,0,0,0,0,0,53,10
S00091360,76,33,2,3,0,0,0,0,0,0,38,0
S00091361,129,41,9,8,0,0,0,0,0,0,64,7
S00091362,120,39,7,10,1,0,0,0,0,1,52,10
S00091363,91,41,3,7,0,0,0,0,0,0,35,5
S00091364,104,28,7,7,0,0,0,0,0,1,55,6
S00091365,191,65,13,13,1,0,0,0,0,0,92,7
S00091366,166,41,8,15,0,0,0,0,0,0,94,8
S00091367,87,34,0,10,0,0,0,0,0,0,34,9
S00091368,162,40,8,31,0,0,0,0,0,0,73,10
S00091369,200,82,11,23,0,0,0,0,0,0,69,15
S00091370,165,46,13,7,1,4,0,0,0,0,91,3
S00091371,183,91,10,1,0,0,1,0,0,1,63,16
S00091372,115,33,6,8,0,0,0,7,0,0,59,2
S00091373,148,54,6,14,0,0,0,0,0,0,65,9
S00091374,105,35,8,13,0,0,0,1,0,0,41,7
S00091375,107,51,7,2,0,0,0,0,0,2,42,3
S00091377,108,25,5,9,0,0,0,0,0,1,55,13
S00091378,118,46,2,8,0,0,0,0,0,1,45,16
S00091379,179,75,11,28,0,0,2,5,1,0,51,6
S00091380,96,33,3,8,0,0,0,0,0,0,39,13
S00091381,161,54,11,28,0,0,0,0,0,0,59,9
S00091383,137,39,3,30,1,0,0,0,0,0,59,5
S00091384,107,45,3,7,0,0,0,2,0,0,43,7
