pop..soa_code,pop..total_persons,pop..males,pop..females,pop..x0_15_years,pop..x16_39_years,pop..x40_64_years,pop..x65_years
95AA01S1,1028,620,408,275,605,141,7
95AA01S2,2123,1064,1059,526,555,726,316
95AA01S3,1624,805,819,332,481,563,248
95AA02W1,1759,895,863,240,474,637,408
95AA03W1,1846,901,944,395,547,578,326
95AA04W1,3373,1742,1631,707,926,1234,506
95AA05W1,2728,1351,1378,616,734,859,519
95AA06S1,1909,921,988,423,581,638,267
95AA06S2,2559,1225,1333,571,800,881,307
95AA07W1,2155,1081,1075,406,551,765,433
95AA08W1,1811,886,924,377,605,552,277
95AA09W1,2352,1124,1229,491,673,730,458
95AA10W1,1870,897,974,370,536,565,399
95AA11S1,2836,1367,1469,547,820,966,503
95AA11S2,2939,1495,1444,713,909,1037,280
95AA12W1,2758,1356,1402,486,666,1088,518
95AA13S1,1901,931,970,403,579,640,279
95AA13S2,1543,745,798,302,481,516,244
95AA14W1,2485,1255,1230,527,635,835,488
95AA15S1,3081,1487,1594,759,1038,944,340
95AA15S2,1886,913,974,540,653,481,212
95AA16W1,1822,887,935,379,587,562,294
95AA17W1,2019,1006,1013,457,588,639,335
95AA18W1,2613,1269,1343,444,570,838,761
95AA19W1,2757,1381,1377,645,859,881,372
95DD01W1,2048,997,1051,288,437,699,624
95DD02S1,1373,700,672,222,375,458,318
95DD02S2,2721,1336,1385,591,903,855,372
95DD03W1,3746,1741,2005,766,1116,1187,677
95DD04W1,2006,930,1076,453,594,639,320
95DD05W1,1724,811,912,400,551,534,239
95DD06W1,2672,1222,1450,399,629,772,872
95DD07S1,1575,791,783,259,395,495,426
95DD07S2,1986,929,1057,401,531,650,404
95DD08W1,2637,1426,1211,484,900,867,386
95DD09W1,2583,1308,1276,520,575,978,510
95DD10W1,2858,1398,1460,495,830,919,614
95DD11W1,2487,1232,1255,645,858,678,306
95DD12W1,2616,1343,1274,524,705,891,496
95DD13W1,2091,1041,1049,476,652,568,395
95DD14S1,1652,780,872,331,483,571,267
95DD14S2,1660,831,830,279,410,641,330
95DD15W1,3651,1841,1810,883,1013,1228,527
95DD16W1,3107,1577,1530,596,810,1112,589
95DD17W1,3687,1825,1862,888,1027,1186,586
95DD18W1,2176,1094,1081,344,677,672,483
95DD19S1,1972,957,1015,448,631,592,301
95DD19S2,1514,785,729,268,398,529,319
95DD20W1,1814,908,906,352,576,586,300
95DD21W1,2316,1152,1163,479,670,748,419
95DD22S1,1690,856,834,337,515,553,285
95DD22S2,1670,827,844,407,446,528,289
95DD23W1,2692,1363,1328,548,700,942,502
95DD24W1,2693,1334,1359,553,826,839,475
95EE01W1,1980,1009,971,440,620,647,273
95EE02W1,2106,1052,1054,442,582,754,328
95EE03W1,2174,1056,1119,424,629,732,389
95EE04W1,1938,943,994,383,568,659,328
95EE05W1,1575,783,792,300,373,611,291
95EE06W1,2415,1199,1218,559,785,768,303
95EE07W1,1830,871,959,389,499,601,341
95EE08W1,1889,904,984,249,480,622,538
95EE09W1,1877,968,908,372,537,655,313
95EE10W1,1883,957,926,431,573,577,302
95EE11W1,1711,886,826,353,447,604,307
95EE12W1,2493,1169,1325,571,779,811,332
95EE13W1,1558,743,815,251,383,513,411
95EE14W1,3036,1498,1539,693,928,980,435
95EE15W1,1821,924,896,410,492,612,307
95EE16W1,2212,1100,1112,476,660,747,329
95GG01S1,1609,731,878,242,412,519,436
95GG01S2,1369,634,735,221,358,433,357
95GG01S3,1566,722,843,305,441,497,323
95GG02S1,1677,788,889,432,562,445,238
95GG02S2,1919,861,1057,532,651,491,245
95GG02S3,2304,1070,1234,620,768,616,300
95GG05S2,2030,1056,974,334,900,640,156
95GG06S1,2010,955,1055,485,663,555,307
95GG06S3,2010,959,1050,424,638,710,238
95GG07S1,1839,840,999,446,624,526,243
95GG07S2,1939,911,1028,472,727,534,206
95GG07S3,1651,795,855,340,554,536,221
95GG08S1,1362,668,695,257,357,481,267
95GG08S2,1873,922,951,429,603,609,232
95GG08S3,1928,963,965,438,662,579,249
95GG10S1,2023,1102,921,376,875,558,214
95GG10S2,2480,1273,1207,498,1147,626,209
95GG12S1,1376,732,643,117,1007,193,59
95GG12S2,2433,1226,1207,153,1996,221,63
95GG12S3,2587,1226,1361,165,2085,251,86
95GG12S4,1904,1018,886,106,1513,240,45
95GG12S5,2504,1304,1200,520,1170,629,185
95GG13S1,1354,673,682,251,432,469,202
95GG13S2,1698,781,917,346,489,550,313
95GG13S3,1611,745,867,281,449,539,342
95GG14S1,1610,782,827,327,434,540,309
95GG14S2,1599,779,821,297,413,572,317
95GG14S3,1621,768,851,322,456,565,278
95GG16S1,2163,1107,1056,447,749,706,261
95GG16S2,1855,952,903,352,545,660,298
95GG16S3,1462,735,726,310,441,490,221
95GG17S1,2235,1042,1193,600,792,627,216
95GG17S2,1487,720,768,293,397,476,321
95GG17S3,1763,854,909,456,583,524,200
95GG18S1,2680,1248,1431,689,927,762,302
95GG18S2,2538,1228,1309,547,945,771,275
95GG19S1,2003,951,1053,360,547,609,487
95GG19S2,2835,1299,1536,744,977,767,347
95GG20S1,3441,1835,1606,528,1579,980,354
95GG20S2,2261,1067,1193,595,717,675,274
95GG21S1,1441,692,749,339,460,416,226
95GG21S2,1719,792,927,473,558,467,221
95GG21S3,2098,1066,1031,419,835,609,235
95GG22S1,1682,802,879,302,489,542,349
95GG22S2,1836,848,988,330,487,546,473
95GG22S3,1683,795,888,355,451,561,316
95GG23S1,1374,678,697,271,322,432,349
95GG23S2,1541,718,824,250,396,496,399
95GG23S3,1583,790,792,303,452,485,343
95GG24S1,1279,563,716,190,304,417,368
95GG24S2,1539,767,771,279,464,511,285
95GG24S3,1599,747,851,283,434,532,350
95GG25S1,2465,1180,1284,539,818,702,406
95GG25S2,1699,833,866,355,545,552,247
95GG25S3,1436,669,766,329,489,461,157
95GG26S1,1986,901,1085,478,634,537,337
95GG26S2,1859,872,988,392,541,548,378
95GG27S1,1611,781,830,401,485,548,177
95GG27S2,1730,842,887,469,558,493,210
95GG27S3,1643,895,748,338,508,528,269
95GG27S4,1624,774,850,395,501,435,293
95GG28S1,2267,1103,1164,465,714,755,333
95GG28S2,1634,779,854,301,483,552,298
95GG28S3,1727,758,968,418,563,514,232
95GG31S1,2271,1095,1176,454,713,758,346
95GG31S2,1911,895,1016,380,591,557,383
95GG31S3,1998,902,1096,432,647,590,329
95GG32S1,3812,1773,2040,1059,1350,1065,338
95GG32S2,1577,779,799,327,468,499,283
95GG32S3,1593,761,832,286,505,512,290
95GG33S1,1993,954,1040,356,519,663,455
95GG33S2,1599,790,810,288,406,565,340
95GG33S3,1868,929,938,315,582,633,338
95GG34S1,1481,702,779,317,417,518,229
95GG34S2,1454,708,745,203,398,503,350
95GG34S3,1901,930,972,316,635,636,314
95GG35S1,2032,973,1059,387,664,599,382
95GG35S2,1393,757,636,244,399,521,229
95GG35S3,1324,649,674,351,446,358,169
95GG39S1,2795,1273,1522,426,1537,575,257
95GG39S2,2888,1556,1332,446,1237,848,357
95GG39S3,2067,1050,1018,341,940,521,265
95GG40S1,2023,916,1107,567,667,516,273
95GG40S2,2300,1149,1152,474,711,652,463
95GG42S1,1883,917,966,363,508,628,384
95GG42S2,1687,849,837,111,1318,144,114
95GG42S3,2474,1233,1241,231,1655,390,198
95GG42S4,2312,1191,1120,416,845,681,370
95GG45S1,1656,796,860,283,354,533,486
95GG45S2,1600,759,840,359,512,496,233
95GG45S3,1701,822,878,346,520,522,313
95GG46S1,1653,768,885,367,523,541,222
95GG46S2,1726,787,938,428,521,475,302
95GG46S3,1581,770,812,378,525,463,215
95GG47S1,2735,1417,1317,693,985,772,285
95GG47S2,1748,886,862,392,590,511,255
95GG47S3,2102,1072,1031,539,718,624,221
95GG48S1,1518,691,828,363,523,430,202
95GG48S2,2454,1134,1321,668,815,676,295
95GG48S3,1651,759,892,434,527,483,207
95GG49S1,1665,810,854,180,808,436,241
95GG49S2,2087,1130,957,158,1537,270,122
95GG49S3,2014,1005,1008,232,1479,224,79
95GG49S4,1964,996,968,159,1413,265,127
95GG51S1,1287,605,682,271,431,371,214
95GG51S2,1402,711,691,268,435,456,243
95GG51S3,1454,665,790,264,419,429,342
95HH01W1,2014,983,1031,338,425,709,542
95HH02S1,1258,620,638,223,333,438,264
95HH02S2,1653,843,809,326,460,651,216
95HH03W1,1675,801,874,225,341,541,568
95HH04S1,1539,736,804,208,411,625,295
95HH04S2,1227,610,617,157,265,484,321
95HH05W1,2041,977,1065,478,652,655,256
95HH06S1,2308,1122,1186,457,683,924,244
95HH06S2,2577,1267,1309,546,744,966,321
95HH07W1,1607,812,795,316,502,538,251
95HH08W1,3015,1435,1580,523,937,999,556
95HH09W1,2778,1365,1413,444,704,976,654
95HH10W1,2786,1341,1444,551,723,1033,479
95HH11W1,1559,701,859,299,419,416,425
95HH12W1,1542,749,793,296,422,473,351
95HH13W1,1454,701,754,387,511,404,152
95HH14W1,1495,686,809,262,428,451,354
95HH15W1,2434,1130,1303,384,672,910,468
95HH16W1,2046,1011,1034,328,470,731,517
95HH17W1,2349,1201,1147,388,621,896,444
95JJ02W1,2380,1173,1207,392,570,842,576
95JJ03S1,1450,696,754,422,429,408,191
95JJ03S2,1130,557,573,294,340,372,124
95JJ05W1,2564,1147,1417,272,1232,609,451
95JJ07W1,2926,1346,1580,717,939,843,427
95JJ08S1,1417,694,722,201,302,513,401
95JJ08S2,1881,893,988,325,675,581,300
