rel..sa_id,rel..total_persons,rel..religion_catholic,rel..religion_presbyterian_church_in_ireland,rel..religion_church_of_ireland,rel..religion_methodist_church_in_ireland,rel..religion_other_christian_including_christian_related,rel..religion_other_religions,rel..religion_no_religion,rel..religion_religion_not_stated
N00000001,1113,141,72,53,12,321,23,482,9
N00000002,351,219,36,33,4,7,3,23,26
N00000003,237,109,38,25,18,26,0,15,6
N00000004,616,296,92,103,21,20,0,63,21
N00000005,374,171,85,30,4,15,0,50,19
N00000006,251,144,39,28,3,8,4,19,6
N00000007,245,55,69,52,5,10,0,38,16
N00000008,288,76,70,32,5,22,2,60,21
N00000009,727,121,296,68,8,70,11,111,42
N00000010,242,24,124,17,2,28,0,26,21
N00000011,293,78,84,60,1,15,3,25,27
N00000012,264,76,78,58,2,6,2,24,18
N00000013,268,78,59,57,4,11,0,36,23
N00000014,460,158,109,73,9,9,1,66,35
N00000015,226,69,70,45,2,4,0,24,12
N00000016,223,45,61,55,2,14,0,29,17
N00000017,340,33,123,69,9,28,3,57,18
N00000018,229,24,80,48,8,16,2,32,19
N00000019,261,4,86,90,3,10,8,40,20
N00000020,236,9,96,50,11,8,0,44,18
N00000021,269,32,101,49,2,8,0,58,19
N00000022,269,29,103,42,11,23,1,38,22
N00000023,218,4,95,30,6,17,1,46,19
N00000024,533,55,241,76,23,46,0,75,17
N00000025,460,59,239,43,11,31,3,53,21
N00000026,466,82,197,69,4,32,1,50,31
N00000027,540,284,114,38,9,13,4,47,31
N00000028,236,163,23,20,0,6,1,19,4
N00000029,403,39,233,28,5,32,7,56,3
N00000030,375,69,151,43,12,33,3,43,21
N00000031,707,612,34,6,1,8,0,14,32
N00000032,386,214,75,32,1,16,0,34,14
N00000033,498,276,134,20,0,17,3,34,14
N00000034,474,158,146,40,2,38,5,41,44
N00000035,291,128,62,19,4,21,2,21,34
N00000036,345,191,31,40,0,10,0,34,39
N00000037,285,213,21,16,0,3,1,19,12
N00000038,406,291,21,32,2,4,0,23,33
N00000039,1262,985,41,74,1,23,2,49,87
N00000040,265,182,25,17,0,5,0,18,18
N00000041,462,411,10,8,1,3,0,11,18
N00000042,410,312,27,29,0,11,0,20,11
N00000043,1245,909,69,60,8,18,5,58,118
N00000044,312,208,26,26,1,2,1,24,24
N00000045,515,57,280,57,6,69,7,26,13
N00000046,394,29,228,29,0,50,4,40,14
N00000047,374,47,160,63,0,29,3,42,30
N00000048,304,46,122,76,1,14,0,37,8
N00000049,254,52,92,43,3,19,0,24,21
N00000050,299,52,160,32,0,20,2,20,13
N00000051,313,229,7,6,2,15,4,37,13
N00000052,309,172,32,17,2,3,1,35,47
N00000053,261,134,38,9,2,11,4,36,27
N00000054,266,38,82,54,0,6,4,60,22
N00000055,266,48,83,63,5,20,0,32,15
N00000056,283,59,111,43,1,11,0,47,11
N00000057,279,41,59,61,2,13,1,60,42
N00000058,266,49,79,69,12,6,3,35,13
N00000059,226,37,74,25,1,10,1,47,31
N00000060,394,81,113,90,4,14,6,37,49
N00000061,273,46,106,43,2,11,7,32,26
N00000062,351,72,108,47,19,30,4,54,17
N00000063,431,61,130,75,7,34,4,81,39
N00000064,279,145,30,21,2,18,0,40,23
N00000065,389,112,132,45,15,24,9,40,12
N00000066,264,100,75,23,11,5,6,30,14
N00000067,316,131,44,25,9,21,0,65,21
N00000068,371,76,114,62,10,17,7,68,17
N00000069,334,148,42,48,7,10,1,49,29
N00000070,243,96,73,29,5,16,0,12,12
N00000071,283,115,59,35,6,4,1,41,22
N00000072,1753,476,412,298,50,103,18,318,78
N00000073,521,145,131,63,9,20,10,84,59
N00000074,1047,401,214,132,22,35,10,131,102
N00000075,410,153,61,48,5,49,3,75,16
N00000076,344,141,78,34,5,19,3,48,16
N00000077,275,143,46,30,7,17,0,22,10
N00000078,488,205,117,48,5,15,8,70,20
N00000079,564,39,296,61,0,64,4,62,38
N00000080,424,26,211,46,9,58,4,57,13
N00000081,339,10,183,65,7,13,5,42,14
N00000082,342,22,190,43,3,41,1,26,16
N00000083,650,29,337,85,5,69,6,88,31
N00000084,456,7,274,57,7,37,0,57,17
N00000085,437,236,87,24,4,14,1,39,32
N00000086,395,295,7,14,0,2,0,20,57
N00000087,913,585,119,52,12,32,6,70,37
N00000088,216,31,88,42,2,21,0,17,15
N00000089,478,376,26,8,0,13,1,27,27
N00000090,392,308,12,18,0,6,1,28,19
N00000091,476,308,61,20,3,14,0,29,41
N00000092,504,56,274,52,9,23,6,50,34
N00000093,421,198,119,20,1,36,0,26,21
N00000094,492,193,165,25,5,54,3,31,16
N00000095,468,305,69,20,5,18,0,26,25
N00000096,464,64,209,52,7,52,4,45,31
N00000097,850,280,198,124,15,37,9,142,45
N00000098,1192,404,269,125,14,102,40,184,54
N00000099,258,119,48,18,8,11,0,46,8
N00000100,341,195,36,26,1,8,3,51,21
N00000101,282,119,30,22,9,12,7,60,23
N00000102,318,107,71,39,8,11,13,47,22
N00000103,623,194,96,77,11,31,13,121,80
N00000104,322,168,38,27,3,17,10,45,14
N00000105,327,59,102,72,7,15,2,43,27
N00000106,198,12,75,48,2,16,5,23,17
N00000107,269,40,112,42,3,14,2,42,14
N00000108,243,43,91,41,3,38,1,20,6
N00000109,512,98,151,119,11,25,2,71,35
N00000110,258,39,77,44,8,12,2,57,19
N00000111,356,120,66,52,9,17,13,55,24
N00000112,402,98,71,67,8,21,3,94,40
N00000113,309,113,71,35,10,11,2,56,11
N00000114,318,124,58,39,11,10,0,59,17
N00000115,302,121,42,40,3,12,5,45,34
N00000116,287,79,56,49,2,10,2,54,35
N00000117,168,39,43,19,2,18,0,32,15
N00000118,333,31,140,47,7,12,11,62,23
N00000119,289,15,119,58,10,19,3,41,24
N00000120,323,39,151,38,8,15,1,42,29
N00000121,293,26,142,25,6,18,7,42,27
N00000122,481,78,189,55,14,33,10,73,29
N00000123,351,44,152,58,10,32,2,36,17
N00000124,369,50,150,65,6,29,0,52,17
N00000125,464,357,37,11,0,15,2,14,28
N00000126,481,457,1,8,2,1,0,3,9
N00000127,405,327,34,6,0,14,1,12,11
N00000128,991,885,21,11,1,5,0,22,46
N00000129,346,309,1,1,0,1,0,5,29
N00000477,721,99,346,101,16,65,4,59,31
N00000478,294,82,79,41,1,39,3,18,31
N00000479,280,20,128,52,10,22,5,35,8
N00000480,335,20,181,38,16,22,1,41,16
N00000481,469,81,238,35,16,34,6,35,24
N00000482,225,9,130,38,3,25,1,11,8
N00000483,285,8,174,29,12,35,7,11,9
N00000484,330,4,171,65,1,24,1,35,29
N00000485,241,1,122,47,1,25,3,28,14
N00000486,372,14,211,47,5,41,1,33,20
N00000487,290,3,161,39,3,57,6,15,6
N00000488,409,23,202,77,6,57,0,32,12
N00000489,282,11,139,36,11,45,3,28,9
N00000490,515,35,231,76,16,72,3,54,28
N00000491,525,34,267,87,4,72,0,42,19
N00000492,414,37,199,41,8,51,2,48,28
N00000493,331,61,126,54,5,38,1,16,30
N00000494,825,160,290,103,9,80,8,111,64
N00000495,336,49,141,49,11,44,5,23,14
N00000496,837,87,341,85,9,135,11,132,37
N00000497,837,88,343,90,15,104,10,132,55
N00000498,337,56,122,42,10,24,5,48,30
N00000499,296,20,129,41,2,39,1,36,28
