health..sa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health,health..not_stated
A047001001,199,113,61,19,2,2,2
A047001002,385,178,137,52,6,0,12
A047001003,107,37,40,27,3,0,0
A047003001,139,73,41,14,5,1,5
A047004002/047004006,75,40,25,7,1,0,2
A047004003,100,50,36,13,1,0,0
A047004004,138,92,37,1,0,2,6
A047004005,288,184,69,31,3,0,1
A047005001,157,82,55,13,0,1,6
A047006001,123,66,48,8,0,0,1
A047006002,154,95,44,13,0,1,1
A047007001,140,88,37,12,2,1,0
A047007002,245,144,81,17,1,1,1
A047007003,244,160,65,13,0,1,5
A047007004,234,151,64,11,0,0,8
A047009001,387,261,109,12,2,1,2
A047009002,424,288,111,22,1,0,2
A047010001,359,241,80,28,3,1,6
A047010002,208,117,61,18,4,0,8
A047011001,230,140,74,15,0,0,1
A047011002,239,149,69,18,0,0,3
A047011003,345,228,88,17,5,0,7
A047011004,322,218,73,27,2,0,2
A047012001,216,138,69,4,2,0,3
A047012002,187,136,40,7,1,1,2
A047013001,169,124,36,6,0,1,2
A047014001,175,93,65,11,2,1,3
A047015001,166,113,33,17,2,0,1
A047015002,263,175,57,15,3,0,13
A047016001,363,238,97,21,3,0,4
A047016002,357,227,87,32,2,0,9
A047016003,241,169,53,11,1,0,7
A047016004,290,190,82,12,3,0,3
A047016005,341,259,59,7,3,1,12
A047016006,458,306,126,14,1,1,10
A047016007,312,241,57,7,1,0,6
A047016008,231,167,53,6,0,0,5
A047016009,399,200,97,37,7,1,57
A047016010,429,292,94,22,4,1,16
A047016011,244,148,64,19,3,2,8
A047016012,382,284,72,14,6,1,5
A047016013,341,278,57,4,1,0,1
A047016014,229,156,61,6,0,1,5
A047016015,237,166,64,6,0,0,1
A047016016,180,109,55,11,2,1,2
A047016017,358,238,90,20,6,0,4
A047016018,340,249,72,14,2,0,3
A047016019,244,155,66,18,1,0,4
A047016020,366,268,82,11,2,0,3
A047016021,246,144,80,14,3,1,4
A047016022,198,122,58,16,2,0,0
A047016023,243,143,65,26,2,3,4
A047016024,330,204,98,20,3,1,4
A047016025,205,109,62,22,3,0,9
A047016026,227,139,60,21,3,1,3
A047016027,220,119,83,13,2,1,2
A047016028,300,184,75,29,4,0,8
A047016029,284,162,89,27,2,2,2
A047016030,255,134,91,21,4,1,4
A047016031,273,125,100,27,3,3,15
A047016032,294,176,90,20,4,1,3
A047016033,255,194,55,4,1,1,0
A047016034,282,174,64,28,3,3,10
A047016035,313,200,93,15,1,1,3
A047016036,317,189,99,19,2,1,7
A047016037,289,173,82,28,4,0,2
A047016038,226,126,67,24,4,1,4
A047016039,218,121,67,19,4,0,7
A047016040,222,166,45,7,0,0,4
A047016041,211,152,38,6,3,0,12
A047016042,239,170,53,8,2,0,6
A047016043,386,264,87,24,2,1,8
A047016044,214,111,77,19,0,0,7
A047016045,250,150,62,25,6,1,6
A047016046,234,137,68,19,3,3,4
A047016047,295,195,75,18,3,1,3
A047016048,254,162,70,8,2,2,10
A047016049,260,194,59,3,1,0,3
A047016050,392,208,110,35,6,0,33
A047016051,365,274,63,15,3,0,10
A047016052,192,126,47,10,1,1,7
A047016053,171,120,42,4,1,0,4
A047016054,284,194,64,14,2,1,9
A047016055,238,160,56,12,2,1,7
A047016056,263,204,52,5,1,0,1
A047016057,329,233,72,13,5,0,6
A047016058,365,280,67,11,3,0,4
A047016059,309,172,91,32,6,2,6
A047016060,193,97,71,16,7,0,2
A047016061,311,187,100,21,3,0,0
A047016062,206,123,62,14,2,2,3
A047016063,170,99,51,9,2,2,7
A047016064,173,115,48,5,4,0,1
A047016065,181,122,48,6,1,0,4
A047016066,149,70,54,11,3,0,11
A047017001,385,198,110,47,7,2,21
A047017002,557,421,95,29,3,2,7
A047017003,421,263,111,31,3,2,11
A047018001,336,123,112,71,2,0,28
A047018002,205,122,63,14,1,0,5
A047018003,239,145,64,23,2,4,1
A047019001,244,171,53,17,0,0,3
A047019002,286,192,73,10,1,0,10
A047019003,184,106,52,12,3,0,11
A047021001,230,110,61,40,10,3,6
A047021002,148,100,34,12,0,0,2
A047022001,172,114,43,8,0,1,6
A047022002,308,208,77,16,0,0,7
A047022003,151,96,35,15,4,0,1
A047023001,116,56,43,13,1,0,3
A047023002,236,133,71,24,2,1,5
A047023003,217,134,58,20,4,0,1
A047023004,247,153,75,9,3,0,7
A047023005,178,113,51,11,0,0,3
A047023006,226,146,61,13,1,1,4
A047023007,227,131,61,23,0,1,11
A047023008,177,103,61,11,0,0,2
A047024001,191,109,66,10,0,0,6
A047024002,167,98,45,17,2,0,5
A047024003,246,159,69,14,1,0,3
A047024004/047024007,280,175,85,11,1,1,7
A047024005,147,94,41,10,0,1,1
A047024006,118,68,40,9,0,0,1
A047025001,98,42,41,11,1,0,3
A047026001,221,140,61,18,0,0,2
A047027001,169,84,59,17,5,2,2
A047027002,93,42,37,11,1,0,2
