house..sa_id,house..total_households,house..one_person_household,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
A047001001,75,23,8,16,3,23,2
A047001002,120,63,21,12,15,7,2
A047001003,65,40,7,2,10,4,2
A047003001,50,15,9,18,1,4,3
A047004002/047004006,38,17,7,11,2,1,0
A047004003,43,18,7,12,2,3,1
A047004004,48,17,9,20,1,0,1
A047004005,105,23,27,40,7,3,5
A047005001,69,28,17,19,4,1,0
A047006001,51,17,12,13,3,2,4
A047006002,57,14,16,19,3,2,3
A047007001,57,19,8,19,8,1,2
A047007002,81,12,15,40,6,4,4
A047007003,80,12,14,39,10,1,4
A047007004,76,14,15,42,2,2,1
A047009001,123,10,35,63,7,2,6
A047009002,131,14,31,68,6,5,7
A047010001,114,20,25,57,7,0,5
A047010002,75,15,22,25,10,2,1
A047011001,87,21,18,33,12,3,0
A047011002,82,17,12,36,10,2,5
A047011003,123,30,27,46,9,4,7
A047011004,105,24,18,46,6,2,9
A047012001,78,15,20,29,7,5,2
A047012002,72,22,17,24,4,1,4
A047013001,63,16,12,28,2,4,1
A047014001,53,9,12,24,7,1,0
A047015001,62,16,14,25,5,0,2
A047015002,90,21,23,40,2,3,1
A047016001,128,30,22,53,15,4,4
A047016002,122,34,22,51,8,1,6
A047016003,77,17,13,36,3,5,3
A047016004,95,16,20,41,5,7,6
A047016005,117,23,17,57,9,8,3
A047016006,140,13,26,73,10,7,11
A047016007,95,11,11,54,11,5,3
A047016008,80,16,11,33,6,12,2
A047016009,129,42,24,37,13,6,7
A047016010,143,27,26,60,14,7,9
A047016011,92,16,19,32,13,5,7
A047016012,123,21,13,71,7,7,4
A047016013,89,4,14,61,6,2,2
A047016014,83,22,14,33,4,6,4
A047016015,84,16,11,33,4,13,7
A047016016,72,16,23,25,4,4,0
A047016017,117,15,22,57,11,7,5
A047016018,114,10,30,58,8,6,2
A047016019,94,27,15,36,6,7,3
A047016020,115,12,24,66,5,5,3
A047016021,90,19,15,34,12,5,5
A047016022,72,15,20,30,5,0,2
A047016023,88,15,18,34,12,8,1
A047016024,115,21,19,45,16,7,7
A047016025,75,12,26,23,8,2,4
A047016026,80,11,22,34,8,4,1
A047016027,88,20,28,25,9,2,4
A047016028,105,21,18,37,17,5,7
A047016029,104,15,30,40,9,4,6
A047016030,99,24,23,34,6,6,6
A047016031,99,22,17,41,9,3,7
A047016032,110,25,24,38,13,1,9
A047016033,74,11,10,38,4,6,5
A047016034,83,12,19,37,4,5,6
A047016035,114,23,27,46,11,4,3
A047016036,103,12,23,50,9,3,6
A047016037,103,17,32,44,3,4,3
A047016038,80,14,7,26,22,6,5
A047016039,70,11,8,22,16,5,8
A047016040,73,12,9,39,4,7,2
A047016041,79,18,15,30,3,10,3
A047016042,90,17,21,32,12,7,1
A047016043,140,29,21,60,12,11,7
A047016044,84,20,25,27,4,4,4
A047016045,93,19,19,36,8,5,6
A047016046,90,17,19,37,15,0,2
A047016047,109,23,23,36,13,7,7
A047016048,94,16,17,38,11,10,2
A047016049,81,12,11,41,9,3,5
A047016050,124,29,11,50,23,6,5
A047016051,129,20,25,63,4,14,3
A047016052,73,17,13,26,7,7,3
A047016053,63,15,11,24,5,6,2
A047016054,92,15,16,48,7,4,2
A047016055,73,11,7,33,18,1,3
A047016056,76,5,14,49,3,1,4
A047016057,100,11,15,53,10,6,5
A047016058,111,10,24,63,5,4,5
A047016059,98,13,27,45,7,2,4
A047016060,77,18,23,22,7,2,5
A047016061,112,18,26,48,10,2,8
A047016062,81,24,13,27,10,5,2
A047016063,74,17,20,23,4,9,1
A047016064,69,16,18,19,5,8,3
A047016065,68,8,19,28,6,6,1
A047016066,67,23,13,13,8,8,2
A047017001,139,33,18,30,29,16,13
A047017002,153,10,33,90,5,2,13
A047017003,145,16,13,62,45,5,4
A047018001,76,13,13,27,11,9,3
A047018002,70,8,19,28,8,4,3
A047018003,77,15,15,36,6,0,5
A047019001,73,12,12,38,3,4,4
A047019002,91,21,18,41,2,4,5
A047019003,74,27,11,20,8,4,4
A047021001,67,16,21,27,1,0,2
A047021002,53,9,13,23,4,2,2
A047022001,60,13,8,31,3,3,2
A047022002,108,25,17,50,9,3,4
A047022003,66,25,16,14,4,4,3
A047023001,55,25,12,11,5,1,1
A047023002,78,13,24,35,3,1,2
A047023003,80,18,14,36,8,3,1
A047023004,80,11,20,41,5,1,2
A047023005,63,26,14,12,6,1,4
A047023006,87,21,21,35,4,4,2
A047023007,86,19,22,31,9,3,2
A047023008,63,17,10,26,3,3,4
A047024001,70,28,15,20,5,1,1
A047024002,76,23,24,18,7,1,3
A047024003,80,12,15,37,10,4,2
A047024004/047024007,80,19,10,37,5,6,3
A047024005,65,21,15,22,5,1,1
A047024006,42,8,13,16,2,3,0
A047025001,40,11,8,13,3,4,1
A047026001,91,25,26,28,7,2,3
A047027001,86,38,18,15,13,1,1
A047027002,50,24,10,8,6,2,0
A047027003,132,28,28,60,9,4,3
A047027004,121,28,20,62,9,2,0
A047027005,88,14,27,35,5,3,4
A047028001,104,14,24,45,10,8,3
A047028002,100,12,23,49,7,5,4
A047028003,136,20,12,83,13,3,5
A047028004,133,18,27,59,14,7,8
A047028005,89,21,27,31,5,4,1
A047028006,90,16,20,41,9,4,0
A047030001,85,14,13,46,3,6,3
A047030002,98,13,14,60,4,2,5
A047030003,120,20,27,60,9,1,3
A047030004,99,28,19,39,7,1,5
A047031001,77,19,18,27,5,3,5
A047031002,72,18,8,36,8,0,2
A047032001,79,26,10,33,7,2,1
A047032002,79,21,12,35,7,0,4
A047032003,69,17,14,33,2,1,2
A047032004,69,13,23,27,2,1,3
A047033001,111,18,18,58,10,3,4
A047033002,87,14,16,44,5,3,5
A047033003,78,11,12,40,10,2,3
A047033004,117,21,22,60,7,5,2
A047033005,74,11,20,35,4,1,3
A047033006,85,11,22,38,9,3,2
