rel..sa_id,rel..total_persons,rel..religion_catholic,rel..religion_other_religions,rel..religion_no_religion,rel..religion_religion_not_stated
A047001001,199,132,48,19,0
A047001002,385,244,63,61,17
A047001003,107,85,17,4,1
A047003001,139,111,11,16,1
A047004002/047004006,75,58,8,8,1
A047004003,100,80,14,6,0
A047004004,138,128,4,3,3
A047004005,288,206,58,24,0
A047005001,157,97,16,40,4
A047006001,123,88,15,18,2
A047006002,154,120,8,26,0
A047007001,140,122,4,14,0
A047007002,245,193,21,30,1
A047007003,244,215,5,22,2
A047007004,234,209,10,11,4
A047009001,387,351,10,25,1
A047009002,424,390,10,24,0
A047010001,359,304,16,38,1
A047010002,208,152,6,45,5
A047011001,230,209,10,10,1
A047011002,239,227,8,3,1
A047011003,345,284,23,36,2
A047011004,322,292,8,22,0
A047012001,216,170,16,26,4
A047012002,187,150,8,28,1
A047013001,169,129,9,30,1
A047014001,175,148,7,19,1
A047015001,166,155,2,9,0
A047015002,263,240,6,10,7
A047016001,363,301,38,22,2
A047016002,357,306,12,35,4
A047016003,241,204,9,15,13
A047016004,290,220,47,21,2
A047016005,341,274,14,42,11
A047016006,458,359,39,54,6
A047016007,312,258,27,25,2
A047016008,231,166,24,34,7
A047016009,399,270,36,40,53
A047016010,429,353,25,43,8
A047016011,244,196,19,28,1
A047016012,382,342,14,25,1
A047016013,341,307,4,29,1
A047016014,229,182,22,24,1
A047016015,237,178,28,30,1
A047016016,180,153,2,21,4
A047016017,358,315,7,30,6
A047016018,340,304,16,20,0
A047016019,244,203,17,24,0
A047016020,366,325,16,25,0
A047016021,246,202,13,31,0
A047016022,198,168,15,15,0
A047016023,243,205,17,20,1
A047016024,330,257,16,56,1
A047016025,205,164,4,29,8
A047016026,227,179,18,29,1
A047016027,220,187,14,19,0
A047016028,300,238,29,24,9
A047016029,284,255,14,15,0
A047016030,255,210,15,28,2
A047016031,273,204,30,25,14
A047016032,294,232,20,41,1
A047016033,255,233,6,16,0
A047016034,282,235,21,20,6
A047016035,313,268,12,31,2
A047016036,317,260,24,26,7
A047016037,289,241,24,22,2
A047016038,226,177,29,16,4
A047016039,218,177,21,17,3
A047016040,222,163,17,37,5
A047016041,211,146,22,32,11
A047016042,239,178,33,21,7
A047016043,386,273,59,54,0
A047016044,214,176,12,22,4
A047016045,250,196,27,22,5
A047016046,234,195,12,25,2
A047016047,295,247,14,33,1
A047016048,254,187,20,40,7
A047016049,260,218,11,30,1
A047016050,392,228,103,32,29
A047016051,365,265,46,46,8
A047016052,192,152,11,24,5
A047016053,171,98,47,26,0
A047016054,284,260,5,9,10
A047016055,238,177,48,10,3
A047016056,263,229,12,21,1
A047016057,329,291,15,18,5
A047016058,365,301,21,41,2
A047016059,309,256,16,34,3
A047016060,193,167,9,16,1
A047016061,311,259,20,30,2
A047016062,206,158,23,21,4
A047016063,170,132,17,14,7
A047016064,173,133,8,31,1
A047016065,181,155,12,14,0
A047016066,149,116,6,21,6
A047017001,385,307,24,30,24
A047017002,557,520,9,28,0
A047017003,421,315,60,40,6
A047018001,336,251,39,28,18
A047018002,205,161,23,15,6
A047018003,239,188,20,30,1
A047019001,244,202,17,23,2
A047019002,286,257,5,16,8
A047019003,184,146,11,17,10
