ethn..geo_code,ethn..total_persons,ethn..ethnic_group_white,ethn..ethnic_group_chinese,ethn..ethnic_group_irish_traveller,ethn..ethnic_group_indian,ethn..ethnic_group_pakistani,ethn..ethnic_group_bangladeshi,ethn..ethnic_group_other_asian,ethn..ethnic_group_black_caribbean,ethn..ethnic_group_black_african,ethn..ethnic_group_black_other,ethn..ethnic_group_mixed,ethn..ethnic_group_other,ethn..white_or_white_british_or_white_irish,ethn..black_or_black_british_or_black_irish,ethn..asian_or_asian_british_or_asian_irish,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
N00000130,498,489,2,0,0,0,0,0,1,1,0,4,1,489,2,2,4,1
N00000131,388,382,0,0,0,0,0,0,0,0,6,0,0,382,6,0,0,0
N00000132,366,364,0,0,1,0,1,0,0,0,0,0,0,364,0,2,0,0
N00000133,322,320,0,0,0,0,0,1,0,0,1,0,0,320,1,1,0,0
N00000134,437,436,0,0,0,0,0,0,0,0,0,0,1,436,0,0,0,1
N00000135,312,310,0,0,0,0,0,0,0,0,0,2,0,310,0,0,2,0
N00000136,507,498,3,0,0,0,0,0,0,0,0,6,0,498,0,3,6,0
N00000137,315,314,0,0,0,0,0,0,0,0,0,1,0,314,0,0,1,0
N00000138,464,463,0,0,0,0,0,1,0,0,0,0,0,463,0,1,0,0
N00000139,301,296,0,0,0,0,4,0,0,0,0,1,0,296,0,4,1,0
N00000140,333,333,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0
N00000141,443,436,0,1,0,0,6,0,0,0,0,0,0,437,0,6,0,0
N00000142,205,205,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0
N00000143,215,213,0,0,0,0,0,0,0,2,0,0,0,213,2,0,0,0
N00000144,228,227,1,0,0,0,0,0,0,0,0,0,0,227,0,1,0,0
N00000145,124,124,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0
N00000146,271,271,0,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0
N00000147,227,223,0,0,0,0,4,0,0,0,0,0,0,223,0,4,0,0
N00000148,676,673,0,0,1,0,0,0,0,1,0,1,0,673,1,1,1,0
