house..sa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
N00000130,152,1,10,39,78,14,6,4
N00000131,136,6,16,58,35,5,13,3
N00000132,121,19,5,45,32,5,10,5
N00000133,139,25,23,46,20,5,17,3
N00000134,177,19,32,58,46,11,8,3
N00000135,119,15,16,39,23,14,12,0
N00000136,188,6,25,73,58,9,13,4
N00000137,120,11,19,41,39,4,5,1
N00000138,155,5,17,55,63,11,1,3
N00000139,133,13,26,61,16,4,12,1
N00000140,158,16,37,58,19,7,20,1
N00000141,220,58,39,50,27,18,20,8
N00000142,96,14,13,26,11,15,17,0
N00000143,123,27,42,19,12,12,11,0
N00000144,110,12,29,26,16,10,15,2
N00000145,75,39,9,8,7,4,8,0
N00000146,105,11,12,42,21,2,15,2
N00000147,106,12,29,20,17,13,14,1
N00000148,279,28,49,70,66,36,25,5
N00000149,187,37,21,53,48,10,16,2
N00000150,149,25,13,62,36,5,5,3
N00000151,131,22,20,47,19,8,12,3
N00000152,131,22,26,39,20,10,14,0
N00000153,111,22,15,32,23,5,12,2
N00000154,108,16,18,31,24,6,10,3
N00000155,128,18,9,47,30,6,15,3
N00000156,127,14,13,58,28,6,7,1
N00000157,139,15,13,65,30,5,7,4
N00000158,286,32,29,132,53,24,10,6
N00000159,116,22,23,40,10,6,13,2
N00000160,124,16,22,47,18,7,7,7
N00000161,128,4,7,73,33,4,6,1
N00000162,115,15,22,50,12,4,10,2
N00000163,155,23,38,38,20,15,18,3
N00000164,118,16,6,62,23,1,9,1
N00000165,135,19,18,55,28,6,7,2
N00000166,122,19,11,63,17,6,5,1
N00000167,149,19,14,68,30,6,7,5
N00000168,145,23,12,66,30,5,9,0
N00000169,279,37,25,122,61,7,20,7
N00000170,139,5,17,56,37,15,8,1
N00000171,146,12,11,65,43,2,9,4
N00000172,307,29,38,130,67,11,24,8
N00000173,144,21,12,67,26,5,11,2
N00000174,163,22,25,49,32,18,10,7
N00000175,140,8,20,57,42,7,6,0
N00000176,205,23,34,69,28,25,23,3
N00000177,167,30,39,49,19,13,16,1
N00000178,355,92,73,75,33,40,33,9
N00000179,492,102,155,111,32,41,44,7
N00000180,131,18,28,34,15,13,20,3
N00000181,168,31,55,52,4,9,17,0
N00000182,105,17,12,34,23,7,11,1
N00000183,146,10,55,35,24,14,6,2
N00000184,184,49,50,37,19,15,14,0
N00000185,121,46,17,42,8,1,7,0
N00000186,137,23,18,35,18,31,10,2
N00000187,126,18,28,32,11,22,13,2
N00000188,128,13,14,37,31,18,14,1
N00000189,125,11,8,47,42,6,9,2
N00000190,119,9,6,70,25,4,4,1
N00000191,124,14,13,61,24,2,8,2
N00000192,120,7,18,47,27,7,12,2
N00000193,111,17,16,22,30,14,10,2
N00000194,119,20,20,39,21,7,11,1
N00000195,123,33,22,32,12,6,17,1
N00000196,116,28,18,33,11,13,10,3
N00000197,115,4,9,46,36,8,9,3
N00000198,110,8,17,48,29,4,3,1
N00000199,130,6,14,57,37,3,7,6
N00000200,124,7,15,47,39,8,5,3
N00000201,143,26,26,57,23,3,7,1
N00000202,132,12,15,73,20,5,5,2
N00000203,134,19,7,48,24,6,25,5
N00000204,152,17,19,57,35,13,10,1
N00000205,118,16,11,42,35,6,8,0
N00000206,212,23,76,68,19,9,13,4
N00000207,119,8,30,46,18,5,10,2
N00000208,121,10,9,58,31,4,6,3
N00000209,122,10,6,53,44,4,5,0
N00000210,219,56,64,54,18,17,7,3
N00000211,269,63,55,92,27,13,16,3
N00000212,85,15,31,18,12,3,5,1
N00000213,150,30,39,48,14,8,11,0
N00000214,151,19,29,54,21,16,9,3
