pop..soa_code,pop..total_persons,pop..males,pop..females,pop..x0_15_years,pop..x16_39_years,pop..x40_64_years,pop..x65_years
95BB01S1,1810,889,921,365,553,623,269
95BB01S2,1985,972,1013,370,561,744,310
95BB02W1,2577,1246,1332,472,761,790,554
95BB03S1,2040,989,1051,385,555,669,431
95BB03S2,2377,1215,1162,432,501,836,608
95BB04S1,1434,716,718,210,322,475,427
95BB04S2,1907,902,1004,340,413,627,527
95BB05S1,1489,743,746,239,348,558,344
95BB05S2,1981,988,992,365,527,661,428
95BB06W1,2940,1456,1484,453,944,905,638
95BB07S1,1799,811,988,317,534,520,428
95BB07S2,1374,675,699,204,371,482,317
95BB08S1,1404,655,751,296,407,402,299
95BB08S2,1213,588,625,236,323,429,225
95BB09S1,1336,636,700,188,297,422,429
95BB09S2,1750,855,896,276,505,619,350
95BB10S1,1628,798,831,215,337,568,508
95BB10S2,1968,963,1005,281,453,697,537
95BB11S1,1415,670,745,309,336,495,275
95BB11S2,1551,721,829,220,304,482,545
95BB12S1,1663,752,911,415,547,448,253
95BB12S2,1454,702,752,275,340,512,327
95BB13S1,1332,628,704,250,372,513,197
95BB13S2,1410,664,745,253,378,445,334
95BB13S3,1405,697,709,254,399,532,220
95BB14S1,1617,814,803,272,389,586,370
95BB14S2,1561,773,788,247,353,563,398
95BB15S1,2065,1028,1037,433,494,754,384
95BB15S2,1461,731,730,277,410,506,268
95BB16S1,1578,807,770,254,374,549,401
95BB16S2,1862,929,933,353,402,711,396
95BB17S1,1704,808,895,359,479,596,270
95BB17S2,1969,976,993,391,580,645,353
95BB18S1,1865,914,951,410,532,585,338
95BB18S2,2642,1252,1391,520,621,961,540
95BB19S1,1955,957,998,356,560,628,411
95BB19S2,1915,970,945,407,541,736,231
95BB19S3,1300,661,639,261,380,486,173
95BB20S1,1866,934,932,314,500,669,383
95BB20S2,1424,738,686,251,372,478,323
95BB21S1,2404,1210,1193,529,604,785,486
95BB21S2,2513,1206,1306,495,652,884,482
95BB22S1,1629,806,823,385,493,556,195
95BB22S2,1529,684,844,323,427,482,297
95BB23S1,1720,824,896,251,429,565,475
95BB23S2,1364,668,696,194,339,492,339
95FF01S1,2282,1105,1177,475,648,774,385
95FF01S2,3193,1560,1632,718,1031,1025,419
95FF02W1,3035,1570,1465,719,903,996,417
95FF03W1,3211,1605,1606,771,1063,978,399
95FF04W1,2863,1455,1408,643,738,1028,454
95FF05W1,2717,1295,1422,588,776,881,472
95FF06S1,1964,933,1031,344,584,660,376
95FF06S2,2273,1139,1134,521,703,826,223
95FF07W1,2747,1329,1418,626,789,958,374
95FF08W1,2339,1115,1224,389,635,794,521
95FF09W1,2646,1316,1332,572,787,872,415
95FF10W1,3760,1924,1835,865,1111,1265,519
95FF11W1,2853,1465,1389,725,717,955,456
95FF12W1,2751,1352,1400,573,779,917,482
95FF13W1,3009,1492,1518,674,850,1029,456
95FF14W1,2545,1313,1232,454,584,982,525
95FF15W1,2773,1346,1426,594,820,803,556
95FF16W1,2390,1203,1188,421,595,838,536
95FF17W1,1747,854,893,326,498,557,366
95GG03S1,1954,926,1027,352,513,663,426
95GG03S2,1775,883,892,336,454,674,311
95GG03S3,2108,1005,1103,356,665,719,368
95GG04S1,1660,800,860,365,584,482,229
95GG04S2,1570,716,854,439,524,411,196
95GG04S3,1816,956,860,346,697,548,225
95GG05S1,1833,920,913,308,681,616,228
95GG05S2,2030,1056,974,334,900,640,156
95GG05S3,2200,1218,982,357,1060,605,178
95GG09S1,2137,1038,1099,383,524,775,455
95GG09S2,1813,877,936,253,503,637,420
95GG09S3,2198,1051,1147,466,679,738,315
95GG11S1,1907,936,972,350,774,546,237
95GG11S2,1650,840,810,302,499,579,270
95GG11S3,1816,937,879,270,780,553,213
95GG15S1,1939,899,1040,358,389,679,513
95GG15S2,2038,955,1084,341,569,725,403
95GG15S3,1948,917,1032,320,573,645,410
95GG23S1,1374,678,697,271,322,432,349
95GG29S1,2646,1266,1380,555,1043,751,297
95GG29S2,2856,1428,1427,540,1201,821,294
95GG30S1,1578,768,809,316,482,506,274
95GG30S2,1673,778,895,306,407,613,347
95GG30S3,1394,683,711,226,370,482,316
95GG36S1,1857,927,930,324,650,650,233
95GG36S2,1974,989,985,368,540,725,341
95GG36S3,1894,922,972,344,519,687,344
95GG37S1,2165,1044,1121,404,605,737,419
95GG37S2,1847,903,944,322,616,626,283
95GG37S3,2475,1252,1222,398,1122,699,256
95GG38S1,3314,1672,1644,514,1226,1083,491
95GG38S2,1920,939,981,324,686,579,331
95GG38S3,1585,756,829,302,421,565,297
95GG41S1,1958,963,996,341,371,679,567
95GG41S2,1601,797,804,352,325,565,359
95GG41S3,2071,1010,1061,404,535,667,465
95GG43S1,1583,778,806,268,540,452,323
95GG43S2,1737,850,886,300,565,548,324
95GG43S3,1715,828,887,284,638,530,263
95GG44S1,3179,1635,1545,645,1359,884,291
95GG44S2,3117,1591,1526,671,1268,857,321
95GG45S1,1656,796,860,283,354,533,486
95GG50S1,1657,836,821,336,675,511,135
95GG50S2,2200,1113,1086,417,861,670,252
95GG50S3,1880,959,920,386,804,485,205
95II01S1,1731,858,872,315,464,594,358
95II01S2,1548,772,777,183,348,581,436
95II02S1,1690,888,802,291,458,645,296
95II02S2,1674,849,824,319,453,648,254
95II02S3,1535,777,759,211,444,560,320
95II03S1,2232,1127,1105,502,751,825,154
95II03S2,1764,843,922,323,518,584,339
95II04S1,4176,2011,2167,935,1493,1324,424
95II04S2,2179,1031,1149,464,719,679,317
95II05S1,1607,807,800,272,474,544,317
95II05S2,2104,1000,1104,481,588,620,415
95II06S1,1541,736,805,318,423,541,259
95II06S2,1866,918,947,410,540,616,300
95II07W1,2184,1038,1147,447,704,656,377
95II08W1,2438,1197,1242,448,766,850,374
95II09S1,2066,1007,1059,310,615,750,391
95II09S2,1374,661,712,240,417,510,207
95II10W1,2550,1231,1319,514,764,818,454
