rel..sa_id,rel..total_persons,rel..religion_catholic,rel..religion_presbyterian_church_in_ireland,rel..religion_church_of_ireland,rel..religion_methodist_church_in_ireland,rel..religion_other_christian_including_christian_related,rel..religion_other_religions,rel..religion_no_religion,rel..religion_religion_not_stated
N00000130,498,14,207,76,23,70,4,79,25
N00000131,388,13,197,38,12,60,4,52,12
N00000132,366,114,150,12,11,19,3,38,19
N00000133,322,83,125,32,2,17,3,21,39
N00000134,437,26,194,41,7,47,4,96,22
N00000135,312,42,135,33,0,21,1,45,35
N00000136,507,26,223,82,22,51,3,85,15
N00000137,315,19,166,42,13,25,0,45,5
N00000138,464,11,210,85,24,52,3,62,17
N00000139,301,26,105,57,11,26,6,45,25
N00000140,333,32,118,59,12,21,1,60,30
N00000141,443,31,185,62,33,41,10,52,29
N00000142,205,17,51,45,15,13,0,38,26
N00000143,215,17,77,39,14,7,4,33,24
N00000144,228,10,87,38,10,19,0,58,6
N00000145,124,10,40,24,4,11,3,16,16
N00000146,271,26,115,40,9,24,1,35,21
N00000147,227,15,83,24,5,22,6,53,19
N00000148,676,11,264,178,20,75,2,104,22
N00000149,432,9,167,124,14,37,5,56,20
N00000150,365,4,154,69,13,41,5,43,36
N00000151,283,13,107,90,0,16,2,40,15
N00000152,270,5,119,74,10,18,3,25,16
N00000153,250,8,86,75,6,29,1,40,5
N00000154,259,10,124,29,4,32,1,41,18
N00000155,337,26,116,62,11,33,6,52,31
N00000156,301,16,105,75,19,20,0,52,14
N00000157,368,44,143,34,18,36,11,65,17
N00000158,678,28,230,93,47,83,9,151,37
N00000159,221,15,79,38,14,16,2,41,16
N00000160,322,25,114,38,28,36,3,46,32
N00000161,342,10,131,63,20,37,3,62,16
N00000162,242,15,96,33,15,22,8,27,26
N00000163,311,25,120,34,12,13,1,63,43
N00000164,288,7,124,52,24,24,1,40,16
N00000165,325,24,117,59,13,47,0,42,23
N00000166,273,18,105,37,16,35,3,52,7
N00000167,379,13,138,81,24,54,0,50,19
N00000168,345,21,136,70,24,35,1,53,5
N00000169,704,25,331,95,30,78,12,102,31
N00000170,370,3,156,59,14,45,15,45,33
N00000171,416,16,184,83,8,33,6,65,21
N00000172,772,20,296,136,36,78,13,145,48
N00000173,373,2,176,59,26,29,1,55,25
N00000174,393,4,137,123,12,34,2,64,17
N00000175,373,9,171,90,9,31,1,44,18
N00000176,474,31,184,69,27,25,7,88,43
N00000177,323,41,113,47,11,10,8,63,30
N00000178,667,86,240,103,13,56,12,112,45
N00000179,852,66,306,106,39,60,21,171,83
N00000180,280,15,144,44,8,14,2,34,19
N00000181,274,16,115,32,8,21,6,52,24
N00000182,228,5,123,25,6,20,1,34,14
N00000183,293,14,106,40,7,22,11,69,24
N00000184,372,19,151,56,15,22,0,78,31
N00000185,211,3,110,29,16,16,0,26,11
N00000186,299,10,111,41,19,33,5,60,20
N00000187,255,15,94,56,6,18,2,46,18
N00000188,347,8,160,49,20,18,1,67,24
N00000189,341,3,202,23,11,45,2,50,5
N00000190,304,0,159,38,19,23,2,44,19
N00000191,303,9,137,59,26,24,6,38,4
N00000192,302,21,140,43,8,16,3,61,10
N00000193,291,16,123,37,4,27,10,50,24
N00000194,255,13,121,28,18,17,0,39,19
N00000195,246,5,114,43,23,14,3,25,19
N00000196,237,14,107,43,9,13,4,34,13
N00000197,326,20,131,52,24,34,2,57,6
N00000198,287,9,148,44,12,19,0,40,15
N00000199,350,16,177,45,15,15,8,52,22
N00000200,331,8,180,50,6,31,1,49,6
N00000201,294,0,132,38,11,50,2,47,14
N00000202,304,10,150,55,13,21,0,48,7
N00000203,334,22,135,65,8,24,1,63,16
N00000204,393,12,185,49,21,21,3,71,31
N00000205,303,25,144,38,17,15,2,54,8
N00000206,390,18,164,63,10,27,1,80,27
N00000207,253,8,100,29,12,25,0,64,15
N00000208,316,4,167,64,8,22,2,42,7
N00000209,356,8,177,50,7,32,1,71,10
N00000210,383,31,130,77,25,20,6,74,20
N00000211,528,36,156,143,44,19,8,91,31
N00000212,175,10,42,40,9,20,3,40,11
N00000213,281,18,88,61,23,8,5,56,22
N00000214,323,17,117,61,12,19,1,69,27
N00000215,400,20,139,72,35,24,6,85,19
N00000216,397,18,188,47,17,17,5,80,25
N00000217,479,28,173,103,42,26,4,61,42
N00000218,361,14,145,67,30,39,2,58,6
N00000219,245,13,88,60,19,8,10,28,19
N00000220,284,1,121,63,12,20,1,55,11
N00000221,262,3,109,62,9,13,1,41,24
N00000222,298,7,128,73,19,19,4,41,7
N00000223,319,15,125,84,9,23,0,51,12
N00000224,243,10,82,36,21,14,6,51,23
N00000225,147,5,57,35,10,5,1,25,9
N00000226,261,13,79,51,14,34,2,46,22
N00000227,195,10,73,40,13,10,4,39,6
N00000228,306,4,98,113,24,15,1,34,17
N00000229,395,17,145,94,12,34,7,68,18
N00000230,293,18,87,45,20,31,2,70,20
N00000231,324,17,114,51,13,10,4,89,26
N00000232,309,36,88,46,10,37,14,56,22
N00000233,258,11,87,40,11,12,7,67,23
N00000234,256,44,74,33,7,17,10,44,27
N00000235,323,27,124,53,9,22,2,55,31
N00000236,291,13,96,50,11,33,3,60,25
N00000237,416,18,141,74,24,39,9,92,19
N00000238,306,12,150,56,12,36,2,37,1
N00000239,254,1,91,42,12,16,2,67,23
N00000240,354,13,125,57,19,33,6,73,28
N00000241,424,38,131,86,21,38,5,85,20
N00000242,360,15,142,57,26,49,1,57,13
N00000243,265,21,103,33,11,15,5,56,21
N00000244,275,20,135,34,9,15,2,30,30
N00000245,314,25,122,52,19,28,12,45,11
N00000246,309,14,146,39,6,21,2,48,33
N00000247,309,20,109,58,21,36,5,45,15
N00000248,337,16,138,53,32,31,1,50,16
N00000249,386,31,131,62,23,35,6,82,16
N00000250,401,19,140,78,26,25,1,91,21
N00000251,456,23,190,62,20,53,1,94,13
N00000252,345,6,115,80,9,22,1,96,16
N00000253,499,17,297,68,16,18,0,66,17
