ethn..sa_id,ethn..total_persons,ethn..ethnic_group_e_s_w_white_unit_persons,ethn..ethnic_group_e_s_w_white_gypsy_or_irish_traveller_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_indian_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_pakistani_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_bangladeshi_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_chinese_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_other_asian_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_any_other_ethnic_group_unit_persons,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
S00094804,110,110,0,0,0,0,0,0,0,0,0,110,0,0,0,0
S00094805,85,84,0,0,0,1,0,0,0,0,0,84,0,1,0,0
S00094806,115,114,0,0,0,0,0,0,0,1,0,114,1,0,0,0
S00094807,156,156,0,0,0,0,0,0,0,0,0,156,0,0,0,0
S00094808,183,177,0,0,5,0,0,0,0,0,1,177,0,5,0,1
S00094809,120,118,0,0,0,0,0,0,0,1,1,118,1,0,0,1
S00094810,109,109,0,0,0,0,0,0,0,0,0,109,0,0,0,0
S00094811,126,126,0,0,0,0,0,0,0,0,0,126,0,0,0,0
S00094812,95,93,0,0,0,0,0,0,0,1,1,93,1,0,0,1
S00094813,98,98,0,0,0,0,0,0,0,0,0,98,0,0,0,0
S00094814,166,165,0,0,1,0,0,0,0,0,0,165,0,1,0,0
S00094815,109,108,1,0,0,0,0,0,0,0,0,109,0,0,0,0
S00094816,83,83,0,0,0,0,0,0,0,0,0,83,0,0,0,0
S00094817,95,94,0,0,1,0,0,0,0,0,0,94,0,1,0,0
S00094818,106,106,0,0,0,0,0,0,0,0,0,106,0,0,0,0
S00094819,64,60,0,1,0,0,0,0,0,3,0,60,3,0,1,0
S00094820,99,99,0,0,0,0,0,0,0,0,0,99,0,0,0,0
S00094821,129,129,0,0,0,0,0,0,0,0,0,129,0,0,0,0
S00094822,165,163,0,0,1,0,0,1,0,0,0,163,0,2,0,0
S00094823,104,104,0,0,0,0,0,0,0,0,0,104,0,0,0,0
S00094824,79,78,0,1,0,0,0,0,0,0,0,78,0,0,1,0
S00094825,121,119,1,0,0,0,0,0,0,0,1,120,0,0,0,1
S00094826,51,51,0,0,0,0,0,0,0,0,0,51,0,0,0,0
S00094827,140,138,1,0,1,0,0,0,0,0,0,139,0,1,0,0
S00094828,100,99,0,0,0,1,0,0,0,0,0,99,0,1,0,0
S00094829,169,165,0,3,0,1,0,0,0,0,0,165,0,1,3,0
S00094830,72,71,0,1,0,0,0,0,0,0,0,71,0,0,1,0
S00094831,148,148,0,0,0,0,0,0,0,0,0,148,0,0,0,0
S00094832,161,161,0,0,0,0,0,0,0,0,0,161,0,0,0,0
S00094833,128,126,0,2,0,0,0,0,0,0,0,126,0,0,2,0
S00094834,62,61,0,1,0,0,0,0,0,0,0,61,0,0,1,0
S00094835,102,101,0,1,0,0,0,0,0,0,0,101,0,0,1,0
S00094836,173,169,0,0,0,4,0,0,0,0,0,169,0,4,0,0
S00094837,111,110,0,0,1,0,0,0,0,0,0,110,0,1,0,0
S00094838,114,114,0,0,0,0,0,0,0,0,0,114,0,0,0,0
S00094839,58,58,0,0,0,0,0,0,0,0,0,58,0,0,0,0
S00094840,119,119,0,0,0,0,0,0,0,0,0,119,0,0,0,0
S00094841,98,98,0,0,0,0,0,0,0,0,0,98,0,0,0,0
S00094842,175,175,0,0,0,0,0,0,0,0,0,175,0,0,0,0
S00094843,142,134,0,4,4,0,0,0,0,0,0,134,0,4,4,0
S00094844,135,135,0,0,0,0,0,0,0,0,0,135,0,0,0,0
S00094845,132,131,0,0,0,0,0,0,1,0,0,131,0,1,0,0
S00094846,153,153,0,0,0,0,0,0,0,0,0,153,0,0,0,0
S00094847,141,139,1,0,0,0,0,0,0,1,0,140,1,0,0,0
S00094848,91,90,0,0,0,0,0,0,0,0,1,90,0,0,0,1
