health..sa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
S00094804,110,73,28,7,1,1
S00094805,85,50,28,7,0,0
S00094806,115,59,28,21,6,1
S00094807,156,84,42,23,5,2
S00094808,183,105,53,19,4,2
S00094809,120,80,28,12,0,0
S00094810,109,65,28,11,4,1
S00094811,126,72,39,7,6,2
S00094812,95,56,28,9,2,0
S00094813,98,70,20,7,1,0
S00094814,166,95,49,13,7,2
S00094815,109,55,26,18,9,1
S00094816,83,43,30,7,3,0
S00094817,95,44,32,16,3,0
S00094818,106,70,27,6,3,0
S00094819,64,39,14,10,1,0
S00094820,99,63,23,7,5,1
S00094821,129,70,38,17,3,1
S00094822,165,103,41,15,5,1
S00094823,104,57,34,11,2,0
S00094824,79,47,30,2,0,0
S00094825,121,66,39,14,0,2
S00094826,51,30,15,6,0,0
S00094827,140,75,41,15,8,1
S00094828,100,64,32,3,1,0
S00094829,169,99,57,10,2,1
S00094830,72,47,17,7,1,0
S00094831,148,79,44,19,4,2
S00094832,161,77,58,19,6,1
S00094833,128,85,28,9,5,1
S00094834,62,32,23,6,1,0
S00094835,102,60,26,10,5,1
S00094836,173,110,46,13,4,0
S00094837,111,59,43,5,2,2
S00094838,114,68,30,13,1,2
S00094839,58,34,18,3,3,0
S00094840,119,54,41,17,7,0
S00094841,98,53,28,11,5,1
S00094842,175,93,57,18,6,1
S00094843,142,76,35,25,5,1
S00094844,135,69,45,18,2,1
S00094845,132,74,45,9,3,1
S00094846,153,71,50,21,4,7
S00094847,141,79,50,8,4,0
S00094848,91,55,25,5,4,2
S00094849,154,87,49,14,3,1
S00094850,160,70,49,36,3,2
S00094851,88,37,34,10,6,1
S00094852,96,51,32,9,1,3
S00094853,65,37,11,16,1,0
S00094854,119,80,21,9,6,3
S00094855,154,82,48,17,7,0
S00094856,111,63,27,14,5,2
S00094857,64,32,19,12,1,0
S00094858,128,62,48,15,2,1
S00094859,92,51,30,10,1,0
S00094860,100,55,29,12,3,1
S00094861,100,56,20,14,7,3
S00094862,99,57,24,10,5,3
S00094863,168,74,59,23,8,4
S00094864,84,39,18,15,10,2
S00094865,143,84,42,13,4,0
S00094866,192,135,49,7,0,1
S00094867,104,60,31,9,4,0
S00094868,135,63,43,24,5,0
