house..sa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
S00094804,48,1,11,23,8,3,1,1
S00094805,30,1,3,10,10,2,1,3
S00094806,52,9,8,15,11,3,0,6
S00094807,70,8,14,26,8,7,1,6
S00094808,75,7,10,38,15,3,1,1
S00094809,47,8,7,14,16,1,0,1
S00094810,43,3,4,23,6,1,2,4
S00094811,63,11,9,27,10,3,0,3
S00094812,38,2,4,21,8,2,0,1
S00094813,41,4,5,20,10,0,0,2
S00094814,74,8,12,37,13,2,0,2
S00094815,41,3,7,23,5,2,0,1
S00094816,32,2,4,14,8,1,0,3
S00094817,39,4,6,16,10,0,1,2
S00094818,44,0,9,17,11,3,1,3
S00094819,27,0,6,12,6,1,0,2
S00094820,42,5,9,15,10,0,1,2
S00094821,60,6,14,25,9,5,0,1
S00094822,71,5,14,30,17,1,0,4
S00094823,40,5,4,15,14,0,1,1
S00094824,41,8,11,15,5,1,0,1
S00094825,50,3,3,34,9,1,0,0
S00094826,24,1,7,12,3,0,0,1
S00094827,60,7,15,21,14,1,2,0
S00094828,47,6,9,15,7,2,2,6
S00094829,64,3,11,23,22,3,1,1
S00094830,27,3,1,11,10,1,1,0
S00094831,67,6,15,29,10,4,1,2
S00094832,73,8,9,34,14,1,1,6
S00094833,55,3,9,27,9,4,1,2
S00094834,27,4,1,16,6,0,0,0
S00094835,52,3,20,21,5,0,1,2
S00094836,70,5,5,35,19,4,1,1
S00094837,51,5,12,20,4,5,3,2
S00094838,52,9,7,20,10,5,0,1
S00094839,26,3,4,8,6,4,0,1
S00094840,52,4,9,17,14,3,1,4
S00094841,42,7,3,24,7,0,0,1
S00094842,75,11,12,32,14,4,0,2
S00094843,55,2,7,24,11,6,0,5
S00094844,59,6,6,33,10,1,2,1
S00094845,55,5,7,30,8,0,3,2
S00094846,71,9,10,36,11,0,1,4
S00094847,59,8,4,24,13,4,0,6
S00094848,44,7,3,24,6,2,0,2
S00094849,69,10,8,30,12,6,1,2
S00094850,67,12,11,27,11,2,1,3
S00094851,44,4,10,18,7,1,0,4
S00094852,45,7,5,22,7,2,0,2
S00094853,35,9,7,11,5,1,0,2
S00094854,45,6,3,17,16,1,1,1
S00094855,64,2,15,26,14,2,1,4
S00094856,53,8,11,21,9,1,1,2
S00094857,32,6,3,15,5,1,0,2
S00094858,59,5,10,31,6,1,1,5
S00094859,42,4,5,25,5,0,1,2
S00094860,49,5,11,26,6,1,0,0
S00094861,46,7,9,16,7,3,1,3
S00094862,37,3,2,16,11,1,3,1
S00094863,75,7,13,34,9,0,1,11
S00094864,40,5,10,18,4,0,2,1
S00094865,60,1,5,37,8,5,1,3
S00094866,63,1,5,22,28,3,4,0
S00094867,33,1,1,8,10,11,1,1
S00094868,68,10,15,24,10,2,0,7
S00094869,49,10,7,15,7,3,1,6
S00094870,50,5,9,20,10,4,0,2
S00094871,28,3,4,15,4,0,1,1
S00094872,69,10,14,27,8,5,0,5
S00094873,64,8,8,38,6,1,1,2
S00094874,63,14,8,30,9,0,0,2
S00094875,70,5,11,30,21,2,1,0
S00094876,60,5,11,23,19,0,1,1
S00094877,34,1,3,17,10,1,0,2
S00094878,54,2,8,27,12,2,1,2
S00094879,62,1,5,11,21,15,3,6
S00094880,57,6,12,25,10,0,0,4
S00094881,30,2,3,16,9,0,0,0
S00094882,50,6,6,23,9,2,1,3
S00094883,43,6,6,21,9,0,1,0
S00094884,45,4,8,21,7,2,0,3
S00094885,33,2,6,14,8,1,1,1
S00094886,65,9,9,32,11,1,0,3
S00094887,36,5,3,16,8,1,0,3
S00094888,74,11,6,45,8,1,1,2
S00094889,54,12,4,21,8,3,1,5
S00094890,29,4,2,16,5,0,0,2
S00094891,50,3,3,23,17,4,0,0
S00094892,43,4,2,24,7,1,2,3
S00094893,36,3,8,17,5,0,2,1
S00094894,32,1,2,10,15,1,1,2
S00094895,36,5,10,13,6,1,0,1
S00094896,59,0,3,16,32,7,0,1
S00094897,26,0,2,12,11,0,0,1
S00094898,49,6,8,18,14,1,1,1
S00094899,51,1,3,16,26,1,2,2
S00094900,58,2,9,17,22,7,0,1
S00094901,61,5,5,32,14,2,0,3
S00094902,55,2,15,18,14,2,1,3
S00094903,57,5,10,25,8,4,0,5
S00094904,49,5,11,17,13,2,0,1
S00094905,39,9,4,12,10,2,1,1
S00094906,52,6,8,18,16,2,0,2
S00094907,47,1,10,20,13,0,1,2
S00094908,50,5,14,21,6,1,1,2
S00094909,29,5,5,8,3,6,0,2
S00094910,70,17,6,22,17,5,0,3
S00094911,63,8,10,19,18,5,0,3
S00094912,30,1,4,17,6,0,2,0
S00094913,41,5,11,17,5,1,0,2
S00094914,45,4,10,18,11,1,0,1
S00094915,55,6,13,22,11,2,0,1
S00094916,77,3,31,20,14,6,0,3
S00094917,69,17,18,26,7,1,0,0
S00094918,67,4,9,29,19,3,0,3
S00094919,42,6,9,18,8,0,0,1
S00094920,75,5,19,28,15,0,1,7
S00094921,36,5,9,12,9,0,1,0
S00094922,40,6,5,20,4,2,1,2
S00094923,44,2,3,27,8,1,1,2
S00094924,56,14,10,21,6,0,0,5
S00094925,36,6,1,19,10,0,0,0
S00094926,70,10,15,24,16,1,0,4
S00094927,59,2,4,33,14,0,0,6
S00094928,52,6,6,18,12,5,1,4
S00094929,69,7,11,31,15,3,1,1
S00094930,52,4,10,27,9,0,0,2
S00094931,37,0,4,26,2,2,0,3
S00094932,35,9,10,12,4,0,0,0
S00094933,49,10,4,19,12,1,0,3
S00094934,48,7,8,23,6,1,1,2
S00094935,52,2,6,23,11,5,0,5
S00094936,49,7,8,19,9,2,1,3
S00094937,50,2,8,24,10,4,0,2
S00094938,75,5,12,39,16,1,0,2
S00094939,39,4,2,23,8,1,1,0
S00094940,62,6,13,28,14,0,0,1
S00094941,72,7,10,34,18,1,1,1
S00094942,43,1,9,21,6,2,0,4
S00094943,45,4,8,19,12,1,1,0
S00094944,67,8,7,33,14,4,0,1
S00094945,69,3,10,37,13,4,0,2
S00094946,33,3,9,13,7,0,0,1
S00094947,62,6,6,33,12,4,0,1
S00094948,51,2,9,16,20,1,1,2
S00094949,38,1,3,12,19,2,0,1
S00094950,57,18,3,32,1,0,0,3
S00094951,43,5,6,24,4,2,0,2
S00094952,59,7,9,28,8,3,1,3
S00094953,70,7,11,34,13,2,0,3
S00094954,47,6,8,20,6,4,1,2
S00094955,65,7,8,26,21,1,0,2
S00094956,66,10,10,27,11,3,0,5
S00094957,59,11,10,27,6,3,1,1
S00094958,63,13,3,28,11,0,1,7
S00094959,31,3,5,13,8,0,0,2
S00094960,62,3,11,27,15,0,2,4
S00094961,41,5,6,12,14,3,0,1
S00094962,43,2,8,20,11,2,0,0
S00094963,43,3,6,22,5,5,1,1
S00094964,45,10,7,18,8,1,0,1
S00094965,46,8,9,16,7,4,0,2
S00094966,31,1,7,14,5,2,2,0
S00094967,49,5,13,18,11,0,0,2
S00094968,30,0,6,19,4,0,0,1
S00094969,41,3,10,12,10,2,3,1
S00094970,55,1,9,30,15,0,0,0
S00094971,46,7,2,26,9,1,0,1
S00094972,65,4,16,27,14,0,1,3
S00094973,34,4,10,13,6,0,0,1
S00094974,65,7,7,30,13,2,0,6
S00094975,49,12,6,17,8,3,0,3
S00094976,40,4,3,15,14,4,0,0
S00094977,44,14,3,18,4,2,0,3
S00094978,52,3,8,21,16,3,0,1
S00094979,59,10,10,29,8,1,0,1
S00094980,28,2,6,12,7,1,0,0
S00094981,48,9,7,23,4,2,1,2
S00094982,58,6,7,32,10,1,0,2
S00094983,71,6,6,46,9,0,0,4
S00094984,58,10,6,34,6,1,1,0
S00094985,40,6,7,18,6,2,0,1
S00094986,24,1,5,10,7,0,0,1
S00094987,48,5,5,29,8,0,0,1
S00094988,31,4,4,19,1,2,0,1
S00094989,49,6,4,22,13,1,1,2
S00094990,44,4,6,25,6,0,0,3
S00094991,47,5,7,26,7,2,0,0
S00094992,22,0,1,10,9,0,0,2
S00094993,42,5,4,25,7,0,0,1
S00094994,39,3,2,23,6,1,1,3
S00094995,45,4,3,30,5,0,0,3
S00094996,28,5,3,12,5,2,0,1
S00094997,39,3,7,19,9,0,0,1
S00094998,60,8,6,26,9,3,0,8
S00094999,29,1,5,14,9,0,0,0
S00095003,23,2,1,11,4,2,1,2
S00095004,38,7,6,19,4,1,0,1
S00095005,30,4,2,13,10,1,0,0
S00095006,49,1,3,20,22,1,0,2
S00095007,42,4,4,21,11,0,0,2
S00095008,24,4,0,13,5,0,1,1
S00095009,64,6,6,29,19,1,0,3
S00095010,27,4,4,8,9,1,0,1
S00095011,48,4,11,17,12,2,1,1
S00095012,50,1,16,15,13,1,0,4
S00095013,65,3,5,12,37,4,1,3
S00095014,37,5,8,19,4,0,1,0
S00095015,51,7,12,20,9,0,1,2
S00095016,40,4,6,18,10,0,1,1
S00095017,42,4,7,18,9,2,0,2
S00095018,49,5,4,23,11,1,3,2
S00095019,39,1,3,14,15,2,0,4
S00095020,42,3,5,15,13,3,0,3
S00095021,55,12,6,23,8,2,0,4
S00095022,71,6,15,34,11,4,0,1
S00095023,55,5,5,23,20,1,1,0
S00095024,32,0,4,17,5,2,2,2
S00095025,57,6,3,29,13,3,1,2
S00095026,64,4,7,18,29,2,0,4
S00095027,32,0,3,11,17,0,1,0
S00095028,50,3,7,28,11,0,0,1
S00095029,61,9,5,27,14,2,1,3
S00095030,63,5,7,32,14,2,0,3
S00095031,55,5,11,24,10,2,2,1
S00095032,50,5,11,20,11,1,1,1
S00095033,58,1,17,23,15,1,0,1
S00095034,29,2,4,8,13,0,1,1
S00095035,50,4,6,24,7,6,1,2
S00095036,53,8,4,27,11,2,1,0
S00095037,43,3,3,9,19,8,0,1
S00095046,58,5,11,24,10,4,1,3
S00095047,30,5,0,16,9,0,0,0
S00095048,52,2,3,36,6,2,0,3
S00095049,50,31,4,10,3,1,0,1
S00095050,36,8,7,11,4,3,0,3
S00095051,53,13,16,13,5,2,1,3
S00095052,50,10,1,31,5,1,0,2
S00095053,65,13,32,14,4,0,0,2
S00095054,56,1,38,9,5,2,0,1
S00095055,68,7,15,16,6,17,0,7
S00095056,57,8,20,13,13,0,0,3
S00095057,45,6,3,13,11,11,0,1
S00095058,66,7,11,33,11,3,1,0
S00095059,77,10,18,26,12,4,0,7
S00095060,32,5,1,16,8,2,0,0
S00095061,61,9,6,24,12,4,3,3
S00095062,52,9,8,24,7,3,0,1
S00095063,45,7,14,9,7,4,0,4
S00095064,76,18,12,32,11,3,0,0
S00095065,67,5,11,19,11,10,0,11
S00095066,72,9,13,27,10,4,0,9
S00095067,69,10,35,16,3,5,0,0
S00095068,68,8,34,20,4,1,0,1
S00095069,71,15,10,32,10,0,1,3
S00095070,52,8,12,20,5,2,0,5
S00095071,55,11,5,17,11,6,2,3
S00095072,53,0,26,11,6,8,0,2
S00095073,39,1,10,6,14,6,0,2
S00095074,27,3,6,7,3,6,0,2
S00095075,50,9,8,20,6,3,0,4
S00095076,43,9,19,13,1,1,0,0
S00095077,45,5,9,10,12,6,1,2
S00095078,50,6,6,18,10,7,1,2
S00095079,40,3,5,12,12,6,1,1
S00095080,49,8,11,9,9,11,0,1
S00095081,55,8,9,13,8,8,2,7
S00095082,41,3,4,26,6,1,1,0
S00095083,65,6,11,20,10,12,1,5
S00095084,42,7,8,9,10,7,1,0
S00095085,45,3,7,9,13,10,0,3
S00095086,75,6,14,13,17,17,3,5
S00095087,32,0,4,5,12,7,1,3
S00095088,45,5,13,14,7,4,1,1
S00095089,49,14,7,6,12,7,0,3
S00095090,36,1,3,7,11,9,1,4
S00095091,63,4,6,21,20,11,1,0
S00095092,41,1,5,14,6,7,2,6
S00095093,73,6,10,21,13,16,2,5
S00095094,56,1,7,21,10,8,1,8
S00095095,55,9,12,22,8,0,2,2
S00095096,66,6,18,10,11,17,0,4
S00095097,31,6,12,9,4,0,0,0
S00095098,43,10,16,11,0,2,0,4
S00095099,37,3,14,13,3,1,2,1
S00095100,65,6,3,31,18,1,1,5
S00095101,48,7,4,20,9,3,1,4
S00095102,59,11,4,34,10,0,0,0
S00095103,66,13,11,25,11,2,1,3
S00095104,36,2,12,8,8,4,0,2
S00095105,58,10,14,25,8,1,0,0
S00095106,72,11,22,20,10,6,0,3
S00095107,52,13,20,16,0,1,0,2
S00095108,64,18,20,14,4,7,0,1
S00095109,59,8,32,13,4,0,0,2
S00095110,52,6,27,9,5,3,0,2
S00095111,77,15,19,29,3,3,1,7
S00095112,35,3,20,9,1,1,0,1
S00095113,74,29,6,23,11,2,0,3
S00095114,36,9,6,17,4,0,0,0
S00095115,43,6,13,18,3,2,0,1
S00095116,46,12,7,20,6,0,0,1
S00095117,58,12,9,23,12,1,1,0
S00095118,45,1,8,32,3,1,0,0
S00095119,30,2,2,17,6,3,0,0
S00095120,55,5,26,15,6,1,1,1
S00095121,59,10,4,27,10,5,1,2
S00095122,43,6,7,11,8,5,1,5
S00095123,72,10,7,32,13,2,0,8
S00095124,55,8,15,21,6,3,0,2
S00095125,27,3,4,14,5,0,0,1
S00095126,38,3,4,19,10,0,0,2
S00095127,47,3,3,28,13,0,0,0
S00095128,76,10,9,31,17,4,0,5
S00095129,42,9,9,13,7,3,0,1
S00095130,76,10,26,13,20,3,0,4
S00095131,47,4,8,12,14,4,1,4
S00095132,63,9,21,17,8,4,1,3
S00095133,67,12,16,21,7,8,0,3
S00095134,74,9,15,24,13,5,2,6
S00095135,64,19,10,24,3,2,0,6
S00095136,37,6,16,9,1,4,0,1
S00095137,47,7,13,17,5,4,0,1
S00095138,41,6,15,11,3,4,1,1
S00095139,57,10,13,20,7,3,0,4
S00095140,47,6,14,15,5,3,1,3
S00095141,48,10,18,13,4,1,0,2
S00095142,51,10,13,16,7,4,0,1
S00095143,52,20,17,9,2,3,0,1
S00095144,76,39,20,10,3,4,0,0
S00095145,58,20,20,17,0,0,0,1
S00095146,44,7,22,10,2,2,0,1
S00095147,43,9,18,8,3,2,1,2
S00095148,45,14,8,16,5,0,0,2
S00095149,29,6,9,6,4,0,1,3
S00095150,69,21,25,17,2,1,0,3
S00095151,43,7,6,20,4,3,0,3
S00095152,57,12,7,24,10,2,0,2
S00095153,42,4,14,12,6,4,0,2
S00095154,72,9,18,30,8,4,0,3
S00095155,56,10,22,10,7,2,0,5
S00095156,53,37,9,4,2,1,0,0
S00095157,50,11,15,16,6,1,1,0
S00095158,66,22,27,6,2,0,1,8
S00095159,57,9,18,23,6,0,1,0
S00095160,70,14,14,32,8,0,0,2
S00095161,43,12,6,11,7,4,0,3
S00095162,52,11,15,8,11,3,0,4
S00095163,46,6,4,6,13,11,0,6
S00095164,35,5,5,12,6,4,0,3
S00095165,51,16,9,12,8,5,0,1
S00095166,67,6,9,24,18,8,1,1
S00095167,52,5,8,21,11,5,0,2
S00095168,44,3,5,18,12,5,0,1
S00095169,78,20,13,28,14,2,0,1
S00095170,25,3,2,14,5,1,0,0
S00095171,58,11,18,13,5,6,0,5
S00095172,58,8,13,14,10,10,0,3
S00095173,72,16,12,28,6,7,0,3
S00095174,64,6,13,13,16,12,1,3
S00095175,63,10,5,26,16,3,0,3
S00095176,36,9,4,10,6,2,0,5
S00095177,61,10,4,28,8,6,1,4
S00095178,36,2,6,13,8,6,0,1
S00095179,46,6,5,21,6,6,0,2
S00095180,44,3,4,17,14,5,0,1
S00095181,53,8,6,25,9,3,1,1
S00095182,78,16,9,28,21,0,1,3
S00095183,60,10,6,33,3,5,1,2
S00095184,42,8,8,14,4,7,0,1
S00095185,35,6,9,8,7,5,0,0
S00095186,59,23,17,12,3,2,0,2
S00095187,41,8,3,13,11,2,0,4
S00095188,47,11,8,18,4,4,0,2
S00095189,59,10,13,20,6,9,0,1
S00095190,52,6,9,22,10,2,0,3
S00095191,65,9,2,41,9,3,0,1
S00095192,40,3,9,18,8,1,1,0
S00095193,38,2,5,20,8,1,1,1
S00095194,26,3,8,3,8,1,2,1
S00095195,54,5,10,29,5,2,0,3
S00095196,46,11,7,14,11,1,0,2
S00095197,74,20,17,19,16,1,1,0
S00095198,42,3,4,25,9,0,0,1
S00095199,56,39,4,7,2,2,0,2
S00095200,38,6,9,10,6,4,1,2
S00095201,65,19,5,29,10,0,0,2
S00095202,61,13,7,22,12,6,0,1
S00095203,51,23,3,15,5,2,1,2
S00095204,51,9,12,16,11,1,0,2
S00095205,59,12,16,23,4,4,0,0
S00095206,41,12,8,15,5,1,0,0
S00095207,55,6,16,18,8,2,1,4
S00095208,32,5,3,19,4,0,1,0
S00095209,70,11,22,23,12,2,0,0
S00095210,35,6,4,11,5,5,0,4
S00095211,42,5,4,20,7,5,0,1
S00095212,50,7,15,20,7,1,0,0
S00095213,49,9,13,21,5,1,0,0
S00095214,57,5,15,17,13,5,0,2
S00095215,43,3,3,16,9,4,0,8
S00095216,50,6,6,20,13,3,0,2
S00095217,59,3,10,24,14,2,0,6
S00095218,45,6,8,22,5,1,0,3
S00095219,65,8,3,32,11,7,0,4
S00095220,32,3,12,13,4,0,0,0
S00095221,34,3,7,14,8,1,0,1
S00095222,46,5,17,13,11,0,0,0
S00095223,44,5,14,12,8,1,0,4
S00095224,44,4,5,29,5,1,0,0
S00095225,39,4,8,15,8,2,0,2
S00095226,56,4,14,26,10,1,0,1
S00095227,38,5,13,14,2,0,1,3
S00095228,42,1,20,8,8,1,2,2
S00095229,34,3,8,10,6,3,1,3
S00095230,46,3,25,9,5,1,0,3
S00095231,32,3,7,14,7,1,0,0
