pop..dz_code,pop..total_persons,pop..males,pop..females,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
S01008163,816,364,452,51,67,58,109,134,214,134,49
S01008164,1609,668,941,46,55,66,970,99,219,108,46
S01008165,1805,862,943,181,213,126,255,371,457,141,61
S01008166,503,253,250,15,36,40,78,49,147,101,37
S01008167,709,358,351,48,84,52,97,108,181,84,55
S01008168,867,438,429,56,66,68,114,99,239,124,101
S01008169,828,392,436,74,75,35,111,126,227,128,52
S01008170,567,288,279,21,50,28,75,49,200,105,39
S01008171,737,351,386,29,43,36,102,120,200,132,75
S01008172,549,259,290,20,47,34,71,45,157,116,59
S01008173,645,307,338,28,37,42,104,67,191,129,47
S01008174,478,217,261,16,35,29,54,68,117,123,36
S01008175,753,345,408,37,55,43,107,130,202,142,37
S01008176,771,381,390,23,48,39,74,81,228,198,80
S01008177,749,365,384,44,54,45,108,83,216,110,89
S01008178,565,266,299,16,42,22,62,58,123,153,89
S01008179,518,243,275,32,43,35,77,65,182,70,14
S01008180,461,232,229,19,32,25,67,41,143,123,11
S01008181,646,328,318,24,28,36,70,56,190,158,84
S01008182,900,389,511,30,41,33,117,179,240,181,79
S01008183,593,263,330,33,55,25,94,84,186,65,51
S01008184,765,355,410,26,39,23,109,108,201,133,126
S01008185,949,440,509,32,51,47,130,144,312,153,80
S01008186,889,449,440,21,61,42,262,116,195,105,87
S01008187,639,320,319,42,78,39,79,82,200,66,53
S01008188,890,441,449,53,71,33,164,156,212,140,61
S01008189,547,248,299,22,26,38,80,57,137,120,67
S01008190,842,398,444,55,97,44,147,83,207,139,70
S01008191,743,350,393,56,70,58,105,106,191,107,50
S01008192,813,398,415,50,50,120,82,108,210,147,46
S01008193,830,404,426,44,51,57,102,73,217,170,116
S01008194,648,292,356,43,57,48,80,85,165,94,76
S01008195,771,366,405,72,67,36,135,118,228,81,34
S01008196,924,432,492,88,83,71,151,136,249,109,37
S01008197,1527,744,783,123,204,64,170,319,507,111,29
S01008198,713,333,380,36,66,62,81,99,180,123,66
S01008199,788,378,410,54,92,70,101,128,187,118,38
S01008200,603,265,338,25,46,39,68,67,164,109,85
