rel..sa_id,rel..total_persons,rel..christian_church_of_scotland,rel..christian_roman_catholic,rel..christian_other_christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
S00094804,110,43,4,6,0,0,0,0,0,1,49,7
S00094805,85,52,6,12,0,0,0,1,0,0,12,2
S00094806,115,41,5,7,0,0,0,0,0,0,53,9
S00094807,156,77,1,2,1,0,0,1,0,2,61,11
S00094808,183,60,5,14,0,0,1,5,0,2,80,16
S00094809,120,31,10,19,0,0,0,1,0,0,49,10
S00094810,109,36,2,13,0,0,0,0,0,0,49,9
S00094811,126,67,6,6,0,0,2,0,0,0,38,7
S00094812,95,38,2,11,0,0,0,1,0,0,39,4
S00094813,98,33,14,6,0,0,0,0,0,0,31,14
S00094814,166,89,5,26,0,0,0,0,0,0,39,7
S00094815,109,21,3,45,0,0,0,0,0,0,33,7
S00094816,83,12,0,9,0,0,0,0,0,0,52,10
S00094817,95,38,3,3,0,0,0,0,0,0,41,10
S00094818,106,18,9,13,0,0,0,0,0,0,52,14
S00094819,64,33,5,10,0,0,0,0,0,0,14,2
S00094820,99,54,6,9,0,0,0,0,0,0,20,10
S00094821,129,47,13,9,0,0,0,0,0,0,45,15
S00094822,165,68,7,29,0,0,0,0,0,0,46,15
S00094823,104,43,6,8,0,0,0,0,0,0,43,4
S00094824,79,34,4,9,0,0,0,0,0,0,28,4
S00094825,121,61,4,5,0,0,0,0,0,1,37,13
S00094826,51,12,2,18,0,0,0,0,0,0,18,1
S00094827,140,55,1,18,0,1,0,0,0,4,52,9
S00094828,100,46,8,6,0,0,0,0,0,0,37,3
S00094829,169,52,8,18,0,0,0,1,0,2,70,18
S00094830,72,47,0,2,0,0,0,0,0,0,18,5
S00094831,148,53,18,15,0,0,0,0,0,0,47,15
S00094832,161,60,11,13,1,0,0,0,0,0,59,17
S00094833,128,33,11,23,1,0,0,2,0,0,45,13
S00094834,62,13,1,11,0,0,0,0,0,0,31,6
S00094835,102,42,14,18,0,0,0,1,0,0,25,2
