health..oa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00070861,339,168,114,47,8,2
E00070981,259,141,83,28,6,1
E00070985,298,141,99,49,7,2
E00075105,311,130,98,60,19,4
E00075206,285,136,109,34,3,3
E00075207,284,184,81,18,1,0
E00075208,350,205,106,28,11,0
E00075209,323,152,124,36,7,4
E00075210,321,164,110,31,13,3
E00075211,168,98,48,19,2,1
E00075212,163,71,59,20,12,1
E00075213,339,194,119,21,5,0
E00075214,305,171,104,25,4,1
E00075216,367,195,138,24,7,3
E00075217,147,72,56,17,2,0
E00075220,269,110,113,39,6,1
E00075222,300,134,112,44,8,2
E00075224,285,126,94,49,13,3
E00075225,346,128,135,65,18,0
E00075226,264,123,86,41,9,5
E00075227,288,163,88,28,7,2
E00075228,267,133,99,21,12,2
E00075229,253,104,106,31,9,3
E00075230,333,157,124,43,7,2
E00075231,280,125,113,32,7,3
E00075232,240,96,76,47,14,7
E00075233,305,139,100,55,8,3
E00075234,235,80,96,34,21,4
E00075235,262,124,87,39,10,2
E00075236,290,155,109,22,3,1
E00075237,199,46,78,56,13,6
E00075238,265,152,88,18,5,2
E00075239,272,136,95,34,6,1
E00075240,370,207,121,33,7,2
E00075241,271,123,101,36,10,1
E00075243,275,164,81,26,3,1
E00075244,272,134,98,29,8,3
E00075245,376,180,123,52,15,6
E00075246,340,162,128,35,13,2
E00075247,355,172,146,25,8,4
E00075248,113,67,27,16,3,0
E00075249,320,169,110,35,3,3
E00075250,341,177,117,36,6,5
E00075433,340,141,153,37,7,2
E00075434,335,167,121,34,11,2
E00075435,383,171,120,76,8,8
E00075436,319,178,96,39,6,0
E00075437,261,145,72,37,5,2
E00075438,342,230,86,24,1,1
E00075439,383,240,116,24,2,1
E00075440,290,152,86,34,13,5
E00075591,117,72,32,12,1,0
E00075592,433,230,148,37,16,2
E00075593,347,185,123,33,4,2
E00075601,166,100,58,8,0,0
E00075709,257,150,87,14,5,1
E00075710,505,189,204,74,34,4
E00075711,283,167,87,24,5,0
E00075712,256,116,94,37,7,2
E00075713,298,184,85,22,5,2
E00075714,271,138,84,39,10,0
E00075715,304,174,95,24,11,0
E00075716,188,56,71,49,10,2
E00075717,316,133,125,39,16,3
E00075718,244,113,88,33,10,0
E00075719,308,148,128,24,6,2
E00075720,262,137,95,24,5,1
E00075721,284,146,103,26,7,2
E00075722,336,165,126,41,4,0
E00075723,340,178,109,44,5,4
E00075724,279,117,84,47,18,13
E00075725,367,157,135,54,18,3
E00075726,417,196,164,40,13,4
E00075727,368,210,111,37,8,2
E00075728,314,162,110,36,6,0
E00075729,401,175,131,70,20,5
E00075730,320,172,107,34,5,2
E00075731,467,256,138,47,18,8
E00075732,296,138,112,34,12,0
E00075733,355,200,112,35,6,2
E00075734,291,157,97,30,7,0
E00075735,316,189,98,24,4,1
E00075736,275,121,104,38,10,2
E00075737,301,125,118,48,9,1
E00075738,302,115,112,57,15,3
E00075739,214,85,72,43,9,5
E00075740,326,170,117,32,6,1
E00075741,272,171,78,17,5,1
E00075742,211,72,62,52,20,5
E00075743,276,122,103,31,16,4
E00075744,303,153,108,30,9,3
E00075745,280,121,120,31,6,2
E00075746,105,50,36,14,4,1
E00075747,321,192,87,36,6,0
E00075748,352,178,113,41,14,6
E00075749,287,114,98,50,18,7
E00075750,357,156,137,47,15,2
E00075751,365,203,121,32,8,1
E00075752,301,163,105,21,10,2
E00078250,231,117,75,27,9,3
E00112295,278,143,102,27,6,0
E00112296,237,110,84,29,13,1
E00112297,358,198,121,31,6,2
E00112298,460,235,143,57,18,7
E00112299,270,159,84,22,3,2
E00112300,248,128,86,26,6,2
E00112301,313,198,86,22,7,0
E00112302,226,112,91,17,4,2
E00112303,261,155,82,16,7,1
E00112304,246,132,84,18,11,1
E00112305,215,115,60,27,10,3
E00112306,260,131,88,32,8,1
