house..oa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00070861,127,13,11,61,26,2,13,1
E00070981,108,9,10,61,18,3,4,3
E00070985,121,22,11,49,21,4,8,6
E00075105,150,39,21,45,19,13,10,3
E00075206,117,8,14,53,28,2,11,1
E00075207,112,7,16,42,36,8,2,1
E00075208,130,10,13,45,45,7,6,4
E00075209,127,10,4,67,36,4,6,0
E00075210,122,8,12,53,29,9,8,3
E00075211,55,3,5,17,23,2,3,2
E00075212,74,15,10,24,10,9,4,2
E00075213,128,4,23,44,48,8,1,0
E00075214,109,8,7,45,31,7,6,5
E00075216,141,9,12,65,39,7,7,2
E00075217,53,4,6,24,15,1,2,1
E00075220,109,15,1,66,20,0,7,0
E00075222,122,16,8,59,28,5,5,1
E00075224,134,25,23,54,20,6,6,0
E00075225,145,21,10,77,22,1,12,2
E00075226,118,26,16,31,20,12,9,4
E00075227,135,10,40,45,28,4,6,2
E00075228,114,17,9,54,25,2,6,1
E00075229,138,17,46,50,11,2,10,2
E00075230,141,25,7,67,28,2,10,2
E00075231,118,10,7,74,20,3,4,0
E00075232,108,18,29,34,18,3,6,0
E00075233,118,13,7,41,25,11,18,3
E00075234,101,21,12,31,18,6,11,2
E00075235,111,14,17,43,15,7,10,5
E00075236,128,12,24,54,28,5,5,0
E00075237,116,52,12,24,10,7,10,1
E00075238,115,16,22,33,35,5,3,1
E00075239,119,16,11,65,21,1,5,0
E00075240,155,13,25,58,40,8,11,0
E00075241,120,19,22,39,27,2,8,3
E00075243,100,9,6,42,34,2,4,3
E00075244,120,10,23,59,22,1,3,2
E00075245,140,12,14,59,38,6,8,3
E00075246,131,15,16,48,38,9,3,2
E00075247,142,8,16,76,21,9,7,5
E00075248,51,5,15,18,10,0,3,0
E00075249,133,14,14,67,26,4,7,1
E00075250,133,11,15,59,34,2,10,2
E00075433,125,7,11,53,28,5,15,6
E00075434,129,19,12,47,36,6,8,1
E00075435,136,19,18,42,33,12,9,3
E00075436,119,11,10,39,36,16,3,4
E00075437,101,7,12,45,26,2,6,3
E00075438,121,4,13,46,48,6,4,0
E00075439,122,0,5,44,65,4,3,1
E00075440,110,15,14,29,30,8,10,4
E00075591,42,5,2,16,13,1,5,0
E00075592,163,6,17,82,38,4,13,3
E00075593,147,16,9,78,22,7,11,4
E00075601,64,4,3,37,15,0,5,0
E00075709,94,6,15,22,35,4,6,6
E00075710,113,9,15,53,28,1,5,2
E00075711,127,14,30,44,27,5,5,2
E00075712,142,26,38,46,15,9,7,1
E00075713,124,16,16,47,38,3,3,1
E00075714,106,7,13,56,17,1,9,3
E00075715,126,9,23,39,32,10,10,3
E00075716,109,34,17,38,2,11,7,0
E00075717,121,14,14,57,25,5,6,0
E00075718,128,17,33,57,13,1,7,0
E00075719,128,10,17,55,29,8,9,0
E00075720,122,15,30,41,20,5,8,3
E00075721,126,13,15,62,23,6,6,1
E00075722,139,19,7,70,35,3,4,1
E00075723,134,22,8,58,34,5,5,2
E00075724,131,40,13,28,14,19,14,3
E00075725,133,13,17,29,37,17,17,3
E00075726,156,21,22,68,31,4,9,1
E00075727,145,18,13,60,44,5,5,0
E00075728,122,17,6,58,31,5,5,0
E00075729,153,23,13,66,33,7,9,2
E00075730,123,17,7,54,33,5,5,2
E00075731,200,26,39,48,42,22,19,4
E00075732,125,14,17,47,30,8,8,1
E00075733,126,8,5,65,37,2,6,3
E00075734,116,9,15,42,32,7,11,0
E00075735,126,11,17,43,35,9,8,3
E00075736,121,20,13,57,26,1,4,0
E00075737,124,11,9,74,19,2,7,2
E00075738,137,26,13,60,20,7,8,3
E00075739,124,45,26,26,11,4,10,2
E00075740,139,26,8,55,30,9,10,1
E00075741,96,5,5,49,33,0,3,1
E00075742,139,61,38,17,14,2,6,1
E00075743,115,16,19,28,23,11,14,4
E00075744,122,12,3,70,24,3,10,0
E00075745,119,19,13,48,19,8,12,0
E00075746,43,4,6,20,8,0,3,2
E00075747,123,8,18,39,35,12,8,3
E00075748,144,15,20,42,40,10,16,1
E00075749,123,18,16,28,25,18,14,4
E00075750,138,10,19,46,31,15,15,2
E00075751,133,8,10,63,33,5,8,6
E00075752,123,13,16,49,30,7,6,2
E00078250,97,10,9,50,19,5,4,0
E00112295,126,12,29,31,24,4,25,1
E00112296,148,29,60,37,10,6,4,2
E00112297,162,13,44,50,13,7,34,1
E00112298,184,18,35,59,39,5,24,4
E00112299,111,7,24,26,28,6,19,1
E00112300,108,9,25,38,13,3,18,2
E00112301,129,7,24,38,31,4,24,1
E00112302,111,12,41,23,13,4,16,2
E00112303,147,4,64,45,12,1,21,0
E00112304,146,6,76,24,13,1,25,1
E00112305,143,11,75,40,5,0,12,0
E00112306,114,5,37,31,31,4,6,0
E00112307,117,8,42,31,11,11,14,0
E00112308,126,12,48,29,15,4,18,0
E00112309,85,16,35,20,4,5,3,2
E00112310,148,10,78,17,8,3,31,1
E00112311,133,2,82,28,6,1,13,1
E00112312,105,14,20,35,24,2,8,2
E00112313,93,6,54,18,3,4,8,0
E00112314,120,9,21,34,28,6,21,1
E00112315,109,11,12,34,38,7,6,1
E00112316,127,30,26,35,23,4,7,2
E00112317,120,9,34,35,20,3,17,2
E00112319,109,15,22,40,20,3,8,1
E00112320,127,15,21,40,36,1,13,1
E00112321,127,16,19,48,28,6,8,2
E00112322,125,8,36,31,24,14,12,0
E00112323,125,9,11,43,40,8,11,3
E00112324,115,15,9,46,35,3,6,1
E00112325,116,16,17,41,36,2,3,1
E00112326,124,12,3,67,35,0,5,2
E00112327,118,9,15,53,29,4,5,3
E00112328,110,33,8,42,21,0,6,0
E00112329,112,15,8,49,19,6,13,2
E00112330,119,15,13,35,36,7,11,2
E00112331,118,15,16,28,20,20,16,3
E00112332,111,10,3,55,29,5,8,1
E00112333,135,14,18,45,45,1,10,2
E00112334,120,16,12,55,26,3,7,1
E00112335,128,5,59,31,14,6,12,1
E00112336,101,10,13,36,16,9,14,3
E00112337,167,8,14,70,61,9,3,2
E00112338,145,18,16,69,34,4,3,1
E00112339,132,31,19,58,16,4,4,0
E00112340,105,10,10,42,32,3,7,1
E00112341,120,27,6,51,18,4,10,4
E00112342,134,17,20,62,23,3,7,2
E00112343,119,18,7,53,29,4,8,0
E00112344,115,17,15,48,24,3,6,2
E00112345,138,13,30,44,27,9,13,2
E00112346,129,20,16,49,28,9,6,1
E00112347,122,21,10,46,31,6,6,2
E00112348,116,5,16,44,35,8,4,4
E00112349,115,23,20,31,33,4,3,1
E00112350,116,10,15,39,39,4,8,1
E00112351,122,24,7,46,33,4,6,2
E00112352,126,8,15,46,47,6,4,0
E00112353,107,19,17,29,26,5,8,3
E00112354,120,9,15,47,37,9,2,1
E00112355,114,11,11,39,37,7,6,3
E00112356,144,41,23,37,27,8,6,2
E00112357,118,16,10,46,29,9,7,1
E00112358,117,11,14,45,32,7,4,4
E00112359,116,22,15,30,33,7,7,2
E00112360,120,10,18,26,38,21,7,0
E00112361,108,33,26,20,16,8,4,1
E00112362,128,24,17,34,33,8,10,2
E00112363,116,25,8,44,29,2,6,2
E00112364,137,16,12,62,35,5,2,5
E00112365,112,23,10,34,32,5,6,2
E00112366,125,20,10,52,28,5,9,1
E00112367,119,18,27,24,30,7,11,2
E00112368,129,21,10,56,32,2,5,3
E00112369,101,13,4,49,28,2,3,2
E00112370,131,15,19,51,33,7,5,1
E00112371,125,21,16,39,39,3,7,0
E00112372,126,38,16,45,19,6,2,0
