pop..lsoa_code,pop..total_persons,pop..males,pop..females,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
E01014884,2015,1281,734,65,124,129,195,254,762,358,128
E01014885,2142,1022,1120,131,219,158,218,230,658,362,166
E01014886,1836,863,973,92,114,109,215,207,459,308,332
E01014887,1338,619,719,61,61,94,110,126,367,337,182
E01014888,1747,811,936,64,116,90,153,179,441,334,370
E01014890,2155,1053,1102,115,197,156,161,177,632,470,247
E01014891,1685,837,848,46,126,103,185,165,476,407,177
E01014929,2287,1130,1157,98,161,172,263,209,718,430,236
E01014930,1970,919,1051,100,199,162,205,150,665,347,142
E01014962,1703,822,881,51,111,106,159,134,446,399,297
E01014985,1437,694,743,49,124,81,132,160,389,340,162
E01014986,1706,759,947,93,132,119,196,180,439,275,272
E01014987,1868,907,961,172,194,154,187,258,437,255,211
E01014988,1642,787,855,120,140,119,177,205,412,257,212
E01014989,1788,750,1038,71,148,122,219,303,541,260,124
E01014990,1466,695,771,62,130,69,120,122,367,310,286
E01014991,2262,1059,1203,110,207,186,279,306,612,299,263
E01014992,1394,716,678,64,105,104,142,151,380,303,145
E01014993,1535,765,770,70,96,98,158,149,455,324,185
E01015474,5190,2493,2697,606,749,372,483,822,1404,527,227
E01022100,1614,864,750,81,118,90,222,233,447,268,155
E01022101,1732,814,918,108,127,87,269,280,508,244,109
E01022102,1912,1075,837,75,69,24,621,409,466,205,43
E01022103,2959,1479,1480,200,296,177,434,490,806,408,148
E01022104,1617,808,809,110,163,154,146,226,449,249,120
E01022105,1499,717,782,56,129,170,136,109,489,253,157
E01022106,1694,839,855,95,173,101,164,207,436,284,234
E01022107,1483,741,742,80,144,91,133,164,456,217,198
E01022108,1675,826,849,75,119,99,151,131,505,355,240
E01022109,1515,759,756,59,134,157,148,119,452,228,218
E01022110,1392,675,717,60,172,140,105,113,471,186,145
E01022111,1508,733,775,72,150,189,114,126,472,218,167
E01022112,1242,583,659,65,144,130,85,108,394,188,128
E01022113,1695,816,879,66,139,151,67,93,459,375,345
E01022114,1613,789,824,77,153,155,98,92,536,273,229
E01022115,1635,777,858,68,114,94,157,174,497,348,183
E01022116,1453,787,666,34,60,335,304,151,270,137,162
E01022117,1771,977,794,23,33,54,561,251,369,269,211
E01022118,1499,701,798,85,141,146,130,142,476,267,112
E01022119,1303,630,673,85,79,113,203,170,414,160,79
E01022120,1582,797,785,131,163,127,225,260,408,178,90
E01022121,1756,858,898,145,242,140,304,267,409,184,65
E01022122,1294,603,691,91,143,120,193,180,297,178,92
E01022123,2105,1103,1002,107,148,118,367,332,536,306,191
E01022124,1274,638,636,27,27,27,250,199,316,218,210
E01022125,1117,565,552,31,52,56,167,127,318,232,134
E01022126,1336,707,629,23,23,73,317,247,338,203,112
E01022127,1900,718,1182,33,77,508,471,263,265,177,106
E01022128,1510,715,795,77,155,114,86,132,422,321,203
E01022129,2311,1083,1228,134,234,145,145,236,681,400,336
E01022130,1566,738,828,90,133,100,149,184,456,284,170
E01022131,1294,625,669,88,128,85,216,163,328,190,96
E01022132,1373,662,711,94,155,106,149,177,364,232,96
E01022133,1346,653,693,76,178,140,185,216,341,151,59
E01022134,1575,780,795,97,134,76,193,233,386,306,150
E01022135,1666,788,878,61,115,316,188,111,348,289,238
E01022136,1467,701,766,69,76,45,225,165,331,283,273
E01022137,1490,758,732,47,77,69,256,201,379,276,185
E01022138,1663,820,843,36,102,94,288,157,459,328,199
E01022139,2048,1034,1014,84,122,76,772,178,297,311,208
E01022140,1366,637,729,81,88,64,130,208,338,242,215
E01022141,1321,666,655,34,58,53,277,191,321,263,124
E01022142,1466,722,744,81,77,55,355,267,364,202,65
E01022143,1644,760,884,105,106,102,82,172,421,396,260
E01022144,1293,624,669,80,81,63,105,171,320,279,194
E01022145,1194,551,643,58,98,80,96,127,348,248,139
E01022146,1351,632,719,60,87,50,67,118,334,342,293
E01022147,1724,868,856,128,157,87,257,258,431,214,192
E01022148,1421,717,704,71,110,86,193,178,411,246,126
E01022149,1386,708,678,80,142,94,196,224,397,193,60
E01022150,1580,794,786,98,139,88,229,285,381,235,125
E01022151,1457,734,723,66,81,34,489,261,317,160,49
E01022152,1341,609,732,74,143,99,366,223,235,141,60
E01022153,1554,787,767,77,95,70,611,247,309,118,27
E01022154,1828,919,909,49,111,86,849,255,296,135,47
E01022155,1604,799,805,106,134,81,257,280,359,246,141
E01022156,1719,876,843,124,171,92,359,319,417,149,88
E01022157,1525,757,768,136,179,85,201,279,357,202,86
E01022158,2335,1261,1074,100,104,101,647,545,487,204,147
E01022159,1540,720,820,85,182,157,159,234,424,214,85
E01022160,2100,1023,1077,169,222,141,302,406,501,240,119
E01022161,1429,715,714,99,146,94,162,266,360,208,94
E01022162,1588,791,797,99,127,80,168,188,389,338,199
E01022163,1470,719,751,95,127,77,136,265,375,281,114
E01022164,1389,719,670,100,174,87,186,255,347,191,49
E01022165,1450,727,723,84,64,51,183,210,407,265,186
E01022166,1171,558,613,65,98,64,91,141,319,251,142
E01022167,1174,567,607,58,95,63,66,84,329,296,183
E01022168,1133,537,596,52,101,83,113,113,335,194,142
E01022169,1452,699,753,87,154,103,134,195,401,204,174
E01022170,1298,657,641,74,91,93,126,152,417,217,128
E01022171,1288,660,628,69,102,97,130,145,425,238,82
E01022172,1450,712,738,53,116,58,104,117,425,281,296
E01022173,1227,575,652,60,93,86,157,173,311,193,154
E01022174,1291,641,650,65,113,80,104,164,366,229,170
E01022175,1834,905,929,61,115,84,205,130,554,471,214
E01022176,1808,901,907,76,151,116,137,135,615,427,151
E01022177,1927,918,1009,54,85,94,194,137,514,459,390
E01022178,1301,650,651,40,100,83,118,100,365,320,175
E01022179,1908,906,1002,88,118,127,140,130,567,465,273
E01022180,2728,1260,1468,177,236,195,264,332,725,444,355
E01022181,1779,832,947,53,117,99,121,152,435,441,361
E01022182,1656,795,861,52,91,120,137,117,459,430,250
E01022183,1538,724,814,48,93,92,110,110,385,357,343
E01022184,1486,724,762,40,82,88,103,88,409,402,274
E01022185,1925,930,995,107,160,128,119,176,553,414,268
E01022186,1704,843,861,69,140,126,146,135,520,399,169
E01022187,1940,988,952,82,137,205,218,160,542,403,193
E01022188,1923,930,993,108,213,165,233,249,565,269,121
E01022189,1347,673,674,37,111,124,135,98,443,284,115
E01022190,1525,728,797,119,149,119,203,205,400,246,84
E01022191,1290,612,678,56,91,59,230,167,347,224,116
E01022192,1219,594,625,38,88,87,222,126,354,191,113
E01022193,977,491,486,48,67,74,94,86,245,213,150
E01022194,1884,892,992,61,87,77,291,258,386,287,437
E01022195,1724,807,917,44,72,82,467,100,401,291,267
E01022196,1759,859,900,92,114,140,174,160,540,326,213
E01022197,1877,899,978,118,137,130,165,203,523,409,192
E01022198,1245,634,611,60,86,80,203,156,333,204,123
E01022199,1704,838,866,49,98,65,306,167,480,321,218
E01022200,1262,616,646,90,120,78,199,147,303,188,137
E01022201,1770,854,916,71,129,98,185,157,549,451,130
E01022202,1273,606,667,78,148,108,100,118,352,272,97
E01022203,2228,1053,1175,123,204,149,197,228,556,408,363
E01022204,1361,666,695,59,117,78,163,125,389,308,122
E01022205,1723,832,891,60,109,87,147,106,527,433,254
E01022206,2555,1242,1313,177,216,162,255,306,723,497,219
E01022207,1746,862,884,38,116,137,128,106,537,482,202
E01022208,1637,773,864,61,123,118,118,126,470,372,249
E01022209,1205,606,599,53,78,67,121,111,396,280,99
E01022210,1390,687,703,58,67,58,89,100,392,381,245
E01022211,1933,876,1057,75,109,80,188,201,479,405,396
E01022212,2806,1367,1439,204,262,166,267,345,833,474,255
E01022213,2004,959,1045,112,168,126,178,194,552,385,289
E01022214,2999,1448,1551,191,274,259,270,333,1021,462,189
E01022215,1799,893,906,51,118,113,117,148,598,450,204
E01022216,1864,895,969,73,144,119,140,178,594,439,177
E01022217,1250,587,663,52,92,72,124,136,344,310,120
