health..sa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health,health..not_stated
A027001001,335,102,62,22,4,0,145
A027001002,259,113,89,41,6,0,10
A027001003,192,88,65,25,5,0,9
A027001004,177,106,53,14,1,1,2
A027002001,175,113,46,11,3,0,2
A027002002,340,177,115,21,3,1,23
A027002003,174,122,37,14,1,0,0
A027002004,157,80,41,29,4,0,3
A027002005,173,106,46,16,2,0,3
A027003001,243,154,59,23,0,0,7
A027003002,152,92,42,13,1,0,4
A027004001,234,124,75,27,4,0,4
A027004002,196,113,59,17,1,0,6
A027004003,162,86,57,15,0,2,2
A027004004,217,130,62,23,1,0,1
A027004005,252,166,60,20,2,1,3
A027004006,311,183,95,24,2,1,6
A027004007,279,184,72,21,1,0,1
A027004008,266,163,64,27,1,1,10
A027004009,262,164,77,12,3,0,6
A027004010,185,113,56,15,0,0,1
A027004011,172,105,42,19,2,0,4
A027004012,283,190,74,11,1,2,5
A027004013,208,126,63,13,5,0,1
A027004014,238,169,51,12,1,1,4
A027004015,141,60,52,23,5,0,1
A027004016,209,93,74,30,8,2,2
A027004017,229,123,71,28,7,0,0
A027004018,198,101,50,28,13,2,4
A027005001,193,101,63,22,1,1,5
A027005002,134,76,38,16,3,0,1
A027006001,228,149,52,20,2,2,3
A027006002,225,149,51,21,1,0,3
A027006003,209,139,58,6,0,2,4
A027006004,202,128,51,21,2,0,0
A027006005,184,128,44,6,0,1,5
A027006006,125,68,31,17,4,2,3
A027006007,143,48,55,30,8,0,2
A027006008,196,114,58,21,1,0,2
A027007001,214,145,47,14,1,0,7
A027007002,290,151,115,15,3,0,6
A027007003,199,122,60,16,0,1,0
A027007004,251,155,68,23,1,1,3
A027008001,290,187,69,18,6,0,10
A027008002,222,127,66,21,4,0,4
A027008003,293,177,78,33,1,1,3
A027008004,320,205,95,16,1,0,3
A027008005,227,138,65,16,3,1,4
A027008006,280,167,71,16,4,0,22
A027008007,279,142,99,31,2,0,5
A027008008,232,138,58,21,5,0,10
A027008009,256,134,94,21,5,0,2
A027008010,201,86,84,20,1,0,10
A027008011,208,94,71,15,4,0,24
A027008012,288,162,96,18,5,2,5
