pop..sa_code,pop..total_persons,pop..males,pop..females,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
A027001001,335,184,151,21,16,16,145,70,48,16,3
A027001002,259,124,135,15,16,23,33,24,77,41,30
A027001003,192,97,95,6,17,6,34,21,45,45,18
A027001004,177,95,82,15,20,17,9,27,57,23,9
A027002001,175,91,84,5,15,29,12,21,59,26,8
A027002002,340,166,174,18,20,17,33,49,112,76,15
A027002003,174,88,86,12,26,15,13,25,52,26,5
A027002004,157,79,78,12,14,13,8,20,36,35,19
A027002005,173,87,86,12,10,13,22,26,42,38,10
A027003001,243,133,110,10,34,27,31,38,57,33,13
A027003002,152,75,77,7,15,20,15,14,44,21,16
A027004001,234,132,102,21,29,14,19,31,64,27,29
A027004002,196,110,86,18,29,20,19,24,52,22,12
A027004003,162,80,82,4,8,19,21,12,46,29,23
A027004004,217,102,115,16,29,27,21,12,69,34,9
A027004005,252,130,122,21,28,30,26,31,75,27,14
A027004006,311,150,161,15,32,39,44,29,96,39,17
A027004007,279,154,125,14,29,29,27,37,75,47,21
A027004008,266,137,129,16,36,22,31,26,77,40,18
A027004009,262,129,133,42,28,18,51,63,36,22,2
A027004010,185,91,94,11,18,19,24,11,62,35,5
A027004011,172,91,81,12,23,10,26,26,43,21,11
A027004012,283,134,149,29,38,21,38,50,67,35,5
A027004013,208,110,98,23,29,12,27,29,45,31,12
A027004014,238,115,123,22,41,30,27,48,44,20,6
A027004015,141,64,77,13,18,6,9,24,31,25,15
A027004016,209,105,104,12,26,20,28,34,57,25,7
A027004017,229,105,124,25,38,26,35,43,40,12,10
A027004018,198,90,108,4,7,14,30,23,53,29,38
A027005001,193,93,100,17,14,8,34,46,43,16,15
A027005002,134,76,58,8,14,7,17,20,39,21,8
A027006001,228,123,105,12,23,16,36,35,58,32,16
A027006002,225,114,111,10,21,19,38,29,69,28,11
A027006003,209,110,99,15,19,19,37,12,64,32,11
A027006004,202,103,99,19,12,19,28,35,42,37,10
