health..oa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00037093,315,111,92,69,39,4
E00037098,232,103,74,42,12,1
E00037114,371,176,135,42,14,4
E00037115,301,95,95,76,25,10
E00037116,290,114,97,57,16,6
E00037117,276,68,119,54,27,8
E00037118,334,119,138,49,24,4
E00037119,329,142,110,43,23,11
E00037120,276,124,98,37,16,1
E00037121,268,107,95,40,21,5
E00037122,285,101,101,54,23,6
E00037123,337,145,111,52,23,6
E00037124,337,136,111,58,24,8
E00037125,282,100,89,49,36,8
E00037126,283,96,87,69,25,6
E00037127,368,157,128,54,22,7
E00037128,348,134,127,58,19,10
E00037129,324,113,137,47,22,5
E00037130,241,93,85,36,22,5
E00037131,296,113,90,55,28,10
E00037132,264,95,104,45,16,4
E00037133,317,123,127,45,16,6
E00037134,324,125,101,64,28,6
E00037135,269,75,78,66,42,8
E00037136,277,95,91,58,25,8
E00037137,262,89,82,55,29,7
E00037138,267,101,91,46,26,3
E00037139,252,53,61,71,49,18
E00037140,288,96,79,72,30,11
E00037141,366,141,127,61,28,9
E00037142,469,240,155,49,16,9
E00037143,413,151,139,83,33,7
E00037144,601,248,203,66,37,47
E00037145,317,123,97,64,24,9
E00037146,245,53,53,79,44,16
E00037147,513,185,147,120,49,12
E00037149,295,115,97,50,27,6
E00037150,327,106,126,65,23,7
E00037151,356,136,116,63,32,9
E00037152,353,143,112,61,34,3
E00037153,319,130,95,58,31,5
E00037154,312,144,100,39,23,6
E00037155,242,81,68,54,29,10
E00037156,474,208,144,75,34,13
E00037157,483,187,161,74,51,10
E00037158,233,70,67,47,41,8
E00037159,319,124,97,55,35,8
E00037160,609,309,163,96,31,10
E00037161,244,57,55,59,51,22
E00037162,383,187,126,38,25,7
E00037163,361,148,119,68,21,5
E00037164,293,114,95,55,19,10
E00037165,536,219,201,76,28,12
E00037166,366,157,125,58,18,8
E00037167,358,171,102,54,26,5
E00037168,297,118,102,55,19,3
E00037169,258,96,93,48,15,6
E00037170,251,103,101,25,18,4
E00037171,259,99,96,47,14,3
E00037172,273,106,114,43,5,5
E00037173,291,106,126,35,21,3
E00037174,301,129,117,39,13,3
E00037175,278,84,110,63,18,3
E00037176,335,146,114,51,19,5
E00037177,322,156,107,37,21,1
E00037178,321,137,103,53,25,3
E00037179,173,22,37,65,38,11
E00037180,295,117,103,48,21,6
E00037181,230,51,63,79,30,7
E00037182,267,113,103,36,13,2
E00037183,380,156,161,40,16,7
E00037184,319,121,134,46,16,2
E00037186,258,116,82,43,11,6
E00037187,274,104,96,44,25,5
E00037188,171,18,40,62,43,8
E00037189,292,112,103,51,21,5
E00037190,149,8,38,65,29,9
E00037191,185,51,59,53,19,3
E00037192,375,183,126,52,10,4
E00037193,328,147,112,46,19,4
E00037194,288,114,122,33,17,2
E00037195,350,134,161,39,15,1
E00037196,355,164,92,59,29,11
E00037197,201,82,68,32,13,6
E00037198,270,127,81,42,15,5
E00037199,214,78,88,31,17,0
E00037200,279,129,99,37,12,2
E00037201,272,116,101,41,13,1
E00037202,314,153,122,27,9,3
E00037203,218,106,67,31,12,2
E00037204,268,103,93,49,16,7
E00037205,306,141,115,38,8,4
E00037206,382,152,140,59,29,2
E00037207,333,127,120,56,25,5
E00037208,445,229,140,63,11,2
E00037209,141,7,25,64,34,11
E00037210,302,122,111,49,17,3
E00037211,288,118,98,55,15,2
E00037212,313,131,97,58,19,8
E00037213,256,106,92,42,13,3
E00037215,250,101,93,35,17,4
E00037216,274,109,99,46,17,3
E00037217,307,130,88,60,25,4
E00037218,324,134,113,48,23,6
E00037219,336,168,96,45,19,8
E00037220,332,135,125,54,14,4
E00037221,419,184,129,66,35,5
E00037222,346,192,105,36,9,4
E00037223,438,191,138,77,26,6
E00037224,316,125,121,50,14,6
E00037225,319,170,92,39,10,8
E00037226,362,172,114,42,28,6
E00037227,304,148,107,41,8,0
E00037228,312,107,102,59,32,12
E00037229,293,102,96,62,23,10
E00037230,395,187,119,55,29,5
E00037231,195,53,64,49,24,5
E00037232,291,114,100,57,15,5
E00037233,399,178,139,49,26,7
E00037234,362,168,130,43,16,5
E00037235,341,143,105,68,18,7
E00037236,346,160,107,49,24,6
E00037237,312,116,106,62,21,7
E00037238,219,70,77,45,18,9
E00037239,363,145,117,61,32,8
E00037276,338,184,112,31,7,4
E00037277,308,121,133,43,10,1
E00037278,276,117,99,36,21,3
E00037279,301,100,130,48,16,7
E00037280,350,166,133,36,8,7
E00037281,252,72,73,66,36,5
E00037282,302,124,107,47,17,7
E00037283,238,67,83,65,19,4
E00037284,286,155,77,37,15,2
E00037285,262,110,89,47,14,2
E00037286,294,140,95,44,14,1
E00037287,351,158,121,53,16,3
E00037288,274,117,100,38,14,5
E00037289,246,101,98,31,12,4
E00037290,307,149,104,38,12,4
E00037291,258,94,114,35,10,5
E00037292,289,124,97,48,19,1
E00037293,261,97,109,39,12,4
E00037294,252,108,79,42,20,3
E00037295,336,208,106,19,2,1
E00037296,202,44,60,53,36,9
E00037297,280,113,100,50,15,2
E00037298,289,137,90,43,16,3
E00037299,282,120,99,38,23,2
E00037300,313,93,110,81,19,10
E00037301,353,150,122,57,14,10
E00037302,307,150,97,45,13,2
E00037303,240,111,82,33,11,3
E00037304,257,119,74,43,17,4
E00037305,344,210,98,26,5,5
E00037306,291,142,103,32,13,1
E00037307,256,90,88,51,17,10
E00037308,433,179,119,87,39,9
E00037309,335,158,109,46,14,8
E00037310,301,105,93,71,22,10
E00037311,320,131,111,53,22,3
E00037312,331,151,116,49,12,3
E00037313,336,162,108,49,16,1
E00037314,308,138,95,45,25,5
E00037315,279,98,88,58,29,6
E00037316,336,136,103,63,29,5
E00037317,310,148,121,29,11,1
E00037318,294,127,101,50,13,3
E00037319,429,230,127,54,14,4
E00037320,225,60,69,69,26,1
E00037321,299,116,105,43,25,10
E00037395,385,240,105,26,11,3
E00037396,230,50,86,72,19,3
E00037397,335,159,129,39,5,3
E00037398,284,127,103,42,10,2
E00037399,407,252,129,17,6,3
E00037400,335,159,134,31,8,3
E00037401,406,198,131,52,21,4
E00037402,340,155,126,43,14,2
E00037403,283,110,110,43,13,7
E00037404,303,155,109,27,10,2
E00037405,389,127,115,90,40,17
E00037406,312,127,94,59,22,10
E00037407,209,52,68,54,30,5
E00037408,273,84,86,64,34,5
E00037409,250,79,96,59,10,6
E00037410,322,141,111,50,15,5
E00037411,249,122,80,38,9,0
E00037412,274,101,96,56,19,2
E00037413,295,120,110,42,16,7
E00037414,282,100,108,51,19,4
E00037415,297,125,87,54,25,6
E00037416,279,100,120,40,17,2
E00037417,267,129,84,40,13,1
E00037418,335,185,102,35,10,3
E00037419,426,202,158,50,12,4
E00037420,312,144,109,40,15,4
E00037421,254,72,86,65,22,9
E00037422,332,135,101,69,22,5
E00037423,291,127,96,47,19,2
E00037424,269,97,100,52,16,4
E00037425,292,160,103,21,5,3
E00037426,324,145,116,40,18,5
E00037427,355,176,117,40,17,5
E00037428,293,112,107,53,16,5
E00037429,288,131,90,54,10,3
E00037430,335,163,103,43,21,5
E00037431,298,132,110,40,15,1
E00037432,356,135,161,38,17,5
E00037433,271,90,100,51,21,9
E00037434,223,83,73,45,18,4
E00037435,315,151,118,33,10,3
E00037436,378,215,125,30,7,1
E00037437,293,118,113,43,15,4
E00037438,292,130,106,36,18,2
E00037439,476,232,168,60,15,1
E00037502,297,106,130,44,13,4
E00037503,233,73,82,55,20,3
E00037505,356,115,105,73,47,16
E00037507,330,127,110,52,33,8
E00037508,365,164,103,71,22,5
E00037509,214,105,58,35,15,1
E00037510,299,131,110,40,17,1
E00037511,256,75,110,56,14,1
E00037512,250,82,83,53,22,10
E00037513,253,96,89,44,19,5
E00037514,364,155,110,48,42,9
E00037515,269,83,131,47,8,0
E00037516,454,222,153,57,17,5
E00037517,287,131,91,42,17,6
E00037518,286,113,78,60,27,8
E00037519,348,139,95,72,29,13
E00037520,240,58,92,64,22,4
E00037521,230,60,86,58,19,7
E00037522,281,132,80,47,17,5
E00037523,314,133,104,49,20,8
E00037524,267,81,92,71,17,6
E00037525,232,58,81,57,30,6
E00037526,208,82,56,42,25,3
E00037527,250,83,93,49,20,5
E00037528,322,129,87,58,43,5
E00037529,313,137,102,52,18,4
E00037530,300,111,101,58,26,4
E00037531,319,99,122,58,30,10
E00037532,226,65,66,59,28,8
E00037533,318,115,117,54,23,9
E00037534,255,87,74,53,29,12
E00037535,341,148,99,52,34,8
E00037536,374,187,127,40,15,5
E00037537,218,83,59,38,34,4
E00037538,319,138,123,46,9,3
E00037539,260,94,90,46,25,5
E00037540,453,243,124,62,17,7
E00037541,267,119,82,50,9,7
E00037542,312,120,115,57,16,4
E00037543,421,207,135,57,14,8
E00037544,284,110,108,50,14,2
E00037545,330,151,107,45,19,8
E00037546,263,82,82,64,28,7
E00037547,270,101,93,55,18,3
E00037548,291,152,86,36,12,5
E00037549,241,67,86,65,16,7
E00037550,343,127,122,69,19,6
E00037551,316,144,120,41,9,2
E00037553,291,128,104,41,15,3
E00037554,249,115,87,32,11,4
E00037555,274,87,109,56,15,7
E00037556,283,135,79,48,16,5
E00037557,220,93,76,38,11,2
E00037558,284,153,88,36,5,2
E00037559,359,170,107,67,12,3
E00037560,280,93,86,57,34,10
E00037561,349,142,113,67,21,6
E00037562,237,95,86,32,20,4
E00037563,304,148,105,40,10,1
E00037564,179,76,57,28,14,4
E00037565,316,139,92,50,22,13
E00037566,286,109,83,61,27,6
E00037567,200,78,61,36,19,6
E00037568,210,66,66,48,22,8
E00037569,280,103,93,57,22,5
E00037573,277,102,94,54,25,2
E00037580,242,98,82,39,21,2
E00037581,237,114,85,28,9,1
E00037582,223,107,67,38,9,2
E00037583,305,131,110,47,9,8
E00037584,300,139,106,39,11,5
E00037585,286,149,90,35,10,2
E00037586,316,135,106,56,12,7
E00037587,284,110,104,45,23,2
E00037588,295,118,102,51,18,6
E00037589,323,139,107,43,28,6
E00037590,215,66,67,39,32,11
E00037592,338,118,91,82,34,13
E00037593,290,111,108,43,23,5
E00037594,364,157,145,48,11,3
E00037595,238,99,82,37,15,5
E00037596,291,135,107,39,8,2
E00037597,258,121,94,33,9,1
E00037598,128,58,49,15,3,3
E00037599,346,179,126,34,4,3
E00037600,542,302,182,51,7,0
E00037601,281,126,85,36,27,7
E00037602,402,248,113,32,7,2
E00037603,239,96,72,44,18,9
E00037604,341,181,115,36,7,2
E00037605,332,153,116,46,14,3
E00037606,503,279,153,48,20,3
E00037607,260,105,119,30,4,2
E00037608,285,118,115,33,16,3
E00037609,241,61,74,79,22,5
E00037610,296,135,102,45,13,1
E00037611,359,221,104,28,5,1
E00037612,297,159,106,25,7,0
E00037613,390,170,140,63,13,4
E00037628,325,142,121,43,15,4
E00037629,243,104,72,48,15,4
E00037630,460,206,170,54,24,6
E00037631,222,111,84,23,2,2
E00037632,293,134,108,35,11,5
E00037633,537,274,183,66,13,1
E00037634,330,154,121,40,10,5
E00037636,190,85,54,40,10,1
E00037637,314,115,98,77,19,5
E00037638,264,103,88,44,20,9
E00037639,230,99,86,30,10,5
E00037640,281,104,96,55,18,8
E00037641,370,183,136,43,5,3
E00037642,292,178,85,23,6,0
E00037643,181,114,46,11,7,3
