house..oa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00037093,122,11,32,44,21,8,1,5
E00037098,118,19,28,31,20,11,8,1
E00037114,153,5,37,41,42,14,8,6
E00037115,149,30,28,56,17,8,5,5
E00037116,129,27,13,44,19,9,12,5
E00037117,125,19,26,46,14,7,11,2
E00037118,137,20,15,47,22,13,14,6
E00037119,130,17,14,38,35,13,11,2
E00037120,120,7,27,41,31,8,5,1
E00037121,104,7,18,26,24,17,9,3
E00037122,116,10,22,27,17,20,16,4
E00037123,119,7,10,31,32,27,10,2
E00037124,127,11,15,32,32,19,14,4
E00037125,143,32,33,32,21,13,11,1
E00037126,121,19,15,38,23,15,6,5
E00037127,131,6,20,28,31,31,9,6
E00037128,116,8,13,29,30,22,11,3
E00037129,120,9,14,29,24,25,13,6
E00037130,107,26,13,26,18,13,6,5
E00037131,133,22,26,29,22,23,8,3
E00037132,115,10,16,57,17,7,7,1
E00037133,135,17,24,43,27,15,7,2
E00037134,132,16,15,42,27,16,12,4
E00037135,134,24,32,48,15,8,6,1
E00037136,126,38,16,32,21,5,10,4
E00037137,126,20,35,29,21,8,10,3
E00037138,114,14,16,46,28,4,4,2
E00037139,134,42,18,41,13,4,15,1
E00037140,133,27,13,43,24,12,14,0
E00037141,148,11,13,58,36,11,16,3
E00037142,194,11,28,82,45,17,6,5
E00037143,165,23,23,55,33,12,12,7
E00037144,226,14,33,86,47,27,14,5
E00037145,131,24,11,42,26,14,11,3
E00037146,148,54,30,44,11,0,7,2
E00037147,223,25,52,84,21,26,10,5
E00037149,116,14,12,38,21,19,9,3
E00037150,126,10,15,45,28,16,10,2
E00037151,128,7,14,38,32,19,14,4
E00037152,124,7,13,39,31,22,8,4
E00037153,136,15,19,55,18,11,12,6
E00037154,131,12,25,52,24,10,4,4
E00037155,116,32,11,38,16,9,9,1
E00037156,182,7,32,59,49,19,8,8
E00037157,201,24,30,73,42,16,14,2
E00037158,126,28,38,25,11,17,5,2
E00037159,127,21,21,31,25,16,10,3
E00037160,227,18,21,79,72,20,12,5
E00037161,123,32,25,41,9,4,11,1
E00037162,155,14,20,54,47,12,6,2
E00037163,153,12,19,79,26,8,7,2
E00037164,137,22,27,48,16,12,7,5
E00037165,235,24,38,97,54,12,8,2
E00037166,164,18,26,70,25,10,10,5
E00037167,132,10,21,40,36,10,11,4
E00037168,134,14,23,56,22,10,8,1
E00037169,127,16,33,36,18,11,11,2
E00037170,126,6,41,34,18,11,15,1
E00037171,109,18,7,59,14,3,5,3
E00037172,102,4,8,50,29,4,6,1
E00037173,120,14,10,56,33,3,3,1
E00037174,154,13,49,49,22,11,7,3
E00037175,141,11,44,39,15,14,18,0
E00037176,158,10,41,48,27,17,11,4
E00037177,137,8,40,34,28,6,18,3
E00037178,174,37,53,44,18,8,12,2
E00037179,118,54,18,38,1,1,6,0
E00037180,167,14,71,40,19,10,12,1
E00037181,156,74,36,24,11,3,8,0
E00037182,143,17,44,35,21,16,8,2
E00037183,180,15,58,44,37,11,12,3
E00037184,157,15,44,50,28,8,11,1
E00037186,124,6,44,28,24,16,3,3
E00037187,128,9,42,34,18,11,11,3
E00037188,142,52,66,17,2,0,5,0
E00037189,139,15,47,21,29,15,8,4
E00037190,111,58,15,33,0,1,4,0
E00037191,117,16,63,18,5,8,5,2
E00037192,149,19,20,50,37,9,10,4
E00037193,140,13,26,45,24,15,12,5
E00037194,138,7,45,32,22,20,10,2
E00037195,150,8,43,39,25,18,11,6
E00037196,154,11,31,56,30,12,12,2
E00037197,109,16,40,21,13,8,11,0
E00037198,118,10,22,27,20,25,11,3
