rel..parish_code,rel..parish_legal_name,rel..deanery_name,rel..diocese_name,rel..population,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated,rel..religion_buddhist,rel..religion_christian,rel..religion_hindu,rel..religion_jewish,rel..religion_muslim,rel..religion_no_religion,rel..religion_not_stated_2,rel..religion_other,rel..religion_sikh
460001,CATHEDRAL CHURCH OF ST. PETER AND ST. WILFRID RIPON,Cathedral,Leeds,10375,7350.00920289619,18.5368488126599,12.82535884924,17.89349112898,22.35126216997,6.99999999917,24.8667515813799,2192.18858566509,729.32849902199,18.5368488126599,7350.00920289619,12.82535884924,17.89349112898,22.35126216997,2192.18858566509,729.32849902199,24.8667515813799,6.99999999917
460003,ST. PETER BRADFORD,Cathedral,Leeds,2256,878.4721288695,14.7521135613499,116.43686443598,0,620.4894413392,23.87671773345,12.55592041595,483.59943566818,105.817378025349,14.7521135613499,878.4721288695,116.43686443598,0,620.4894413392,483.59943566818,105.817378025349,12.55592041595,23.87671773345
460004,"ALL SAINTS, WAKEFIELD",Cathedral,Leeds,1512,877.8020882739,1.82830072321,16.50514268928,0.9999999999,177.8512859057,2.90935724364,12.89528795748,340.7451408145,80.4633963942299,1.82830072321,877.8020882739,16.50514268928,0.9999999999,177.8512859057,340.7451408145,80.4633963942299,12.89528795748,2.90935724364
460010,ACKWORTH,PONTEFRACT,Leeds,6907,4924.63037294499,14.00000000017,21.9224376722199,0,17.84487534904,0.99999999945,22.9612188330299,1497.95616860045,406.68492662611,14.00000000017,4924.63037294499,21.9224376722199,0,17.84487534904,1497.95616860045,406.68492662611,22.9612188330299,0.99999999945
460011,ADDINGHAM,South Craven and Wharfedale,Leeds,3730,2629.9999999537,5.0000000006,0,9.000000005,4.00000000253,0,7.00000000065,841.0000000142,234.00000000444,5.0000000006,2629.9999999537,0,9.000000005,4.00000000253,841.0000000142,234.00000000444,7.00000000065,0
460012,ADEL,HEADINGLEY,Leeds,6921,4002.8555337921,45.8195134963299,178.634473567479,68.67668745229,311.02749290691,112.13461138144,11.91361999418,1725.3807973222,464.55727016895,45.8195134963299,4002.8555337921,178.634473567479,68.67668745229,311.02749290691,1725.3807973222,464.55727016895,11.91361999418,112.13461138144
460013,AINDERBY STEEPLE WITH YAFFORTH AND KIRBY WISKE WITH MAUNBY,WENSLEY,Leeds,1490,1135.71092001409,4.82879680594,0,0,0.0720461095,0,1.00000000056,252.953849552999,95.43438751175,4.82879680594,1135.71092001409,0,0,0.0720461095,252.953849552999,95.43438751175,1.00000000056,0
460014,AIREDALE WITH FRYSTON,PONTEFRACT,Leeds,14703,9591.9828077898,17.59010115614,5.89427312884999,4.92113564659999,40.82951932247,13.0000000010599,26.2652532891699,4077.2514610095,925.265448725881,17.59010115614,9591.9828077898,5.89427312884999,4.92113564659999,40.82951932247,4077.2514610095,925.265448725881,26.2652532891699,13.0000000010599
460015,ALDBOROUGH WITH BOROUGHBRIDGE AND ROECLIFFE,RIPON,Leeds,3904,2828.94704616479,1.97767857149,2.00000000224,4.00000000112999,4.00000000039,0,10.16600790806,750.057859292539,302.85140812321,1.97767857149,2828.94704616479,2.00000000224,4.00000000112999,4.00000000039,750.057859292539,302.85140812321,10.16600790806,0
460016,ALDBROUGH,RICHMOND,Leeds,547,428.376319592299,0.984188937259999,0,0,1.04659498278999,0,0.05176294073,79.2077617444,37.33337180323,0.984188937259999,428.376319592299,0,0,1.04659498278999,79.2077617444,37.33337180323,0.05176294073,0
460017,"ST. PETER, ALLERTON",Outer Bradford,Leeds,10650,5176.3225912053,18.45265053427,118.26991463232,5.67865249329,2500.92899367611,80.84001299889,74.40632174457,2042.84346790643,632.257394758199,18.45265053427,5176.3225912053,118.26991463232,5.67865249329,2500.92899367611,2042.84346790643,632.257394758199,74.40632174457,80.84001299889
460018,ALMONDBURY WITH FARNLEY TYAS,Almondbury and Kirkburton,Leeds,11662,6846.57083734959,41.0115015295199,39.0379288913399,12.84195402847,485.65921095395,63.2689387038899,35.80464524652,3332.6822582727,805.12272502829,41.0115015295199,6846.57083734959,39.0379288913399,12.84195402847,485.65921095395,3332.6822582727,805.12272502829,35.80464524652,63.2689387038899
460019,"ST. MARY, ALOFTS",WAKEFIELD,Leeds,6038,4282.00000006159,10.00000000105,5.00000000136,1.00000000005,32.00000000385,2.00000000109,10.99999999674,1277.9999999543,416.999999997259,10.00000000105,4282.00000006159,5.00000000136,1.00000000005,32.00000000385,1277.9999999543,416.999999997259,10.99999999674,2.00000000109
460020,SAINT PAUL ALVERTHORPE,WAKEFIELD,Leeds,5850,3911.959812244,9.99999999901,12.5631823850699,0,105.78154263013,1.99999999924,14.00000000165,1417.80935335399,375.886109262979,9.99999999901,3911.959812244,12.5631823850699,0,105.78154263013,1417.80935335399,375.886109262979,14.00000000165,1.99999999924
460022,"ST. BARTHOLOMEW, ARMLEY WITH ST. MARY, NEW WORTLEY",ARMLEY,Leeds,9510,4487.11694268379,44.04997031124,92.35909287825,23.0349570202799,932.194618227029,96.4954928003199,37.43322179368,3138.2412314895,659.07447284862,44.04997031124,4487.11694268379,92.35909287825,23.0349570202799,932.194618227029,3138.2412314895,659.07447284862,37.43322179368,96.4954928003199
460024,ASKRIGG,WENSLEY,Leeds,942,672.1309137087,5.54513725948999,1.96707818813,1,0,0,1.57805907128999,197.3700448009,62.40876699301,5.54513725948999,672.1309137087,1.96707818813,1,0,197.3700448009,62.40876699301,1.57805907128999,0
460025,ST. HELEN ATHERSLEY,BARNSLEY,Leeds,10054,6617.9349366592,20.0112727298799,3.96376811471,0,50.13660897822,20.44504643518,11.5735819320999,2704.9430729115,624.991712129209,20.0112727298799,6617.9349366592,3.96376811471,0,50.13660897822,2704.9430729115,624.991712129209,11.5735819320999,20.44504643518
460026,AUSTWICK,Bowland and Ewecross,Leeds,668,495.4081225685,0,0,1.00000000025,0,0,0,126.0331510856,45.5587263674199,0,495.4081225685,0,1.00000000025,0,126.0331510856,45.5587263674199,0,0
460027,AYSGARTH,WENSLEY,Leeds,1036,706.3993964274,1.99999999942999,5.00000000151,3.99999999833,0,0,3.01562500060999,246.7547702527,68.83020833286,1.99999999942999,706.3993964274,5.00000000151,3.99999999833,0,246.7547702527,68.83020833286,3.01562500060999,0
