ethn..parish_code,ethn..parish_legal_name,ethn..deanery_name,ethn..diocese_name,ethn..population,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity,ethn..ethnicity_asian_bangladeshi,ethn..ethnicity_asian_chinese,ethn..ethnicity_asian_indian,ethn..ethnicity_asian_other,ethn..ethnicity_asian_pakistani,ethn..ethnicity_back_african,ethn..ethnicity_black_british,ethn..ethnicity_black_caribbean,ethn..ethnicity_mixed_other,ethn..ethnicity_mixed_white_asian,ethn..ethnicity_mixed_white_black_african,ethn..ethnicity_mixed_white_black_caribbean,ethn..ethnicity_other_arab,ethn..ethnicity_other_other,ethn..ethnicity_white_british,ethn..ethnicity_white_gypsy_or_irish_traveller,ethn..ethnicity_white_irish,ethn..ethnicity_white_other
210003,ASLACKBY,LAFFORD,Lincoln,315,310.94323739198,1.22838981255,0.00980392156,2.81856886296,0,0,0,0,0.00980392156,0,0,1.22838981255,0,1.87250996015,0,0,0.94605890281,0,0,306.5159085934,0,0.00980392156,4.41752487702
210004,BARHOLME WITH STOWE,Stamford,Lincoln,97,95.60431655050999,0,0,0.6978417262,0.6978417262,0,0,0,0,0,0,0,0,0.6978417262,0,0,0,0,0.6978417262,90.021582738,0,0,5.58273381250999
210005,BASTON,Elloe West,Lincoln,1440,1418.06349206988,4.9788359790599905,3.98941799206,12.96825397127999,0,0,0,2.98941799078,1.00000000128,0,2.97883597721999,0,2.00000000184,1.00000000128,3.96825397083999,5.99999999948,1.99999999968,0,0,1386.116402121,0,5.97883597763999,25.96825397124
210006,BILLINGBOROUGH,LAFFORD,Lincoln,1385,1362.10738252832,6.96420582151,7.000000004299979,7.0000000016799895,1.92841163283,0,1.00000000131999,5.00000000166,1.00000000131999,0,5.96420582047,1.00000000104,0,0,6.00000000036,1.00000000131999,0,0,1.92841163283,1333.3579418107,0,4.00000000153999,24.74944071608
210007,BOURNE,Beltisloe,Lincoln,14450,14080.259151649032,65.8963423595599,150.8963423474799,136.94816361404,15.999999997309999,0,43.93670885718,35.9912790628899,61.96835442834,8.99999999906999,40.90506329297,9.00000000216999,15.9912790644199,24.99999999924,43.93670885616,18.01253918368,49.99891557496,7.99999999851,7.9999999988,13647.2333181351,3.99999999829,52.94641759087,376.07941592477
210009,BRACEBOROUGH,Stamford,Lincoln,203,197.67540983945997,0,3.3278688498299998,1.9967213107099901,0,0,0.66557376956,1.99672131071,0.66557376956,0,0,0,0,0.66557376956,0,0,1.33114754114999,0,0,191.6852459053,0,1.33114754114999,4.65901639300999
210011,DEEPING ST. JAMES,Elloe West,Lincoln,7160,7050.45908650027,13.10152495278999,40.9134174679299,51.5259710908399,4.0000000045,1.00000000062,15.6032566564799,20.2936045193,4.01655629153,0,7.0724090324,2.97549019505,3.05362572533999,9.89437625335,12.6166080755199,0.31313456852,28.70185219345,2.0000000023,2.0000000022,6910.9598042658,0.991150443359999,24.81989963703,113.68823215408
210012,DOWSBY,LAFFORD,Lincoln,208,205.973718743639,0.02294455068,0.990196077559999,1.01314062824,0,0,0,0,0.990196077559999,0,0,0.01147227534,0.01147227534,0,0.01147227534,0,1.0016683529,0,0,196.025868858599,0,1.0016683529,8.94618153213999
210013,DUNSBY,Beltisloe,Lincoln,122,122.00000000122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.0000000014,0,0,0.999999999819999
210014,EDENHAM,Beltisloe,Lincoln,296,293.87341772266996,0.04746835445,0.047468354399999996,2.03164557143998,0,0,0.0316455696,0,0.0158227848,0,0.04746835445,0,0,0,1.03164557051999,1.00000000091999,0,0,0,289.8417721523,0,1.03164557051999,2.99999999985
