health..oa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00066247,240,82,86,37,28,7
E00066248,286,119,95,48,19,5
E00066249,298,117,120,43,16,2
E00066250,285,140,109,21,9,6
E00066251,272,102,101,37,26,6
E00066252,340,134,126,51,25,4
E00066253,269,89,102,45,26,7
E00066254,248,89,107,36,12,4
E00066255,250,94,95,42,17,2
E00066256,287,115,96,45,28,3
E00066257,227,98,93,26,9,1
E00066258,181,34,53,57,31,6
E00066259,212,53,76,59,19,5
E00066260,345,171,109,53,9,3
E00066261,209,71,71,44,17,6
E00066262,249,112,78,33,19,7
E00066263,260,109,107,37,4,3
E00066264,246,121,87,22,12,4
E00066265,209,47,64,60,31,7
E00066266,315,138,136,33,6,2
E00066267,250,111,102,28,8,1
E00066268,253,88,79,49,31,6
E00066269,308,148,101,49,10,0
E00066270,299,124,101,54,18,2
E00066271,267,108,92,42,20,5
E00066272,320,148,99,52,13,8
E00066273,340,148,120,56,12,4
E00066274,284,80,123,54,20,7
E00066275,326,185,100,34,7,0
E00066276,235,73,81,59,15,7
E00066277,226,64,85,57,17,3
E00066278,233,79,69,63,15,7
E00066279,233,66,84,64,12,7
E00066280,278,110,101,52,11,4
E00066281,292,105,108,53,20,6
E00066282,248,83,90,61,12,2
E00066283,308,128,127,41,11,1
E00066284,331,133,116,59,18,5
E00066285,318,147,100,50,16,5
E00066286,368,199,115,31,19,4
E00066287,321,147,102,59,11,2
E00066288,244,113,90,31,9,1
E00066289,260,108,101,34,11,6
E00066290,264,104,86,58,10,6
E00066291,232,62,77,59,26,8
E00066292,267,75,95,65,21,11
E00066293,411,179,155,53,17,7
E00066294,310,141,110,40,12,7
E00066295,277,135,106,27,8,1
E00066296,310,84,110,67,36,13
E00066297,284,104,76,57,36,11
E00066298,280,98,79,61,31,11
E00066299,252,81,76,55,27,13
E00066300,306,132,101,51,19,3
E00066301,278,107,94,52,20,5
E00066302,203,29,61,70,35,8
E00066303,283,124,96,44,14,5
E00066305,262,94,71,57,25,15
E00066306,268,92,97,44,33,2
E00066307,267,91,102,48,20,6
E00066309,259,85,101,55,15,3
E00066310,295,109,122,43,19,2
E00066311,311,123,121,49,13,5
E00066312,321,132,117,55,10,7
E00066313,360,156,131,57,14,2
E00066314,338,159,102,50,24,3
E00066315,311,139,117,37,14,4
E00066316,168,44,47,51,20,6
E00066317,300,126,109,47,11,7
E00066318,334,139,120,47,21,7
E00066319,267,120,85,35,18,9
E00066320,263,148,80,28,4,3
E00066321,275,111,100,48,11,5
E00066322,248,109,86,42,6,5
E00066323,242,124,83,21,12,2
E00066324,303,134,119,38,9,3
E00066325,327,153,120,35,16,3
E00066326,257,118,101,24,11,3
E00066327,210,69,71,47,17,6
E00066328,293,87,77,69,47,13
E00066329,229,56,66,68,32,7
E00066330,247,62,90,64,24,7
E00066331,204,40,64,58,36,6
E00066332,249,49,75,75,31,19
E00066333,199,37,69,57,20,16
E00066334,302,146,106,41,7,2
E00066335,276,114,82,53,19,8
E00066336,293,136,88,50,18,1
E00066337,239,95,73,49,18,4
E00066338,228,79,81,53,11,4
E00066339,282,126,85,51,17,3
E00066340,295,131,97,50,11,6
E00066341,267,119,106,36,5,1
E00066342,320,160,99,41,17,3
E00066343,403,209,140,44,7,3
E00066344,283,113,98,59,12,1
E00066345,265,105,100,49,9,2
E00066346,304,144,119,29,10,2
E00066347,270,139,91,27,11,2
E00066348,326,179,115,26,4,2
E00066349,307,146,112,32,15,2
E00066350,311,156,115,30,8,2
E00066351,256,127,97,28,3,1
E00066352,317,185,96,28,6,2
E00066353,387,178,142,52,11,4
E00066354,248,84,111,40,13,0
E00066355,314,152,106,49,6,1
E00066356,306,149,114,33,8,2
E00066357,293,134,104,34,16,5
E00066358,256,80,89,59,19,9
E00066359,324,167,100,34,18,5
E00066360,286,118,98,51,17,2
E00066361,162,6,44,74,29,9
E00066362,244,85,84,56,15,4
E00066363,337,178,107,38,12,2
