house..oa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00066247,115,26,17,35,14,7,16,0
E00066248,137,8,56,30,9,11,22,1
E00066249,179,26,83,41,14,5,7,3
E00066250,125,9,40,25,24,18,9,0
E00066251,131,16,40,27,12,20,13,3
E00066252,136,12,18,46,25,14,16,5
E00066253,120,25,18,39,14,11,8,5
E00066254,129,16,36,34,15,10,16,2
E00066255,129,21,34,37,12,10,13,2
E00066256,136,27,30,31,14,9,22,3
E00066257,119,19,26,38,12,16,7,1
E00066258,131,57,40,15,4,7,7,1
E00066259,132,53,15,49,4,4,6,1
E00066260,125,14,10,40,31,13,15,2
E00066261,129,30,49,26,10,5,9,0
E00066262,133,19,33,38,14,12,16,1
E00066263,144,26,47,34,12,19,5,1
E00066264,124,15,29,31,14,22,11,2
E00066265,134,59,27,24,9,8,6,1
E00066266,135,7,32,46,23,10,15,2
E00066267,111,9,23,43,16,11,8,1
E00066268,113,20,16,35,18,10,12,2
E00066269,126,14,21,48,19,15,5,4
E00066270,138,29,15,53,30,6,4,1
E00066271,110,13,16,38,25,5,9,4
E00066272,129,17,15,42,35,5,14,1
E00066273,144,18,14,55,31,11,15,0
E00066274,144,32,12,69,11,8,11,1
E00066275,134,16,19,51,34,5,5,4
E00066276,126,45,15,30,8,16,11,1
E00066277,130,35,23,56,5,1,10,0
E00066278,142,51,35,30,11,8,5,2
E00066279,121,39,17,34,16,4,10,1
E00066280,125,22,11,58,17,8,7,2
E00066281,139,39,19,34,19,10,13,5
E00066282,131,29,13,69,11,1,8,0
E00066283,116,9,24,33,23,18,8,1
E00066284,135,10,28,34,28,15,17,3
E00066285,120,11,12,41,24,17,10,5
E00066286,131,10,14,32,35,18,11,11
E00066287,142,9,44,30,26,16,13,4
E00066288,116,16,32,25,20,14,7,2
E00066289,139,15,61,23,16,15,6,3
E00066290,118,4,47,13,17,19,12,6
E00066291,155,39,67,22,6,13,8,0
E00066292,148,30,52,25,11,15,12,3
E00066293,165,4,40,24,41,34,17,5
E00066294,122,11,15,42,32,13,7,2
E00066295,117,13,23,23,25,21,9,3
E00066296,162,12,72,27,10,29,10,2
E00066297,146,25,48,22,11,22,13,5
E00066298,142,17,45,29,14,20,12,5
E00066299,164,26,75,17,5,20,19,2
E00066300,128,6,31,31,17,19,19,5
E00066301,123,18,20,29,17,29,8,2
E00066302,160,55,73,12,3,4,12,1
E00066303,122,3,30,19,18,31,17,4
E00066305,133,21,44,21,15,22,8,2
E00066306,130,27,39,17,18,23,2,4
E00066307,118,8,27,22,18,15,24,4
E00066309,138,11,73,13,13,8,16,4
E00066310,120,6,25,20,25,23,18,3
E00066311,132,12,28,24,26,20,17,5
E00066312,141,9,31,27,19,29,25,1
E00066313,129,6,22,31,31,21,12,6
E00066314,146,8,47,30,22,16,16,7
E00066315,135,10,27,34,25,21,16,2
E00066316,112,25,53,18,7,4,5,0
E00066317,119,8,21,34,20,20,12,4
E00066318,135,13,27,27,22,20,19,7
E00066319,121,18,22,33,21,16,7,4
E00066320,106,10,14,23,22,23,11,3
E00066321,117,6,29,34,24,17,5,2
E00066322,103,10,21,23,23,15,9,2
E00066323,93,8,13,18,19,21,8,6
E00066324,120,12,20,29,34,18,6,1
E00066325,135,11,25,40,31,13,13,2
E00066326,103,3,18,23,17,24,15,3
E00066327,147,13,87,17,5,9,14,2
E00066328,165,66,31,35,13,11,8,1
E00066329,142,59,30,22,7,6,13,5
E00066330,190,9,128,22,2,10,19,0
E00066331,141,24,73,20,3,12,9,0
E00066332,191,41,103,21,1,9,16,0
E00066333,124,16,58,23,7,8,11,1
E00066334,124,6,23,57,25,4,6,3
E00066335,128,10,38,34,21,18,6,1
E00066336,123,13,18,43,22,18,8,1
E00066337,134,17,62,22,9,18,5,1
E00066338,118,35,17,40,11,5,6,4
E00066339,125,9,35,29,22,15,13,2
E00066340,123,15,10,63,17,6,8,4
E00066341,115,6,12,68,19,7,3,0
E00066342,118,17,5,40,24,20,11,1
E00066343,138,4,12,54,47,10,7,4
E00066344,123,14,19,45,17,17,8,3
E00066345,110,10,8,58,20,2,10,2
E00066346,113,7,8,56,29,7,3,3
E00066347,109,11,16,47,27,3,4,1
E00066348,127,8,20,49,31,11,5,3
E00066349,127,7,15,62,22,9,11,1
E00066350,123,3,11,66,32,5,4,2
E00066351,102,6,13,51,23,2,6,1
E00066352,115,4,19,45,25,9,10,3
E00066353,154,10,16,77,36,4,6,5
E00066354,120,24,12,62,14,2,5,1
E00066355,126,9,10,66,26,4,7,4
E00066356,127,12,15,61,23,8,6,2
E00066357,130,12,29,35,18,25,7,4
E00066358,134,33,34,30,15,8,11,3
E00066359,119,7,12,34,30,18,13,5
E00066360,125,18,22,30,25,25,4,1
E00066361,128,62,37,22,0,2,5,0
E00066362,143,10,74,25,13,18,2,1
E00066363,137,8,20,61,34,7,5,2
E00066364,201,9,37,73,51,13,13,5
E00066365,121,17,12,55,25,3,7,2
E00066366,132,8,15,76,24,3,6,0
E00066367,130,23,12,77,12,1,4,1
E00066368,130,32,24,57,10,5,2,0
E00066369,127,19,9,65,24,2,8,0
E00066370,123,29,10,57,18,4,5,0
