pop..lsoa_code,pop..total_persons,pop..males,pop..females,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
E01013128,1311,655,656,82,96,86,236,190,341,199,81
E01013129,1413,731,682,60,118,96,208,219,381,223,108
E01013130,1341,607,734,46,102,98,144,139,379,234,199
E01013131,1575,724,851,127,166,102,165,262,394,243,116
E01013132,1425,703,722,65,102,88,163,188,370,287,162
E01013133,1426,646,780,81,114,76,207,203,371,246,128
E01013134,1448,685,763,74,124,76,157,158,343,281,235
E01013135,1542,715,827,64,124,86,134,163,327,362,282
E01013136,1409,748,661,75,101,83,232,204,362,213,139
E01013137,764,474,290,29,48,34,86,127,229,142,69
E01013138,1435,710,725,156,152,111,222,226,365,169,34
E01013139,1548,739,809,130,166,106,249,201,368,236,92
E01013140,1462,718,744,133,155,121,293,237,346,131,46
E01013141,1792,891,901,133,200,173,312,269,434,211,60
E01013142,1707,893,814,134,177,137,275,284,465,181,54
E01013143,1350,674,676,80,153,120,239,219,324,151,64
E01013144,1467,672,795,99,147,99,213,164,337,280,128
E01013145,1244,614,630,45,97,80,146,121,328,291,136
E01013146,1727,868,859,80,189,140,218,248,482,250,120
E01013147,1349,623,726,80,150,107,186,198,304,221,103
E01013148,1309,649,660,40,84,79,150,134,368,352,102
E01013149,1041,493,548,46,62,54,126,90,263,281,119
E01013150,1209,574,635,61,85,83,123,150,302,290,115
E01013151,1199,596,603,31,69,74,92,83,324,331,195
E01013152,1564,764,800,64,142,93,149,126,424,327,239
E01013153,1233,605,628,17,43,38,72,71,330,369,293
E01013154,1306,645,661,38,63,80,109,117,302,319,278
E01013155,1346,652,694,49,71,86,134,126,337,351,192
E01013156,1314,579,735,34,66,53,79,96,258,406,322
E01013157,1706,807,899,69,115,142,188,156,537,323,176
E01013158,1234,601,633,60,151,81,171,168,301,210,92
E01013159,1629,817,812,176,204,91,356,262,371,126,43
E01013160,1384,711,673,40,92,72,142,177,443,279,139
E01013161,1423,749,674,93,153,163,239,232,347,144,52
E01013162,1596,823,773,106,151,137,319,227,423,174,59
E01013163,1226,626,600,42,82,60,101,113,348,311,169
E01013164,2000,974,1026,131,223,154,269,322,476,234,191
E01013165,1412,773,639,97,140,103,273,217,360,157,65
E01013166,1416,681,735,22,74,81,114,87,389,356,293
E01013167,1766,882,884,64,125,108,120,157,485,431,276
E01013168,2488,1197,1291,126,211,204,257,280,670,458,282
E01013169,994,471,523,37,45,53,83,84,249,231,212
E01013170,1383,658,725,49,94,88,131,111,389,309,212
E01013171,1859,919,940,105,152,201,229,203,617,251,101
E01013172,1479,688,791,44,97,68,147,142,372,319,290
E01013173,1311,629,682,48,86,71,155,142,336,319,154
E01013174,1556,699,857,115,229,193,204,219,411,144,41
E01013175,1696,842,854,86,146,107,204,219,460,339,135
E01013176,1357,693,664,58,110,85,171,158,381,284,110
E01013177,1396,686,710,72,114,96,164,180,338,283,149
E01013178,1393,697,696,53,89,87,145,124,338,310,247
E01013179,1514,729,785,72,145,100,195,180,368,261,193
E01013180,1505,750,755,72,115,100,160,164,392,326,176
E01013181,1482,736,746,100,177,156,259,260,349,125,56
E01013182,1458,730,728,42,93,81,122,106,381,353,280
E01013183,1471,745,726,69,137,111,157,173,432,285,107
E01013184,1464,756,708,75,143,85,218,200,395,239,109
E01013185,1469,689,780,71,138,118,258,209,342,204,129
E01013186,1608,799,809,92,122,117,201,201,431,243,201
E01013187,1341,666,675,51,62,84,186,142,321,305,190
E01013188,1500,738,762,49,118,99,200,182,430,289,133
E01013189,1553,740,813,59,114,82,155,176,369,310,288
E01013190,3835,1877,1958,274,405,339,529,648,984,457,199
E01013191,1500,698,802,77,115,93,130,119,396,299,271
E01013192,1514,759,755,77,167,108,161,198,378,260,165
E01013193,1571,727,844,51,91,84,156,129,428,355,277
E01013194,1460,690,770,58,89,68,120,129,387,349,260
E01013195,1443,693,750,111,160,120,221,215,337,195,84
E01013196,1359,652,707,116,181,141,205,208,311,157,40
E01013197,1235,591,644,80,120,64,202,165,317,183,104
E01013198,1419,707,712,94,131,86,201,176,390,246,95
E01013199,1147,578,569,79,114,45,168,183,306,150,102
E01013200,1158,572,586,62,103,86,154,150,316,189,98
E01013201,1574,802,772,89,182,146,294,188,435,187,53
E01013202,1546,779,767,106,222,144,231,218,357,177,91
E01013203,1627,849,778,113,190,147,267,268,368,210,64
E01013204,1393,699,694,78,123,101,224,172,336,256,103
E01013205,1411,685,726,107,207,166,192,192,317,183,47
E01013206,1352,659,693,83,119,116,154,194,347,235,104
E01013207,1309,638,671,80,110,66,161,173,332,250,137
E01013208,1491,670,821,133,248,171,249,208,316,139,27
E01013209,1490,711,779,136,143,107,238,171,339,265,91
E01013210,1491,714,777,112,233,173,198,223,328,172,52
E01013211,1415,689,726,94,122,84,181,202,355,231,146
E01013212,1405,693,712,114,170,130,182,204,327,190,88
E01013213,1207,568,639,54,91,62,118,115,241,279,247
E01013214,1365,654,711,46,60,72,106,102,352,400,227
E01013215,1612,760,852,60,80,90,140,137,447,335,323
E01013216,1232,588,644,61,94,87,151,117,380,248,94
E01013217,1373,672,701,59,95,88,113,140,372,335,171
E01013218,1391,709,682,97,148,91,231,208,382,166,68
E01013219,1486,715,771,113,150,99,224,221,392,194,93
E01013220,1581,779,802,148,173,88,302,219,377,182,92
E01013221,1831,948,883,94,152,125,342,278,495,254,91
E01013222,1559,776,783,125,144,117,283,257,368,185,80
E01013223,3124,1548,1576,158,290,299,306,366,902,516,287
E01013224,2033,1037,996,110,173,144,217,231,579,371,208
E01013225,1104,535,569,26,66,75,111,103,309,273,141
E01013226,1439,759,680,58,97,111,142,115,423,308,185
E01013227,1580,760,820,82,124,84,167,223,384,348,168
E01013228,1516,727,789,101,146,106,183,240,397,272,71
E01013229,1506,753,753,105,225,127,233,215,360,168,73
E01013231,1514,740,774,102,137,100,246,216,382,198,133
E01013233,1360,644,716,96,99,81,208,223,366,198,89
E01013234,1382,634,748,59,90,84,178,183,365,225,198
E01013236,1605,776,829,78,157,95,169,226,389,305,186
E01013237,1821,829,992,137,224,214,282,221,426,190,127
E01013238,1649,830,819,91,143,117,259,201,436,268,134
E01013239,1675,812,863,68,129,94,238,192,418,312,224
E01013240,3942,1881,2061,303,517,284,639,737,903,372,187
E01013241,1554,751,803,65,87,84,131,106,402,393,286
E01013242,1843,913,930,63,134,126,208,175,571,418,148
E01013243,2373,1161,1212,107,200,184,272,202,723,496,189
E01013244,1959,954,1005,85,180,161,209,198,569,389,168
E01013245,1516,767,749,89,149,116,205,216,361,278,102
E01013246,1628,846,782,79,126,106,186,194,490,320,127
E01013247,1701,844,857,49,113,85,167,164,540,425,158
E01013248,1803,884,919,82,109,108,168,186,510,392,248
E01013249,1701,837,864,95,152,145,216,187,452,295,159
E01013250,1679,828,851,53,96,111,157,121,509,424,208
E01013251,1851,886,965,56,134,106,168,147,531,465,244
E01013252,1721,842,879,58,121,130,143,139,474,404,252
E01013253,1969,1006,963,92,143,134,230,156,573,440,201
E01013254,1795,876,919,70,132,112,229,219,462,378,193
E01013255,1872,913,959,65,78,80,273,184,501,453,238
E01013256,2506,1242,1264,136,198,183,314,321,729,430,195
E01013257,1894,935,959,82,128,106,184,197,518,474,205
E01013258,1697,830,867,95,191,147,198,186,470,270,140
E01013259,2003,931,1072,150,204,161,228,288,482,342,148
E01013260,1407,698,709,52,65,59,129,125,384,327,266
E01013261,1394,687,707,40,105,86,111,141,330,328,253
E01013262,1253,610,643,48,62,78,79,110,291,358,227
E01013263,1387,669,718,50,84,83,135,145,340,355,195
E01013264,1809,878,931,102,148,111,227,212,471,379,159
E01013265,1569,772,797,63,106,60,154,138,417,403,228
E01013266,1821,896,925,66,114,142,192,186,497,415,209
E01013267,1259,617,642,43,83,77,108,75,391,324,158
E01013268,1253,602,651,44,86,69,120,106,391,313,124
E01013269,1632,835,797,69,107,106,141,156,445,404,204
E01013270,1966,987,979,102,185,149,189,216,540,434,151
E01013271,2077,1009,1068,114,196,198,257,286,605,306,115
E01013272,1707,844,863,71,103,88,187,203,454,353,248
E01013273,1682,798,884,48,90,95,142,126,411,472,298
E01013274,1996,997,999,81,114,112,271,227,608,363,220
E01013275,1508,764,744,60,92,113,143,150,448,333,169
E01013276,1608,747,861,76,127,103,200,168,409,342,183
E01013277,1426,686,740,55,132,81,152,152,375,329,150
E01013278,1585,751,834,152,215,143,289,203,369,145,69
E01013279,1574,774,800,125,150,89,229,207,409,217,148
E01013280,1496,723,773,76,131,135,194,173,370,267,150
E01013281,1403,664,739,99,154,187,189,204,304,169,97
E01013282,1500,742,758,105,168,129,211,198,377,224,88
E01013283,1562,768,794,114,207,172,216,207,359,189,98
E01013284,1575,782,793,108,193,153,192,238,359,226,106
E01013285,1229,584,645,54,91,72,151,113,321,290,137
E01013286,2365,1110,1255,136,171,89,301,283,496,527,362
E01013287,1457,719,738,71,89,47,139,143,382,360,226
E01013288,1507,729,778,79,139,79,192,173,389,293,163
E01013289,1729,862,867,84,116,94,219,224,532,295,165
E01013290,1655,794,861,55,98,102,144,130,459,434,233
E01013291,1555,750,805,101,206,164,208,181,367,205,123
E01013292,1705,851,854,58,109,107,171,181,444,428,207
E01013293,1447,693,754,55,87,92,108,139,376,356,234
E01013294,1648,815,833,56,106,117,168,122,502,406,171
E01013295,1377,672,705,72,96,84,153,156,329,275,212
E01013296,2018,1068,950,113,189,188,368,423,537,146,54
E01013297,2700,1398,1302,174,327,165,415,488,633,342,156
E01013298,1669,833,836,104,192,185,277,256,444,143,68
E01013299,1713,829,884,108,239,178,235,258,398,224,73
E01013300,2022,1105,917,124,199,138,391,466,497,138,69
E01013301,1657,802,855,117,164,135,217,244,416,240,124
E01013302,1535,776,759,49,118,101,204,235,415,263,150
E01013303,1278,640,638,50,87,92,142,124,394,281,108
E01013304,1572,767,805,46,145,117,147,120,529,309,159
E01013305,1655,805,850,52,122,114,146,155,536,406,124
E01013306,1597,797,800,74,125,97,149,168,483,346,155
E01013307,1817,891,926,65,181,124,160,169,526,369,223
E01013308,1886,933,953,74,164,123,179,180,569,426,171
E01013309,1680,807,873,80,131,89,161,205,459,384,171
E01013310,1429,708,721,93,137,135,168,200,360,246,90
E01013311,1910,944,966,172,263,195,275,277,423,195,110
E01013312,1801,859,942,150,180,124,356,299,423,189,80
E01013313,1609,786,823,99,138,124,228,220,435,240,125
E01013314,1497,777,720,82,143,105,224,209,400,228,106
E01013315,1477,706,771,78,118,83,195,153,343,303,204
E01013316,1432,685,747,53,91,95,148,148,398,334,165
E01013317,1416,687,729,51,109,108,155,123,409,240,221
E01013318,1494,745,749,67,121,129,203,210,408,237,119
E01013319,2315,1125,1190,142,273,243,305,381,599,267,105
E01013320,1355,686,669,71,126,99,173,160,370,238,118
E01013321,1684,863,821,80,127,114,215,181,518,322,127
E01013322,2075,1013,1062,106,187,148,186,255,583,452,158
E01013323,1623,855,768,57,104,101,214,212,406,346,183
E01013324,1542,774,768,63,96,116,153,114,500,297,203
E01013325,1458,737,721,34,100,79,145,128,391,369,212
E01013326,1580,777,803,67,99,92,122,153,412,415,220
E01013327,1329,622,707,44,55,67,93,97,330,348,295
E01013328,1289,612,677,72,106,104,111,131,345,295,125
E01013329,1942,959,983,92,142,161,234,195,548,367,203
E01013330,2262,1280,982,181,159,118,509,490,523,183,99
E01013331,1745,954,791,90,113,104,257,323,504,248,106
E01013332,2148,1156,992,138,189,197,374,468,514,183,85
E01013333,1818,941,877,123,180,140,242,337,453,195,148
E01013334,1620,812,808,86,170,137,221,266,411,207,122
E01015590,1363,661,702,58,166,95,75,107,422,285,155
E01026006,3149,1654,1495,233,267,166,631,626,865,301,60
E01026007,1162,543,619,56,92,63,111,110,299,284,147
E01026008,1503,906,597,29,75,64,141,132,470,412,180
E01026009,1179,585,594,36,77,81,126,89,349,264,157
E01026010,1588,771,817,103,192,132,245,276,380,184,76
E01026011,3266,1653,1613,257,351,219,519,560,826,415,119
E01026012,1129,551,578,65,101,67,116,125,230,227,198
E01026013,1472,708,764,47,123,84,145,131,398,327,217
E01026014,1907,925,982,107,197,130,200,228,478,378,189
E01026015,1654,829,825,129,141,102,279,290,420,204,89
E01026016,2372,1156,1216,110,197,145,244,248,556,563,309
E01026017,1582,776,806,78,130,91,164,163,425,372,159
E01026018,1664,859,805,40,122,80,140,111,417,468,286
E01026019,2876,1410,1466,219,332,214,381,394,660,439,237
E01026020,2784,1368,1416,216,239,166,390,397,601,481,294
E01026021,1653,834,819,69,114,85,234,200,446,276,229
E01026022,2356,1160,1196,95,251,203,178,241,579,489,320
E01026023,1456,760,696,52,91,56,173,136,358,368,222
E01026024,2171,1064,1107,116,190,149,230,198,590,448,250
