house..oa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00031488,126,7,20,32,43,6,14,4
E00031489,105,5,4,61,24,5,5,1
E00031490,126,5,20,28,42,17,10,4
E00031491,115,28,14,40,19,3,10,1
E00031492,110,12,9,49,21,9,7,3
E00031493,126,13,23,49,22,13,6,0
E00031494,113,14,24,16,16,27,11,5
E00031495,111,6,31,29,27,10,7,1
E00031496,127,17,33,28,16,18,11,4
E00031497,140,29,30,42,18,6,12,3
E00031498,122,18,23,43,18,10,5,5
E00031499,132,10,15,43,29,17,14,4
E00031500,144,11,29,55,29,9,10,1
E00031501,181,12,51,50,35,22,8,3
E00031503,105,8,17,42,24,7,7,0
E00031504,100,3,13,49,23,4,5,3
E00031505,153,6,34,49,23,18,17,6
E00031506,157,29,16,57,29,15,9,2
E00031508,133,5,26,37,34,18,10,3
E00031509,150,14,22,55,34,13,5,7
E00031510,136,16,17,55,24,14,6,4
E00031511,150,31,34,34,22,16,10,3
E00031512,127,10,20,54,24,13,5,1
E00031513,116,13,23,28,22,17,10,3
E00031514,125,9,40,38,16,10,8,4
E00031516,174,30,52,25,23,28,10,6
E00031517,111,6,35,24,21,10,13,2
E00031518,107,9,22,25,18,21,4,8
E00031519,144,18,22,48,21,20,11,4
E00031520,143,10,39,32,17,23,18,4
E00031521,133,12,16,56,19,22,7,1
E00031522,126,8,15,56,30,6,6,5
E00031523,124,9,15,42,28,17,11,2
E00031524,114,11,14,56,13,9,7,4
E00031525,129,3,26,57,23,11,6,3
E00031526,135,16,11,67,20,6,11,4
E00031527,127,2,14,33,57,14,6,1
E00031528,130,5,15,39,60,7,3,1
E00031529,125,8,10,53,35,9,6,4
E00031530,133,10,26,47,32,9,7,2
E00031531,96,17,15,32,12,9,10,1
E00031532,153,4,34,50,56,5,2,2
E00031533,202,28,13,92,45,8,12,4
E00031534,112,13,9,51,26,5,8,0
E00031535,131,21,15,44,26,11,11,3
E00031536,150,19,13,64,37,9,7,1
E00031537,121,5,18,55,23,6,5,9
E00031538,181,11,54,46,41,19,7,3
E00031539,142,10,39,43,28,12,7,3
E00031540,142,20,29,52,18,15,7,1
E00031541,119,12,15,36,25,20,9,2
E00031542,111,21,16,19,23,14,10,8
E00031543,152,22,32,45,33,9,10,1
E00031544,116,24,12,56,15,1,8,0
E00031545,122,10,20,38,28,18,7,1
E00031546,163,13,33,46,40,22,8,1
E00031547,125,17,5,59,26,6,8,4
E00031548,140,21,23,54,26,7,8,1
E00031549,137,17,37,53,10,11,7,2
E00031550,126,10,14,28,62,10,1,1
E00031551,122,22,19,64,10,1,4,2
E00031552,153,15,42,34,27,23,8,4
E00031553,134,5,15,46,45,13,5,5
E00031554,126,1,4,27,71,10,7,6
E00031555,131,2,17,53,38,12,6,3
E00031556,143,14,37,45,21,11,12,3
E00031557,139,17,23,48,19,16,15,1
E00031558,128,23,10,67,20,0,8,0
E00031559,198,15,45,61,36,22,14,5
E00031560,151,15,22,47,45,10,10,2
E00031561,120,12,23,48,25,5,4,3
E00031562,122,12,10,62,23,4,8,3
E00031563,126,11,15,47,28,11,11,3
E00031564,128,11,16,61,26,3,10,1
E00031565,148,24,8,69,31,6,8,2
E00031566,157,7,36,43,35,24,7,5
E00031567,144,41,14,55,21,3,7,3
E00031568,111,15,15,41,22,15,3,0
E00031569,119,24,10,50,22,7,4,2
E00031570,128,8,20,45,22,18,10,5
E00031571,104,8,13,53,15,7,6,2
E00031572,130,7,6,61,47,3,5,1
E00031573,130,18,18,36,30,16,10,2
E00031585,138,14,25,58,25,7,8,1
E00031586,107,13,21,30,25,12,4,2
E00031587,141,20,19,71,18,7,6,0
E00031588,143,18,29,39,21,14,18,4
E00031589,156,21,32,44,38,14,6,1
E00031590,135,12,25,58,26,2,6,6
E00031591,134,28,25,45,14,9,12,1
E00031592,147,45,20,35,17,10,14,6
E00031593,134,16,10,65,26,8,7,2
E00031594,133,12,10,72,28,3,7,1
E00031595,138,7,21,64,25,6,13,2
E00031596,128,19,17,53,21,8,9,1
E00031597,151,20,16,68,30,8,9,0
E00031598,122,26,14,32,25,14,11,0
E00031599,129,10,28,54,26,4,4,3
E00031600,114,17,9,72,12,0,2,2
E00031618,112,8,17,47,31,2,7,0
E00031619,104,13,4,52,24,6,3,2
E00031668,84,5,11,37,11,7,9,4
E00031696,124,11,17,25,27,27,12,5
E00031697,130,11,30,46,23,10,8,2
E00031699,112,10,16,24,24,19,12,7
E00031700,136,9,15,38,26,28,17,3
E00031702,129,29,18,38,18,13,10,3
E00031704,126,26,10,34,37,12,3,4
E00031706,119,20,15,38,30,7,5,4
E00031707,128,10,20,20,33,30,11,4
E00031708,129,16,16,35,26,19,16,1
E00031711,132,23,18,38,21,17,12,3
E00031712,125,13,13,63,19,6,10,1
E00031713,146,19,22,58,24,6,15,2
E00031714,128,19,16,56,24,6,4,3
E00031715,146,28,34,32,25,13,11,3
E00031716,129,19,3,65,22,8,7,5
E00031717,132,14,9,53,35,11,10,0
E00031718,128,16,19,33,40,14,5,1
E00031719,149,12,15,60,42,9,9,2
E00031720,121,19,17,48,18,9,9,1
E00031721,130,7,10,63,30,3,15,2
E00031722,140,5,29,49,34,8,10,5
E00031723,145,16,26,42,35,4,16,6
E00031724,206,27,41,77,38,9,11,3
E00031725,137,16,10,48,38,14,8,3
E00031726,136,15,19,56,22,10,9,5
E00031727,149,18,15,48,34,21,13,0
E00031728,134,11,28,48,21,13,10,3
E00031729,114,15,24,30,21,10,12,2
E00031730,122,14,21,44,28,6,5,4
E00031731,161,46,35,37,24,9,8,2
E00031732,128,13,21,41,22,11,16,4
E00031733,133,3,5,34,60,17,11,3
E00031734,139,15,21,49,35,8,7,4
E00031735,135,11,18,65,29,3,8,1
E00031736,165,12,35,55,33,16,13,1
E00031737,145,8,11,72,36,8,5,5
E00031738,126,29,11,29,26,16,9,6
E00031739,135,29,18,55,18,5,8,2
E00031740,101,4,6,46,36,5,3,1
E00031741,108,32,8,53,7,2,4,2
E00031742,129,17,10,57,22,10,11,2
E00031743,119,18,15,53,17,7,7,2
E00031744,157,20,25,50,24,16,18,4
E00031745,123,16,18,27,27,21,11,3
E00031746,140,37,21,28,21,12,18,3
E00031747,123,10,17,35,30,14,16,1
E00031748,145,32,67,15,3,18,9,1
E00031749,135,9,9,69,27,7,11,3
E00031750,123,32,16,39,23,5,7,1
E00031751,118,15,24,35,14,19,10,1
E00031752,141,62,16,37,12,6,7,1
E00031753,135,23,13,52,27,9,8,3
E00031754,132,11,5,73,34,1,7,1
E00031755,121,14,5,67,21,2,10,2
E00031756,144,44,16,46,19,11,6,2
E00031757,127,19,10,67,17,6,7,1
E00031758,140,17,19,43,36,12,9,4
E00031759,126,12,12,55,30,4,11,2
E00031760,115,9,13,39,31,7,12,4
E00031761,121,18,19,47,24,8,5,0
E00031762,131,19,10,46,22,20,11,3
E00031763,130,10,7,73,23,7,7,3
E00031764,117,14,20,40,16,18,9,0
E00031765,120,18,30,28,26,5,12,1
E00031766,119,10,8,64,22,3,9,3
E00031767,123,8,10,69,25,2,6,3
E00031768,132,16,16,62,16,10,4,8
E00031769,125,4,10,64,39,3,4,1
E00031770,130,7,23,26,32,16,22,4
E00031771,135,19,35,31,22,15,9,4
E00031772,131,9,16,54,31,7,10,4
E00031773,116,37,12,34,12,11,7,3
E00031774,134,8,20,47,27,20,8,4
E00031776,104,2,9,26,54,4,4,5
E00031777,144,20,13,65,31,6,6,3
E00031778,155,11,34,68,24,8,9,1
E00031779,124,10,11,42,27,15,12,7
E00031780,128,9,14,30,35,20,15,5
E00031781,135,21,26,41,21,12,10,4
E00031782,124,13,38,26,21,6,13,7
E00031783,121,20,24,40,23,3,7,4
E00031784,128,30,35,30,14,11,6,2
E00031785,157,13,32,50,42,8,9,3
E00031786,146,13,41,34,37,9,8,4
E00031787,132,33,26,34,15,13,6,5
E00031788,130,22,21,27,22,16,17,5
E00031789,126,13,14,62,18,5,11,3
E00031790,146,11,31,40,23,32,8,1
E00031791,143,17,34,42,23,9,14,4
E00031792,156,53,24,25,25,14,13,2
E00031793,122,9,29,33,30,11,6,4
E00031794,133,19,20,51,24,4,13,2
E00031795,134,35,25,27,19,14,10,4
E00031796,111,18,22,39,19,7,5,1
E00031797,113,9,27,26,22,18,8,3
E00031798,98,14,21,32,16,14,1,0
E00031799,130,12,30,23,25,18,17,5
E00031800,175,18,37,46,38,17,13,6
E00031801,172,8,23,61,61,9,6,4
E00031802,153,22,23,38,25,21,22,2
E00031803,138,19,22,46,32,6,7,6
E00031805,118,4,14,39,37,9,13,2
E00031806,134,43,43,23,7,14,3,1
E00031807,157,6,20,46,68,9,5,3
E00031808,135,1,21,32,58,14,6,3
E00031809,114,2,5,40,42,10,10,5
E00031810,191,11,34,70,48,14,12,2
E00031811,135,13,31,50,23,10,8,0
E00031812,117,16,10,67,14,1,8,1
E00031813,142,31,20,44,34,4,8,1
E00031814,107,13,23,29,17,13,10,2
E00031815,148,11,21,59,32,8,10,7
E00031816,134,20,20,40,17,20,17,0
E00031817,159,19,27,39,26,38,8,2
E00031819,128,13,14,65,19,4,12,1
E00031820,122,17,15,61,17,6,4,2
E00031821,118,6,12,59,24,6,7,4
E00031822,116,14,14,45,22,10,8,3
E00031839,146,7,14,69,43,5,6,2
E00031840,186,8,13,89,49,9,14,4
E00031841,140,18,17,73,15,3,9,5
E00031842,121,12,24,50,17,7,9,2
E00031843,131,13,20,59,25,3,8,3
E00031844,122,14,16,56,20,4,11,1
E00031845,121,17,18,36,22,20,6,2
E00031846,142,26,9,61,34,3,3,6
E00031848,112,17,20,34,17,13,8,3
E00031849,121,39,15,42,18,4,2,1
E00031850,150,11,12,66,43,2,10,6
E00031851,121,29,12,42,19,8,8,3
E00031852,155,18,14,88,19,5,7,4
E00031853,136,28,15,59,24,3,7,0
E00031854,137,18,11,58,32,7,9,2
E00031855,148,17,37,47,23,18,5,1
E00031856,157,11,19,64,40,8,14,1
E00031857,135,7,22,53,36,6,10,1
E00031858,120,15,12,58,25,2,8,0
E00031859,172,11,26,62,45,16,9,3
E00031861,128,14,8,59,30,7,6,4
E00031913,98,13,10,49,18,2,5,1
E00031936,122,17,29,36,22,11,6,1
E00031938,134,18,23,44,26,12,7,4
E00031942,117,5,16,52,30,8,3,3
E00031943,148,13,50,39,31,4,8,3
E00031944,136,12,11,73,26,6,6,2
E00031945,128,10,19,53,26,14,4,2
E00031946,89,7,6,45,18,5,5,3
E00031947,136,11,25,53,36,4,4,3
E00031948,133,8,25,51,29,14,4,2
E00031949,120,12,7,63,19,8,9,2
E00031950,129,3,10,53,44,10,6,3
E00031951,127,19,16,35,25,19,8,5
E00031952,140,15,21,53,24,18,9,0
E00031953,134,13,21,67,23,4,3,3
E00031954,130,12,18,43,36,13,6,2
E00031955,127,17,23,35,27,8,16,1
E00031956,121,39,16,30,6,12,16,2
E00031957,129,13,21,34,27,13,13,8
E00031958,135,13,27,27,29,22,10,7
E00031959,122,11,21,26,28,20,14,2
E00031960,113,6,26,26,23,15,12,5
E00031961,121,10,35,33,28,8,5,2
E00031962,137,9,55,23,26,15,6,3
E00031963,118,3,21,33,25,18,16,2
E00031964,143,3,29,41,35,22,9,4
E00031965,129,13,23,38,29,14,10,2
E00031966,136,27,20,16,22,23,19,9
E00031967,137,38,24,29,22,14,10,0
E00031968,140,31,26,19,26,20,14,4
E00031969,148,21,26,40,30,15,14,2
E00031970,128,13,18,40,20,16,9,12
E00031971,138,9,21,55,24,14,8,7
E00031972,134,16,42,34,16,14,11,1
E00031973,124,40,23,29,19,7,4,2
E00031974,120,5,14,26,30,34,5,6
E00031975,134,10,24,50,32,3,11,4
E00031976,137,16,24,27,25,27,11,7
E00031977,206,41,121,33,1,1,9,0
E00031978,114,14,36,22,21,15,4,2
E00031979,172,14,17,37,38,33,24,9
E00031980,125,20,54,20,17,6,5,3
E00031981,142,12,26,24,37,22,17,4
E00031982,140,11,33,37,19,15,17,8
E00031983,140,9,22,39,33,19,11,7
E00031984,133,22,87,16,1,0,6,1
E00031985,150,20,28,40,27,24,10,1
E00031986,139,25,22,39,22,12,17,2
E00031987,132,22,34,28,22,11,13,2
E00031988,143,13,46,39,27,8,7,3
E00031989,131,16,14,54,22,10,12,3
E00032053,100,10,23,30,19,5,10,3
E00032055,130,15,22,50,26,8,5,4
E00032056,136,25,36,30,14,18,9,4
E00032057,129,15,31,36,22,15,10,0
E00032058,133,9,27,44,28,19,5,1
E00032059,110,13,24,30,15,10,14,4
E00032060,103,8,23,37,17,8,9,1
E00032062,148,14,20,37,42,16,13,6
E00032125,151,5,76,19,22,19,10,0
E00032126,113,10,8,23,43,19,6,4
E00032127,161,45,35,46,16,9,7,3
E00032128,126,8,13,55,32,6,10,2
E00032129,134,11,28,47,32,8,6,2
E00032130,141,10,17,54,45,9,3,3
E00032131,128,7,9,51,48,6,6,1
E00032132,114,13,8,47,36,3,6,1
E00032133,131,17,12,69,21,4,6,2
E00032134,150,33,36,36,17,20,6,2
E00032135,204,16,53,57,38,24,12,4
E00032136,207,19,24,75,46,17,20,6
E00032137,127,18,13,58,26,7,4,1
E00032138,131,26,9,59,28,3,4,2
E00032139,126,18,8,64,15,5,14,2
E00032140,151,12,20,67,38,0,11,3
E00032141,124,10,8,59,38,3,6,0
E00032142,131,11,14,55,37,7,6,1
E00032143,128,45,7,48,17,5,6,0
E00032144,118,18,13,57,17,5,6,2
E00032145,131,18,18,53,31,7,3,1
E00032146,113,7,15,44,27,6,9,5
E00032147,126,30,20,46,14,6,8,2
E00032148,112,10,6,54,27,7,7,1
E00032149,110,19,14,34,18,9,15,1
E00032150,125,19,17,60,17,4,7,1
E00032151,143,37,20,33,27,9,13,4
E00032152,116,13,17,51,14,4,14,3
E00032153,126,5,20,65,23,2,8,3
E00032154,125,15,33,24,21,24,8,0
E00032155,125,14,16,49,28,6,12,0
E00032156,115,20,10,62,15,2,4,2
E00032157,113,12,15,26,26,14,12,8
E00032158,152,16,38,47,17,19,13,2
E00032159,116,20,18,32,18,16,11,1
E00032160,151,15,32,57,31,9,7,0
E00032161,130,10,11,47,39,10,11,2
E00032162,128,11,38,32,34,7,5,1
E00032163,225,18,91,55,30,24,6,1
