pop..lsoa_code,pop..total_persons,pop..males,pop..females,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
E01006212,1449,765,684,70,123,116,157,180,346,323,134
E01006213,1672,869,803,111,206,128,321,211,404,208,83
E01006214,1410,685,725,90,144,113,226,209,388,166,74
E01006215,1669,847,822,78,146,126,219,261,443,241,155
E01006216,2263,1122,1141,151,260,154,268,363,614,360,93
E01006217,2490,1230,1260,154,263,206,354,423,674,293,123
E01006218,2319,1145,1174,197,262,151,432,379,595,221,82
E01006219,1213,622,591,64,115,77,145,114,308,292,98
E01006220,1851,904,947,98,141,126,275,220,488,310,193
E01006221,1569,785,784,69,137,102,224,179,430,267,161
E01006222,1585,787,798,54,111,140,207,133,471,301,168
E01006223,1549,739,810,83,98,87,211,181,448,299,142
E01006224,1480,749,731,77,136,134,235,164,487,200,47
E01006225,1537,751,786,45,105,105,151,139,417,319,256
E01006226,1753,873,880,90,149,134,172,238,460,318,192
E01006227,1542,751,791,64,122,160,216,163,451,292,74
E01006228,1785,939,846,126,167,154,275,220,477,246,120
E01006231,1463,724,739,83,84,100,152,141,448,302,153
E01006232,2043,975,1068,94,132,170,260,246,655,320,166
E01006234,1159,564,595,38,53,79,136,95,308,272,178
E01006235,1510,753,757,75,127,121,190,196,427,246,128
E01006236,1527,747,780,58,98,70,160,165,447,358,171
E01006251,1463,751,712,84,116,102,161,175,443,254,128
E01006253,1662,806,856,133,149,107,201,219,402,250,201
E01006254,1571,765,806,93,185,158,216,235,400,208,76
E01006255,1572,771,801,77,127,77,190,209,431,293,168
E01006256,1493,768,725,62,144,103,195,244,415,232,98
E01006257,1289,679,610,71,103,65,186,189,394,170,111
E01006258,1625,792,833,113,110,103,235,206,428,248,182
E01006260,1542,722,820,96,148,120,199,179,430,249,121
E01006261,1560,731,829,61,105,93,214,174,423,240,250
E01006262,1688,878,810,94,168,162,244,200,488,248,84
E01006263,1595,810,785,54,109,111,140,159,398,369,255
E01006264,1275,640,635,44,94,82,149,104,339,334,129
E01006265,1451,729,722,66,117,100,185,197,385,252,149
E01006266,1342,664,678,32,77,79,144,113,374,305,218
E01006267,1630,828,802,108,147,135,194,209,430,286,121
E01006268,1731,881,850,64,136,157,259,191,499,280,145
E01006269,1846,903,943,96,138,133,243,224,523,285,204
E01006270,1516,734,782,91,113,88,164,184,362,288,226
E01006271,1692,845,847,113,95,73,263,211,490,297,150
E01006272,1710,844,866,82,129,106,269,208,545,208,163
E01006273,1553,767,786,93,139,104,204,220,400,245,148
E01006274,1532,760,772,120,150,132,204,243,363,191,129
E01006275,1604,788,816,122,197,157,256,173,378,218,103
E01006276,2250,1119,1131,105,228,181,349,291,716,274,106
E01006277,1962,972,990,99,173,210,259,211,672,290,48
E01006278,1651,805,846,70,119,104,188,203,404,331,232
E01006279,1643,807,836,91,136,114,228,211,438,302,123
E01006280,1429,687,742,69,107,105,163,157,358,267,203
E01006285,1866,938,928,68,115,122,240,196,547,410,168
E01006286,1437,725,712,46,81,62,160,135,359,351,243
E01006297,1705,789,916,102,172,122,246,308,491,167,97
E01006302,1792,893,899,69,178,134,216,242,535,302,116
E01006303,1513,751,762,76,112,88,163,163,412,335,164
E01006304,1450,704,746,73,110,125,148,158,397,270,169
E01006305,1896,954,942,108,227,178,271,260,532,217,103
E01006306,1658,902,756,72,94,92,199,260,533,314,94
E01006307,1474,776,698,88,124,99,228,223,388,236,88
E01006308,1702,832,870,114,133,122,273,261,438,225,136
E01006309,1773,908,865,123,195,152,292,274,437,202,98
E01006310,1682,877,805,88,201,140,240,260,436,212,105
E01006311,1654,815,839,120,161,149,248,222,406,261,87
E01006322,1886,959,927,152,198,126,305,328,475,208,94
E01006327,2151,1045,1106,193,230,139,383,368,471,246,121
E01006329,1625,1060,565,64,104,83,443,301,412,166,52
E01006339,1270,586,684,31,79,68,106,105,336,384,161
E01006340,1671,833,838,99,170,86,228,254,490,237,107
E01006341,1708,840,868,122,159,109,227,200,457,294,140
E01006342,1573,829,744,79,126,122,204,250,386,280,126
E01006343,1688,854,834,70,111,154,224,166,578,320,65
E01006344,1443,648,795,76,147,113,181,180,342,233,171
E01006345,1445,706,739,54,120,88,141,134,425,278,205
E01006346,2150,1099,1051,102,154,164,284,327,640,316,163
E01006347,1588,792,796,71,150,112,138,145,474,277,221
E01006348,2209,1067,1142,135,173,148,258,249,679,321,246
E01006349,2117,1062,1055,118,110,94,474,445,519,249,108
E01006350,1946,977,969,143,243,187,295,279,469,221,109
E01006351,2212,1067,1145,198,268,147,359,369,530,253,88
E01006352,2027,1022,1005,152,191,111,283,406,468,285,131
E01006353,1511,782,729,64,93,74,245,165,455,252,163
E01006354,1546,804,742,65,105,106,237,188,427,206,212
E01006355,1537,725,812,97,124,84,236,211,392,269,124
E01006356,1499,792,707,80,118,146,236,232,400,198,89
E01006357,2002,977,1025,158,328,198,283,275,417,222,121
E01006358,2176,1077,1099,141,220,140,273,324,537,344,197
E01006359,1467,776,691,95,119,134,191,222,391,228,87
E01006360,1820,912,908,144,206,128,312,277,474,186,93
E01006361,1736,876,860,120,235,154,241,299,423,217,47
E01006362,1701,839,862,71,119,105,201,202,472,351,180
E01006363,1500,706,794,53,70,88,144,108,401,343,293
E01006364,2070,1010,1060,105,202,167,234,300,624,291,147
E01006365,2240,1089,1151,91,205,217,292,214,753,327,141
E01006366,1859,951,908,90,116,122,198,236,524,337,236
E01006367,1705,843,862,88,157,111,157,203,442,329,218
E01006368,1846,870,976,99,203,103,216,165,545,305,210
E01006369,1764,944,820,106,87,93,394,258,489,234,103
E01006370,1721,970,751,96,113,89,289,269,531,229,105
E01006371,1516,790,726,69,108,90,204,237,445,259,104
E01006372,1703,847,856,60,117,109,172,143,486,408,208
E01006373,1504,736,768,71,120,83,157,198,424,291,160
E01006374,1552,747,805,90,103,76,156,190,444,301,192
E01006375,1656,857,799,64,117,122,215,259,542,240,97
E01006386,1479,834,645,44,99,88,167,161,505,312,103
E01006387,1543,824,719,120,148,77,237,228,353,194,186
E01006388,1622,806,816,95,112,117,231,232,453,247,135
E01006389,1344,663,681,84,138,98,173,206,368,234,43
E01006390,1672,833,839,96,123,84,208,227,411,325,198
E01006391,1630,822,808,44,136,124,170,145,480,320,211
E01006392,1632,843,789,119,194,140,290,254,429,159,47
E01006393,1356,686,670,68,71,95,183,179,372,292,96
E01006394,1531,710,821,64,103,108,136,171,405,342,202
E01006395,2668,1312,1356,140,297,240,332,330,893,363,73
E01006396,1504,762,742,57,124,112,182,166,437,306,120
