house..oa_id,house..proportion_of_oa_within_co_m_boundary,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
W00002655,5.4956132677694801E-2,169,43,18,68,28,2,10,0
W00002685,0.81683789595058398,116,13,18,52,19,7,6,1
W00002697,0.34079713810190598,127,21,11,61,22,4,7,1
W00004031,0.340511364504061,141,13,21,60,28,10,9,0
W00004257,0.425647440312027,150,11,34,50,31,9,11,4
W00004260,0.112134919602558,120,4,12,45,38,10,6,5
W00004270,1.1842778855074501E-2,117,19,14,56,19,0,5,4
W00004706,0.99999999987335397,166,5,36,63,42,10,7,3
W00004707,0.99999999999672196,182,26,37,54,28,26,10,1
W00004708,1.0000000000013001,187,24,61,58,31,6,6,1
W00004709,0.99999999999874301,136,15,22,36,27,14,21,1
W00004710,1.00000000000383,132,11,21,50,29,12,7,2
W00004711,0.99999999999830802,128,20,24,33,19,15,15,2
W00004712,0.99999999999797595,125,17,19,31,29,15,12,2
W00004713,1.00000000000362,131,14,33,27,21,16,12,8
W00004714,0.999999999999584,140,14,31,40,21,15,14,5
W00004715,1.0000000000000999,118,8,22,39,23,7,14,5
W00004716,0.99999999997828504,129,48,24,25,15,6,8,3
W00004717,0.99999999999996203,139,21,44,33,14,10,13,4
W00004718,1.00000000000053,155,12,51,37,21,17,13,4
W00004719,0.99999999999969402,137,14,48,28,16,13,13,5
W00004720,0.99999999999952605,110,15,11,56,19,4,3,2
W00004721,0.99999999999947398,132,22,14,70,16,3,7,0
W00004722,1.00000000000134,110,16,22,53,8,4,4,3
W00004723,0.99999999998897804,101,10,11,58,16,2,3,1
W00004724,0.99999999999947697,119,14,14,45,33,7,4,2
W00004725,1.0000000000007201,128,16,18,37,25,12,17,3
W00004726,0.99999999999992495,81,10,5,35,16,4,8,3
W00004728,0.99999999999840705,130,16,18,47,29,8,9,3
W00004729,0.99999999999606204,100,7,26,21,17,20,8,1
W00004730,1.00000000000004,157,6,26,51,40,16,13,5
W00004731,0.99999999999945299,132,10,22,57,26,7,6,4
W00004732,0.85417722100875604,128,18,11,44,36,7,9,3
W00004733,1.0000000000021201,127,16,13,53,34,5,5,1
W00004734,0.99999999999262901,150,20,12,54,46,11,6,1
W00004735,1.00000000002139,135,15,22,46,29,11,11,1
W00004736,1.0000000000009199,118,12,15,49,32,1,5,4
W00004737,0.95959823301584002,143,14,28,27,24,22,22,6
W00004738,0.999999999998468,133,30,22,29,18,18,8,8
W00004739,1.0000000000053,137,14,20,66,19,6,11,1
W00004740,1.0000000000031,129,27,18,35,22,17,8,2
W00004741,0.99999999999973399,156,14,13,63,40,15,9,2
W00004742,0.99999999999420397,123,18,16,55,21,7,1,5
W00004743,1.00000000000028,131,24,16,34,26,14,13,4
W00004744,0.99999999999964995,155,7,7,75,53,5,6,2
W00004745,1.00000000000198,130,5,16,55,33,7,9,5
W00004746,0.99999999999840905,120,13,14,59,19,2,11,2
W00004747,1.00000000000384,124,20,15,57,15,5,9,3
W00004748,1.00000000000058,112,18,19,49,17,1,7,1
W00004749,1.0000000000006699,123,24,9,61,22,3,4,0
W00004750,0.999999999990001,129,23,14,47,23,3,18,1
W00004751,0.99999999999998801,122,24,14,55,24,1,4,0
W00004752,1.00000000006862,145,19,16,68,27,8,4,3
W00004753,0.99999999999605804,148,32,13,61,31,2,7,2
W00004754,1.00000000000307,134,15,19,48,37,6,9,0
W00004755,1.00000000000027,122,23,5,60,20,3,8,3
W00004756,1.0000000000004901,167,18,22,80,34,6,6,1
W00004757,0.99999999999885902,124,14,15,59,21,3,7,5
W00004758,1.0000000000018201,136,14,56,27,16,9,11,3
W00004759,0.99999999999882505,124,16,20,52,17,12,5,2
W00004760,0.99999999999825495,107,11,10,40,33,6,7,0
W00004761,1.0000000000013201,123,10,17,47,23,11,11,4
W00004762,0.99999999999964595,120,7,13,46,34,8,9,3
W00004763,1.00000000000023,111,25,10,40,17,5,12,2
W00004764,0.99999999999834199,127,17,22,42,17,15,11,3
W00004765,0.99999999999809197,114,17,16,43,16,12,6,4
W00004766,0.99999999999855704,115,19,9,43,22,10,10,2
W00004767,1.00000000000248,124,52,41,16,5,2,8,0
W00004768,0.99999999999828204,128,19,47,29,18,6,9,0
W00004769,0.99999999999998501,129,13,35,42,16,7,14,2
W00004770,0.99999999999955902,127,19,11,44,28,11,11,3
W00004771,0.99999999999975997,110,26,11,50,8,5,8,2
W00004772,1.00000000000495,116,15,18,43,25,5,10,0
W00004773,0.99999999999945499,130,25,23,35,19,13,11,4
W00004774,0.99999999999994804,132,30,27,40,17,7,11,0
W00004775,1.0000000000000899,125,18,26,39,19,12,9,2
W00004776,1.0000000000031399,133,18,25,31,27,15,12,5
W00004777,1.0000000000010101,144,16,39,36,23,14,12,4
W00004778,0.99999999999987899,119,26,21,40,18,5,8,1
W00004779,1.0000000000090601,121,21,30,39,15,7,7,2
W00004780,0.99999999999863798,109,10,17,35,26,9,11,1
W00004781,1.0000000000010001,163,14,46,31,26,28,13,5
W00004782,0.99999999999575095,128,7,3,35,27,29,23,4
W00004783,1.0000000000075899,118,11,6,37,23,18,18,5
W00004784,1.00000000000449,114,8,12,28,19,20,22,5
W00004785,0.99999999999214195,123,13,5,42,36,14,11,2
W00004786,0.99999999999658495,115,10,15,48,21,8,12,1
W00004787,0.99999999998922295,130,24,14,44,20,10,13,5
W00004788,1.00000000000107,134,18,29,53,24,3,4,3
W00004789,1.0000000000003599,132,10,14,47,38,13,7,3
W00004790,0.99999999998714695,129,25,16,33,24,18,10,3
W00004791,1.0000000000018501,125,11,18,44,27,12,11,2
W00004792,0.99999999999646205,152,18,14,67,38,6,9,0
W00004793,0.99999999999678602,159,27,50,27,24,16,12,3
W00004794,0.99999999999960199,121,17,15,55,23,6,4,1
W00004795,0.99999999999975697,111,11,21,37,13,15,13,1
W00004796,0.99999999999998601,120,15,28,34,24,5,11,3
W00004797,1.0000000000012199,121,16,17,42,22,9,8,7
W00004798,0.99999999999382505,133,30,13,54,18,12,5,1
W00004799,1.00000000001028,132,17,25,47,26,8,8,1
W00004800,0.999999999999584,126,32,25,36,13,10,10,0
W00004801,1.0000000000011899,128,16,23,44,28,8,8,1
W00004802,0.99999999999943701,128,13,16,48,34,11,4,2
W00004803,0.99999999999957701,138,16,19,48,30,10,10,5
W00004804,0.99999999999355205,115,12,18,39,20,17,7,2
W00004805,1.0000000000017699,112,29,19,35,10,8,9,2
W00004806,1.00000000000086,112,8,20,30,13,25,11,5
W00004807,0.99999999999886502,140,16,33,46,21,10,11,3
W00004808,0.99999999999558298,127,20,12,57,23,8,6,1
W00004809,0.99999999998937406,155,9,17,59,53,6,7,4
W00004810,1.0000000000032101,126,13,9,62,27,8,5,2
W00004811,1.00000000000081,128,18,7,64,33,1,4,1
W00004812,0.99999999999863898,125,18,13,60,27,2,5,0
W00004813,0.99999999999956102,73,19,10,26,12,1,5,0
W00004814,1.0000000000001099,118,19,15,51,22,6,4,1
W00004815,1.0000000000011999,121,20,10,62,16,3,8,2
W00004816,1.0000000000006699,121,15,8,72,19,3,3,1
W00004817,1.0000000000201901,117,25,12,54,17,1,7,1
W00004818,0.99999999965418895,131,22,16,62,17,8,6,0
W00004819,0.99999999998576306,127,20,17,49,12,10,15,4
W00004820,0.99999999999881395,91,12,9,39,13,5,10,3
W00004821,0.99999999999984901,128,8,18,38,32,17,11,4
W00004822,1.0000000000043201,123,8,15,36,53,6,3,2
W00004823,1.00000000000138,126,3,25,37,33,15,11,2
W00004824,0.99999999999614497,167,9,27,60,44,16,6,5
W00004825,0.99999999999422495,112,9,13,55,20,5,7,3
W00004826,1.00000000004222,108,14,9,59,16,4,6,0
W00004827,0.99999999999897005,131,15,10,78,22,2,4,0
W00004828,1.0000000000018101,120,19,33,28,13,12,14,1
W00004829,0.99999999999590095,159,54,19,58,14,6,8,0
W00004830,0.99999999999998601,120,3,27,22,24,32,7,5
W00004831,1.0000000000025799,123,21,13,38,21,17,11,2
W00004832,0.99999999999911704,116,10,33,33,19,14,6,1
W00004833,0.999999999999022,233,16,39,72,75,17,6,8
W00004834,1.0000000000053599,128,16,10,73,19,3,4,3
