rel..oa_id,rel..proportion_of_oa_within_co_m_boundary,rel..total_persons,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
W00002655,5.4956132677694801E-2,366,249,1,0,0,0,0,1,81,34
W00002685,0.81683789595058398,258,155,0,0,0,0,0,0,78,25
W00002697,0.34079713810190598,285,184,0,0,0,0,0,0,78,23
W00004031,0.340511364504061,343,250,0,1,0,0,0,1,62,29
W00004257,0.425647440312027,347,182,1,3,0,6,0,3,126,26
W00004260,0.112134919602558,328,194,0,0,0,0,0,0,109,25
W00004270,1.1842778855074501E-2,257,186,0,0,0,0,7,0,53,11
W00004706,0.99999999987335397,399,256,4,0,0,1,0,1,112,25
W00004707,0.99999999999672196,420,251,1,0,0,0,0,3,131,34
W00004708,1.0000000000013001,359,185,6,5,0,7,0,5,129,22
W00004709,0.99999999999874301,310,170,0,0,0,0,0,0,118,22
W00004710,1.00000000000383,331,186,0,1,0,8,0,0,118,18
W00004711,0.99999999999830802,287,167,1,0,0,0,0,1,93,25
W00004712,0.99999999999797595,304,134,0,0,0,5,0,0,121,44
W00004713,1.00000000000362,316,166,0,2,0,10,0,0,118,20
W00004714,0.999999999999584,322,157,0,0,0,3,0,0,139,23
W00004715,1.0000000000000999,291,152,1,1,0,9,1,0,114,13
W00004716,0.99999999997828504,242,123,0,0,0,0,0,2,93,24
W00004717,0.99999999999996203,269,151,0,0,0,2,0,1,101,14
W00004718,1.00000000000053,323,142,4,3,0,4,0,1,139,30
W00004719,0.99999999999969402,274,142,0,0,0,0,0,0,108,24
W00004720,0.99999999999952605,259,178,0,0,0,5,0,2,55,19
W00004721,0.99999999999947398,286,190,0,0,0,2,0,0,69,25
W00004722,1.00000000000134,215,139,0,0,0,0,0,2,60,14
W00004723,0.99999999998897804,245,179,0,0,0,0,0,0,57,9
W00004724,0.99999999999947697,290,171,0,0,1,0,0,0,93,25
W00004725,1.0000000000007201,307,156,0,0,0,0,0,0,141,10
W00004726,0.99999999999992495,203,117,0,0,1,0,0,1,71,13
