house..oa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00000001,99,12,23,43,11,2,6,2
E00000003,112,8,23,45,20,0,15,1
E00000005,217,38,71,69,19,2,18,0
E00000007,83,0,53,15,3,2,9,1
E00000010,78,15,45,11,2,2,3,0
E00000012,137,27,49,40,7,7,7,0
E00000013,96,19,45,28,3,0,1,0
E00000014,132,37,76,11,3,1,4,0
E00000016,182,18,85,57,13,4,5,0
E00000017,142,14,46,36,27,4,13,2
E00000018,122,24,31,51,11,1,2,2
E00000019,85,14,33,24,8,0,6,0
E00000020,126,26,31,39,13,3,12,2
E00000021,173,26,70,48,14,1,13,1
E00000022,110,11,32,24,14,12,15,2
E00000023,90,18,21,17,15,6,11,2
E00000024,147,6,80,30,12,2,17,0
E00000025,219,20,120,45,7,0,27,0
E00000026,163,3,95,44,5,0,16,0
E00000027,227,6,135,50,5,0,31,0
E00000028,110,13,65,20,4,0,8,0
E00000029,127,16,56,19,5,7,22,2
E00000030,124,23,38,13,13,8,24,5
E00000031,77,14,26,15,13,1,7,1
E00000032,139,8,47,20,30,12,15,7
E00000035,150,1,88,33,5,0,22,1
E00000576,118,6,7,45,31,6,13,10
E00000577,100,8,20,13,17,16,20,6
E00000578,135,18,6,54,36,3,13,5
E00000580,131,12,5,55,36,7,10,6
E00000582,234,24,32,72,56,14,24,12
E00000585,122,12,9,40,38,5,10,8
E00000588,128,16,12,35,32,9,12,12
E00000591,120,15,15,36,31,6,16,1
E00000593,125,13,4,38,40,5,18,7
E00000594,136,21,14,45,32,6,9,9
E00000595,135,2,28,15,30,37,15,8
E00000596,132,15,32,32,28,9,9,7
E00000598,134,13,12,41,40,6,16,6
E00000599,126,4,30,11,22,43,13,3
E00000600,137,15,22,39,32,6,19,4
E00000601,131,22,12,40,34,3,15,5
E00000602,134,4,44,21,28,15,18,4
E00000603,137,15,26,40,28,13,13,2
E00000604,140,11,47,37,20,13,11,1
E00000605,137,9,22,43,26,7,17,13
E00000606,134,16,38,38,16,13,10,3
E00000607,122,11,20,26,22,17,17,9
E00000608,122,15,14,27,34,2,20,10
E00000609,182,12,62,33,25,21,21,8
E00000613,128,10,15,45,35,6,11,6
E00000622,125,29,28,25,15,7,12,9
E00000623,140,12,13,37,39,11,16,12
E00000624,119,1,30,27,26,12,14,9
E00000625,126,8,18,13,37,16,19,15
E00000626,131,21,28,24,18,5,27,8
E00000627,128,5,11,12,31,32,30,7
E00000628,129,15,15,31,25,16,15,12
E00000629,131,10,9,38,29,7,23,15
E00000630,113,10,20,17,15,13,23,15
E00000631,117,3,13,14,32,29,15,11
E00000632,116,14,12,22,21,14,20,13
E00000633,126,10,14,16,27,24,30,5
E00000634,133,10,18,25,30,20,22,8
E00000635,101,8,17,19,19,11,15,12
E00000636,121,12,15,26,27,18,15,8
E00000637,119,13,13,14,28,20,19,12
E00000638,139,8,17,27,30,23,23,11
E00000640,121,12,12,26,19,25,21,6
E00000641,118,15,17,26,24,15,16,5
E00000642,115,7,11,25,29,15,16,12
E00000643,120,10,20,31,22,13,14,10
E00000644,125,23,16,23,20,18,17,8
E00000645,109,8,18,20,21,21,15,6
E00000646,117,12,14,22,19,18,21,11
E00000647,132,17,15,21,28,21,16,14
E00000648,116,4,12,27,24,18,20,11
E00000649,127,4,52,31,19,10,5,6
E00000650,131,19,15,26,24,19,18,10
E00000651,95,2,11,15,19,15,16,17
E00000652,119,4,49,9,18,20,12,7
E00000653,129,11,14,24,26,21,21,12
E00000654,117,16,21,25,22,17,11,5
E00000655,121,7,32,27,14,19,17,5
E00000656,121,3,16,27,25,20,22,8
E00000657,139,3,26,22,35,27,12,14
E00000658,144,7,14,29,33,17,30,14
E00000659,126,38,9,25,15,15,17,7
E00000660,114,6,10,17,36,22,19,4
E00000661,127,10,12,38,31,10,10,16
E00000662,117,14,9,23,22,27,12,10
E00000663,119,31,22,15,15,9,16,11
E00000664,132,60,16,15,12,9,12,8
E00000665,181,8,32,34,35,33,26,13
E00000666,125,2,34,14,12,17,34,12
E00000667,137,13,16,22,32,20,26,8
E00000668,137,6,33,20,27,28,19,4
E00000669,141,11,25,39,26,6,26,8
E00000670,130,16,24,28,31,7,21,3
E00000671,122,17,31,23,21,3,25,2
E00000672,133,12,16,45,22,6,29,3
E00000674,141,14,16,38,36,5,19,13
E00000675,145,18,39,27,16,7,35,3
E00000676,143,13,25,30,29,12,29,5
E00000677,137,2,47,25,17,15,22,9
E00000678,133,14,32,14,23,18,26,6
E00000679,125,4,43,19,19,12,27,1
E00000680,141,11,38,17,23,24,23,5
E00000681,153,11,49,14,17,15,41,6
E00000682,119,11,21,20,33,11,17,6
E00000683,123,10,23,23,24,13,22,8
E00000684,155,9,52,32,15,22,19,6
E00000685,168,7,56,30,18,20,28,9
E00000686,126,3,38,17,12,9,37,10
E00000687,125,14,22,35,15,5,30,4
E00000688,114,11,25,28,22,3,18,7
E00000689,98,11,12,17,27,5,24,2
E00000690,109,11,10,31,29,3,17,8
E00000691,114,16,25,17,18,4,31,3
E00000692,116,7,11,25,37,8,23,5
E00000693,125,4,41,26,15,3,29,7
E00000694,129,12,28,35,26,7,17,4
E00000695,121,15,14,28,37,4,16,7
E00000696,188,6,59,41,8,12,58,4
E00000697,132,10,4,46,43,2,17,10
E00000698,155,11,33,37,25,3,37,9
E00000699,133,14,20,37,20,2,28,12
E00000700,158,17,45,35,31,7,22,1
E00000701,126,13,28,34,26,6,19,0
E00000702,175,8,58,39,22,12,34,2
E00000703,138,14,9,64,26,5,10,10
E00000704,122,33,30,16,10,5,23,5
E00000705,128,10,16,36,40,7,12,7
E00000706,124,13,23,32,31,0,23,2
E00000707,139,11,20,38,34,5,24,7
E00000708,130,13,21,38,25,6,19,8
E00000709,160,15,45,26,25,26,16,7
E00000710,137,10,24,30,26,8,26,13
E00000711,143,12,42,26,14,6,38,5
E00000712,123,19,17,27,27,10,21,2
E00000713,142,19,20,31,27,14,23,8
E00000714,119,9,19,30,27,7,15,12
E00000715,153,14,31,41,27,6,25,9
E00000716,146,12,40,22,20,11,39,2
E00000717,115,13,22,5,28,21,17,9
E00000718,119,16,20,25,19,15,15,9
E00000719,139,2,40,33,29,15,16,4
E00000720,133,17,22,21,30,14,19,10
E00000721,153,11,43,19,13,12,48,7
E00000722,119,16,13,28,27,8,19,8
E00000723,141,11,28,37,20,20,14,11
E00000724,97,13,23,18,21,2,16,4
E00000725,121,9,10,32,32,6,25,7
E00000726,142,11,10,41,26,5,37,12
E00000727,133,11,21,43,19,4,23,12
E00000728,127,12,9,37,24,1,21,23
E00000729,128,9,12,42,28,6,19,12
E00000730,142,13,21,36,32,4,22,14
E00000731,133,14,31,39,19,4,18,8
E00000732,139,12,14,38,25,8,26,16
E00000733,114,4,26,37,18,5,18,6
E00000734,126,12,7,32,38,7,20,10
E00000736,100,5,14,9,28,22,15,7
E00000737,102,3,7,7,26,33,15,11
E00000738,129,11,29,24,22,20,14,9
E00000739,111,3,25,24,23,13,15,8
E00000740,107,15,21,22,16,18,11,4
E00000742,116,4,15,11,23,39,16,8
E00000743,117,15,32,14,15,18,16,7
E00000744,126,4,39,16,24,25,14,4
E00000745,112,6,35,4,24,22,11,10
E00000746,135,1,12,12,35,47,16,12
E00000747,113,5,26,7,28,24,10,13
E00000748,141,8,18,24,37,17,21,16
E00000749,130,9,65,7,15,20,10,4
E00000750,121,6,21,8,26,35,13,12
E00000751,123,7,30,22,14,18,24,8
E00000752,117,6,20,27,26,18,8,12
E00000754,114,5,20,22,17,28,14,8
E00000755,120,5,34,15,30,14,17,5
E00000756,131,2,43,16,20,19,23,8
E00000757,142,6,54,25,25,9,16,7
E00000758,105,3,36,23,17,6,15,5
E00000760,94,5,17,5,17,10,29,11
E00000761,108,5,40,29,19,3,7,5
E00000762,93,6,15,24,21,6,17,4
E00000763,117,15,30,20,15,12,18,7
E00000764,135,11,14,29,36,7,30,8
E00000765,131,12,35,23,14,16,20,11
E00000766,221,19,43,29,45,22,48,15
E00000767,126,14,29,21,27,4,25,6
E00000768,130,32,18,29,21,9,15,6
E00000769,166,7,44,47,33,10,22,3
E00000770,138,5,19,30,39,11,25,9
E00000771,96,0,15,16,11,8,45,1
E00000772,126,7,39,15,29,21,11,4
E00000773,141,5,32,19,14,39,28,4
E00000774,139,12,63,22,14,8,16,4
E00000775,155,15,25,34,46,12,20,3
E00000776,187,27,47,34,36,12,24,7
E00000777,136,10,42,27,30,9,15,3
E00000778,154,7,37,34,32,8,28,8
E00000779,136,11,19,47,29,9,16,5
E00000780,112,9,4,29,41,9,16,4
E00000781,147,25,24,29,28,14,15,12
E00000782,145,7,44,26,24,12,27,5
E00000783,117,4,43,25,19,7,15,4
E00000785,148,12,17,48,34,6,21,10
E00000786,180,12,29,44,38,5,42,10
E00000787,140,5,43,29,40,7,14,2
E00000788,123,15,20,29,28,9,16,6
E00000789,126,13,55,19,19,13,6,1
E00000790,117,6,52,15,21,11,9,3
E00000791,121,5,44,16,21,16,16,3
E00000792,119,7,26,11,25,24,24,2
E00000793,155,9,34,33,33,19,22,5
E00000794,131,14,22,15,25,19,24,12
E00000795,145,8,32,33,32,16,19,5
E00000796,123,9,13,23,21,21,33,3
E00000797,137,8,28,36,24,20,17,4
E00000798,127,7,36,31,25,13,15,0
E00000799,136,12,24,33,38,15,12,2
E00000800,151,20,31,35,25,10,26,4
E00000801,150,13,57,28,20,14,13,5
E00000802,128,16,17,21,26,21,20,7
E00000803,120,11,51,30,18,2,8,0
E00000804,165,12,27,30,42,17,31,6
E00000805,144,8,29,30,37,6,31,3
E00000806,112,9,11,36,31,8,14,3
E00000807,107,6,14,11,13,27,25,11
E00000808,128,11,23,27,26,19,15,7
E00000809,93,11,20,8,16,21,15,2
E00000810,103,6,21,19,23,15,16,3
E00000811,134,15,8,61,31,2,11,6
E00000812,147,14,15,55,42,7,10,4
E00000813,166,10,57,34,20,19,22,4
E00000814,104,10,18,36,23,6,10,1
E00000815,120,11,27,28,24,12,16,2
E00000816,121,6,38,16,28,10,19,4
E00000817,129,16,9,39,43,4,10,8
E00000818,137,8,39,33,21,11,23,2
E00000834,108,8,8,47,28,4,7,6
E00000864,136,19,10,38,38,8,15,8
E00000865,146,18,17,45,24,17,20,5
E00000866,157,23,40,45,26,8,11,4
E00000867,122,6,28,29,27,16,13,3
E00000868,121,11,12,29,24,17,24,4
E00000869,133,17,28,28,35,14,11,0
E00000870,112,5,29,37,26,3,9,3
E00000871,129,12,17,46,31,2,19,2
E00000872,120,11,34,22,21,14,11,7
E00000873,123,17,6,33,46,2,11,8
E00000874,115,60,14,16,10,1,12,2
E00000875,103,16,14,26,28,4,13,2
E00000876,109,15,5,29,41,0,11,8
E00000877,147,24,18,40,42,6,15,2
E00000878,108,6,20,35,26,9,11,1
E00000879,146,8,28,29,24,24,25,8
E00000880,139,38,16,19,23,16,17,10
E00000881,128,11,20,17,23,15,32,10
E00000882,129,11,20,28,21,17,22,10
E00000883,123,16,20,32,30,5,15,5
E00000884,126,24,21,30,15,15,18,3
E00000885,122,11,24,19,19,19,25,5
E00000886,120,9,24,30,31,4,19,3
E00000887,106,6,22,14,18,17,24,5
E00000888,119,5,39,30,21,6,18,0
E00000889,132,29,35,19,11,18,16,4
E00000890,102,5,18,26,29,9,13,2
E00000891,162,4,81,32,18,3,21,3
E00000892,137,11,19,33,45,4,20,5
E00000893,154,12,30,43,27,5,36,1
E00000894,137,10,40,31,13,14,21,8
E00000895,135,9,22,40,31,3,16,14
E00000896,118,10,44,20,10,13,20,1
E00000897,97,23,25,13,7,9,14,6
E00000898,167,39,14,33,47,4,23,7
E00000899,141,15,21,44,35,9,14,3
E00000900,136,25,33,36,25,6,10,1
E00000901,129,16,30,39,9,6,29,0
E00000902,137,15,30,20,19,14,33,6
E00000903,113,11,19,40,16,4,23,0
E00000904,97,35,16,10,10,7,17,2
E00000905,118,7,15,36,39,6,11,4
E00000906,114,9,23,27,30,8,15,2
E00000907,133,7,26,38,39,4,13,6
E00000908,122,9,29,37,16,7,23,1
E00000909,141,22,14,43,38,1,18,5
E00000910,136,5,22,35,50,3,20,1
E00000911,138,7,32,25,10,9,54,1
E00000912,134,26,21,21,19,22,23,2
E00000913,126,37,23,28,16,1,17,4
E00000914,110,13,23,37,24,6,7,0
E00000915,136,10,45,37,16,1,25,2
E00000916,136,17,21,45,19,7,25,2
E00000917,93,32,15,21,8,4,11,2
E00000918,145,37,36,36,9,5,22,0
E00000919,155,17,17,41,40,6,32,2
E00000920,163,16,33,44,30,3,36,1
E00000921,125,9,12,31,16,16,36,5
E00000922,123,11,3,59,30,3,10,7
E00000923,114,54,13,26,10,4,6,1
E00000924,117,16,11,25,27,15,19,4
E00000925,119,4,6,44,36,7,14,8
E00000926,117,10,4,56,32,4,6,5
E00000927,110,6,3,36,40,5,13,7
E00000928,126,13,4,49,43,3,10,4
E00000929,128,7,7,47,53,4,8,2
E00000930,125,6,5,53,49,3,4,5
E00000931,132,15,8,48,43,0,14,4
E00000932,157,23,9,63,34,5,21,2
E00000933,146,5,29,19,26,35,22,10
E00000934,122,8,3,46,41,7,12,5
E00000935,156,17,24,52,35,2,19,7
E00000936,126,15,9,56,38,2,3,3
E00000937,162,10,24,19,30,39,28,12
E00000938,132,20,11,45,23,7,20,6
E00000939,124,8,1,48,40,4,12,11
E00000940,123,27,6,46,29,4,8,3
