health..oa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00024141,349,184,117,37,8,3
E00024142,269,140,77,36,11,5
E00024143,337,164,116,49,8,0
E00024144,288,153,90,35,9,1
E00024145,370,215,105,37,10,3
E00024146,277,121,107,32,12,5
E00024147,298,136,115,35,8,4
E00024148,367,211,115,34,6,1
E00024150,216,95,70,33,14,4
E00024151,306,164,91,39,9,3
E00024152,240,96,79,36,28,1
E00024153,308,158,106,28,13,3
E00024154,372,192,113,56,8,3
E00024155,311,140,89,53,18,11
E00024156,364,168,129,45,17,5
E00024157,357,187,110,45,12,3
E00024158,334,132,120,58,22,2
E00024159,253,90,90,51,12,10
E00024160,285,125,116,34,6,4
E00024161,311,151,112,37,11,0
E00024162,309,158,102,37,11,1
E00024163,268,94,94,47,27,6
E00024164,389,189,121,47,24,8
E00024165,211,67,72,47,21,4
E00024166,300,127,115,46,9,3
E00024167,316,128,119,44,18,7
E00024168,290,115,110,49,13,3
E00024169,205,89,66,37,10,3
E00024170,297,131,100,46,17,3
E00024171,338,153,115,44,21,5
E00024172,290,126,123,29,10,2
E00024173,230,80,81,50,13,6
E00024174,445,195,171,58,17,4
E00024175,311,120,135,39,14,3
E00024176,296,131,109,42,12,2
E00024177,424,284,119,18,2,1
E00024178,344,208,104,28,4,0
E00024179,316,188,88,32,7,1
E00024180,288,167,88,25,6,2
E00024181,265,158,78,24,5,0
E00024182,252,150,62,33,6,1
E00024183,440,244,155,29,10,2
E00024184,303,151,94,44,11,3
E00024185,220,71,90,47,12,0
E00024186,309,156,90,52,9,2
E00024187,323,176,114,26,7,0
E00024188,335,170,91,53,19,2
E00024189,358,190,126,36,5,1
E00024190,260,99,95,50,11,5
E00024191,276,118,73,57,23,5
E00024192,274,105,90,54,21,4
E00024193,316,144,101,54,13,4
E00024194,330,168,103,46,10,3
E00024195,258,115,79,52,10,2
E00024196,246,110,79,44,11,2
E00024197,279,146,91,32,10,0
E00024198,319,121,130,44,18,6
E00024199,453,242,153,43,10,5
E00024200,295,110,101,52,25,7
E00024201,298,133,111,39,11,4
E00024202,333,187,107,32,6,1
E00024203,313,128,126,42,12,5
E00024204,234,99,80,44,8,3
E00024205,262,118,96,34,12,2
E00024206,255,115,84,39,13,4
E00024207,308,147,121,30,8,2
E00024208,463,236,137,63,23,4
E00024210,321,156,111,41,10,3
E00024211,292,118,120,37,15,2
E00024212,251,128,90,28,5,0
E00024213,243,98,77,41,21,6
E00024215,367,122,117,72,43,13
E00024216,353,154,121,55,16,7
E00024217,340,164,107,48,16,5
E00024218,277,135,101,22,15,4
E00024219,556,336,175,39,6,0
E00024220,190,84,67,29,8,2
E00024221,231,102,78,40,8,3
E00024222,328,156,114,37,16,5
E00024223,413,224,128,43,13,5
E00024224,343,144,137,39,14,9
E00024225,453,250,137,46,15,5
E00024226,199,75,71,43,8,2
E00024227,296,122,114,39,18,3
E00024228,328,136,110,64,12,6
E00024229,297,87,98,63,38,11
E00024230,268,95,82,68,18,5
E00024231,264,120,107,29,7,1
E00024232,231,90,70,52,14,5
E00024233,306,139,109,37,20,1
E00024234,346,192,119,27,7,1
E00024235,313,139,117,39,15,3
E00024236,269,131,83,41,12,2
E00024237,270,125,97,43,4,1
E00024238,306,107,98,67,24,10
E00024239,289,134,111,33,10,1
E00024240,290,144,103,29,9,5
