house..oa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00024141,140,16,20,53,40,2,5,4
E00024142,111,15,14,38,29,4,7,4
E00024143,122,14,10,39,37,9,10,3
E00024144,128,15,31,37,33,8,3,1
E00024145,130,9,3,64,38,6,4,6
E00024146,127,26,8,63,22,5,3,0
E00024147,130,17,19,65,27,1,1,0
E00024148,121,6,17,22,53,10,9,4
E00024150,107,13,32,34,12,5,9,2
E00024151,125,10,37,21,37,8,8,4
E00024152,113,14,31,21,15,20,10,2
E00024153,119,14,22,26,32,9,12,4
E00024154,133,14,16,47,39,12,4,1
E00024155,118,13,25,22,23,17,13,5
E00024156,148,11,26,39,29,25,14,4
E00024157,124,13,5,49,40,6,7,4
E00024158,141,17,21,21,19,36,19,8
E00024159,127,35,9,60,14,4,5,0
E00024160,120,19,23,24,21,14,14,5
E00024161,144,14,43,33,28,8,11,7
E00024162,127,15,24,36,29,11,8,4
E00024163,124,27,38,16,19,14,4,6
E00024164,167,21,40,40,35,15,15,1
E00024165,118,36,27,28,9,12,5,1
E00024166,129,20,19,41,17,17,12,3
E00024167,138,30,11,64,24,0,6,3
E00024168,144,30,25,46,18,12,8,5
E00024169,123,19,49,25,8,13,9,0
E00024170,133,23,23,38,23,14,10,2
E00024171,147,22,17,51,34,7,12,4
E00024172,139,7,52,39,23,6,9,3
E00024173,142,44,50,20,14,9,4,1
E00024174,225,30,77,58,22,8,22,8
E00024175,132,16,24,39,25,5,16,7
E00024176,119,11,6,60,27,5,6,4
E00024177,143,4,12,46,65,9,2,5
E00024178,121,4,7,59,36,8,4,3
E00024179,133,14,19,56,31,6,5,2
E00024180,126,12,30,46,25,6,5,2
E00024181,103,11,9,54,21,2,3,3
E00024182,105,15,5,58,22,4,0,1
E00024183,186,7,41,66,46,12,9,5
E00024184,121,21,8,45,33,4,9,1
E00024185,115,41,10,44,15,1,3,1
E00024186,127,14,8,64,29,3,9,0
E00024187,126,10,9,64,32,6,2,3
E00024188,111,14,12,47,31,4,3,0
E00024189,134,5,17,63,31,7,7,4
E00024190,130,19,25,69,10,1,4,2
E00024191,123,26,15,39,20,8,13,2
E00024192,123,26,17,41,20,6,9,4
E00024193,131,21,7,69,23,6,3,2
E00024194,131,13,17,44,36,8,7,6
E00024195,114,11,24,48,18,7,5,1
E00024196,126,27,28,39,17,5,8,2
E00024197,119,11,20,52,22,3,9,2
E00024198,129,12,9,68,22,8,6,4
E00024199,212,18,57,70,37,12,13,5
E00024200,135,27,25,55,14,7,7,0
E00024201,126,17,10,59,25,6,6,3
E00024202,126,12,11,50,36,11,4,2
E00024203,132,14,17,54,26,9,10,2
E00024204,110,21,14,50,16,5,3,1
E00024205,126,20,23,42,23,7,9,2
E00024206,116,20,15,41,22,8,7,3
E00024207,128,11,25,39,30,14,7,2
E00024208,193,31,26,61,51,12,8,4
E00024210,137,15,19,48,25,3,18,9
E00024211,128,15,13,57,26,7,9,1
E00024212,117,14,18,47,16,14,6,2
E00024213,118,22,26,31,15,8,13,3
E00024215,137,10,36,35,24,15,15,2
E00024216,135,16,20,35,29,13,15,7
E00024217,132,11,16,44,29,12,16,4
E00024218,140,10,48,31,20,23,7,1
E00024219,193,1,19,76,80,6,7,4
E00024220,93,2,26,26,19,10,10,0
E00024221,112,20,26,29,18,7,11,1
E00024222,146,13,25,48,29,20,9,2
E00024223,176,16,34,55,44,12,11,4
E00024224,163,17,40,48,34,13,8,3
E00024225,182,20,27,51,49,21,11,3
E00024226,106,17,23,42,13,4,7,0
E00024227,133,16,24,56,14,3,17,3
E00024228,135,20,16,61,29,4,5,0
E00024229,140,20,30,40,18,14,14,4
E00024230,128,35,12,54,20,0,5,2
E00024231,118,7,30,28,25,19,8,1
E00024232,117,35,11,41,9,11,8,2
E00024233,128,21,9,55,27,9,2,5
E00024234,123,10,4,63,35,3,5,3
E00024235,127,11,17,48,21,14,11,5
E00024236,128,34,18,33,28,2,11,2
E00024237,118,18,10,56,28,1,2,3
E00024238,156,43,13,76,15,4,5,0
E00024239,132,21,21,55,27,2,4,2
E00024240,121,11,13,54,29,8,4,2
E00024241,131,15,37,44,18,7,8,2
E00024242,134,30,7,71,13,6,7,0
E00024243,124,21,8,70,17,4,4,0
E00024244,119,22,12,50,21,6,6,2
E00024245,121,35,24,32,13,8,7,2
E00024246,132,20,11,64,28,2,7,0
E00024247,128,18,14,63,25,3,5,0
E00024248,132,19,13,65,24,5,3,3
E00024249,122,9,15,36,45,12,4,1
E00024250,129,13,10,58,37,2,6,3
E00024251,130,6,12,77,32,1,2,0
E00024252,157,18,30,58,26,12,9,4
E00024253,110,11,22,38,11,13,14,1
E00024254,126,21,59,25,6,13,2,0
E00024255,136,20,46,17,18,22,9,4
E00024256,151,13,43,24,29,26,12,4
E00024257,120,12,37,17,26,16,8,4
E00024258,127,19,39,20,12,16,19,2
E00024259,113,11,12,56,21,3,7,3
E00024260,101,10,13,42,31,3,1,1
E00024261,127,5,5,76,33,1,5,2
E00024262,117,21,5,51,33,2,4,1
E00024263,150,18,15,53,31,15,14,4
E00024264,118,18,6,55,23,2,10,4
E00024265,129,29,15,53,24,2,5,1
E00024266,120,16,15,44,24,12,7,2
E00024267,117,18,12,44,28,7,7,1
E00024268,121,25,9,56,19,4,8,0
E00024269,126,20,12,63,20,3,5,3
E00024270,131,35,9,59,19,3,4,2
E00024271,117,23,30,30,13,7,10,4
E00024272,112,36,14,43,12,2,3,2
E00024273,118,36,14,34,22,6,4,2
E00024274,126,21,6,63,23,4,8,1
E00024275,101,9,20,33,19,6,10,4
E00024276,136,5,26,22,31,33,14,5
E00024277,140,25,17,50,28,10,6,4
E00024278,133,17,21,40,40,5,7,3
E00024279,125,19,19,47,21,9,6,4
E00024280,122,7,14,29,28,27,8,9
E00024281,135,11,31,29,26,16,14,8
E00024282,158,5,31,62,42,7,9,2
E00024283,129,4,58,20,12,22,8,5
E00024284,122,18,21,26,21,22,7,7
E00024285,137,29,34,43,15,7,7,2
E00024286,144,20,50,41,17,6,9,1
E00024287,128,26,39,23,10,16,10,4
E00024288,126,8,13,25,29,36,13,2
E00024289,137,28,17,35,27,8,16,6
E00024290,129,37,57,20,5,6,4,0
E00024291,123,16,14,45,23,12,9,4
E00024292,125,6,36,35,28,12,3,5
E00024293,126,16,17,57,24,3,7,2
E00024294,123,10,28,43,16,13,10,3
E00024295,136,12,20,65,24,6,8,1
E00024296,121,20,13,57,15,5,8,3
E00024297,107,9,15,19,29,23,9,3
E00024298,123,14,31,36,23,11,5,3
E00024299,126,19,16,51,25,6,6,3
E00024300,175,15,28,39,38,33,17,5
E00024301,133,13,54,16,12,26,7,5
E00024302,120,25,17,40,20,12,5,1
E00024303,110,26,13,51,10,3,5,2
E00024304,120,12,30,25,25,19,7,2
E00024305,132,13,14,66,25,9,4,1
E00024306,118,16,19,35,25,15,6,2
E00024307,123,6,16,20,18,37,21,5
E00024308,133,7,8,72,31,6,6,3
E00024309,109,15,11,64,13,1,4,1
E00024310,130,10,17,51,29,12,10,1
E00024311,147,10,13,69,35,12,6,2
E00024312,119,13,23,42,27,4,8,2
E00024313,152,7,29,21,41,27,15,12
E00024314,145,15,16,63,30,7,12,2
E00024315,123,21,18,40,16,18,7,3
E00024316,119,5,19,10,29,34,16,6
E00024317,139,13,21,20,31,29,16,9
E00024318,133,1,15,21,39,24,19,14
E00024319,241,11,97,61,35,21,13,3
E00024320,124,14,9,62,27,5,5,2
E00024321,108,7,11,52,30,6,2,0
E00024322,198,21,37,95,29,5,9,2
E00024323,120,18,13,43,37,6,3,0
E00024324,137,8,17,57,34,13,6,2
E00024325,136,16,21,52,28,10,8,1
E00024326,149,31,26,44,21,16,9,2
E00024327,122,31,5,63,14,3,4,2
