pop..lsoa_code,pop..total_persons,pop..males,pop..females,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
E01004766,1712,883,829,118,128,121,248,246,444,234,173
E01004767,1874,947,927,110,138,126,312,301,454,273,160
E01004768,1521,743,778,90,115,101,145,163,471,315,121
E01004769,1430,698,732,60,101,90,171,173,415,290,130
E01004770,1420,669,751,76,128,126,137,142,359,247,205
E01004771,1600,775,825,83,157,133,154,187,482,227,177
E01004772,1855,881,974,148,227,152,275,273,459,237,84
E01004773,2268,1205,1063,114,180,151,510,349,518,264,182
E01004774,1739,867,872,105,144,137,257,260,485,222,129
E01004775,2127,1052,1075,161,189,114,220,346,528,336,233
E01004776,1799,904,895,96,142,136,256,253,547,261,108
E01004777,1573,741,832,86,125,81,245,227,440,227,142
E01004778,1171,578,593,46,93,48,115,97,306,246,220
E01004779,1558,793,765,87,187,123,175,206,448,268,64
E01004780,2264,1117,1147,134,214,143,301,319,654,313,186
E01004781,2125,1068,1057,132,191,136,288,384,594,265,135
E01004782,1236,584,652,73,114,81,118,151,325,233,141
E01004783,1388,669,719,61,98,79,143,140,392,302,173
E01004784,1162,584,578,48,83,73,91,114,297,258,198
E01004785,1524,744,780,93,146,117,165,186,397,251,169
E01004786,1439,662,777,66,102,63,190,152,349,280,237
E01004787,1708,848,860,142,210,136,276,234,461,194,55
E01004788,1271,613,658,33,97,63,98,85,347,326,222
E01004789,1389,689,700,59,98,78,121,152,395,298,188
E01004790,1374,663,711,68,106,97,145,130,374,262,192
E01004791,1218,581,637,60,60,66,134,108,308,243,239
E01004792,1343,645,698,41,67,68,115,102,348,348,254
E01004793,1792,852,940,111,209,163,240,265,393,245,166
E01004794,1881,885,996,138,293,208,249,303,378,213,99
E01004795,1581,805,776,116,125,87,201,210,421,240,181
E01004796,1582,801,781,74,146,111,222,235,397,261,136
E01004797,1507,715,792,126,195,158,231,215,355,154,73
E01004798,1667,783,884,116,217,124,225,230,420,214,121
