ethn..geo_code,ethn..total_persons,ethn..ethnic_group_e_s_w_white_english_welsh_scottish_northern_irish_british_unit_persons,ethn..ethnic_group_e_s_w_white_irish_unit_persons,ethn..ethnic_group_e_s_w_white_gypsy_or_irish_traveller_unit_persons,ethn..ethnic_group_e_s_w_white_other_white_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_white_and_black_caribbean_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_white_and_black_african_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_white_and_asian_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_other_mixed_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_indian_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_pakistani_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_bangladeshi_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_chinese_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_other_asian_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_african_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_caribbean_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_other_black_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_arab_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_any_other_ethnic_group_unit_persons,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
W00006943,246,237,0,0,2,0,1,0,1,0,0,0,0,5,0,0,0,0,0,239,0,5,2,0
W00006944,321,319,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,319,1,0,1,0
W00006945,293,288,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,288,0,5,0,0
W00006946,252,247,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,5,0
W00006947,269,268,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,268,0,1,0,0
W00006948,309,295,0,0,4,0,0,1,0,5,0,0,1,3,0,0,0,0,0,299,0,9,1,0
W00006949,363,358,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,0,0,0,0
W00006950,291,288,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,288,0,1,2,0
W00006951,369,365,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,367,0,1,0,1
W00006952,313,309,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,310,0,3,0,0
W00006953,294,284,1,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,1,290,0,0,3,1
W00006954,322,302,0,0,5,0,2,4,0,1,0,0,4,3,1,0,0,0,0,307,1,8,6,0
W00006955,337,329,0,0,0,2,0,2,1,2,0,0,1,0,0,0,0,0,0,329,0,3,5,0
W00006956,289,274,0,0,3,2,2,0,1,0,0,0,4,1,1,1,0,0,0,277,2,5,5,0
W00006957,359,353,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,356,0,0,3,0
W00006958,311,305,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,307,0,0,4,0
W00006959,318,315,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,317,0,0,1,0
W00006960,289,283,0,0,2,1,0,1,0,0,0,0,1,1,0,0,0,0,0,285,0,2,2,0
W00006961,329,319,1,0,5,0,0,0,2,0,1,0,0,0,0,0,0,0,1,325,0,1,2,1
W00006962,255,250,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,252,0,1,2,0
W00006963,311,308,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,3,0
W00006964,284,281,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,283,0,1,0,0
W00006965,278,261,3,0,1,0,0,0,3,0,0,0,8,0,0,0,0,0,2,265,0,8,3,2
W00006966,306,300,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,0,0
W00006968,345,343,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,344,0,0,1,0
W00006969,283,272,0,0,6,4,0,0,1,0,0,0,0,0,0,0,0,0,0,278,0,0,5,0
W00006970,302,293,1,0,1,1,2,0,2,0,0,0,0,2,0,0,0,0,0,295,0,2,5,0
W00006992,314,305,0,0,0,3,0,1,0,0,0,0,3,1,0,0,0,1,0,305,0,4,4,1
W00006993,495,490,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,492,0,2,1,0
W00006994,396,384,2,1,3,0,2,2,0,0,0,0,0,2,0,0,0,0,0,390,0,2,4,0
W00006995,383,372,1,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,1,379,0,0,3,1
W00006996,232,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0
W00006997,345,338,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,343,0,0,2,0
