house..oa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
W00006943,119,23,19,43,18,7,9,0
W00006944,125,6,15,51,29,11,11,2
W00006945,117,15,13,30,25,18,13,3
W00006946,118,23,18,36,17,12,10,2
W00006947,118,8,24,41,13,20,10,2
W00006948,130,17,28,30,20,11,17,7
W00006949,157,27,28,47,34,7,8,6
W00006950,117,14,10,33,26,18,11,5
W00006951,139,10,17,52,31,11,7,11
W00006952,124,24,11,39,23,15,10,2
W00006953,126,13,38,24,22,15,10,4
W00006954,121,12,15,34,17,25,9,9
W00006955,127,12,12,42,30,15,15,1
W00006956,140,31,29,41,20,8,4,7
W00006957,120,10,15,33,33,19,5,5
W00006958,135,20,22,37,30,14,11,1
W00006959,138,23,20,50,22,9,10,4
W00006960,126,3,34,49,23,8,6,3
W00006961,122,6,12,51,32,8,10,3
W00006962,108,9,18,36,20,8,15,2
W00006963,145,25,24,54,18,13,8,3
W00006964,126,18,16,53,23,8,5,3
W00006965,116,13,16,49,26,4,8,0
W00006966,120,11,16,39,25,16,10,3
W00006968,132,15,15,42,43,7,7,3
W00006969,133,15,29,48,25,8,4,4
W00006970,138,13,30,50,24,9,10,2
W00006992,129,7,26,39,29,16,9,3
W00006993,186,15,19,63,43,19,17,10
W00006994,172,13,32,67,28,17,13,2
W00006995,159,10,29,67,36,6,5,6
W00006996,105,7,32,23,21,18,2,2
W00006997,123,10,16,35,33,18,7,4
W00006998,118,22,12,39,18,8,15,4
W00006999,117,11,15,34,33,7,13,4
W00007021,138,5,12,59,45,9,6,2
W00007022,125,18,23,35,24,11,13,1
W00007023,133,19,21,48,30,8,4,3
W00007024,169,14,19,68,39,9,16,4
W00007025,134,20,13,72,23,1,4,1
W00007026,155,5,20,58,52,9,7,4
W00007027,126,10,19,48,28,10,8,3
W00007028,159,33,8,69,33,5,5,6
W00007029,115,11,10,66,15,4,6,3
W00007030,141,17,35,25,25,18,14,7
W00007031,129,24,15,44,26,4,10,6
W00007032,130,21,13,53,25,10,7,1
W00007033,113,22,7,47,11,4,16,6
W00007034,130,39,10,43,22,5,11,0
W00007035,129,10,13,53,35,3,12,3
W00007036,125,11,11,59,25,6,9,4
W00007037,130,8,9,50,30,15,13,5
W00007038,127,12,27,44,31,4,9,0
W00007039,128,21,8,52,19,14,11,3
W00007040,122,23,15,43,14,11,12,4
W00007041,125,1,27,16,25,40,11,5
W00007042,118,8,24,40,35,8,3,0
W00007043,110,12,14,41,29,8,5,1
W00007044,119,24,17,36,26,5,10,1
W00007045,129,20,16,30,39,14,6,4
W00007046,133,9,22,51,35,6,6,4
W00007047,115,3,24,17,33,25,8,5
W00007048,126,14,18,57,27,3,4,3
W00007049,135,14,21,46,32,13,7,2
W00007050,123,6,21,23,23,35,9,6
W00007051,112,6,18,27,27,22,8,4
W00007052,129,30,29,38,13,8,10,1
W00007053,151,11,32,49,25,17,12,5
W00007054,137,28,38,35,11,12,12,1
W00007055,171,14,27,84,36,3,4,3
W00007056,131,13,11,32,34,22,14,5
W00007057,134,11,15,52,41,8,6,1
W00007058,145,19,31,56,16,14,8,1
W00007059,129,28,10,35,18,19,15,4
W00007060,208,35,25,39,53,37,18,1
W00007061,128,21,15,44,19,15,11,3
W00007062,127,1,17,42,53,10,3,1
W00007063,125,15,14,47,28,15,6,0
W00007064,131,22,20,48,27,7,6,1
W00007065,117,13,15,37,31,8,12,1
W00007066,120,15,15,39,21,12,14,4
W00007067,174,6,13,41,96,8,7,3
W00007068,118,2,10,28,49,16,9,4
W00007069,132,18,14,55,30,2,8,5
W00007070,121,17,9,57,26,1,9,2
W00007071,124,20,37,45,13,3,5,1
W00007072,116,15,7,51,29,6,7,1
W00007073,129,15,16,56,34,1,4,3
W00007074,112,8,13,57,12,9,9,4
W00007075,145,27,13,49,29,7,18,2
W00007076,118,13,18,41,26,5,11,4
W00007077,120,27,7,42,23,11,9,1
W00007078,120,22,10,41,22,13,12,0
W00007079,123,17,19,46,22,9,6,4
W00007080,121,15,15,27,29,16,14,5
W00007081,120,8,9,71,17,8,6,1
W00007082,122,17,13,62,22,5,3,0
W00007083,141,23,7,47,34,13,11,6
W00007084,117,12,17,34,21,19,8,6
W00007085,120,18,13,40,24,10,8,7
W00007086,118,14,21,36,20,13,9,5
W00007087,128,35,19,41,17,8,6,2
W00007088,132,26,13,48,20,11,14,0
W00007089,126,14,10,43,26,14,13,6
W00007090,113,15,18,47,19,9,3,2
W00007091,140,24,33,31,19,21,7,5
W00007092,115,49,18,39,2,3,4,0
W00007093,137,8,18,64,31,6,6,4
W00007094,135,24,20,40,25,11,10,5
W00007095,144,22,18,55,25,7,15,2
W00007096,137,30,23,49,20,3,12,0
W00007097,140,18,41,42,21,11,7,0
W00007098,134,11,23,46,30,7,12,5
W00007099,107,46,16,32,1,2,9,1
W00007100,155,29,34,46,28,13,5,0
W00007101,153,14,20,54,36,13,12,4
W00007102,137,13,24,45,31,12,10,2
W00007103,138,43,29,35,16,6,7,2
W00007104,124,8,13,49,27,19,7,1
W00007105,134,32,23,42,16,6,11,4
W00007106,131,14,21,52,29,5,7,3
W00007107,202,10,29,64,68,18,10,3
W00007108,128,19,28,44,21,10,6,0
W00007109,127,14,7,62,31,7,5,1
W00007110,125,18,10,61,19,7,8,2
W00007111,136,9,25,53,31,5,9,4
W00007112,132,16,11,53,38,5,6,3
W00007113,120,17,12,40,34,6,11,0
W00007114,122,12,7,50,36,10,6,1
W00007115,135,14,38,38,20,14,10,1
W00007116,109,18,12,43,19,5,8,4
W00007117,122,13,9,50,33,8,9,0
W00007118,130,15,8,68,15,7,16,1
W00007119,73,6,13,32,14,1,5,2
W00007120,148,28,17,33,23,30,9,8
W00007121,118,32,11,37,12,15,9,2
W00007122,130,11,9,46,16,34,11,3
W00007168,172,9,23,75,35,10,14,6
W00007169,119,16,24,39,21,8,10,1
W00007170,152,11,10,75,41,2,10,3
W00007171,119,10,22,57,16,6,5,3
W00007172,123,17,14,39,25,13,9,6
W00007173,126,41,19,34,17,4,11,0
W00007174,132,26,7,51,27,8,8,5
W00007197,171,25,30,45,26,30,10,5
W00007198,127,21,37,31,18,12,7,1
W00007199,127,17,21,39,25,8,7,10
W00007200,125,30,27,35,12,9,11,1
W00007201,114,34,12,46,15,4,3,0
W00007202,119,15,18,39,17,16,10,4
W00007203,107,17,16,28,32,7,5,2
