pop..lsoa_code,pop..total_persons,pop..males,pop..females,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
W01001325,1820,852,968,111,165,147,282,254,476,256,129
W01001326,2217,1102,1115,126,229,182,315,311,539,363,152
W01001327,2438,1250,1188,171,184,124,374,404,677,351,153
W01001328,1564,813,751,76,137,115,198,200,419,286,133
W01001329,1618,786,832,90,140,115,228,252,402,237,154
W01001334,1505,707,798,86,141,131,229,199,363,241,115
W01001335,1300,663,637,57,94,85,202,178,354,235,95
W01001340,1871,938,933,75,104,120,275,213,560,353,171
W01001341,1765,795,970,86,151,112,225,249,468,318,156
W01001342,1255,610,645,61,113,93,158,117,383,208,122
W01001343,1146,571,575,56,90,85,101,135,352,220,107
W01001344,1618,788,830,59,129,124,200,187,417,325,177
W01001345,1520,737,783,137,177,155,286,226,321,144,74
W01001346,1609,774,835,107,156,120,231,245,349,227,174
W01001347,1488,723,765,65,102,92,196,137,440,284,172
W01001348,1864,903,961,89,210,163,294,228,459,281,140
W01001349,1839,935,904,78,122,166,274,179,614,263,143
W01001350,1798,881,917,101,139,137,241,243,444,340,153
W01001351,1407,688,719,41,76,82,136,142,358,373,199
W01001352,1939,928,1011,122,157,123,312,227,521,335,142
W01001353,1539,743,796,58,88,110,185,115,376,398,209
W01001354,1744,877,867,72,132,101,333,221,454,291,140
W01001355,1651,776,875,69,109,108,199,205,412,353,196
W01001356,1205,582,623,52,91,72,201,125,351,177,136
W01001357,1708,876,832,85,139,115,215,223,468,306,157
W01001358,1529,738,791,103,134,145,194,191,356,265,141
W01001359,1622,837,785,100,123,94,253,223,420,289,120
W01001369,2336,1119,1217,104,180,143,336,256,612,481,224
W01001374,1485,736,749,63,129,111,235,192,406,220,129
W01001375,1499,756,743,79,85,81,231,206,431,268,118
W01001376,1535,734,801,108,126,92,236,202,360,260,151
W01001380,1875,969,906,95,144,120,300,211,493,348,164
W01001381,1674,860,814,100,155,127,250,254,385,302,101
W01001382,1637,825,812,75,115,146,193,181,426,299,202
W01001383,1526,757,769,59,100,116,266,211,385,235,154
W01001384,1641,850,791,92,126,114,246,224,438,261,140
W01001385,1545,772,773,92,104,101,253,185,403,225,182
W01001386,1654,790,864,114,149,143,227,215,411,269,126
W01001387,1339,656,683,67,126,103,187,189,335,209,123
W01001388,1749,837,912,93,179,142,247,270,464,246,108
W01001389,1109,549,560,69,62,83,154,129,297,201,114
W01001390,2089,1036,1053,106,189,208,231,279,618,318,140
W01001391,1652,814,838,87,137,105,240,213,435,285,150
W01001392,1802,869,933,60,142,148,224,189,466,402,171
W01001401,2093,1058,1035,93,173,148,243,289,517,413,217
W01001402,1693,822,871,74,185,143,278,241,427,227,118
W01001403,1711,837,874,103,158,120,256,244,438,237,155
W01001404,1341,705,636,59,68,71,136,141,333,331,202
W01001405,1816,946,870,81,131,157,283,198,491,324,151
W01001407,1331,662,669,45,98,86,164,173,384,277,104
W01001408,1438,683,755,77,147,105,217,208,387,190,107
W01001409,1680,786,894,66,139,103,244,218,443,275,192
W01001410,1839,910,929,91,164,115,300,261,471,271,166
W01001411,1671,812,859,67,99,80,211,179,485,330,220
W01001412,1691,843,848,92,97,101,225,178,517,313,168
W01001413,1909,896,1013,113,164,136,288,259,478,331,140
W01001419,1605,812,793,63,124,87,170,144,536,363,118
W01001428,1279,635,644,79,149,91,182,187,301,201,89
W01001429,1116,537,579,36,71,87,131,150,307,219,115
W01001430,2523,1246,1277,163,274,139,381,364,680,364,158
W01001431,1598,751,847,93,129,95,221,191,451,280,138
W01001435,1423,709,714,66,101,98,233,172,393,251,109
W01001436,1337,674,663,73,105,70,185,181,326,245,152
W01001437,1502,729,773,86,109,104,215,199,398,266,125
W01001438,1486,692,794,67,119,79,170,188,423,279,161
W01001439,1703,898,805,91,117,112,240,203,487,283,170
W01001441,1315,609,706,93,148,88,173,164,304,220,125
W01001442,1188,581,607,50,98,69,166,130,290,240,145
W01001443,1380,698,682,68,81,57,196,159,401,262,156
W01001444,1983,952,1031,100,182,153,261,272,537,298,180
W01001445,1428,704,724,94,120,96,185,213,365,237,118
W01001450,1275,642,633,61,79,76,205,148,331,241,134
W01001451,1413,734,679,49,120,72,206,202,392,250,122
W01001452,1474,752,722,65,83,97,199,175,501,277,77
W01001453,1558,742,816,76,165,121,235,194,414,255,98
W01001454,1358,634,724,63,118,81,183,187,362,249,115
W01001455,1830,911,919,108,152,102,268,247,466,279,208
W01001456,1316,613,703,58,87,83,210,162,373,220,123
W01001457,1766,847,919,106,161,114,304,247,460,279,95
W01001458,1539,777,762,106,93,88,251,203,400,269,129
W01001459,1190,570,620,80,133,109,181,164,293,147,83
W01001460,1796,912,884,89,100,124,323,225,517,251,167
W01001461,1351,659,692,63,105,93,221,173,364,196,136
W01001462,1804,876,928,119,160,102,239,255,480,301,148
W01001463,1952,965,987,96,153,134,243,280,542,284,220
W01001464,1522,775,747,83,142,100,242,187,401,272,95
W01001465,1581,789,792,83,141,90,209,234,420,277,127
W01001466,1549,827,722,62,104,70,249,212,447,254,151
W01001467,2016,984,1032,102,209,173,255,285,547,306,139
W01001468,1343,685,658,85,78,75,217,150,378,232,128
W01001469,1351,681,670,82,132,99,207,157,346,212,116
W01001470,1425,686,739,55,84,80,147,129,419,300,211
W01001471,1780,885,895,86,153,136,282,216,480,282,145
W01001472,1370,669,701,59,66,79,186,170,377,258,175
W01001473,1404,655,749,95,151,97,188,213,302,256,102
W01001474,1545,769,776,68,109,94,212,137,423,356,146
W01001475,1202,579,623,65,92,63,158,151,373,213,87
W01001476,1009,494,515,47,72,70,159,126,268,165,102
W01001477,1368,680,688,62,115,70,206,187,334,270,124
W01001478,1388,699,689,74,63,77,204,194,395,278,103
W01001479,1580,751,829,99,174,111,206,220,349,290,131
W01001480,1623,755,868,92,135,122,196,219,422,268,169
W01001481,1638,865,773,61,72,81,327,184,454,293,166
W01001482,1323,625,698,78,141,101,210,170,321,194,108
W01001483,1535,736,799,117,209,125,233,216,329,205,101
W01001484,1702,847,855,68,136,117,222,190,509,287,173
W01001485,1353,645,708,81,143,118,171,192,303,213,132
W01001486,1532,790,742,77,122,106,265,184,408,243,127
W01001487,1691,870,821,84,127,127,251,213,454,301,134
W01001488,1713,823,890,144,158,135,319,263,343,204,147
W01001489,1627,818,809,92,150,97,245,198,422,284,139
W01001490,1453,697,756,81,108,115,240,179,389,217,124
W01001491,1822,889,933,141,156,116,274,248,420,308,159
W01001492,2474,1187,1287,129,200,188,344,309,649,484,171
W01001493,1870,897,973,86,136,107,303,215,486,320,217
W01001494,1590,791,799,59,121,120,199,155,423,284,229
W01001495,1771,892,879,58,132,105,196,165,443,359,313
W01001496,1420,672,748,79,105,93,218,140,391,263,131
W01001497,1464,716,748,84,150,106,223,216,303,202,180
W01001498,1217,574,643,77,115,95,152,138,329,188,123
W01001499,1271,595,676,59,105,72,197,193,349,227,69
W01001500,1240,628,612,53,85,71,170,132,371,278,80
W01001501,1338,643,695,89,130,126,216,204,285,213,75
W01001502,1250,623,627,52,93,99,164,144,311,277,110
W01001503,1383,650,733,97,167,129,229,186,315,182,78
W01001504,2478,1189,1289,132,229,164,375,359,620,407,192
W01001505,2561,1286,1275,162,185,141,374,413,640,396,250
W01001506,1601,808,793,79,114,87,215,233,415,263,195
W01001507,1997,942,1055,96,188,126,254,236,482,354,261
W01001508,1204,562,642,42,84,52,113,123,286,294,210
W01001509,1422,697,725,37,88,68,154,93,418,347,217
W01001510,1625,773,852,98,123,89,234,176,411,314,180
W01001511,1627,772,855,85,120,99,196,209,436,296,186
W01001512,1263,629,634,32,53,43,103,98,317,364,253
W01001513,1475,724,751,77,99,81,151,129,419,320,199
W01001514,1100,524,576,46,61,60,136,119,274,241,163
W01001515,1434,688,746,61,95,103,252,191,377,224,131
W01001516,1434,716,718,87,117,70,222,189,362,261,126
W01001517,2579,1307,1272,143,262,180,378,376,754,332,154
W01001518,1125,556,569,45,98,80,118,102,258,243,181
W01001519,1385,673,712,74,137,90,228,224,313,241,78
W01001520,2263,1076,1187,143,220,117,385,376,545,305,172
W01001521,1411,720,691,85,104,86,218,169,390,214,145
W01001522,1650,795,855,59,90,141,257,188,479,273,163
W01001523,1480,721,759,76,133,87,231,203,439,201,110
W01001524,1914,974,940,80,147,108,228,217,531,369,234
W01001525,1839,907,932,102,179,150,270,223,480,298,137
W01001526,1432,636,796,103,163,98,233,202,313,215,105
W01001527,1241,590,651,47,89,65,147,170,295,268,160
W01001528,1614,751,863,140,141,99,266,262,364,198,144
W01001529,2163,1067,1096,136,148,124,385,287,540,358,185
W01001530,1958,923,1035,170,266,175,315,301,424,208,99
W01001531,1746,842,904,106,153,115,265,214,422,326,145
W01001532,1809,883,926,115,186,143,285,258,424,248,150
W01001533,1573,784,789,50,92,130,222,158,510,317,94
W01001534,1454,713,741,86,113,98,196,174,366,298,123
W01001535,1287,618,669,43,73,59,185,138,360,301,128
W01001536,1224,576,648,64,130,130,185,213,276,157,69
W01001537,1190,578,612,38,73,63,156,126,315,282,137
W01001538,1348,693,655,73,129,115,187,222,312,211,99
W01001539,1439,685,754,92,132,107,196,228,352,222,110
W01001540,1236,598,638,64,85,93,211,125,387,187,84
W01001541,1212,599,613,52,87,79,139,145,341,247,122
W01001542,2117,1022,1095,99,188,128,201,224,615,434,228
W01001543,1819,894,925,87,155,142,182,182,555,318,198
W01001545,1530,725,805,55,90,105,100,82,360,418,320
W01001546,1598,773,825,90,173,124,267,203,420,215,106
W01001548,2162,1074,1088,81,149,106,220,156,663,571,216
W01001549,1434,762,672,25,98,106,148,77,432,383,165
W01001551,1154,579,575,61,116,85,156,152,298,166,120
W01001552,1502,704,798,34,97,127,150,89,372,419,214
W01001553,3495,1675,1820,195,286,288,457,370,1016,563,320
W01001554,1955,960,995,66,135,381,318,102,371,294,288
W01001555,1097,537,560,20,46,68,112,44,363,287,157
W01001556,1312,648,664,60,89,77,157,137,371,312,109
W01001557,1869,907,962,81,130,94,273,232,518,351,190
W01001558,1579,750,829,85,103,114,144,183,415,328,207
W01001559,1342,660,682,53,102,100,122,117,365,268,215
W01001560,1395,710,685,36,104,86,151,82,400,370,166
W01001564,2908,1425,1483,161,182,182,329,278,804,557,415
W01001565,1913,951,962,89,136,104,165,153,583,446,237
W01001566,1356,715,641,40,87,77,164,170,366,336,116
W01001567,1031,464,567,35,59,51,89,80,265,268,184
W01001568,1796,891,905,41,129,119,166,139,541,483,178
W01001569,1483,736,747,65,116,73,127,161,359,347,235
W01001571,1430,740,690,46,123,86,160,137,388,303,187
W01001572,1644,795,849,65,128,125,177,168,451,359,171
W01001573,1451,726,725,56,86,111,166,122,506,274,130
W01001574,1384,684,700,72,82,75,223,156,408,259,109
W01001575,1204,606,598,39,90,97,102,93,354,285,144
W01001576,1083,535,548,47,80,81,166,119,314,174,102
W01001577,1350,633,717,66,110,87,129,127,323,223,285
W01001578,2398,1202,1196,96,141,144,306,255,702,509,245
W01001579,1503,695,808,53,65,47,157,150,357,365,309
W01001580,1889,925,964,73,149,127,207,186,482,384,281
W01001581,1926,927,999,68,114,108,174,124,563,445,330
W01001582,1836,906,930,87,163,139,312,221,525,248,141
W01001583,1620,807,813,58,125,84,141,138,491,360,223
W01001584,1905,936,969,88,166,139,250,268,555,301,138
W01001585,1301,629,672,55,74,90,128,124,342,300,188
W01001586,2531,1223,1308,110,189,222,282,197,834,441,256
W01001587,1916,960,956,92,108,112,283,257,530,322,212
W01001588,1671,791,880,41,104,92,205,148,431,362,288
W01001589,1466,715,751,67,87,99,167,182,354,327,183
W01001590,2215,1090,1125,74,140,140,179,146,691,573,272
W01001591,1579,750,829,77,116,130,218,191,511,239,97
W01001592,1656,775,881,106,153,156,285,246,429,184,97
W01001593,1725,851,874,85,125,96,291,278,506,239,105
W01001594,1513,741,772,75,125,85,111,141,419,360,197
W01001595,1324,666,658,50,78,73,144,95,414,324,146
W01001596,1337,829,508,36,43,68,167,142,357,292,232
W01001597,1496,742,754,61,87,73,166,152,445,307,205
W01001598,1684,864,820,79,153,100,237,240,414,289,172
W01001600,1808,914,894,114,143,99,202,175,505,326,244
W01001601,1504,763,741,91,183,127,282,187,384,180,70
W01001602,1592,724,868,98,120,67,135,199,433,343,197
W01001603,1445,720,725,74,101,84,243,208,418,197,120
W01001604,1506,724,782,93,127,106,159,168,411,252,190
W01001605,1337,679,658,80,98,69,186,212,366,181,145
W01001606,1324,644,680,83,105,100,179,158,339,218,142
W01001607,1451,724,727,121,184,141,243,237,359,120,46
W01001608,1525,761,764,56,121,106,218,193,444,242,145
W01001609,2035,912,1123,197,259,219,363,318,456,164,59
W01001610,1257,628,629,86,138,95,181,166,303,202,86
W01001611,1238,612,626,81,117,71,182,168,357,175,87
W01001612,1677,866,811,109,133,101,277,216,446,270,125
W01001613,1614,774,840,124,176,123,265,226,431,173,96
W01001614,1583,774,809,111,155,104,193,216,372,277,155
W01001615,1607,822,785,116,198,113,213,250,389,226,102
W01001616,1409,676,733,60,91,70,190,172,371,302,153
W01001617,1354,630,724,116,144,83,221,198,300,162,130
W01001618,1185,556,629,83,97,70,177,173,312,150,123
W01001619,1344,680,664,84,166,91,224,181,330,169,99
W01001620,1653,770,883,149,146,142,259,296,392,173,96
W01001621,1342,667,675,72,134,84,212,168,362,173,137
W01001622,1254,609,645,64,89,61,235,146,368,175,116
W01001623,1429,703,726,61,110,80,165,112,422,310,169
W01001624,1229,608,621,43,114,84,119,119,358,253,139
W01001625,1125,530,595,38,63,74,86,96,358,258,152
W01001626,1411,709,702,81,133,64,112,159,422,248,192
W01001627,1552,738,814,69,123,75,172,138,434,358,183
W01001628,1022,489,533,65,88,54,106,117,264,198,130
W01001629,1420,706,714,78,94,81,146,178,364,268,211
W01001630,1603,744,859,89,131,88,193,164,377,312,249
W01001631,1350,641,709,79,69,86,173,180,382,257,124
W01001632,1435,688,747,87,153,103,207,196,397,198,94
W01001633,1741,846,895,187,204,162,295,267,373,165,88
W01001634,1584,749,835,102,159,136,231,203,408,217,128
W01001635,1189,577,612,54,93,70,107,131,394,240,100
W01001636,1919,949,970,110,196,149,252,238,641,207,126
W01001637,2000,980,1020,115,197,195,212,214,559,339,169
W01001638,1166,584,582,48,116,102,107,120,323,193,157
W01001639,2189,1063,1126,140,161,167,272,303,657,339,150
W01001640,1121,546,575,36,59,44,88,74,339,302,179
W01001641,1419,712,707,55,99,68,116,122,439,341,179
W01001642,1800,873,927,157,140,130,310,304,435,239,85
W01001643,1874,925,949,181,277,189,308,331,387,151,50
W01001644,3615,1850,1765,309,435,228,707,867,720,262,87
W01001645,1281,620,661,88,127,114,197,167,345,187,56
W01001646,1858,930,928,123,144,228,528,172,296,241,126
W01001647,2285,1100,1185,142,216,117,399,334,532,298,247
W01001648,1483,724,759,88,129,87,212,167,384,246,170
W01001649,2911,1442,1469,290,271,153,419,474,707,450,147
W01001650,1524,760,764,86,159,117,228,259,370,220,85
W01001651,1366,651,715,41,92,80,179,118,379,282,195
W01001652,1874,919,955,149,190,165,296,263,425,268,118
W01001653,1323,637,686,61,65,63,159,122,344,294,215
W01001654,1632,795,837,74,144,112,192,229,435,290,156
W01001655,1551,780,771,71,116,99,190,159,415,317,184
W01001657,1386,666,720,74,113,107,170,144,396,281,101
W01001658,1985,954,1031,100,211,181,216,174,624,334,145
W01001659,1962,1024,938,134,238,189,340,301,437,216,107
W01001660,2460,1211,1249,183,252,196,399,407,660,242,121
W01001661,3051,1694,1357,216,297,277,927,575,537,173,49
W01001662,1501,718,783,123,168,145,245,221,341,172,86
W01001663,1375,598,777,67,107,89,143,166,335,279,189
W01001664,1387,698,689,80,140,87,198,203,314,202,163
W01001665,1628,770,858,90,130,78,211,180,393,311,235
W01001666,1415,654,761,94,162,130,216,220,299,169,125
W01001667,1286,607,679,90,156,116,223,164,301,149,87
W01001668,1253,649,604,109,129,89,187,169,290,152,128
W01001669,1240,650,590,51,59,81,144,89,357,337,122
W01001670,2187,1101,1086,90,194,201,252,245,650,352,203
W01001671,2214,1067,1147,156,195,124,339,374,564,303,159
W01001672,3037,1468,1569,283,376,218,290,577,782,343,168
W01001673,1425,707,718,67,92,73,112,156,364,356,205
W01001674,1577,769,808,102,158,122,240,163,398,248,146
W01001675,1663,821,842,101,151,140,274,246,395,234,122
W01001676,1759,910,849,130,165,106,382,314,408,177,77
W01001677,1430,680,750,72,108,91,214,208,339,239,159
W01001678,1613,794,819,92,134,123,223,184,474,262,121
W01001679,1121,538,583,42,99,83,136,127,301,226,107
W01001680,1258,609,649,73,121,115,182,213,338,180,36
W01001681,1363,729,634,97,144,79,214,245,310,196,78
W01001682,1393,670,723,98,84,91,206,150,359,256,149
W01001683,1120,524,596,74,103,82,139,154,330,133,105
W01001684,1374,665,709,83,105,82,211,230,372,223,68
W01001685,1786,935,851,98,117,117,382,333,443,195,101
W01001686,1315,671,644,53,94,88,211,146,388,201,134
W01001687,2272,1278,994,108,150,134,481,510,544,247,98
W01001688,3141,1470,1671,232,371,253,499,595,770,322,99
W01001689,1804,833,971,101,204,162,245,213,405,294,180
W01001690,2407,1217,1190,213,255,164,413,442,606,227,87
W01001691,1328,653,675,71,110,92,237,202,360,182,74
W01001692,2173,1140,1033,192,235,159,449,364,515,208,51
W01001693,2355,1314,1041,168,209,168,487,451,601,202,69
W01001730,1537,749,788,54,133,122,143,73,415,355,242
W01001733,2641,1563,1078,70,170,160,1303,157,375,239,167
W01001736,1542,709,833,76,182,114,152,129,409,298,182
W01001802,1686,779,907,107,151,98,262,225,345,363,135
W01001803,1722,842,880,118,173,124,282,236,393,265,131
W01001804,1689,852,837,112,178,156,267,252,393,211,120
W01001805,1537,752,785,119,187,104,210,226,415,194,82
W01001806,1721,847,874,84,128,111,285,231,361,317,204
W01001807,1639,737,902,104,212,198,271,219,397,172,66
W01001808,1834,835,999,141,280,200,287,270,397,176,83
W01001809,1253,658,595,79,93,83,198,165,305,240,90
W01001810,1717,864,853,106,177,212,301,209,426,207,79
W01001811,1549,740,809,127,226,164,257,202,342,162,69
W01001812,1277,601,676,73,148,91,219,133,324,190,99
W01001813,1680,856,824,105,187,140,257,263,406,221,101
W01001814,1397,654,743,98,105,62,237,169,353,222,151
W01001815,1348,669,679,67,133,101,192,169,338,270,78
W01001816,2815,1401,1414,205,345,237,548,482,624,242,132
W01001817,1356,668,688,57,126,116,194,168,336,259,100
W01001818,1573,747,826,105,188,103,243,245,418,201,70
W01001840,1827,915,912,93,152,109,305,207,470,376,115
W01001841,2004,1008,996,100,186,160,284,265,593,330,86
W01001842,1760,864,896,143,202,105,302,321,451,162,74
W01001843,3455,1700,1755,362,363,247,608,627,836,322,90
W01001844,1990,946,1044,123,187,130,402,290,502,268,88
W01001863,1547,780,767,93,103,85,203,207,401,312,143
W01001864,1536,743,793,77,110,87,166,195,369,315,217
W01001865,1311,624,687,69,100,80,151,154,387,262,108
W01001866,1641,797,844,113,153,115,219,267,325,262,187
W01001867,1494,718,776,121,209,132,261,213,325,149,84
W01001868,1579,739,840,79,177,171,235,192,356,249,120
W01001877,1850,947,903,122,176,97,339,270,493,278,75
W01001878,1586,764,822,83,151,129,227,228,337,266,165
W01001879,1923,876,1047,159,227,157,314,308,441,218,99
W01001880,1744,810,934,140,267,209,328,285,365,127,23
W01001881,1519,717,802,102,164,120,243,186,336,281,87
W01001882,1805,880,925,131,161,106,346,295,432,242,92
W01001883,1721,826,895,89,181,133,268,265,376,221,188
W01001884,1388,630,758,115,223,172,240,206,305,107,20
W01001885,2433,1149,1284,159,304,232,433,378,586,219,122
W01001886,1313,609,704,104,159,103,225,190,335,126,71
W01001908,2261,1127,1134,141,219,124,324,307,485,392,269
W01001909,2651,1338,1313,143,245,168,345,282,692,497,279
W01001912,1399,689,710,62,92,80,147,165,350,339,164
W01001913,1679,901,778,77,145,124,250,303,544,200,36
