rel..oa_id,rel..total_persons,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
W00006943,246,117,0,0,0,1,5,0,102,21
W00006944,321,158,0,0,0,0,0,1,132,30
W00006945,293,129,0,0,0,0,0,0,137,27
W00006946,252,126,0,0,0,0,0,0,102,24
W00006947,269,140,1,0,0,0,0,0,111,17
W00006948,309,138,0,2,0,1,0,1,135,32
W00006949,363,187,0,0,0,0,0,2,146,28
W00006950,291,118,0,0,0,1,0,1,137,34
W00006951,369,154,1,0,0,1,0,1,183,29
W00006952,313,135,0,0,0,0,0,1,153,24
W00006953,294,119,1,1,0,2,0,1,148,22
W00006954,322,136,0,2,0,0,0,2,155,27
W00006955,337,129,0,0,0,0,2,2,185,19
W00006956,289,151,1,0,0,0,0,1,122,14
W00006957,359,161,0,0,1,0,0,8,161,28
W00006958,311,121,0,0,2,0,1,0,159,28
W00006959,318,186,2,0,0,0,0,1,101,28
W00006960,289,167,0,0,0,0,0,1,92,29
W00006961,329,167,1,0,0,0,0,10,122,29
W00006962,255,126,0,0,0,0,0,0,112,17
W00006963,311,165,1,0,1,1,0,0,115,28
W00006964,284,173,2,0,1,0,0,0,87,21
W00006965,278,190,0,0,1,0,2,0,70,15
W00006966,306,121,1,0,0,0,0,1,158,25
W00006968,345,186,0,0,0,0,0,3,132,24
W00006969,283,146,0,0,0,0,0,2,121,14
W00006970,302,148,1,0,0,0,0,0,138,15
W00006992,314,116,0,0,0,1,0,0,167,30
W00006993,495,260,1,0,0,0,1,5,185,43
W00006994,396,211,0,0,0,0,0,2,153,30
W00006995,383,218,1,0,0,1,0,0,134,29
W00006996,232,92,0,0,0,0,0,1,107,32
W00006997,345,130,0,0,0,0,0,1,201,13
W00006998,276,131,0,0,0,0,0,0,125,20
W00006999,328,147,0,0,0,0,0,6,157,18
W00007021,388,234,0,0,0,0,0,0,132,22
W00007022,279,138,0,0,3,0,0,2,110,26
W00007023,317,169,0,0,0,0,0,1,123,24
