health..oa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00001591,422,181,144,67,17,13
E00001592,343,176,129,30,7,1
E00001593,232,91,86,43,9,3
E00001594,317,155,115,34,6,7
E00001595,266,132,88,38,5,3
E00001596,399,184,136,59,16,4
E00001597,246,108,76,45,15,2
E00001598,356,175,115,50,10,6
E00001599,285,127,93,41,17,7
E00001600,335,142,109,60,19,5
E00001601,315,172,97,41,3,2
E00001602,313,156,109,36,9,3
E00001603,351,163,125,48,10,5
E00001604,298,176,96,16,7,3
E00001605,334,157,118,46,10,3
E00001606,331,165,122,31,11,2
E00001607,332,161,124,37,9,1
E00001608,331,172,126,26,6,1
E00001609,226,91,92,36,6,1
E00001610,328,170,121,28,7,2
E00001611,354,161,137,42,11,3
E00001612,291,135,101,43,11,1
E00001613,345,166,124,38,10,7
E00001614,299,154,109,27,8,1
E00001615,293,142,106,33,10,2
E00001616,316,139,116,45,11,5
E00001617,246,85,84,59,11,7
E00001618,279,119,115,32,13,0
E00001619,341,177,116,37,9,2
E00001620,259,109,101,37,9,3
E00001621,232,92,82,41,14,3
E00001622,321,152,104,50,11,4
E00001623,200,66,64,50,13,7
E00001624,282,130,108,35,8,1
E00001625,207,52,80,55,14,6
E00001626,346,160,119,52,13,2
E00001627,334,172,107,38,11,6
E00001628,315,158,114,36,7,0
E00001629,240,83,93,41,14,9
E00001630,352,182,122,36,10,2
E00001631,321,128,118,56,15,4
E00001632,509,266,170,49,12,12
E00001633,317,131,116,39,24,7
E00001634,260,125,85,36,12,2
E00001635,335,154,113,43,18,7
E00001636,255,144,85,17,4,5
E00001637,359,128,126,70,28,7
E00001638,437,227,147,38,17,8
E00001639,288,128,102,40,14,4
E00001640,363,171,124,54,9,5
E00001641,246,122,66,34,14,10
E00001642,340,197,96,35,10,2
E00001643,380,206,122,38,13,1
E00001644,373,195,135,34,7,2
E00001645,345,172,125,37,8,3
E00001646,301,153,99,40,4,5
E00001647,366,173,145,34,11,3
E00001648,336,183,108,36,7,2
E00001649,343,155,134,39,13,2
E00001650,294,135,112,37,9,1
E00001651,296,119,109,46,19,3
E00001652,368,194,121,36,14,3
E00001653,320,141,115,49,14,1
E00001654,348,161,141,31,14,1
E00001655,326,144,122,40,20,0
E00001656,263,104,116,28,10,5
E00001657,243,95,84,44,18,2
E00001658,268,119,85,41,18,5
E00001659,310,157,91,38,20,4
E00001660,302,155,100,37,7,3
E00001661,284,138,113,21,8,4
E00001662,317,154,119,32,11,1
E00001663,320,158,107,38,15,2
E00001664,318,139,119,46,14,0
E00001665,327,147,136,35,7,2
E00001666,351,196,106,41,4,4
E00001667,358,185,117,46,9,1
E00001668,370,201,118,40,8,3
E00001669,368,148,147,60,13,0
E00001670,246,130,86,21,7,2
E00001671,260,128,90,29,9,4
E00001672,253,111,98,33,11,0
E00001673,357,195,125,34,2,1
E00001674,365,200,106,42,16,1
E00001675,276,125,106,25,17,3
E00001676,340,179,111,36,10,4
E00001677,278,120,93,45,16,4
E00001678,405,221,134,43,5,2
E00001679,296,120,120,46,9,1
E00001680,313,172,101,33,5,2
E00001681,358,195,113,39,5,6
E00001682,344,173,109,43,11,8
E00001683,314,169,92,38,12,3
E00001684,218,69,74,44,22,9
E00001685,336,172,108,39,12,5
E00001686,310,154,105,32,17,2
E00001687,309,121,130,38,17,3
E00001688,216,65,92,33,20,6
E00001689,381,196,141,36,7,1
E00001690,267,114,108,33,6,6
E00001691,359,186,126,37,9,1
E00001692,331,165,108,49,7,2
E00001693,325,164,116,37,6,2
E00001694,430,228,149,41,10,2
E00001695,381,212,113,43,11,2
E00001696,336,175,110,38,10,3
E00001697,294,156,89,36,10,3
E00001698,312,139,133,26,11,3
E00001699,391,232,116,31,10,2
E00001700,358,175,130,38,12,3
E00001701,355,184,113,51,5,2
E00001702,245,99,93,38,13,2
E00001703,326,138,128,51,8,1
E00001704,320,151,105,51,9,4
