house..oa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00001591,130,8,5,37,31,19,23,7
E00001592,119,9,11,54,35,2,7,1
E00001593,107,18,21,32,16,11,7,2
E00001594,123,19,13,42,33,7,6,3
E00001595,108,16,18,31,28,5,8,2
E00001596,138,14,21,34,27,21,15,6
E00001597,119,27,21,35,21,8,7,0
E00001598,129,11,9,52,37,7,8,5
E00001599,120,18,17,29,20,14,20,2
E00001600,131,28,11,39,32,7,8,6
E00001601,111,13,5,38,28,14,9,4
E00001602,118,20,7,48,30,2,9,2
E00001603,130,12,11,56,32,8,6,5
E00001604,125,7,23,34,35,14,8,4
E00001605,133,7,22,46,37,8,11,2
E00001606,129,22,11,40,32,9,9,6
E00001607,141,11,24,55,32,11,6,2
E00001608,145,14,22,55,23,18,8,5
E00001609,109,31,13,30,22,8,5,0
E00001610,114,13,6,39,34,7,14,1
E00001611,131,15,7,53,31,5,13,7
E00001612,133,16,35,35,23,11,11,2
E00001613,125,11,11,53,37,4,9,0
E00001614,116,19,5,47,29,4,11,1
E00001615,110,10,5,56,26,3,6,4
E00001616,130,15,26,39,21,12,14,3
E00001617,133,52,15,37,17,3,8,1
E00001618,120,22,13,43,25,8,9,0
E00001619,124,17,5,50,39,4,7,2
E00001620,133,31,30,35,19,8,8,2
E00001621,116,35,19,29,17,9,5,2
E00001622,136,24,19,46,25,11,8,3
E00001623,127,48,32,24,11,6,6,0
E00001624,120,16,12,58,22,6,4,2
E00001625,110,31,14,40,10,3,10,2
E00001626,122,12,10,43,29,7,15,6
E00001627,128,11,25,28,29,19,9,7
E00001628,131,11,25,41,31,10,8,5
E00001629,137,37,35,33,9,7,13,3
E00001630,136,15,15,41,32,15,10,8
E00001631,147,18,36,32,27,17,15,2
E00001632,163,11,25,29,38,26,17,17
E00001633,128,16,27,27,28,18,6,6
E00001634,98,5,17,18,24,22,9,3
E00001635,118,10,15,27,22,19,20,5
E00001636,138,2,70,22,24,5,10,5
E00001637,168,49,28,27,29,21,12,2
E00001638,139,8,21,29,31,15,17,18
E00001639,121,8,40,14,27,22,9,1
E00001640,149,8,32,44,22,20,17,6
E00001641,113,15,25,7,15,34,13,4
E00001642,127,12,23,27,32,14,10,9
E00001643,121,10,3,36,38,12,13,9
E00001644,131,3,20,38,33,20,12,5
E00001645,133,20,14,45,36,8,5,5
E00001646,114,9,23,23,21,23,9,6
E00001647,134,5,23,35,33,16,15,7
E00001648,123,8,22,18,23,25,15,12
E00001649,151,14,38,37,33,14,11,4
E00001650,127,7,29,38,23,18,9,3
E00001651,142,25,29,54,13,6,12,3
E00001652,153,23,35,33,31,12,13,6
E00001653,133,14,20,48,24,8,15,4
E00001654,145,20,24,46,32,7,13,3
E00001655,105,5,11,27,30,11,13,8
E00001656,115,21,21,34,18,9,7,5
E00001657,118,48,21,12,7,11,13,6
E00001658,121,16,30,23,18,21,11,2
E00001659,137,16,36,28,26,18,9,4
E00001660,122,28,9,40,25,7,6,7
E00001661,133,14,35,33,23,19,6,3
E00001662,121,13,12,45,30,12,7,2
E00001663,125,20,10,50,34,6,5,0
E00001664,138,28,17,49,25,9,6,4
E00001665,128,15,12,48,32,9,12,0
E00001666,144,23,16,47,37,5,14,2
E00001667,133,17,13,43,44,5,9,2
E00001668,131,10,5,47,40,17,10,2
E00001669,136,8,14,59,38,5,11,1
E00001670,95,11,10,32,31,5,5,1
E00001671,138,15,46,34,20,13,9,1
E00001672,112,20,11,45,23,3,10,0
